rating,title,body
1,did not work,"Not one wasp was caught, still have them buzzing me when I go out."
1,Did not work for us,"Unfortunately, despite following directions specifically, this did not attract a single bee…I even added hot dog chunk…nothing for over 2 weeks."
1,Didn't attract anything,"Didn't catch a dam thing. Then I had it hanging up on a limb and the bottle separated from the lid & crashed to the ground, of course emptying all the contents. I made my own concoction but nothing was attracted to the ""trap""."
1,Didn't catch a single wasp - another waste of,Picked one up and put it out this year (fair number of wasps around this year) Place and operated as instructed. Didn't catch a single wasp - another waste of $$$s
1,Didn't trap a single wasp or yellow jacket,I followed the directions and trapped nothing.
1,Didn't work,It didn't do what it said it would. Had good luck with cucumbers in aluminum pans.
1,Doesn't Work,"Set it up according to the directions, used apple juice (as recommended) and in the last two weeks it has been set up, not one wasp, hornet, nor yellow jacket has been caught. Instead a wasp has decided to set up their home near it. Complete waste of money, would not recommend."
1,Doesn't work,"I tried two of these, using different combinations of bait. In both cases, after weeks, the trap failed to trap anything except for a couple of flies (not wasps). I watched my patio wasps fly around this every day. They seemed interested but never bothered going in, or, if they did dip their toes in, they came back out just fine. I made a homemade trap with a two-liter plastic bottle using the same contents. For whatever reason, that is working much better."
1,Junk,Wasps would fly right past this thing without hesitation. Would not recommend to anyone
1,No help,Did nothing to rid us of wasp.
1,No wasps in it.,Not a single wasp or hornet was trapped in either one I bought. Something chewed or pecked through them both to get the sugar water.
1,Not worth the money,I have not caught anything in this product. I bought 2 one for a friend and he has the same problem. I wouldn't waste your money on this product
1,Strap on lid broke within the first week,I would not purchase this product again. The rubber strap on the lid broke (see photo) within the first week and fell on the ground. I wrote to Willert Home Products and they never responded. VERY POOR CUSTOMER SERVICE.
1,Waste,Don't buy
1,Waste of money,"Followed directions, it sat out there for three days nothing. It was warm, low 80s. Disappointed"
2,Did Not Work,"I followed the directions specifically. It was a rather complicated recipe but I figured if it worked, it was worth it. After 2 months, there wasn't a single bee, wasp, or yellow jacket of any kind, only a few flies. I threw it away."
2,Didn't work,I followed the instructions perfectly and it didn't attract any wasps. I ended up killing them with wasp spray
2,Doesn't seem effective,"This caught a lot of gnats, but not a single wasp despite being hung in the flight path of a red wasp nest. Disappointing."
2,Not the best for our area,We didn't catch very many yellow jackets or any other kind of bee either. They would go in but then come right out again.
2,Placement counts,It has trapped a few but it is built pretty flimsy. Lid does not stay on great and actually cracked when running provided zip tie through the lid.
2,Two Stars,Didn't catch an wasp's....but plenty of other bugs
2,Two Stars,These did not work..were not effective.
2,"Was disappointed, did not attract wasps.",Did not do what it promised.
4,Didn't really work for me but,The quality is great … had wasps that were robbing my bee hives so it's not your normally need … I think this would work great for the average need
4,Met Expectations!,Worked well for me. Unlike other traps you need to open the top to see if it worked. Don't see wasps swarming around it like other traps and with those you can use small pieces of fresh salmon as a substitute lure which is far more cost effective than buying bait. Must be salmon as other fish varieties for a bait does not seem to work.
4,the bait makes you dizzy,"Updated Review: it has caught the tiny wasps, which is ok, they're still wasps. i have gotten about 25 over the last month. good work! will update after today, but i'm at three stars b/c it was messy, i.e. the design lends itself to you getting stuff on your hands either when you fill it or go to hang it. and it makes you dizzy, whatever it is. says non-toxic but it definitely has an effect on your senses.."
