"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",31.37,2.3234068525232363,25.64
"2025-04-09 02:00:00",29.1,,22.47
"2025-04-10 02:00:00",12.45,,15.94
"2025-04-11 02:00:00",12.45,,14.16
"2025-04-12 02:00:00",13.73,,9.68
"2025-04-13 02:00:00",0,,5.52
"2025-04-14 02:00:00",0,,3.74
"2025-04-15 02:00:00",0,,1.96
"2025-04-16 02:00:00",0,,0
"2025-04-17 02:00:00",0,,0
"2025-04-18 02:00:00",0,,0
"2025-04-19 02:00:00",0,,0
"2025-04-20 02:00:00",0,,0
"2025-04-21 02:00:00",0.01,,0
"2025-04-22 02:00:00",0,,0
"2025-04-23 02:00:00",0,,0
"2025-04-24 02:00:00",0,,2.63
"2025-04-25 02:00:00",0,,6.48
"2025-04-26 02:00:00",0,,10.45
"2025-04-27 02:00:00",18.37,,14.84
"2025-04-28 02:00:00",27,,19.79
"2025-04-29 02:00:00",27.77,,26.36
"2025-04-30 02:00:00",30.76,,33
"2025-05-01 02:00:00",34.65,,40.68
"2025-05-02 02:00:00",45.95,,41.72
"2025-05-03 02:00:00",46.5,,44.16
"2025-05-04 02:00:00",72.12,,42.88
"2025-05-05 02:00:00",34.32,,41.32
"2025-05-06 02:00:00",44.79,,39.29
"2025-05-07 02:00:00",21.83,,36.14
"2025-05-08 02:00:00",23.76,,48.08
"2025-05-09 02:00:00",31.71,,50.65
"2025-05-10 02:00:00",24.47,,47.75
"2025-05-11 02:00:00",155.71,,85.62
"2025-05-12 02:00:00",52.29,,60.15
"2025-05-13 02:00:00",0,,33.21
"2025-05-14 02:00:00",0,,29.71
"2025-05-15 02:00:00",0,,7.47
"2025-05-16 02:00:00",0,,0
"2025-05-17 02:00:00",0,,0
"2025-05-18 02:00:00",0,,2.03
"2025-05-19 02:00:00",0,,2.03
"2025-05-20 02:00:00",0,,2.03
"2025-05-21 02:00:00",14.22,,12.87
"2025-05-22 02:00:00",0,,2.93
"2025-05-23 02:00:00",0,,3.08
"2025-05-24 02:00:00",4.78,,4.58
"2025-05-25 02:00:00",1.52,,1.76
"2025-05-26 02:00:00",1.02,,1.83
"2025-05-27 02:00:00",0.93,,2.05
"2025-05-28 02:00:00",1.05,,1.71
"2025-05-29 02:00:00",2.5,,2.79
"2025-05-30 02:00:00",2.57,,3.17
"2025-05-31 02:00:00",2.4,,3.4
"2025-06-01 02:00:00",9.03,,3.64
"2025-06-02 02:00:00",3.74,,3.82
"2025-06-03 02:00:00",2.53,,3.64
"2025-06-04 02:00:00",2.71,,3.73
"2025-06-05 02:00:00",0,,1.92
"2025-06-06 02:00:00",0,,1.97
"2025-06-07 02:00:00",0,,3.19
"2025-06-08 02:00:00",4.48,,6.01
"2025-06-09 02:00:00",4.07,,6.35
"2025-06-10 02:00:00",11.1,,7.93
"2025-06-11 02:00:00",8.96,,7.29
"2025-06-12 02:00:00",7.72,,7.72
"2025-06-13 02:00:00",8.06,,8.8
"2025-06-14 02:00:00",6.62,,8.31
"2025-06-15 02:00:00",7.52,,7.75
"2025-06-16 02:00:00",11.59,,7.25
"2025-06-17 02:00:00",7.67,,6.85
"2025-06-18 02:00:00",5.09,,7.29
"2025-06-19 02:00:00",4.17,,6.21
"2025-06-20 02:00:00",5.29,,4.56
"2025-06-21 02:00:00",9.67,,3.46
"2025-06-22 02:00:00",0,,2.73
"2025-06-23 02:00:00",0,,2.14
"2025-06-24 02:00:00",0,,1.38
"2025-06-25 02:00:00",0,,0
"2025-06-26 02:00:00",0,,0
"2025-06-27 02:00:00",0.01,,0
"2025-06-28 02:00:00",0,,0
"2025-06-29 02:00:00",0,,0
"2025-06-30 02:00:00",0,,0
"2025-07-01 02:00:00",0.01,,0
"2025-07-02 02:00:00",0,,0
"2025-07-03 02:00:00",0,,2.64
"2025-07-04 02:00:00",0,,5.51
"2025-07-05 02:00:00",0,,8.03
"2025-07-06 02:00:00",18.47,,10.98
"2025-07-07 02:00:00",20.07,,16.5
"2025-07-08 02:00:00",17.65,,22.13
"2025-07-09 02:00:00",20.69,,30.43
"2025-07-10 02:00:00",38.6,,27.79
"2025-07-11 02:00:00",39.42,,24.92
"2025-07-12 02:00:00",58.1,,22.4
"2025-07-13 02:00:00",0,,19.45
"2025-07-14 02:00:00",0,,13.93
"2025-07-15 02:00:00",0,,8.3
"2025-07-16 02:00:00",0,,0
"2025-07-17 02:00:00",0,,0
"2025-07-18 02:00:00",0.01,,0
"2025-07-19 02:00:00",0,,0
"2025-07-20 02:00:00",0,,0
"2025-07-21 02:00:00",0,,0
"2025-07-22 02:00:00",0,,0
"2025-07-23 02:00:00",0,,0
"2025-07-24 02:00:00",0,,0
"2025-07-25 02:00:00",0,,0
"2025-07-26 02:00:00",0,,0
"2025-07-27 02:00:00",0,,0
"2025-07-28 02:00:00",0,,0
"2025-07-29 02:00:00",0,,0
"2025-07-30 02:00:00",0,,0
"2025-07-31 02:00:00",0,,0
"2025-08-01 02:00:00",0,,0
"2025-08-02 02:00:00",0,,0
"2025-08-03 02:00:00",0,,0
"2025-08-04 02:00:00",0,,0
"2025-08-05 02:00:00",0,,0
"2025-08-06 02:00:00",0,,0
"2025-08-07 02:00:00",0,,0
"2025-08-08 02:00:00",0,,0
"2025-08-09 02:00:00",0,,0
"2025-08-10 02:00:00",0,,0
"2025-08-11 02:00:00",0,,0
"2025-08-12 02:00:00",0,,0
"2025-08-13 02:00:00",0,,0
"2025-08-14 02:00:00",0,,0
"2025-08-15 02:00:00",0,,0
"2025-08-16 02:00:00",0,,0
"2025-08-17 02:00:00",0,,0
"2025-08-18 02:00:00",0,,0
"2025-08-19 02:00:00",0,,0
"2025-08-20 02:00:00",0,,0
"2025-08-21 02:00:00",0.01,,0
"2025-08-22 02:00:00",0,,0
"2025-08-23 02:00:00",0,,0
"2025-08-24 02:00:00",0,,0
"2025-08-25 02:00:00",0,,0
"2025-08-26 02:00:00",0,,0
"2025-08-27 02:00:00",0,,0
"2025-08-28 02:00:00",0,,0
"2025-08-29 02:00:00",0,,0
"2025-08-30 02:00:00",0,,0
"2025-08-31 02:00:00",0,,0
"2025-09-01 02:00:00",0,,0
"2025-09-02 02:00:00",0,,0
"2025-09-03 02:00:00",0.01,,0
"2025-09-04 02:00:00",0,,0
"2025-09-05 02:00:00",0,,0
"2025-09-06 02:00:00",0,,0
"2025-09-07 02:00:00",0,,0
"2025-09-08 02:00:00",0,,0
"2025-09-09 02:00:00",0,,0
"2025-09-10 02:00:00",0,,0
"2025-09-11 02:00:00",0,,0
"2025-09-12 02:00:00",0,,0
"2025-09-13 02:00:00",0,,0
"2025-09-14 02:00:00",0,,0
"2025-09-15 02:00:00",0,,0
"2025-09-16 02:00:00",0.01,,0
"2025-09-17 02:00:00",0,,0
"2025-09-18 02:00:00",0,,0
"2025-09-19 02:00:00",0,,0
"2025-09-20 02:00:00",0,,0
"2025-09-21 02:00:00",0.01,,0
"2025-09-22 02:00:00",0,,0
"2025-09-23 02:00:00",0,,0
"2025-09-24 02:00:00",0,,0
"2025-09-25 02:00:00",0,,0
"2025-09-26 02:00:00",0,,0
"2025-09-27 02:00:00",0,,0
"2025-09-28 02:00:00",0,,0
"2025-09-29 02:00:00",0,,0
"2025-09-30 02:00:00",0,,0
"2025-10-01 02:00:00",0,,0
"2025-10-02 02:00:00",0,,0
"2025-10-03 02:00:00",0.01,,0
"2025-10-04 02:00:00",0.01,,0
"2025-10-05 02:00:00",0,,0
"2025-10-06 02:00:00",0,,0
"2025-10-07 02:00:00",0,,0
"2025-10-08 02:00:00",0.01,,0
"2025-10-09 02:00:00",0,,0
"2025-10-10 02:00:00",0,,0
"2025-10-11 02:00:00",0,,0
"2025-10-12 02:00:00",0,,0
"2025-10-13 02:00:00",0,,0
"2025-10-14 02:00:00",0,,0
"2025-10-15 02:00:00",0,,0
"2025-10-16 02:00:00",0,,0
"2025-10-17 02:00:00",0,,0
