"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",2.24,0,1.76
"2025-04-09 02:00:00",1.2,,1.31
"2025-04-10 02:00:00",1.07,,2.32
"2025-04-11 02:00:00",1.07,,3.37
"2025-04-12 02:00:00",1.17,,3.45
"2025-04-13 02:00:00",8.41,,3.74
"2025-04-14 02:00:00",8.41,,3.96
"2025-04-15 02:00:00",2.85,,4.29
"2025-04-16 02:00:00",3.23,,4.58
"2025-04-17 02:00:00",2.59,,3.5
"2025-04-18 02:00:00",3.36,,2.45
"2025-04-19 02:00:00",3.23,,2.17
"2025-04-20 02:00:00",0.85,,1.98
"2025-04-21 02:00:00",1.05,,1.9
"2025-04-22 02:00:00",0.85,,1.73
"2025-04-23 02:00:00",1.9,,1.59
"2025-04-24 02:00:00",2.07,,1.55
"2025-04-25 02:00:00",2.15,,1.56
"2025-04-26 02:00:00",2.23,,1.58
"2025-04-27 02:00:00",0.62,,1.37
"2025-04-28 02:00:00",1.11,,1.17
"2025-04-29 02:00:00",0.95,,1.02
"2025-04-30 02:00:00",0.47,,0.87
"2025-05-01 02:00:00",0.66,,1.01
"2025-05-02 02:00:00",1.13,,0.96
"2025-05-03 02:00:00",1.14,,0.9
"2025-05-04 02:00:00",1.58,,1
"2025-05-05 02:00:00",0.76,,1.04
"2025-05-06 02:00:00",0.59,,1.02
"2025-05-07 02:00:00",1.13,,1.03
"2025-05-08 02:00:00",0.92,,0.92
"2025-05-09 02:00:00",1.05,,1.08
"2025-05-10 02:00:00",1.15,,1.08
"2025-05-11 02:00:00",0.85,,1.03
"2025-05-12 02:00:00",1.89,,0.97
"2025-05-13 02:00:00",0.58,,0.89
"2025-05-14 02:00:00",0.75,,0.8
"2025-05-15 02:00:00",0.54,,1.05
"2025-05-16 02:00:00",0.5,,1.22
"2025-05-17 02:00:00",0.49,,1.52
"2025-05-18 02:00:00",2.58,,1.75
"2025-05-19 02:00:00",3.09,,2.21
"2025-05-20 02:00:00",2.68,,2.52
"2025-05-21 02:00:00",2.34,,2.62
"2025-05-22 02:00:00",3.81,,2.64
"2025-05-23 02:00:00",0,,2.12
"2025-05-24 02:00:00",1.5,,2.22
"2025-05-25 02:00:00",1.25,,2.2
"2025-05-26 02:00:00",3.26,,2.26
"2025-05-27 02:00:00",1.88,,2.05
"2025-05-28 02:00:00",2.42,,2.15
"2025-05-29 02:00:00",2.22,,2.36
"2025-05-30 02:00:00",1.83,,2.55
"2025-05-31 02:00:00",2.18,,3.27
"2025-06-01 02:00:00",2.73,,3.67
"2025-06-02 02:00:00",4.61,,4.05
"2025-06-03 02:00:00",6.91,,4.47
"2025-06-04 02:00:00",5.23,,4.53
"2025-06-05 02:00:00",4.83,,4.53
"2025-06-06 02:00:00",4.83,,4.36
"2025-06-07 02:00:00",2.59,,3.8
"2025-06-08 02:00:00",2.69,,3.43
"2025-06-09 02:00:00",3.42,,3.08
"2025-06-10 02:00:00",3.03,,2.77
"2025-06-11 02:00:00",2.65,,3.7
"2025-06-12 02:00:00",2.32,,3.53
"2025-06-13 02:00:00",2.68,,3.24
"2025-06-14 02:00:00",9.13,,3.03
"2025-06-15 02:00:00",1.45,,2.9
"2025-06-16 02:00:00",1.43,,2.83
"2025-06-17 02:00:00",1.53,,2.62
"2025-06-18 02:00:00",1.74,,1.43
"2025-06-19 02:00:00",1.85,,1.22
"2025-06-20 02:00:00",1.22,,1.16
"2025-06-21 02:00:00",0.78,,1.08
"2025-06-22 02:00:00",0,,0.98
"2025-06-23 02:00:00",1,,0.86
"2025-06-24 02:00:00",1,,0.83
"2025-06-25 02:00:00",1,,0.86
"2025-06-26 02:00:00",1,,1.11
"2025-06-27 02:00:00",1,,1.11
"2025-06-28 02:00:00",1,,1.23
"2025-06-29 02:00:00",1.79,,1.45
"2025-06-30 02:00:00",0,,1.31
"2025-07-01 02:00:00",1.79,,1.68
"2025-07-02 02:00:00",1.79,,1.79
"2025-07-03 02:00:00",1.79,,1.64
"2025-07-04 02:00:00",1.79,,1.48
"2025-07-05 02:00:00",1.79,,1.33
"2025-07-06 02:00:00",0.72,,1.18
"2025-07-07 02:00:00",0.72,,1.03
"2025-07-08 02:00:00",0.72,,0.87
"2025-07-09 02:00:00",0.72,,0.72
"2025-07-10 02:00:00",0.72,,0.69
"2025-07-11 02:00:00",0.72,,0.66
"2025-07-12 02:00:00",0.72,,0.63
"2025-07-13 02:00:00",0.5,,0.59
"2025-07-14 02:00:00",0.5,,0.56
"2025-07-15 02:00:00",0.5,,0.53
"2025-07-16 02:00:00",0.5,,0.5
"2025-07-17 02:00:00",0.5,,1.1
"2025-07-18 02:00:00",0.5,,1.53
"2025-07-19 02:00:00",0.5,,1.96
"2025-07-20 02:00:00",4.72,,2.16
"2025-07-21 02:00:00",3.51,,2.34
"2025-07-22 02:00:00",3.51,,2.5
"2025-07-23 02:00:00",1.89,,2.64
"2025-07-24 02:00:00",1.75,,1.97
"2025-07-25 02:00:00",1.62,,1.46
"2025-07-26 02:00:00",1.48,,0.96
"2025-07-27 02:00:00",0,,0.69
"2025-07-28 02:00:00",0,,0.44
"2025-07-29 02:00:00",0,,0.21
"2025-07-30 02:00:00",0,,0
"2025-07-31 02:00:00",0,,0.23
"2025-08-01 02:00:00",0,,0.4
"2025-08-02 02:00:00",0,,0.53
"2025-08-03 02:00:00",1.6,,0.64
"2025-08-04 02:00:00",1.17,,0.74
"2025-08-05 02:00:00",0.95,,0.82
"2025-08-06 02:00:00",0.78,,0.9
"2025-08-07 02:00:00",0.68,,1.03
"2025-08-08 02:00:00",0.59,,1.13
"2025-08-09 02:00:00",0.52,,1.21
"2025-08-10 02:00:00",2.49,,1.28
"2025-08-11 02:00:00",1.91,,1.34
"2025-08-12 02:00:00",1.5,,1.41
"2025-08-13 02:00:00",1.27,,1.46
"2025-08-14 02:00:00",1.1,,1.56
"2025-08-15 02:00:00",1.1,,1.56
"2025-08-16 02:00:00",0.87,,1.57
"2025-08-17 02:00:00",3.15,,1.71
"2025-08-18 02:00:00",1.92,,1.78
"2025-08-19 02:00:00",1.56,,1.82
"2025-08-20 02:00:00",2.28,,1.85
"2025-08-21 02:00:00",1.56,,2.21
"2025-08-22 02:00:00",1.38,,2.53
"2025-08-23 02:00:00",1.09,,2.79
"2025-08-24 02:00:00",5.66,,2.85
"2025-08-25 02:00:00",4.19,,2.96
"2025-08-26 02:00:00",3.35,,3.06
"2025-08-27 02:00:00",2.73,,3.18
"2025-08-28 02:00:00",2.31,,5.46
"2025-08-29 02:00:00",2.1,,6.73
"2025-08-30 02:00:00",1.89,,7.63
