"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",0.22,0.41594085478857334,0.21
"2025-04-09 02:00:00",0.22,,0.35
"2025-04-10 02:00:00",0.2,,0.62
"2025-04-11 02:00:00",0.2,,0.9
"2025-04-12 02:00:00",1.16,,1.56
"2025-04-13 02:00:00",2.15,,2.18
"2025-04-14 02:00:00",2.15,,2.8
"2025-04-15 02:00:00",4.87,,3.37
"2025-04-16 02:00:00",4.53,,4
"2025-04-17 02:00:00",4.53,,4.18
"2025-04-18 02:00:00",4.19,,4.63
"2025-04-19 02:00:00",5.55,,4.7
"2025-04-20 02:00:00",3.45,,4.74
"2025-04-21 02:00:00",5.26,,4.57
"2025-04-22 02:00:00",5.38,,4.35
"2025-04-23 02:00:00",4.79,,3.86
"2025-04-24 02:00:00",3.39,,3.86
"2025-04-25 02:00:00",2.63,,3.52
"2025-04-26 02:00:00",2.1,,3.35
"2025-04-27 02:00:00",3.47,,3.02
"2025-04-28 02:00:00",2.88,,2.85
"2025-04-29 02:00:00",4.2,,3.06
"2025-04-30 02:00:00",2.44,,3.71
"2025-05-01 02:00:00",2.2,,3.77
"2025-05-02 02:00:00",4.15,,3.75
"2025-05-03 02:00:00",6.65,,3.44
"2025-05-04 02:00:00",3.88,,3.3
"2025-05-05 02:00:00",2.74,,3.33
"2025-05-06 02:00:00",2.02,,3.12
"2025-05-07 02:00:00",1.48,,2.57
"2025-05-08 02:00:00",2.41,,2.34
"2025-05-09 02:00:00",2.63,,2.34
"2025-05-10 02:00:00",2.84,,2.48
"2025-05-11 02:00:00",2.25,,2.68
"2025-05-12 02:00:00",2.76,,2.61
"2025-05-13 02:00:00",2.97,,2.52
"2025-05-14 02:00:00",2.91,,2.28
"2025-05-15 02:00:00",1.88,,2.18
"2025-05-16 02:00:00",2,,1.93
"2025-05-17 02:00:00",1.22,,1.64
"2025-05-18 02:00:00",1.49,,1.54
"2025-05-19 02:00:00",1.04,,1.55
"2025-05-20 02:00:00",0.97,,1.52
"2025-05-21 02:00:00",2.21,,1.71
"2025-05-22 02:00:00",1.95,,1.94
"2025-05-23 02:00:00",1.75,,2
"2025-05-24 02:00:00",2.59,,2.02
"2025-05-25 02:00:00",3.09,,1.83
"2025-05-26 02:00:00",1.47,,1.71
"2025-05-27 02:00:00",1.06,,1.62
"2025-05-28 02:00:00",0.89,,1.43
"2025-05-29 02:00:00",1.09,,1.2
"2025-05-30 02:00:00",1.16,,1.21
"2025-05-31 02:00:00",1.24,,1.51
"2025-06-01 02:00:00",1.5,,1.98
"2025-06-02 02:00:00",1.52,,2.3
"2025-06-03 02:00:00",3.19,,2.62
"2025-06-04 02:00:00",4.18,,2.72
"2025-06-05 02:00:00",3.34,,3.31
"2025-06-06 02:00:00",3.34,,3.37
"2025-06-07 02:00:00",1.94,,3.15
"2025-06-08 02:00:00",5.64,,2.87
"2025-06-09 02:00:00",1.99,,2.7
"2025-06-10 02:00:00",1.6,,2.56
"2025-06-11 02:00:00",2.27,,2.57
"2025-06-12 02:00:00",2.11,,2.11
"2025-06-13 02:00:00",2.39,,2.18
"2025-06-14 02:00:00",1.99,,2.35
"2025-06-15 02:00:00",2.43,,2.48
"2025-06-16 02:00:00",2.48,,2.59
"2025-06-17 02:00:00",2.75,,2.52
"2025-06-18 02:00:00",3.22,,2.43
"2025-06-19 02:00:00",2.85,,2.34
"2025-06-20 02:00:00",1.95,,2.27
"2025-06-21 02:00:00",1.32,,2.05
"2025-06-22 02:00:00",1.83,,1.92
"2025-06-23 02:00:00",0,,1.51
"2025-06-24 02:00:00",1.83,,1.76
"2025-06-25 02:00:00",1.83,,1.83
"2025-06-26 02:00:00",1.83,,2.31
"2025-06-27 02:00:00",1.83,,2.31
"2025-06-28 02:00:00",1.83,,2.78
"2025-06-29 02:00:00",5.16,,3.73
"2025-06-30 02:00:00",0,,3.47
"2025-07-01 02:00:00",5.16,,4.68
"2025-07-02 02:00:00",5.16,,5.16
"2025-07-03 02:00:00",5.16,,4.88
"2025-07-04 02:00:00",5.16,,4.59
"2025-07-05 02:00:00",5.16,,4.31
"2025-07-06 02:00:00",3.17,,4.02
"2025-07-07 02:00:00",3.17,,3.74
"2025-07-08 02:00:00",3.17,,3.45
"2025-07-09 02:00:00",3.17,,3.17
"2025-07-10 02:00:00",3.17,,3.17
"2025-07-11 02:00:00",3.17,,3.17
"2025-07-12 02:00:00",3.17,,3.17
"2025-07-13 02:00:00",3.17,,3.17
"2025-07-14 02:00:00",3.17,,3.17
"2025-07-15 02:00:00",3.17,,3.17
"2025-07-16 02:00:00",3.17,,3.17
"2025-07-17 02:00:00",3.17,,3.47
"2025-07-18 02:00:00",3.17,,3.77
"2025-07-19 02:00:00",3.17,,4.07
"2025-07-20 02:00:00",5.27,,4.37
"2025-07-21 02:00:00",5.27,,4.67
"2025-07-22 02:00:00",5.27,,4.97
"2025-07-23 02:00:00",5.27,,5.27
"2025-07-24 02:00:00",5.27,,5.27
"2025-07-25 02:00:00",5.27,,4.92
"2025-07-26 02:00:00",5.27,,4.56
"2025-07-27 02:00:00",0,,3.45
"2025-07-28 02:00:00",2.79,,3.5
"2025-07-29 02:00:00",2.79,,3.17
"2025-07-30 02:00:00",2.79,,2.85
"2025-07-31 02:00:00",2.79,,3.23
"2025-08-01 02:00:00",2.99,,3.62
"2025-08-02 02:00:00",2.99,,4.01
"2025-08-03 02:00:00",5.5,,4.4
"2025-08-04 02:00:00",5.5,,4.78
"2025-08-05 02:00:00",5.5,,5.14
"2025-08-06 02:00:00",5.5,,5.5
"2025-08-07 02:00:00",5.5,,5.73
"2025-08-08 02:00:00",5.5,,5.95
"2025-08-09 02:00:00",5.5,,6.18
"2025-08-10 02:00:00",7.09,,6.41
"2025-08-11 02:00:00",7.09,,6.64
"2025-08-12 02:00:00",7.09,,6.86
"2025-08-13 02:00:00",7.09,,7.09
"2025-08-14 02:00:00",7.09,,6.6
"2025-08-15 02:00:00",7.09,,6.1
"2025-08-16 02:00:00",7.09,,5.61
"2025-08-17 02:00:00",3.64,,5.12
"2025-08-18 02:00:00",3.64,,4.63
"2025-08-19 02:00:00",3.64,,4.13
"2025-08-20 02:00:00",3.64,,3.64
"2025-08-21 02:00:00",3.64,,3.87
"2025-08-22 02:00:00",3.64,,4.11
"2025-08-23 02:00:00",3.64,,4.34
"2025-08-24 02:00:00",5.27,,4.57
"2025-08-25 02:00:00",5.27,,4.8
"2025-08-26 02:00:00",5.27,,5.04
"2025-08-27 02:00:00",5.27,,5.27
"2025-08-28 02:00:00",5.27,,5.33
"2025-08-29 02:00:00",5.27,,5.38
"2025-08-30 02:00:00",5.27,,5.44
"2025-08-31 02:00:00",5.66,,5.49
