"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 02:00:00",33.12,18.26481856774677,30.35
"2025-09-15 02:00:00",37.16,,28.74
"2025-09-16 02:00:00",16.16,,23.2
"2025-09-17 02:00:00",26.66,,24.47
"2025-09-18 02:00:00",13.73,,19.76
"2025-09-19 02:00:00",19.39,,14.48
"2025-09-20 02:00:00",25.05,,12.25
"2025-09-21 02:00:00",0.2,,14.56
"2025-09-22 02:00:00",0.17,,18.72
"2025-09-23 02:00:00",0.53,,22.07
"2025-09-24 02:00:00",42.85,,24.61
"2025-09-25 02:00:00",42.85,,28.32
"2025-09-26 02:00:00",42.85,,32.04
"2025-09-27 02:00:00",42.85,,35.7
"2025-09-28 02:00:00",26.17,,33.32
"2025-09-29 02:00:00",26.17,,30.94
"2025-09-30 02:00:00",26.17,,28.55
"2025-10-01 02:00:00",26.17,,26.17
"2025-10-02 02:00:00",26.17,,25.19
"2025-10-03 02:00:00",26.17,,24.21
"2025-10-04 02:00:00",26.17,,23.23
"2025-10-05 02:00:00",19.31,,22.25
"2025-10-06 02:00:00",19.31,,21.27
"2025-10-07 02:00:00",19.31,,20.29
"2025-10-08 02:00:00",19.31,,19.31
"2025-10-09 02:00:00",19.31,,18.79
"2025-10-10 02:00:00",19.31,,18.26
"2025-10-11 02:00:00",19.31,,17.74
"2025-10-12 02:00:00",15.64,,17.21
"2025-10-13 02:00:00",15.64,,16.69
"2025-10-14 02:00:00",15.64,,16.16
"2025-10-15 02:00:00",15.64,,15.64
"2025-10-16 02:00:00",15.64,,16.23
"2025-10-17 02:00:00",15.64,,16.82
"2025-10-18 02:00:00",15.64,,17.41
"2025-10-19 02:00:00",19.76,,17.99
"2025-10-20 02:00:00",19.76,,18.58
"2025-10-21 02:00:00",19.76,,19.17
"2025-10-22 02:00:00",19.76,,19.76
"2025-10-23 02:00:00",19.76,,18.97
"2025-10-24 02:00:00",19.76,,18.17
"2025-10-25 02:00:00",19.76,,17.38
"2025-10-26 02:00:00",14.2,,16.58
"2025-10-27 01:00:00",14.2,,15.79
"2025-10-28 01:00:00",14.2,,14.99
"2025-10-29 01:00:00",14.2,,14.2
"2025-10-30 01:00:00",14.2,,15.75
"2025-10-31 01:00:00",14.2,,17.3
"2025-11-01 01:00:00",14.2,,18.85
"2025-11-02 01:00:00",25.05,,20.4
"2025-11-03 01:00:00",25.05,,21.95
"2025-11-04 01:00:00",25.05,,23.5
"2025-11-05 01:00:00",25.05,,25.05
"2025-11-06 01:00:00",25.05,,24.42
"2025-11-07 01:00:00",25.05,,23.78
"2025-11-08 01:00:00",25.05,,23.15
"2025-11-09 01:00:00",20.61,,22.51
"2025-11-10 01:00:00",20.61,,21.88
"2025-11-11 01:00:00",20.61,,21.24
"2025-11-12 01:00:00",20.61,,20.61
"2025-11-13 01:00:00",20.61,,21.66
"2025-11-14 01:00:00",20.61,,22.72
"2025-11-15 01:00:00",20.61,,23.77
"2025-11-16 01:00:00",27.98,,24.82
"2025-11-17 01:00:00",27.98,,25.87
"2025-11-18 01:00:00",27.98,,26.93
"2025-11-19 01:00:00",27.98,,27.98
"2025-11-20 01:00:00",27.98,,27.75
"2025-11-21 01:00:00",27.98,,27.52
"2025-11-22 01:00:00",27.98,,27.29
"2025-11-23 01:00:00",26.38,,27.07
"2025-11-24 01:00:00",26.38,,26.84
"2025-11-25 01:00:00",26.38,,26.61
"2025-11-26 01:00:00",26.38,,26.38
