"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",14.62,27.630037159786113,24.13
"2025-04-09 02:00:00",20.83,,27.26
"2025-04-10 02:00:00",44.81,,29.8
"2025-04-11 02:00:00",44.81,,25.5
"2025-04-12 02:00:00",24.07,,28.95
"2025-04-13 02:00:00",14.67,,30.57
"2025-04-14 02:00:00",14.67,,29.21
"2025-04-15 02:00:00",38.82,,26.1
"2025-04-16 02:00:00",32.13,,26.79
"2025-04-17 02:00:00",35.33,,28.1
"2025-04-18 02:00:00",23.03,,33.06
"2025-04-19 02:00:00",28.86,,32.28
"2025-04-20 02:00:00",23.89,,30.85
"2025-04-21 02:00:00",49.33,,28.05
"2025-04-22 02:00:00",33.4,,27.21
"2025-04-23 02:00:00",22.11,,26.05
"2025-04-24 02:00:00",15.71,,29.68
"2025-04-25 02:00:00",17.2,,25.1
"2025-04-26 02:00:00",20.72,,24.35
"2025-04-27 02:00:00",49.31,,24.3
"2025-04-28 02:00:00",17.28,,24.75
"2025-04-29 02:00:00",28.09,,26.91
"2025-04-30 02:00:00",21.82,,29.84
"2025-05-01 02:00:00",18.85,,30.92
"2025-05-02 02:00:00",32.27,,33.19
"2025-05-03 02:00:00",41.27,,34.24
"2025-05-04 02:00:00",56.85,,34.31
"2025-05-05 02:00:00",33.15,,34.8
"2025-05-06 02:00:00",35.48,,32.7
"2025-05-07 02:00:00",22.31,,29.35
"2025-05-08 02:00:00",22.25,,25.22
"2025-05-09 02:00:00",17.61,,24.36
"2025-05-10 02:00:00",17.83,,23.18
"2025-05-11 02:00:00",27.88,,26.69
"2025-05-12 02:00:00",27.14,,26.2
"2025-05-13 02:00:00",27.25,,26.12
"2025-05-14 02:00:00",46.84,,29.35
"2025-05-15 02:00:00",18.88,,31.63
"2025-05-16 02:00:00",16.99,,35.03
"2025-05-17 02:00:00",40.49,,37.56
"2025-05-18 02:00:00",43.83,,35.73
"2025-05-19 02:00:00",50.93,,36.95
"2025-05-20 02:00:00",44.97,,37.38
"2025-05-21 02:00:00",34.01,,35.71
"2025-05-22 02:00:00",27.45,,37.41
"2025-05-23 02:00:00",19.95,,35.05
"2025-05-24 02:00:00",28.85,,31.79
"2025-05-25 02:00:00",55.7,,29.64
"2025-05-26 02:00:00",34.4,,30.02
"2025-05-27 02:00:00",22.14,,31.19
"2025-05-28 02:00:00",19.01,,31.57
"2025-05-29 02:00:00",30.12,,26.1
"2025-05-30 02:00:00",28.12,,23.37
"2025-05-31 02:00:00",31.51,,24.59
"2025-06-01 02:00:00",17.42,,27.16
"2025-06-02 02:00:00",15.3,,27.88
"2025-06-03 02:00:00",30.66,,28.85
"2025-06-04 02:00:00",36.99,,28.39
"2025-06-05 02:00:00",35.14,,30.5
"2025-06-06 02:00:00",34.91,,30.58
"2025-06-07 02:00:00",28.28,,29.34
"2025-06-08 02:00:00",32.25,,27.89
"2025-06-09 02:00:00",15.83,,27.38
"2025-06-10 02:00:00",21.97,,28.21
"2025-06-11 02:00:00",26.86,,27.33
"2025-06-12 02:00:00",31.55,,25.92
"2025-06-13 02:00:00",40.73,,27.37
"2025-06-14 02:00:00",22.13,,28.71
"2025-06-15 02:00:00",22.38,,30.48
"2025-06-16 02:00:00",26,,27.96
"2025-06-17 02:00:00",31.3,,24.3
"2025-06-18 02:00:00",39.29,,23.93
"2025-06-19 02:00:00",13.9,,23.67
"2025-06-20 02:00:00",15.08,,23.68
"2025-06-21 02:00:00",19.56,,22.74
"2025-06-22 02:00:00",20.55,,20.88
"2025-06-23 02:00:00",26.07,,22.29
"2025-06-24 02:00:00",24.76,,22.63
"2025-06-25 02:00:00",26.27,,21.47
"2025-06-26 02:00:00",23.74,,20.55
"2025-06-27 02:00:00",17.44,,18.47
"2025-06-28 02:00:00",11.44,,16.6
"2025-06-29 02:00:00",14.16,,14.93
"2025-06-30 02:00:00",11.46,,13.14
"2025-07-01 02:00:00",11.68,,13.92
"2025-07-02 02:00:00",14.6,,18.4
"2025-07-03 02:00:00",11.2,,22.26
"2025-07-04 02:00:00",22.91,,25.61
"2025-07-05 02:00:00",42.78,,29.28
"2025-07-06 02:00:00",41.18,,31
"2025-07-07 02:00:00",34.91,,31.59
"2025-07-08 02:00:00",37.36,,33.66
"2025-07-09 02:00:00",26.66,,28.21
"2025-07-10 02:00:00",15.36,,22.2
"2025-07-11 02:00:00",0,,16.9
"2025-07-12 02:00:00",15.32,,15.58
"2025-07-13 02:00:00",10.42,,12.83
"2025-07-14 02:00:00",13.2,,13.56
"2025-07-15 02:00:00",12.81,,16.15
"2025-07-16 02:00:00",12.29,,18.42
"2025-07-17 02:00:00",17.69,,18.97
"2025-07-18 02:00:00",31.35,,20.42
"2025-07-19 02:00:00",31.16,,21.93
"2025-07-20 02:00:00",14.31,,22.13
"2025-07-21 02:00:00",23.35,,21.48
"2025-07-22 02:00:00",23.38,,18.43
"2025-07-23 02:00:00",13.66,,15.21
"2025-07-24 02:00:00",13.15,,16.7
"2025-07-25 02:00:00",10.01,,14.83
"2025-07-26 02:00:00",8.59,,12.85
"2025-07-27 02:00:00",24.78,,12.95
"2025-07-28 02:00:00",10.25,,14.72
"2025-07-29 02:00:00",9.49,,16.09
"2025-07-30 02:00:00",14.36,,17.02
"2025-07-31 02:00:00",25.59,,15.27
"2025-08-01 02:00:00",19.58,,15.75
"2025-08-02 02:00:00",15.06,,17.69
"2025-08-03 02:00:00",12.57,,20.49
"2025-08-04 02:00:00",13.63,,20.75
"2025-08-05 02:00:00",23.02,,20.74
"2025-08-06 02:00:00",33.97,,22
"2025-08-07 02:00:00",27.45,,22.26
"2025-08-08 02:00:00",19.46,,25.93
"2025-08-09 02:00:00",23.88,,27.45
"2025-08-10 02:00:00",14.38,,26.17
"2025-08-11 02:00:00",39.33,,25.24
"2025-08-12 02:00:00",33.66,,25.4
"2025-08-13 02:00:00",25.05,,24.8
"2025-08-14 02:00:00",20.91,,24.6
"2025-08-15 02:00:00",20.56,,20.96
"2025-08-16 02:00:00",19.7,,18.04
"2025-08-17 02:00:00",13,,18.05
"2025-08-18 02:00:00",13.87,,21.7
"2025-08-19 02:00:00",13.19,,22.59
"2025-08-20 02:00:00",25.13,,21.79
"2025-08-21 02:00:00",46.46,,22.71
"2025-08-22 02:00:00",26.75,,24.24
"2025-08-23 02:00:00",14.11,,29.96
"2025-08-24 02:00:00",19.48,,29.79
"2025-08-25 02:00:00",24.58,,25.43
"2025-08-26 02:00:00",53.22,,23.73
"2025-08-27 02:00:00",23.93,,23.81
"2025-08-28 02:00:00",15.96,,23.35
"2025-08-29 02:00:00",14.86,,22.78
"2025-08-30 02:00:00",14.63,,17.96
"2025-08-31 02:00:00",16.29,,17.23
"2025-09-01 02:00:00",20.55,,18.18
"2025-09-02 02:00:00",19.5,,21.74
"2025-09-03 02:00:00",18.8,,27.34
"2025-09-04 02:00:00",22.61,,29.99
"2025-09-05 02:00:00",39.82,,29.47
"2025-09-06 02:00:00",53.84,,30.58
"2025-09-07 02:00:00",34.79,,32.29
"2025-09-08 02:00:00",16.93,,34.95
"2025-09-09 02:00:00",27.28,,32.44
"2025-09-10 02:00:00",30.76,,26.95
"2025-09-11 02:00:00",41.26,,25.69
"2025-09-12 02:00:00",22.21,,26.32
"2025-09-13 02:00:00",15.41,,25.07
"2025-09-14 02:00:00",26,,23.82
"2025-09-15 02:00:00",21.35,,20.97
"2025-09-16 02:00:00",18.5,,22.4
"2025-09-17 02:00:00",21.99,,29.43
"2025-09-18 02:00:00",0,,29.8
"2025-09-19 02:00:00",35.06,,37.93
"2025-09-20 02:00:00",61.15,,42.48
"2025-09-21 02:00:00",50.52,,40.78
"2025-09-22 02:00:00",43.24,,36.04
"2025-09-23 02:00:00",24.25,,33.68
"2025-09-24 02:00:00",20.69,,27.21
"2025-09-25 02:00:00",17.38,,24.36
"2025-09-26 02:00:00",18.55,,23.98
"2025-09-27 02:00:00",15.86,,26.07
"2025-09-28 02:00:00",30.55,,25.24
"2025-09-29 02:00:00",40.59,,25.69
"2025-09-30 02:00:00",38.86,,26.25
"2025-10-01 02:00:00",14.86,,26.29
"2025-10-02 02:00:00",20.53,,26.03
"2025-10-03 02:00:00",22.52,,24.24
"2025-10-04 02:00:00",16.13,,22.98
"2025-10-05 02:00:00",28.71,,24.48
"2025-10-06 02:00:00",28.1,,24.06
"2025-10-07 02:00:00",30.04,,22.58
"2025-10-08 02:00:00",25.32,,22.61
"2025-10-09 02:00:00",17.57,,20.52
"2025-10-10 02:00:00",12.2,,20.22
"2025-10-11 02:00:00",16.34,,20.68
"2025-10-12 02:00:00",14.07,,21.52
"2025-10-13 02:00:00",25.99,,22.78
"2025-10-14 02:00:00",33.26,,24.51
"2025-10-15 02:00:00",31.2,,25.77
"2025-10-16 02:00:00",26.37,,27.61
"2025-10-17 02:00:00",24.32,,26.63
"2025-10-18 02:00:00",25.16,,24.82
"2025-10-19 02:00:00",26.94,,23.07
"2025-10-20 02:00:00",19.13,,21.13
"2025-10-21 02:00:00",20.59,,19.29
"2025-10-22 02:00:00",18.97,,20.06
"2025-10-23 02:00:00",12.8,,22
"2025-10-24 02:00:00",11.46,,22.97
"2025-10-25 02:00:00",30.51,,22.68
"2025-10-26 02:00:00",40.54,,21.8
"2025-10-27 01:00:00",25.92,,21.78
"2025-10-28 01:00:00",18.55,,22.27
"2025-10-29 01:00:00",12.82,,21.22
"2025-10-30 01:00:00",12.64,,20.04
"2025-10-31 01:00:00",14.93,,20.62
"2025-11-01 01:00:00",23.15,,21.27
"2025-11-02 01:00:00",32.25,,22.85
"2025-11-03 01:00:00",30,,23.11
"2025-11-04 01:00:00",23.12,,23.82
"2025-11-05 01:00:00",23.87,,25.67
"2025-11-06 01:00:00",14.47,,23.65
"2025-11-07 01:00:00",19.91,,21.26
"2025-11-08 01:00:00",36.1,,19.59
"2025-11-09 01:00:00",18.1,,18.36
"2025-11-10 01:00:00",13.25,,20.56
"2025-11-11 01:00:00",11.41,,22.08
"2025-11-12 01:00:00",15.25,,20.7
"2025-11-13 01:00:00",29.87,,23.32
"2025-11-14 01:00:00",30.6,,25.41
"2025-11-15 01:00:00",26.45,,27.99
"2025-11-16 01:00:00",36.44,,29.82
"2025-11-17 01:00:00",27.85,,29.18
"2025-11-18 01:00:00",29.47,,27.83
"2025-11-19 01:00:00",28.04,,26.14
"2025-11-20 01:00:00",25.39,,23.77
"2025-11-21 01:00:00",21.16,,21.68
"2025-11-22 01:00:00",14.61,,19.4
"2025-11-23 01:00:00",19.85,,16.98
"2025-11-24 01:00:00",13.22,,15.33
"2025-11-25 01:00:00",13.5,,18.02
"2025-11-26 01:00:00",11.1,,17.86
"2025-11-27 01:00:00",13.85,,16.46
"2025-11-28 01:00:00",40,,16.12
"2025-11-29 01:00:00",13.49,,16.15
"2025-11-30 01:00:00",10.05,,17.77
"2025-12-01 01:00:00",10.82,,19.32
"2025-12-02 01:00:00",13.74,,17.19
"2025-12-03 01:00:00",22.45,,18.96
"2025-12-04 01:00:00",24.72,,23.95
"2025-12-05 01:00:00",25.09,,27.5
"2025-12-06 01:00:00",25.86,,29.82
"2025-12-07 01:00:00",45,,30.37
"2025-12-08 01:00:00",35.64,,30.03
"2025-12-09 01:00:00",30,,28.86
"2025-12-10 01:00:00",26.25,,29.2
"2025-12-11 01:00:00",22.4,,26.89
"2025-12-12 01:00:00",16.9,,25.1
"2025-12-13 01:00:00",28.24,,23.68
"2025-12-14 01:00:00",28.77,,22.48
"2025-12-15 01:00:00",23.13,,22.2
"2025-12-16 01:00:00",20.09,,23.02
"2025-12-17 01:00:00",17.82,,28.7
"2025-12-18 01:00:00",20.43,,26.7
"2025-12-19 01:00:00",22.63,,25.72
"2025-12-20 01:00:00",68.02,,28.04
"2025-12-21 01:00:00",14.76,,30.38
"2025-12-22 01:00:00",16.27,,32.19
"2025-12-23 01:00:00",36.37,,33.91
"2025-12-24 01:00:00",34.2,,27.82
"2025-12-25 01:00:00",33.11,,28.76
"2025-12-26 01:00:00",34.64,,39.41
"2025-12-27 01:00:00",25.4,,37.03
"2025-12-28 01:00:00",21.35,,35
"2025-12-29 01:00:00",90.77,,33.55
"2025-12-30 01:00:00",19.77,,31.42
"2025-12-31 01:00:00",19.97,,30.54
"2026-01-01 01:00:00",22.93,,31.53
"2026-01-02 01:00:00",19.77,,23.53
"2026-01-03 01:00:00",19.21,,26.75
"2026-01-04 01:00:00",28.31,,31.29
"2026-01-05 01:00:00",34.74,,33.04
"2026-01-06 01:00:00",42.35,,32.93
"2026-01-07 01:00:00",51.72,,32.86
"2026-01-08 01:00:00",35.16,,31.46
"2026-01-09 01:00:00",19.05,,28.43
"2026-01-10 01:00:00",18.71,,24.96
"2026-01-11 01:00:00",18.49,,21.74
"2026-01-12 01:00:00",13.54,,21.52
"2026-01-13 01:00:00",18.08,,23.37
"2026-01-14 01:00:00",29.14,,25.09
"2026-01-15 01:00:00",33.63,,24.41
"2026-01-16 01:00:00",32.03,,24.67
"2026-01-17 01:00:00",30.69,,24.39
"2026-01-18 01:00:00",13.73,,24.38
"2026-01-19 01:00:00",15.36,,25.33
"2026-01-20 01:00:00",16.14,,23.99
"2026-01-21 01:00:00",29.11,,23.48
"2026-01-22 01:00:00",40.27,,25.29
"2026-01-23 01:00:00",22.63,,25.59
"2026-01-24 01:00:00",27.1,,25.29
"2026-01-25 01:00:00",26.44,,23.66
"2026-01-26 01:00:00",17.43,,21.25
"2026-01-27 01:00:00",14.03,,21.71
