"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",50.93,78.022339045414,56.8
"2025-04-09 02:00:00",38.16,,54.54
"2025-04-10 02:00:00",87.05,,63.24
"2025-04-11 02:00:00",68.66,,57.97
"2025-04-12 02:00:00",60.69,,66.07
"2025-04-13 02:00:00",50.16,,76.84
"2025-04-14 02:00:00",50.16,,81.66
"2025-04-15 02:00:00",107.6,,87.09
"2025-04-16 02:00:00",113.56,,94.57
"2025-04-17 02:00:00",120.82,,96.61
"2025-04-18 02:00:00",106.67,,101.18
"2025-04-19 02:00:00",113.04,,104.94
"2025-04-20 02:00:00",64.44,,111.72
"2025-04-21 02:00:00",82.16,,116.34
"2025-04-22 02:00:00",133.92,,116.74
"2025-04-23 02:00:00",160.96,,109.86
"2025-04-24 02:00:00",153.22,,115.09
"2025-04-25 02:00:00",109.41,,116.02
"2025-04-26 02:00:00",64.88,,109.35
"2025-04-27 02:00:00",101.1,,96
"2025-04-28 02:00:00",88.65,,82.63
"2025-04-29 02:00:00",87.26,,74.04
"2025-04-30 02:00:00",67.51,,70.43
"2025-05-01 02:00:00",59.6,,61.77
"2025-05-02 02:00:00",49.31,,62.05
"2025-05-03 02:00:00",39.58,,61.1
"2025-05-04 02:00:00",40.48,,64.24
"2025-05-05 02:00:00",90.63,,68.44
"2025-05-06 02:00:00",80.56,,71.87
"2025-05-07 02:00:00",89.49,,76.86
"2025-05-08 02:00:00",89.06,,84.92
"2025-05-09 02:00:00",73.27,,84.48
"2025-05-10 02:00:00",74.51,,81.92
"2025-05-11 02:00:00",96.9,,82.98
"2025-05-12 02:00:00",87.56,,76.4
"2025-05-13 02:00:00",62.66,,74.88
"2025-05-14 02:00:00",96.9,,75.29
"2025-05-15 02:00:00",43,,68.76
"2025-05-16 02:00:00",62.66,,63.45
"2025-05-17 02:00:00",77.32,,66.23
"2025-05-18 02:00:00",51.22,,64.9
"2025-05-19 02:00:00",50.36,,78.4
"2025-05-20 02:00:00",82.15,,78.63
"2025-05-21 02:00:00",87.62,,74.14
"2025-05-22 02:00:00",137.46,,74.77
"2025-05-23 02:00:00",64.31,,75.89
"2025-05-24 02:00:00",45.87,,71.62
"2025-05-25 02:00:00",55.65,,77.51
"2025-05-26 02:00:00",58.14,,74.62
"2025-05-27 02:00:00",52.29,,71.98
"2025-05-28 02:00:00",128.86,,71.86
"2025-05-29 02:00:00",117.22,,72.58
"2025-05-30 02:00:00",45.82,,77.53
"2025-05-31 02:00:00",45.03,,81.7
"2025-06-01 02:00:00",60.67,,72.83
"2025-06-02 02:00:00",92.83,,66.08
"2025-06-03 02:00:00",81.44,,69.45
"2025-06-04 02:00:00",66.77,,68.57
"2025-06-05 02:00:00",69.99,,66.22
"2025-06-06 02:00:00",69.39,,58.47
"2025-06-07 02:00:00",38.91,,52.23
"2025-06-08 02:00:00",44.21,,48.17
"2025-06-09 02:00:00",38.58,,53.61
"2025-06-10 02:00:00",37.74,,56.88
"2025-06-11 02:00:00",38.37,,66.29
"2025-06-12 02:00:00",108.04,,69.65
"2025-06-13 02:00:00",92.28,,73.68
"2025-06-14 02:00:00",104.78,,78.27
"2025-06-15 02:00:00",67.76,,83.75
"2025-06-16 02:00:00",66.77,,78.52
"2025-06-17 02:00:00",69.91,,72.26
"2025-06-18 02:00:00",76.72,,62
"2025-06-19 02:00:00",71.44,,56.36
"2025-06-20 02:00:00",48.47,,56.85
"2025-06-21 02:00:00",32.93,,56.89
"2025-06-22 02:00:00",28.31,,55.95
"2025-06-23 02:00:00",70.17,,55.77
"2025-06-24 02:00:00",70.17,,58.87
"2025-06-25 02:00:00",70.17,,64.19
"2025-06-26 02:00:00",70.17,,69.15
"2025-06-27 02:00:00",70.17,,68.12
"2025-06-28 02:00:00",70.17,,67.1
"2025-06-29 02:00:00",63.01,,66.08
"2025-06-30 02:00:00",63.01,,65.06
"2025-07-01 02:00:00",63.01,,64.03
"2025-07-02 02:00:00",63.01,,63.01
"2025-07-03 02:00:00",63.01,,63.19
"2025-07-04 02:00:00",63.01,,63.37
"2025-07-05 02:00:00",63.01,,63.55
"2025-07-06 02:00:00",64.27,,63.73
