"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",28.26,18.509291676435023,23.45
"2025-04-09 02:00:00",20.23,,19.52
"2025-04-10 02:00:00",15.44,,17.24
"2025-04-11 02:00:00",15.44,,16.33
"2025-04-12 02:00:00",16.83,,13.5
"2025-04-13 02:00:00",9.05,,11.67
"2025-04-14 02:00:00",9.05,,10.39
"2025-04-15 02:00:00",8.43,,9.37
"2025-04-16 02:00:00",7.45,,10.39
"2025-04-17 02:00:00",6.47,,11.33
"2025-04-18 02:00:00",8.34,,11.61
"2025-04-19 02:00:00",23.95,,11.33
"2025-04-20 02:00:00",15.59,,11.14
"2025-04-21 02:00:00",11.03,,10.97
"2025-04-22 02:00:00",6.51,,10.97
"2025-04-23 02:00:00",6.09,,9.09
"2025-04-24 02:00:00",5.29,,8.8
"2025-04-25 02:00:00",8.35,,9.55
"2025-04-26 02:00:00",10.77,,10.04
"2025-04-27 02:00:00",13.54,,11.19
"2025-04-28 02:00:00",16.27,,13.61
"2025-04-29 02:00:00",9.98,,16.26
"2025-04-30 02:00:00",14.11,,17.4
"2025-05-01 02:00:00",22.27,,17.97
"2025-05-02 02:00:00",26.88,,17.63
"2025-05-03 02:00:00",18.77,,21.21
"2025-05-04 02:00:00",17.49,,23.95
"2025-05-05 02:00:00",13.89,,24.91
"2025-05-06 02:00:00",35.06,,24.42
"2025-05-07 02:00:00",33.28,,25.2
"2025-05-08 02:00:00",28.98,,25.5
"2025-05-09 02:00:00",23.44,,25.69
"2025-05-10 02:00:00",24.23,,22.14
"2025-05-11 02:00:00",19.63,,18.68
"2025-05-12 02:00:00",15.24,,15.68
"2025-05-13 02:00:00",10.16,,13.24
"2025-05-14 02:00:00",9.1,,10.78
"2025-05-15 02:00:00",7.99,,8.94
"2025-05-16 02:00:00",6.33,,10.91
"2025-05-17 02:00:00",7.02,,10.66
"2025-05-18 02:00:00",6.72,,10.33
"2025-05-19 02:00:00",29.06,,10.4
"2025-05-20 02:00:00",8.37,,10.73
"2025-05-21 02:00:00",6.81,,10.92
"2025-05-22 02:00:00",8.49,,12.67
"2025-05-23 02:00:00",8.64,,10.25
"2025-05-24 02:00:00",8.32,,11.22
"2025-05-25 02:00:00",19.03,,12.35
"2025-05-26 02:00:00",12.1,,13.53
"2025-05-27 02:00:00",15.16,,16.38
"2025-05-28 02:00:00",14.69,,20.48
"2025-05-29 02:00:00",16.8,,21.34
"2025-05-30 02:00:00",28.55,,24.05
"2025-05-31 02:00:00",37.01,,26.36
"2025-06-01 02:00:00",25.05,,28.14
"2025-06-02 02:00:00",31.07,,29.24
"2025-06-03 02:00:00",31.33,,28.67
"2025-06-04 02:00:00",27.17,,25.3
"2025-06-05 02:00:00",24.52,,22.8
"2025-06-06 02:00:00",24.52,,19.79
"2025-06-07 02:00:00",13.45,,16.11
"2025-06-08 02:00:00",7.55,,13.37
"2025-06-09 02:00:00",9.98,,10.76
"2025-06-10 02:00:00",5.58,,8.54
"2025-06-11 02:00:00",8.01,,9.13
"2025-06-12 02:00:00",6.2,,9.53
"2025-06-13 02:00:00",9,,9.76
"2025-06-14 02:00:00",17.59,,10.34
