"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",88.04,84.42984105295098,73.23
"2025-04-09 02:00:00",63.47,,61.47
"2025-04-10 02:00:00",48.49,,58.65
"2025-04-11 02:00:00",48.49,,60.11
"2025-04-12 02:00:00",54.85,,67.83
"2025-04-13 02:00:00",58.7,,72.7
"2025-04-14 02:00:00",58.7,,73.19
"2025-04-15 02:00:00",142.12,,72.51
"2025-04-16 02:00:00",97.55,,71.72
"2025-04-17 02:00:00",51.89,,69.88
"2025-04-18 02:00:00",43.78,,67.17
"2025-04-19 02:00:00",49.27,,57.57
"2025-04-20 02:00:00",45.85,,55.85
"2025-04-21 02:00:00",39.72,,60.09
"2025-04-22 02:00:00",74.9,,67.46
"2025-04-23 02:00:00",85.55,,74
"2025-04-24 02:00:00",81.59,,82.86
"2025-04-25 02:00:00",95.35,,99.51
"2025-04-26 02:00:00",95.04,,99.87
"2025-04-27 02:00:00",107.9,,97.36
"2025-04-28 02:00:00",156.21,,94.11
"2025-04-29 02:00:00",77.46,,90.5
"2025-04-30 02:00:00",67.98,,84.29
"2025-05-01 02:00:00",58.81,,76.67
"2025-05-02 02:00:00",70.13,,62.46
"2025-05-03 02:00:00",51.51,,61
"2025-05-04 02:00:00",54.61,,65.99
"2025-05-05 02:00:00",56.74,,74.62
"2025-05-06 02:00:00",67.2,,79.62
"2025-05-07 02:00:00",102.92,,94
"2025-05-08 02:00:00",119.25,,106.12
"2025-05-09 02:00:00",105.1,,115.36
"2025-05-10 02:00:00",152.19,,116.75
"2025-05-11 02:00:00",139.42,,111.6
"2025-05-12 02:00:00",121.42,,102.17
"2025-05-13 02:00:00",76.95,,93.73
"2025-05-14 02:00:00",66.84,,78.86
"2025-05-15 02:00:00",53.24,,65.85
"2025-05-16 02:00:00",46.02,,55.87
"2025-05-17 02:00:00",48.11,,63.52
"2025-05-18 02:00:00",48.37,,67.08
"2025-05-19 02:00:00",51.54,,72.18
"2025-05-20 02:00:00",130.55,,76.28
"2025-05-21 02:00:00",91.75,,81.43
"2025-05-22 02:00:00",88.92,,95.12
"2025-05-23 02:00:00",74.71,,99.44
"2025-05-24 02:00:00",84.16,,89.06
"2025-05-25 02:00:00",144.21,,83.14
"2025-05-26 02:00:00",81.79,,77.54
"2025-05-27 02:00:00",57.85,,72.8
"2025-05-28 02:00:00",50.32,,66.86
"2025-05-29 02:00:00",49.74,,53.17
"2025-05-30 02:00:00",41.54,,52.23
"2025-05-31 02:00:00",42.56,,64.83
"2025-06-01 02:00:00",48.38,,67
"2025-06-02 02:00:00",75.21,,67.99
"2025-06-03 02:00:00",146.09,,70.16
"2025-06-04 02:00:00",65.49,,73.86
"2025-06-05 02:00:00",56.69,,77.87
"2025-06-06 02:00:00",56.69,,78.78
"2025-06-07 02:00:00",68.44,,77.4
"2025-06-08 02:00:00",76.48,,96.05
"2025-06-09 02:00:00",81.59,,114.96
"2025-06-10 02:00:00",136.39,,129.06
"2025-06-11 02:00:00",196.09,,147.3
"2025-06-12 02:00:00",189.03,,149.6
"2025-06-13 02:00:00",155.42,,143.55
"2025-06-14 02:00:00",0,,114.18
"2025-06-15 02:00:00",99.66,,128.97
"2025-06-16 02:00:00",72.86,,108.47
"2025-06-17 02:00:00",86.22,,97.38
"2025-06-18 02:00:00",199.97,,93.57
"2025-06-19 02:00:00",72.28,,90.27
"2025-06-20 02:00:00",64.47,,88.37
"2025-06-21 02:00:00",59.53,,88.06
"2025-06-22 02:00:00",76.58,,73.03
"2025-06-23 02:00:00",59.55,,80.77
"2025-06-24 02:00:00",84.03,,92.72
"2025-06-25 02:00:00",94.8,,102.43
"2025-06-26 02:00:00",126.43,,106.15
"2025-06-27 02:00:00",148.14,,114.19
"2025-06-28 02:00:00",127.47,,124.15
"2025-06-29 02:00:00",102.61,,132.91
"2025-06-30 02:00:00",115.86,,128.26
"2025-07-01 02:00:00",153.72,,117.64
"2025-07-02 02:00:00",156.17,,108.29
"2025-07-03 02:00:00",93.82,,118.31
"2025-07-04 02:00:00",73.82,,112.3
"2025-07-05 02:00:00",62,,105.02
"2025-07-06 02:00:00",172.75,,108.69
"2025-07-07 02:00:00",0,,78.01
"2025-07-08 02:00:00",114.58,,91.04
"2025-07-09 02:00:00",71.12,,83.02
"2025-07-10 02:00:00",51.81,,60.46
"2025-07-11 02:00:00",50.44,,60.99
"2025-07-12 02:00:00",49.31,,57.22
"2025-07-13 02:00:00",34.15,,55.24
"2025-07-14 02:00:00",55.49,,53.98
"2025-07-15 02:00:00",88.23,,50.98
"2025-07-16 02:00:00",57.22,,48.86
"2025-07-17 02:00:00",42.99,,49.68
"2025-07-18 02:00:00",29.48,,47.87
"2025-07-19 02:00:00",34.43,,40.19
"2025-07-20 02:00:00",39.9,,44.92
"2025-07-21 02:00:00",42.87,,51.67
"2025-07-22 02:00:00",0,,54.34
"2025-07-23 02:00:00",84.85,,75.98
"2025-07-24 02:00:00",87.31,,79.15
"2025-07-25 02:00:00",90.99,,84.43
"2025-07-26 02:00:00",101.08,,81.18
"2025-07-27 02:00:00",59.63,,75.58
"2025-07-28 02:00:00",76.17,,68.75
"2025-07-29 02:00:00",68.2,,60.02
"2025-07-30 02:00:00",45.69,,49.57
"2025-07-31 02:00:00",39.5,,46.87
"2025-08-01 02:00:00",29.87,,40.8
"2025-08-02 02:00:00",27.94,,36.57
"2025-08-03 02:00:00",40.71,,40.48
"2025-08-04 02:00:00",33.69,,42.94
"2025-08-05 02:00:00",38.59,,47.88
"2025-08-06 02:00:00",73.06,,57.57
"2025-08-07 02:00:00",56.75,,61.43
"2025-08-08 02:00:00",64.42,,68.35
"2025-08-09 02:00:00",95.78,,71.53
"2025-08-10 02:00:00",67.69,,65.38
"2025-08-11 02:00:00",82.19,,61.08
"2025-08-12 02:00:00",60.8,,56.59
"2025-08-13 02:00:00",30,,46.71
"2025-08-14 02:00:00",26.68,,41.19
"2025-08-15 02:00:00",33.01,,33.8
"2025-08-16 02:00:00",26.63,,32.36
"2025-08-17 02:00:00",29,,36.42
"2025-08-18 02:00:00",30.45,,43.09
"2025-08-19 02:00:00",50.78,,48.48
"2025-08-20 02:00:00",58.41,,53.14
"2025-08-21 02:00:00",73.35,,57.77
"2025-08-22 02:00:00",70.75,,63.27
"2025-08-23 02:00:00",59.26,,65.79
"2025-08-24 02:00:00",61.36,,63.44
"2025-08-25 02:00:00",68.96,,56.55
"2025-08-26 02:00:00",68.41,,50.08
"2025-08-27 02:00:00",42.01,,46.14
"2025-08-28 02:00:00",25.12,,41.88
"2025-08-29 02:00:00",25.44,,36.73
"2025-08-30 02:00:00",31.7,,32.27
"2025-08-31 02:00:00",31.49,,30.8
"2025-09-01 02:00:00",32.95,,31.84
"2025-09-02 02:00:00",37.18,,36.65
"2025-09-03 02:00:00",31.73,,51.71
"2025-09-04 02:00:00",32.36,,54.31
"2025-09-05 02:00:00",59.15,,60.5
"2025-09-06 02:00:00",137.14,,62.62
"2025-09-07 02:00:00",49.68,,63.76
"2025-09-08 02:00:00",76.27,,63.99
"2025-09-09 02:00:00",51.99,,59.61
"2025-09-10 02:00:00",39.73,,43.71
"2025-09-11 02:00:00",33.96,,43.21
"2025-09-12 02:00:00",28.47,,36.09
"2025-09-13 02:00:00",25.89,,33
"2025-09-14 02:00:00",46.18,,32.98
"2025-09-15 02:00:00",26.42,,33.42
"2025-09-16 02:00:00",30.35,,38.84
"2025-09-17 02:00:00",39.56,,45.29
"2025-09-18 02:00:00",37.05,,43.86
"2025-09-19 02:00:00",66.46,,50.44
