"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",9.22,15.056253833074624,9.55
"2025-04-09 02:00:00",12.69,,12.98
"2025-04-10 02:00:00",8.64,,11.84
"2025-04-11 02:00:00",8.64,,11.85
"2025-04-12 02:00:00",26.32,,11.88
"2025-04-13 02:00:00",8.71,,12.33
"2025-04-14 02:00:00",8.71,,12.91
"2025-04-15 02:00:00",9.45,,16.14
"2025-04-16 02:00:00",15.86,,14.29
"2025-04-17 02:00:00",12.7,,14.49
"2025-04-18 02:00:00",31.25,,16.68
"2025-04-19 02:00:00",13.32,,19.05
"2025-04-20 02:00:00",10.15,,19.64
"2025-04-21 02:00:00",24,,19.84
"2025-04-22 02:00:00",26.06,,17.69
"2025-04-23 02:00:00",20.02,,18.14
"2025-04-24 02:00:00",14.06,,18.41
"2025-04-25 02:00:00",16.23,,16.63
"2025-04-26 02:00:00",16.48,,14.17
"2025-04-27 02:00:00",12.04,,12.26
"2025-04-28 02:00:00",11.52,,11.11
"2025-04-29 02:00:00",8.86,,9.58
"2025-04-30 02:00:00",6.66,,7.86
"2025-05-01 02:00:00",5.95,,6.9
"2025-05-02 02:00:00",5.56,,6.31
"2025-05-03 02:00:00",4.4,,6.7
"2025-05-04 02:00:00",5.33,,7.55
"2025-05-05 02:00:00",7.44,,8.32
"2025-05-06 02:00:00",11.57,,9.02
"2025-05-07 02:00:00",12.57,,10.14
"2025-05-08 02:00:00",11.36,,10.42
"2025-05-09 02:00:00",10.46,,13.24
"2025-05-10 02:00:00",12.27,,14.23
"2025-05-11 02:00:00",7.29,,13.49
"2025-05-12 02:00:00",27.19,,13
"2025-05-13 02:00:00",18.5,,12.69
"2025-05-14 02:00:00",7.38,,12.43
"2025-05-15 02:00:00",7.91,,12.85
"2025-05-16 02:00:00",8.3,,10.15
"2025-05-17 02:00:00",10.44,,10.27
"2025-05-18 02:00:00",10.25,,11.31
"2025-05-19 02:00:00",0,,10.71
"2025-05-20 02:00:00",17.15,,15.72
"2025-05-21 02:00:00",14.88,,17.84
"2025-05-22 02:00:00",13.95,,18.74
"2025-05-23 02:00:00",26.19,,19.2
"2025-05-24 02:00:00",27.56,,20.07
"2025-05-25 02:00:00",17.48,,20.66
"2025-05-26 02:00:00",17.18,,20.45
"2025-05-27 02:00:00",23.24,,18
"2025-05-28 02:00:00",19.01,,15.29
"2025-05-29 02:00:00",12.5,,14.22
"2025-05-30 02:00:00",9.02,,13.9
"2025-05-31 02:00:00",8.58,,13.73
"2025-06-01 02:00:00",10.02,,14.49
"2025-06-02 02:00:00",14.95,,15.9
"2025-06-03 02:00:00",22,,17.78
"2025-06-04 02:00:00",24.39,,18.57
"2025-06-05 02:00:00",22.34,,19.64
"2025-06-06 02:00:00",22.18,,20.18
"2025-06-07 02:00:00",14.12,,18.47
"2025-06-08 02:00:00",17.52,,16.35
"2025-06-09 02:00:00",18.68,,14.44
"2025-06-10 02:00:00",10.03,,12.45
"2025-06-11 02:00:00",9.6,,14.14
"2025-06-12 02:00:00",8.98,,13.57
"2025-06-13 02:00:00",8.25,,12.73
"2025-06-14 02:00:00",25.94,,13.1
"2025-06-15 02:00:00",13.51,,13.57
"2025-06-16 02:00:00",12.78,,14.26
"2025-06-17 02:00:00",12.65,,14.42
"2025-06-18 02:00:00",12.85,,11.57
"2025-06-19 02:00:00",13.84,,9.64
"2025-06-20 02:00:00",9.34,,10.72
"2025-06-21 02:00:00",6.03,,11.82
"2025-06-22 02:00:00",0,,12.89
"2025-06-23 02:00:00",20.33,,13.81
"2025-06-24 02:00:00",20.33,,15.38
"2025-06-25 02:00:00",20.33,,17.43
"2025-06-26 02:00:00",20.33,,19.22
"2025-06-27 02:00:00",20.33,,18.12
"2025-06-28 02:00:00",20.33,,17.01
"2025-06-29 02:00:00",12.58,,15.9
"2025-06-30 02:00:00",12.58,,14.79
"2025-07-01 02:00:00",12.58,,13.69
"2025-07-02 02:00:00",12.58,,12.58
"2025-07-03 02:00:00",12.58,,12.82
"2025-07-04 02:00:00",12.58,,13.05
"2025-07-05 02:00:00",12.58,,13.29
"2025-07-06 02:00:00",14.23,,13.52
"2025-07-07 02:00:00",14.23,,13.76
"2025-07-08 02:00:00",14.23,,13.99
"2025-07-09 02:00:00",14.23,,14.23
"2025-07-10 02:00:00",14.23,,14.71
"2025-07-11 02:00:00",14.23,,15.18
"2025-07-12 02:00:00",14.23,,15.66
"2025-07-13 02:00:00",17.57,,16.14
"2025-07-14 02:00:00",17.57,,16.62
"2025-07-15 02:00:00",17.57,,17.09
"2025-07-16 02:00:00",17.57,,17.57
"2025-07-17 02:00:00",17.57,,17.68
"2025-07-18 02:00:00",17.57,,17.79
"2025-07-19 02:00:00",17.57,,17.9
"2025-07-20 02:00:00",18.35,,18.02
"2025-07-21 02:00:00",18.35,,18.13
"2025-07-22 02:00:00",18.35,,18.24
