asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B00DIWHUWI,,,amazon.de,,,Viel Geld ausgegeben für NULL Wirkung  :-(,"An alle Leidensgenossen,ich benutze dieses Mittel nun seit 5 Monaten. Insegesamt habe ich fast 5 Flaschen verbraucht.Ich habe es morgens und abends auf die entsprechenden Stellen aufgetragen.Es hat bisher keinerlei Verbesserung mit sich gebracht.  Nicht einmal ansatzweise !!!!!!!Genauso hätte ich mir  auch jeden Tag Wasser auf die Nägel pinseln können.In der Anwendung bin ich übrigens peinlichst genau. (daran kann es also nicht gescheitert sein)Zur Info: ich habe noch nicht einmal besonders starken Nagelpilz. Es sind 2 Nägel betroffen (jeweils ca 10 % des  Nagels sind betroffen).Selbst bei diesem minimalen Befall überhaupt keine Wirkung.Dieses Mittel ist somit nicht nur völlig überteuert, sondern auch noch komplett nutzlos.Über 100 Euro auszugeben, ohne minimalste Veränderung zu erzielen, ist für mich schwer zu akzeptieren.Das ausgegebene Geld ist die eine Sache, die verschwendete Zeit ist für mich noch viel ärgerlicher.Ich werde jetzt ein anderes Mittel testen, in der Hoffnung, das nicht alle Hersteller lediglich bei der Werbung gut aufgestellt sind.Merkwürdig, das dieses Zeug hier auch  positive Bewertungen bekommen hat.Na ja, am Ende muss jeder selber wissen, ob er so viel Geld ausgeben möchte und es damit versucht.Meine Empfehlung lautet allerdings: Versucht es lieber mit einem anderen Mittel.",1,Reviewed in Germany on 19 August 2020,Android,True,10,R1T0HUVG7GTOZJ,https://www.amazon.de/gp/customer-reviews/R1T0HUVG7GTOZJ,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Nicht Wirksam,"Ich habe mir schon in den 90er Jahren auf dem Campingplatz einen Nagelpilz eingefangen.(Duschen) Also ab zum Hautarzt. Wurde auch nach mühsamer und langdauernder Behandlung erfolgreich behandelt. Aber immer wieder zwischendurch kam dieses Biest wieder. Na dann in die Apotheke,( mal selber probieren)  ein Produkt gekauft, mit dem Versprechen Hilfreich zu sein. Mit Sandpapier, Creme und großen Pflastern wurde ein Erfolg garantiert. Das ganze ging etwa ein halbes Jahr lang. Ergebnis: Pustekuchen. Es gibt ja noch das Internet. Mal sehen was dort als Hausmittel angeboten wird: Und siehe da .Es gibt eine Lösung. Essig. Und zwar 25% gier Erst war ich skeptisch. Habe es dann ausprobiert. (für kleines Geld).Aber es funktioniert. Gut, es dauert auch seine Zeit, das ist klar.  Man muss Geduld haben. Aber es zeigt Wirkung. Anwendung: Füße in einer Schüssel ca. eine halbe Stunde einweichen trockenreiben dann an der Luft nochmals trocknen. Dann den puren Essig mit einem Tuschpinsel  auftragen. Das Ganze alle zwei Tage wiederholen. Dann den Nagel immer mal wieder  kürzer schneiden  Also: Ich habe keinen Nagelpilz mehr. Essig sei Dank. Sowas braucht man nicht: CICLOPOLI",1,Reviewed in Germany on 26 October 2020,Nobody,True,21,RG7IQ3K5KRIV3,https://www.amazon.de/gp/customer-reviews/RG7IQ3K5KRIV3,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Nie wieder!,nur Abzocke! Ergebnis gleich NULL! Und das zu diesem Horrorpreis!,1,Reviewed in Germany on 24 May 2025,Ralf B.,True,2,R1NKM6L6RJGA4C,https://www.amazon.de/gp/customer-reviews/R1NKM6L6RJGA4C,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Keinerlei Wirkung,"Der Artikel zeigt nach einem Jahr keinerlei Wirkung.Ganz im Gegenteil, die Nägel sind noch viel schlimmer geworden.Das ganze Geld war um sonst ausgegeben!Ich bin total enttäuscht.",1,Reviewed in Germany on 1 April 2025,Brigitte,True,0,R1PYDVS2KHY80A,https://www.amazon.de/gp/customer-reviews/R1PYDVS2KHY80A,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,... ohne Erfolg! Fördert nur den Umsatz des Herstellers,Verbrauche momentan bereits die dritte Flasche ohne jeglichen sichtbaren Erfolg. Da sich der Erfolg angeblich in der Tiefe des Nagels entwickeln soll die zwei Sterne. Die abschließende Beurteilung folgt. Bis jetzt: sichtbarer Erfolg = 0 Bei diesem Lieferant ist die Verpackung extrem ärgerlich. Für ein 7ml Fläschchen ein Karton 33cmx25cmx8cm und zugestopft mit ungewollter Werbung. Ganz ägerlich diese sogenannten Bonuskarten aus Plastik. So nötig wie ein Kropf.Addendum: Ich habe nun die dritte Flasche zu Ende aufgebraucht. Ich sehe zurück auf ein Jahr „Behandlung“. Der Erfolg bei der Bekämpfung des Nagelpilz es ist gleich null. Ich kann nichts positives über dieses Produkt berichten.,1,Reviewed in Germany on 30 August 2020,Hermann Städter,True,0,RBVBY1HBD9GIE,https://www.amazon.de/gp/customer-reviews/RBVBY1HBD9GIE,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Wirkt bei mir nicht,Fast ein Jahr gestestet und das Ergebnis ist genauso wie vor der Behandlung. Außer das es schnell trocknet hat es bei mir keine Vorteile gebracht Bin jetzt auf ein schweizer Produkt umgestiegen hoffe dass das besser wirkt.,1,Reviewed in Germany on 12 September 2024,Nils Bernhard,True,0,RZKMK6H3K7FYT,https://www.amazon.de/gp/customer-reviews/RZKMK6H3K7FYT,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Fünf Zitronen statt ein Stern!,"Hallo!Fünf Zitronen statt ein Stern!Weil ich über Monate ein anderes Mittel (das, mit dem man betroffene Nägel pfeilen muss) vergeblich zum ""Sieg"" über den Nagelpilz am großen Zeh anwandte, lockte mich die Werbung für ""Ciclopoli"" und guten bis sehr guten Bewertungen hier, zum Erwerb von ""Ciclopoli"" 6,6 ml.Mir fiel der Nagel des großen Zeh komplett ab. Darunter befand sich ein neuer Nagel, der normal - also gesund schien. Um allen Eventualitäten vorzubeugen, lackierte ich, vier Wochen lang 2x täglich, den gesunden Nagel.Trotzdem bildete sich der Nagelpilz neu!Für ein Mittel, welches vor Nagelpilz schützen -diesen primär beseitigen soll, bieten sich keine optimalere Voraussetzungen, seine Wirksamkeit unter Beweis zu stellen!Ich kann nur schreiben, das ""Ciclopoli"" zu meiner großen Enttäuschung nichts bewirkte. Gerne hätte ich hier das Gegenteil berichtet...Fünf Zitronen statt einen Sterne!",1,Reviewed in Germany on 15 June 2016,User,True,32,R3GYLPY2QSXJDS,https://www.amazon.de/gp/customer-reviews/R3GYLPY2QSXJDS,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Bewertung von Ciclopoli gegen Nagelpilz,"Völlig wirkungslos, mehr ist dazu nicht zu sagen.",1,Reviewed in Germany on 2 March 2025,Philipp,True,0,R3HSRU1F6KYH05,https://www.amazon.de/gp/customer-reviews/R3HSRU1F6KYH05,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Völlig unwirksam,"Ich kann die positiven Bewertungen nicht verstehen. Mein Hautarzt verschieb mir Ciclopoli. Ich habe dieses insgesamt bei Amazon 8 Mal gekauft und mehrmals in der Apotheke. Es wurde über 2 Jahre konsequent angewendet. Leider ohne die geringste Wirkung. Der Nagelpils ist in dieser Zeit eher schlimmer geworden. Viel Geld für nichts ausgegeben. Die Kritik geht auch an den Hautarzt, der so etwas verschreibt.",1,Reviewed in Germany on 8 April 2023,Juergen Koch,True,4,RAYYHR6WIN87E,https://www.amazon.de/gp/customer-reviews/RAYYHR6WIN87E,,2026-04-13T20:13:32.065870
B00DIWHUWI,,,amazon.de,,,Bringt nix,Ist rausgeschmissenes Geld hab die Flasche leer gemacht und ist wie am ersten Tag,1,Reviewed in Germany on 11 November 2024,Elvis,True,0,R3U0TH7UXYJTG3,https://www.amazon.de/gp/customer-reviews/R3U0TH7UXYJTG3,,2026-04-13T20:13:32.065870
