"Time","Sales","Trend Line","7-Day Moving Average"
"2024-12-12 01:00:00",1.14,39.07279606642954,0.86
"2024-12-13 01:00:00",0.49,,0.59
"2024-12-14 01:00:00",0.49,,0.6
"2024-12-15 01:00:00",0.49,,0.61
"2024-12-16 01:00:00",0.55,,0.52
"2024-12-17 01:00:00",0.55,,0.53
"2024-12-18 01:00:00",0.55,,0.54
"2024-12-19 01:00:00",0.55,,0.55
"2024-12-20 01:00:00",0.55,,0.55
"2024-12-21 01:00:00",0.55,,0.55
"2024-12-22 01:00:00",0.55,,0.55
"2024-12-23 01:00:00",0.54,,0.54
"2024-12-24 01:00:00",0.54,,0.54
"2024-12-25 01:00:00",0.54,,0.54
"2024-12-26 01:00:00",0.54,,0.54
"2024-12-27 01:00:00",0.54,,0.56
"2024-12-28 01:00:00",0.54,,0.59
"2024-12-29 01:00:00",0.54,,0.61
"2024-12-30 01:00:00",0.7,,0.63
"2024-12-31 01:00:00",0.7,,0.65
"2025-01-01 01:00:00",0.7,,0.68
"2025-01-02 01:00:00",0.7,,0.7
"2025-01-03 01:00:00",0.7,,0.7
"2025-01-04 01:00:00",0.7,,0.7
"2025-01-05 01:00:00",0.7,,0.72
"2025-01-06 01:00:00",0.7,,0.69
"2025-01-07 01:00:00",0.7,,0.65
"2025-01-08 01:00:00",0.83,,0.59
"2025-01-09 01:00:00",0.52,,0.54
"2025-01-10 01:00:00",0.37,,0.48
"2025-01-11 01:00:00",0.29,,0.42
"2025-01-12 01:00:00",0.36,,0.42
"2025-01-13 01:00:00",0.3,,0.46
"2025-01-14 01:00:00",0.3,,0.5
"2025-01-15 01:00:00",0.79,,0.57
"2025-01-16 01:00:00",0.79,,0.7
"2025-01-17 01:00:00",0.67,,1.01
"2025-01-18 01:00:00",0.79,,1.37
"2025-01-19 01:00:00",1.25,,1.64
"2025-01-20 01:00:00",2.46,,1.78
"2025-01-21 01:00:00",2.85,,1.84
"2025-01-22 01:00:00",2.64,,2
"2025-01-23 01:00:00",1.78,,2.05
"2025-01-24 01:00:00",1.11,,1.85
"2025-01-25 01:00:00",1.92,,1.55
"2025-01-26 01:00:00",1.57,,1.32
"2025-01-27 01:00:00",1.1,,1.31
"2025-01-28 01:00:00",0.7,,1.38
"2025-01-29 01:00:00",1.08,,1.29
"2025-01-30 01:00:00",1.68,,1.45
"2025-01-31 01:00:00",1.59,,1.59
"2025-02-01 01:00:00",1.28,,1.7
"2025-02-02 01:00:00",2.72,,1.74
"2025-02-03 01:00:00",2.07,,1.87
"2025-02-04 01:00:00",1.47,,2.14
"2025-02-05 01:00:00",1.34,,2.43
"2025-02-06 01:00:00",2.63,,2.44
"2025-02-07 01:00:00",3.5,,2.56
"2025-02-08 01:00:00",3.27,,2.77
"2025-02-09 01:00:00",2.78,,3.52
"2025-02-10 01:00:00",2.91,,4.01
"2025-02-11 01:00:00",2.98,,4.8
"2025-02-12 01:00:00",6.54,,4.71
"2025-02-13 01:00:00",6.1,,4.75
"2025-02-14 01:00:00",9,,4.8
"2025-02-15 01:00:00",2.69,,5
"2025-02-16 01:00:00",3.04,,4.74
"2025-02-17 01:00:00",3.22,,4.56
"2025-02-18 01:00:00",4.38,,4.39
"2025-02-19 01:00:00",4.76,,5.29
"2025-02-20 01:00:00",4.81,,5.89
"2025-02-21 01:00:00",7.86,,7.48
"2025-02-22 01:00:00",8.93,,9.6
"2025-02-23 01:00:00",7.24,,11.48
"2025-02-24 01:00:00",14.38,,12.44
"2025-02-25 01:00:00",19.2,,12.71
"2025-02-26 01:00:00",17.96,,12.86
"2025-02-27 01:00:00",11.54,,13.92
"2025-02-28 01:00:00",9.75,,13.9
"2025-03-01 01:00:00",9.94,,15.94
"2025-03-02 01:00:00",14.67,,15.38
"2025-03-03 01:00:00",14.26,,15.29
"2025-03-04 01:00:00",33.43,,16.62
"2025-03-05 01:00:00",14.09,,18
"2025-03-06 01:00:00",10.92,,20.24
"2025-03-07 01:00:00",19.02,,19.75
"2025-03-08 01:00:00",19.62,,16.68
"2025-03-09 01:00:00",30.36,,15.82
"2025-03-10 01:00:00",10.79,,15.37
"2025-03-11 01:00:00",11.97,,13.73
"2025-03-12 01:00:00",8.03,,12.29
"2025-03-13 01:00:00",7.78,,10.02
"2025-03-14 01:00:00",7.53,,10.79
"2025-03-15 01:00:00",9.54,,11.94
"2025-03-16 01:00:00",14.53,,14.48
"2025-03-17 01:00:00",16.16,,18.13
"2025-03-18 01:00:00",20,,22.35
"2025-03-19 01:00:00",25.81,,26.57
"2025-03-20 01:00:00",33.36,,32.84
"2025-03-21 01:00:00",37.08,,39.36
"2025-03-22 01:00:00",39.06,,44.09
"2025-03-23 01:00:00",58.41,,45.36
"2025-03-24 01:00:00",61.83,,44.46
"2025-03-25 01:00:00",53.06,,42.57
"2025-03-26 01:00:00",34.69,,40.14
"2025-03-27 01:00:00",27.09,,35.07
"2025-03-28 01:00:00",23.82,,29.11
"2025-03-29 01:00:00",22.09,,25.39
"2025-03-30 01:00:00",22.94,,24.33
"2025-03-31 02:00:00",20.08,,26.21
"2025-04-01 02:00:00",26.99,,31.02
"2025-04-02 02:00:00",27.31,,35.57
"2025-04-03 02:00:00",40.24,,37.66
"2025-04-04 02:00:00",57.47,,38.7
"2025-04-05 02:00:00",53.98,,39.97
"2025-04-06 02:00:00",37.56,,44.15
"2025-04-07 02:00:00",27.32,,48.05
"2025-04-08 02:00:00",35.93,,49.48
"2025-04-09 02:00:00",56.54,,50.28
"2025-04-10 02:00:00",67.52,,49.63
"2025-04-11 02:00:00",67.52,,50.44
"2025-04-12 02:00:00",59.6,,53.99
"2025-04-13 02:00:00",32.97,,57.17
"2025-04-14 02:00:00",32.97,,60.1
"2025-04-15 02:00:00",60.84,,60.22
"2025-04-16 02:00:00",78.77,,58.28
"2025-04-17 02:00:00",88.04,,57.28
"2025-04-18 02:00:00",68.34,,60.1
"2025-04-19 02:00:00",46.06,,59.07
"2025-04-20 02:00:00",25.96,,55.77
"2025-04-21 02:00:00",52.67,,51.17
"2025-04-22 02:00:00",53.63,,49.28
"2025-04-23 02:00:00",55.67,,50.61
"2025-04-24 02:00:00",55.85,,63.26
"2025-04-25 02:00:00",55.14,,67.94
"2025-04-26 02:00:00",55.32,,75.36
"2025-04-27 02:00:00",114.57,,82.49
"2025-04-28 02:00:00",85.41,,96.51
"2025-04-29 02:00:00",105.56,,110.64
"2025-04-30 02:00:00",105.56,,116.71
"2025-05-01 02:00:00",154.02,,114.54
"2025-05-02 02:00:00",154.02,,113.04
"2025-05-03 02:00:00",97.86,,109.68
"2025-05-04 02:00:00",99.34,,110.64
"2025-05-05 02:00:00",74.92,,110.96
"2025-05-06 02:00:00",82.03,,111.28
"2025-05-07 02:00:00",112.26,,120.33
"2025-05-08 02:00:00",156.29,,127.28
"2025-05-09 02:00:00",156.29,,136.43
"2025-05-10 02:00:00",161.15,,142.72
"2025-05-11 02:00:00",148.01,,146.95
