"Time","Sales","Trend Line","7-Day Moving Average"
"2025-06-06 02:00:00",23.12,149.4936925093102,24.67
"2025-06-07 02:00:00",7.88,,24.96
"2025-06-08 02:00:00",30.34,,36.14
"2025-06-09 02:00:00",41.97,,41.85
"2025-06-10 02:00:00",55.62,,48.15
"2025-06-11 02:00:00",63.72,,57.29
"2025-06-12 02:00:00",70.29,,59.88
"2025-06-13 02:00:00",67.25,,59.54
"2025-06-14 02:00:00",71.81,,57.8
"2025-06-15 02:00:00",48.52,,59.28
"2025-06-16 02:00:00",39.58,,64.8
"2025-06-17 02:00:00",43.4,,69.52
"2025-06-18 02:00:00",74.11,,71.07
"2025-06-19 02:00:00",108.94,,71.1
"2025-06-20 02:00:00",100.25,,72.62
"2025-06-21 02:00:00",82.68,,76.63
"2025-06-22 02:00:00",48.75,,77.33
"2025-06-23 02:00:00",50.21,,76.16
"2025-06-24 02:00:00",71.47,,80.54
"2025-06-25 02:00:00",79.02,,87.51
"2025-06-26 02:00:00",100.72,,100.9
"2025-06-27 02:00:00",130.96,,120
"2025-06-28 02:00:00",131.44,,145.24
"2025-06-29 02:00:00",142.47,,170.83
"2025-06-30 02:00:00",183.89,,199.51
"2025-07-01 02:00:00",248.17,,227.54
"2025-07-02 02:00:00",258.18,,257.15
"2025-07-03 02:00:00",301.45,,284.79
"2025-07-04 02:00:00",327.17,,310
"2025-07-05 02:00:00",338.73,,313.32
"2025-07-06 02:00:00",335.92,,304.65
"2025-07-07 02:00:00",360.37,,282.55
"2025-07-08 02:00:00",271.43,,261.62
"2025-07-09 02:00:00",197.47,,250.97
"2025-07-10 02:00:00",146.74,,230.37
"2025-07-11 02:00:00",180.66,,214.78
"2025-07-12 02:00:00",264.22,,228.98
"2025-07-13 02:00:00",191.71,,257.77
"2025-07-14 02:00:00",251.23,,291.72
"2025-07-15 02:00:00",370.84,,319.84
"2025-07-16 02:00:00",398.98,,336.02
"2025-07-17 02:00:00",384.4,,373.31
"2025-07-18 02:00:00",377.48,,415.38
"2025-07-19 02:00:00",377.48,,416.33
"2025-07-20 02:00:00",452.74,,409.34
"2025-07-21 02:00:00",545.77,,445.68
"2025-07-22 02:00:00",0,,235.82
"2025-07-23 02:00:00",274.76,,338.9
"2025-07-24 02:00:00",0,,117.22
"2025-07-25 02:00:00",0,,39.25
"2025-07-26 02:00:00",0,,201.58
"2025-07-27 02:00:00",0,,222
"2025-07-28 02:00:00",0,,222
"2025-07-29 02:00:00",1136.31,,1033.65
"2025-07-30 02:00:00",417.69,,520.35
"2025-07-31 02:00:00",0,,247.54
"2025-08-01 02:00:00",0,,271.86
"2025-08-02 02:00:00",0,,125.34
"2025-08-03 02:00:00",178.78,,167.83
