"Time","Sales","Trend Line","7-Day Moving Average"
"2025-06-09 02:00:00",6.19,56.82161960103672,8.11
"2025-06-10 02:00:00",10.32,,9.88
"2025-06-11 02:00:00",10.32,,10.76
"2025-06-12 02:00:00",11.35,,13.83
"2025-06-13 02:00:00",10.32,,16.95
"2025-06-14 02:00:00",16.51,,20.17
"2025-06-15 02:00:00",31.78,,28.38
"2025-06-16 02:00:00",28.07,,37.05
"2025-06-17 02:00:00",32.84,,45.79
"2025-06-18 02:00:00",67.8,,53.57
"2025-06-19 02:00:00",72.03,,55.54
"2025-06-20 02:00:00",71.5,,60.2
"2025-06-21 02:00:00",70.97,,69.9
"2025-06-22 02:00:00",45.59,,72.97
"2025-06-23 02:00:00",60.69,,75.76
"2025-06-24 02:00:00",100.7,,79.63
"2025-06-25 02:00:00",89.29,,84.86
"2025-06-26 02:00:00",91.56,,89.61
"2025-06-27 02:00:00",98.61,,91.75
"2025-06-28 02:00:00",107.56,,92.73
"2025-06-29 02:00:00",78.83,,91.27
"2025-06-30 02:00:00",75.73,,98.78
"2025-07-01 02:00:00",0,,102.09
"2025-07-02 02:00:00",107.79,,129.11
"2025-07-03 02:00:00",147.18,,150.14
"2025-07-04 02:00:00",197.55,,173.12
"2025-07-05 02:00:00",188.92,,172.58
"2025-07-06 02:00:00",186.61,,179.39
"2025-07-07 02:00:00",186.26,,174.33
"2025-07-08 02:00:00",193.78,,159.72
"2025-07-09 02:00:00",155.42,,143.86
"2025-07-10 02:00:00",111.79,,124.43
"2025-07-11 02:00:00",95.29,,105.92
"2025-07-12 02:00:00",77.84,,90.34
"2025-07-13 02:00:00",50.65,,84.79
"2025-07-14 02:00:00",56.67,,86.96
"2025-07-15 02:00:00",84.71,,90.71
"2025-07-16 02:00:00",116.6,,91.57
"2025-07-17 02:00:00",126.96,,102.85
"2025-07-18 02:00:00",121.56,,109.97
"2025-07-19 02:00:00",83.86,,113.07
"2025-07-20 02:00:00",129.62,,106.05
"2025-07-21 02:00:00",106.46,,96.74
"2025-07-22 02:00:00",106.46,,87.97
"2025-07-23 02:00:00",67.46,,82.71
"2025-07-24 02:00:00",61.77,,76.44
"2025-07-25 02:00:00",60.16,,66.96
"2025-07-26 02:00:00",47.06,,56.29
"2025-07-27 02:00:00",85.73,,52.79
"2025-07-28 02:00:00",40.05,,49.13
"2025-07-29 02:00:00",31.77,,44.28
"2025-07-30 02:00:00",42.99,,42.14
"2025-07-31 02:00:00",36.15,,41.69
"2025-08-01 02:00:00",26.21,,43.53
"2025-08-02 02:00:00",32.11,,43.84
"2025-08-03 02:00:00",82.53,,41.78
"2025-08-04 02:00:00",52.94,,40.03
"2025-08-05 02:00:00",33.98,,39.62
"2025-08-06 02:00:00",28.54,,38.29
"2025-08-07 02:00:00",23.88,,29.91
"2025-08-08 02:00:00",23.36,,25.98
"2025-08-09 02:00:00",22.77,,24.13
"2025-08-10 02:00:00",0,,18.62
"2025-08-11 02:00:00",25.99,,20.31
"2025-08-12 02:00:00",21.63,,17.67
"2025-08-13 02:00:00",12.69,,16.39
"2025-08-14 02:00:00",9.73,,16.24
"2025-08-15 02:00:00",9.26,,13.87
