"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-31 02:00:00",13.36,0,15.36
"2025-09-01 02:00:00",14.73,,18.33
"2025-09-02 02:00:00",16.8,,21.72
"2025-09-03 02:00:00",22.58,,24.43
"2025-09-04 02:00:00",31.39,,32.23
"2025-09-05 02:00:00",36.35,,35.13
"2025-09-06 02:00:00",35.8,,35.95
"2025-09-07 02:00:00",67.97,,36.27
"2025-09-08 02:00:00",35,,37.88
"2025-09-09 02:00:00",22.59,,35.91
"2025-09-10 02:00:00",24.82,,34.66
"2025-09-11 02:00:00",42.62,,36.13
"2025-09-12 02:00:00",0,,12.86
"2025-09-13 02:00:00",0,,9.63
"2025-09-14 02:00:00",0,,6.09
"2025-09-15 02:00:00",0,,0
"2025-09-16 02:00:00",0,,0
"2025-09-17 02:00:00",0,,0
"2025-09-18 02:00:00",0,,0
"2025-09-19 02:00:00",0,,0
"2025-09-20 02:00:00",0,,0
"2025-09-21 02:00:00",0,,0
"2025-09-22 02:00:00",0,,0
"2025-09-23 02:00:00",0,,0
"2025-09-24 02:00:00",0,,0
"2025-09-25 02:00:00",0,,0
"2025-09-26 02:00:00",0,,0
"2025-09-27 02:00:00",0,,0
"2025-09-28 02:00:00",0,,0
"2025-09-29 02:00:00",0,,0
"2025-09-30 02:00:00",0,,0
"2025-10-01 02:00:00",0,,0
"2025-10-02 02:00:00",0,,0
"2025-10-03 02:00:00",0,,0
"2025-10-04 02:00:00",0,,0
"2025-10-05 02:00:00",0,,0
"2025-10-06 02:00:00",0,,0
"2025-10-07 02:00:00",0,,0
"2025-10-08 02:00:00",0,,0
"2025-10-09 02:00:00",0,,0
"2025-10-10 02:00:00",0,,0
"2025-10-11 02:00:00",0,,0
"2025-10-12 02:00:00",0,,0
"2025-10-13 02:00:00",0,,0
"2025-10-14 02:00:00",0,,0
"2025-10-15 02:00:00",0,,0
"2025-10-16 02:00:00",0,,0
"2025-10-17 02:00:00",0,,0
"2025-10-18 02:00:00",0,,0
"2025-10-19 02:00:00",0,,0
"2025-10-20 02:00:00",0,,0
"2025-10-21 02:00:00",0,,0
"2025-10-22 02:00:00",0,,0
"2025-10-23 02:00:00",0,,0
"2025-10-24 02:00:00",0,,0
"2025-10-25 02:00:00",0,,0
"2025-10-26 02:00:00",0,,0
"2025-10-27 01:00:00",0,,0.02
"2025-10-28 01:00:00",0,,0.05
"2025-10-29 01:00:00",0,,0.14
"2025-10-30 01:00:00",0.17,,0.32
"2025-10-31 01:00:00",0.18,,0.48
"2025-11-01 01:00:00",0.65,,0.7
"2025-11-02 01:00:00",0.7,,0.82
"2025-11-03 01:00:00",1.29,,1.04
"2025-11-04 01:00:00",1.25,,1.21
"2025-11-05 01:00:00",1.47,,1.29
"2025-11-06 01:00:00",1.73,,1.31
"2025-11-07 01:00:00",1.36,,1.24
"2025-11-08 01:00:00",1.21,,1.23
"2025-11-09 01:00:00",0.84,,1.25
"2025-11-10 01:00:00",0.84,,1.18
"2025-11-11 01:00:00",1.17,,1.09
"2025-11-12 01:00:00",1.6,,1
"2025-11-13 01:00:00",1.27,,0.99
"2025-11-14 01:00:00",0.69,,1.04
"2025-11-15 01:00:00",0.59,,1.05
"2025-11-16 01:00:00",0.78,,1.05
