Product Details,ASIN,Focus,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
Patronus Ants Power Spray CEG 3 CL [500 ml] - Ant Spray with Effective Immediate Effect for Indoor and Outdoor Use - Repellent Agent Against Ants - Highly Effective (PT19),B0F1V5XX4Z,Ant,https://www.amazon.de/dp/B0F1V5XX4Z?psc=1,https://m.media-amazon.com/images/I/71q3zTuFi9L._AC_SY355_.jpg,Patronus,19.95,"52,218.72",149,4.5,678,"Mar 18, 2025",12
"8 x Ant Bait Box - Large Ant Bait - Ant Trap - Adhesive Trap for Monitoring Ants - Odourless, Safe for Children & Pets, Ideal for Kitchen, Home & Pantry",B0FLYK6LWW,Ant,https://www.amazon.de/dp/B0FLYK6LWW?psc=1,https://m.media-amazon.com/images/I/81F6MZf40tL._AC_SY355_.jpg,Generisch,13.55,"28,095.44",99,2.7,73,"Aug 29, 2025",7
ARDAP Repell Ant Remover 500 g - Ant Powder - Ant Spreader - Agent Against Ants - Ant Powder for Outdoor Spreading - Ant Agent for Outdoor Use - Effective in Acute Infestation (PT19),B0DG6164YM,Ant,https://www.amazon.de/dp/B0DG6164YM?psc=1,https://m.media-amazon.com/images/I/71z7jmM94WL._AC_SY355_.jpg,ARDAP,14.99,"20,679.91",39,4,"3,054","Sep 5, 2024",18
ATAQ Ants Traps x 4 – Ants Traps for Outdoors and Against Ants in the House – Ant Traps in Acute Ant Infestation – Works Quickly and Effectively,B0FBGWLV6W,Ant,https://www.amazon.de/dp/B0FBGWLV6W?psc=1,https://m.media-amazon.com/images/I/71h69KpvjTL._SX342_.jpg,ATAQ,16.8,"15,302.74",473,4,24,"May 30, 2025",10
"Ant Spray for Home & Garden – 500 ml Agent Against Ants Indoor and Outdoor Use, Insect Spray Home with Instant and Long-Term Effect to Protect Your Living Spaces.",B0G3QG3Y2N,Ant,https://www.amazon.de/dp/B0G3QG3Y2N?psc=1,https://m.media-amazon.com/images/I/718kv1UsZRL._SX342_.jpg,PATTLER,15.99,"12,250.16",387,4.9,28,"Nov 24, 2025",4
"Ant Spray 500 ml - Highly Effective Ant Spray for Indoor, Outdoor & Garden - Ready to Use, Quick Effective, Made in Germany",B0F7N7SH7P,Ant,https://www.amazon.de/dp/B0F7N7SH7P?psc=1,https://m.media-amazon.com/images/I/71j2+vECzfL._AC_SY355_.jpg,KRAFTKÖNIG,19.99,"11,218.15",242,4.3,230,"Jun 27, 2025",9
"Neudorff Ant Stop AF – Ready-to-Use Spray for Reliable Ant Repellent with Instant Effect for Indoor and Outdoor Use, Insecticide-Free, 500 ml",B0DJQSGFCC,Ant,https://www.amazon.de/dp/B0DJQSGFCC?psc=1,https://m.media-amazon.com/images/I/51BdlIkjPCL._AC_SY355_.jpg,Neudorff,9.99,"10,477.94",817,4.1,261,"Oct 9, 2024",17
ARDAP Repell Ant Spray 400 ml - Ant Spray for Outside and Against Ants in the House - Agent Against Ants - Ant Spray for Acute Ant Infestation - Works Quickly and Effectively (PT19),B0DG5ZZQVQ,Ant,https://www.amazon.de/dp/B0DG5ZZQVQ?psc=1,https://m.media-amazon.com/images/I/61RftAoHHuL._AC_SY355_.jpg,ARDAP,14.99,"8,757.44",39,4,"3,054","Sep 5, 2024",18
SWISSINNO NaturalControl 1 250 001K Baumleimring (L x B) 500cm x 5cm 1St.,B075Y2N7WX,Ant,https://www.amazon.de/dp/B075Y2N7WX?psc=1,https://m.media-amazon.com/images/I/71KQv-oeAnL._AC_SY355_.jpg,SWISSINNO,7.55,"7,472.20","1,684",4.2,"1,194","Nov 3, 2018",88
Patronus Ant Power Spray CEG 3 CL [3 x 500 ml] - Ant Spray with Effective Immediate Effect for Indoor and Outdoor Use - Repellent Against Ants - Highly Effective (PT19),B0GL871X94,Ant,https://www.amazon.de/dp/B0GL871X94?psc=1,https://m.media-amazon.com/images/I/9175off5tFL._AC_SY355_.jpg,Patronus,49.95,"6,975.69",149,4.5,678,"Feb 11, 2026",1
"Vape Ant Bait 2 x 2 g, ant traps, ant killer gel with active ingredient, ideal for removing black ants and ant nests",B0DBZY2B4X,Ant,https://www.amazon.de/dp/B0DBZY2B4X?psc=1,https://m.media-amazon.com/images/I/61IJHEvzMmL._SX342_.jpg,VAPE,5,"6,308.77","9,402",3.7,12,"Sep 13, 2024",18
"Ant Spray 500 ml [with Immediate Effect] with Long-Lasting Effect - Anti Ant Spray, Effective Ant Repellent for Outdoor and Indoor Use",B0F99X4QRZ,Ant,https://www.amazon.de/dp/B0F99X4QRZ?psc=1,https://m.media-amazon.com/images/I/51vhvOHbBYL._SX342_.jpg,Elorja,19.99,"6,307.53","3,581",4.6,15,"Aug 29, 2025",7
Patronus Ant Power Spray CEG 3 CL [2 x 500 ml] Ant Spray with Effective Immediate Effect for Indoor and Outdoor Use Repellent Against Ants - Highly Effective (PT19),B0F9PWFNZ7,Ant,https://www.amazon.de/dp/B0F9PWFNZ7?psc=1,https://m.media-amazon.com/images/I/81eQEVaDOoL._AC_SY355_.jpg,Patronus,37.95,"6,116.91",149,4.5,678,"May 23, 2025",10
"COMPO Organic Caterpillars & ants glue spray, protection of fruit and ornamental trees, 400 ml",B081JZ9QQS,Ant,https://www.amazon.de/dp/B081JZ9QQS?psc=1,https://m.media-amazon.com/images/I/61x21gMNMBL._AC_SY355_.jpg,Compo,14.79,"6,115.14","6,480",4.4,578,"Nov 15, 2019",76
COMPO Ant Blocker - Stops the Spread of Ants - Insecticide-free Scattering Barrier - 100% Natural - 250 g,B0CJC8N3V7,Ant,https://www.amazon.de/dp/B0CJC8N3V7?psc=1,https://m.media-amazon.com/images/I/717Bh6kKjqL._AC_SY355_.jpg,Compo,7.99,"5,959.95",955,3.8,396,"Sep 19, 2023",30
"Envira Ant Spray 500 ml - Highly Effective Anti Ant Spray - Agent Against Ants with Long-Lasting Effect for Outdoor and Home - Ant Repellent with Subtle Citrus Fragrance, Low Odour",B0DZD5YWQ3,Ant,https://www.amazon.de/dp/B0DZD5YWQ3?psc=1,https://m.media-amazon.com/images/I/61s-rxXqxeL._AC_SY355_.jpg,Envira,21.9,"5,630.95","4,097",4.2,"1,136","Mar 5, 2025",12
SILVA® Ant Stop Repellent Bait Box for Indoor and Outdoor Use [PT 19 - Natural Active Ingredient] - Ant Trap Tin - Ant Bait Box - Ant Bait - Ant Box - 4 Tins & Effective for up to 14 Days,B0FB42LLNL,Ant,https://www.amazon.de/dp/B0FB42LLNL?psc=1,https://m.media-amazon.com/images/I/61aoeXHS4aL._AC_SY355_.jpg,Silva,18.95,"5,516.14","1,889",3,113,"Jun 9, 2025",9
"Ant Repellent Powder - 500 g - Instant Effect Against Ants, Woodlice Beetles - For Indoor and Outdoor Use - Sprinkle or Watering - Ant Litter - Ant Powder - PT19 Repellent (1 x 500 g)",B0FH72PDX2,Ant,https://www.amazon.de/dp/B0FH72PDX2?psc=1,https://m.media-amazon.com/images/I/81uvDt809xL._AC_SY355_.jpg,Panteer,16.97,"4,842.89","5,679",3.9,51,"Jul 10, 2025",8
Biodelta Ant Spray - Anti Ant Repellent in Home & Garden - Against All Types - Long-Lasting Effect (5 L),B0D1RJWFC7,Ant,https://www.amazon.de/dp/B0D1RJWFC7?psc=1,https://m.media-amazon.com/images/I/7111jXZlCqL._AC_SY355_.jpg,LTK-008,44.99,"4,126.52","4,431",3.9,420,"Apr 16, 2024",23
"Ant Spray 500 ml - Highly Effective Anti Ant Spray - Agent Against Ants with Immediate Effect for Indoor and Outdoor Use, Laboratory Tested and Reliable",B0GGHM55NQ,Ant,https://www.amazon.de/dp/B0GGHM55NQ?psc=1,https://m.media-amazon.com/images/I/61b7Laphs5L._AC_SY355_.jpg,Animal Vita,14.95,"3,642.98","1,485",4.8,12,"Mar 1, 2026",0
Biodelta Ant Spray - Anti Ant Repellent - Repennt in the Home & Garden - Against All Types - Long-Term Effect (1 L),B0D1RHW8S4,Ant,https://www.amazon.de/dp/B0D1RHW8S4?psc=1,https://m.media-amazon.com/images/I/61vxQjtOqOL._AC_SY355_.jpg,LTK-008,24.95,"3,585.61","4,431",3.9,420,"May 8, 2024",22
"EcoVenger Ant & Crawling Insect Spray 16 oz, Works Quickly in Minutes, Also Kills Spiders, Centipedes and More, Leaves a Deterrent Residue - Child and Pet Friendly",B00GD752XO,Ant,https://www.amazon.de/dp/B00GD752XO?psc=1,https://m.media-amazon.com/images/I/614cAzgy4IL._SX342_.jpg,EcoVenger,18.95,"3,211.54","8,130",4.1,"5,343","Sep 15, 2014",138
