Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
6.,"Instituto Español Atopic Skin Body Lotion, 750 Milliliters (Packaging May Differ)",B08W8H13RH,,https://www.amazon.es/dp/B08W8H13RH?psc=1,https://m.media-amazon.com/images/I/71EzTFiPnEL._AC_SY355_.jpg,Instituto Español,6.43,"1,760","1,760","1,000","13,690.47","13,690.47",81,317,AMZ,4.57,12,4.6,"1,736",1,23,Amazon,Beauty,Small Parcel,AMZ,26.40 x 8.10 x 8.10 cm,0.83,N/A,"Feb 9, 2021",,No,64,Amazon
7.,BEPANTHOL Atopic Skin Moisturizing Cream - SensiControl Daily Emollient Cream with Pro-Vitamin B5 - Promotes Deep and Lasting Hydration for Healthy and Protected Skin - 400ml,B087XGVFL1,,https://www.amazon.es/dp/B087XGVFL1?psc=1,https://m.media-amazon.com/images/I/61J5r5t+SfL._AC_SY355_.jpg,BEPANTHOL,14.87,"1,768","1,768",900,"36,558.59","36,558.56",174,334,AMZ,6.71,15,4.6,"1,481",7,19,Amazon,Beauty,Small Parcel,AMZ,19.40 x 6.30 x 7.20 cm,0.46,N/A,"Apr 20, 2020",,No,74,Amazon
19.,Instituto Español Oleogel Atopic Skins - 300 ml,B087KC4NLB,,https://www.amazon.es/dp/B087KC4NLB?psc=1,https://m.media-amazon.com/images/I/61yEIZ7CBhS._AC_SY355_.jpg,Instituto Español,3.93,"1,173","1,173",700,"5,564.5","5,564.52",47,672,AMZ,3.66,9,4.2,931,1,12,Amazon,Beauty,Extra Large Envelope,AMZ,21.40 x 4.10 x 8.30 cm,0.36,N/A,"Apr 21, 2020",,No,74,Amazon
20.,"ISDIN Nutratopic Pro-AMP Lotion, Emollient Body Lotion, Helps Relieve Itchy Atopic Skin, 400 ml",B07Q6GKZ4R,,https://www.amazon.es/dp/B07Q6GKZ4R?psc=1,https://m.media-amazon.com/images/I/61AZDXro30L._SX342_.jpg,ISDIN,23.15,569,569,200,"12,599.62","12,599.59",95,"2,580",AMZ,7.68,19,4.6,410,8,7,Amazon,Beauty,Small Parcel,AMZ,19.40 x 6.40 x 6.40 cm,0.43,N/A,"Mar 21, 2019",,No,87,Amazon
21.,"La Roche Posay Moisturizing Milk with Urea 10%, Triple Soothing Action, Anti-Itch and Anti-Reappearance for 48 Hours, Suitable for Very Dry, Rough and Flaky Skin, Lipikar, 400 ml",B0CB9D3Y2Q,,https://www.amazon.es/dp/B0CB9D3Y2Q?psc=1,https://m.media-amazon.com/images/I/61jE9aj49eL._SX342_.jpg,La Roche-Posay,14.84,"1,315","1,315",800,"19,513.05","19,513.05",178,530,AMZ,6.14,1,4.7,"3,149",4,171,Amazon,Beauty,Extra Large Envelope,AMZ,20.09 x 5.51 x 5.51 cm,0.46,N/A,"Feb 5, 2019",,No,88,Amazon
22.,"Instituto Español Comprehensive Care Cream for Atopic Skin, 400 Milliliters",B00XAIPT0U,,https://www.amazon.es/dp/B00XAIPT0U?psc=1,https://m.media-amazon.com/images/I/41RqrMdRgEL._AC_SY355_.jpg,Instituto Español,4.12,644,580,300,"3,241.34","2,916.86",75,"1,446",AMZ,4.41,12,4.6,"1,126",1,9,Amazon,Beauty,Small Parcel,AMZ,10.20 x 8.70 x 9.80 cm,0.53,N/A,"Sep 28, 2015",,No,129,Amazon
23.,"Avena Kinesia - Oleo Soap-Free Shower Gel for Extra Dry and Atopic Skin, 750 ml",B09RR229FY,,https://www.amazon.es/dp/B09RR229FY?psc=1,https://m.media-amazon.com/images/I/61u-ERakcyL._AC_SY355_.jpg,Avena Kinesia,2.47,"1,566","1,391",800,"6,131.8","4,106.6",79,415,AMZ,3.58,1,4.4,692,3,33,Amazon,Beauty,Extra Large Envelope,AMZ,25.70 x 5.00 x 8.90 cm,0.84,N/A,"Feb 3, 2022",,No,52,Amazon
24.,"La Roche Posay Gel- Crema de Ducha, Limpiador, Relipidizante, Anti-Irritación, Nutre y Calma, Enriquecido con Niacinamida, Para Pieles Secas y Atópicas, Lipikar Syndet AP+, 400 ml",B01LTGM28G,,https://www.amazon.es/dp/B01LTGM28G?psc=1,https://m.media-amazon.com/images/I/61cz6zoDRtL._SX342_.jpg,La Roche-Posay,13.09,"1,096",909,700,"14,042.86","11,903.89",179,708,AMZ,6.86,1,4.7,"5,082",6,80,Amazon,Beauty,Extra Large Envelope,AMZ,20.00 x 5.70 x 5.80 cm,0.45,N/A,"Sep 17, 2016",,No,117,Amazon
25.,Instituto Español - Ultratopic Lotion - 300 ML,B0D8TKHL7S,,https://www.amazon.es/dp/B0D8TKHL7S?psc=1,https://m.media-amazon.com/images/I/71+aJiWpLJL._AC_SY355_.jpg,Instituto Español,3.61,268,268,100,"1,184.68","1,184.67",46,"2,578",AMZ,3.63,5,4.5,94,7,11,Amazon,Beauty,Extra Large Envelope,AMZ,19.30 x 4.20 x 8.40 cm,0.37,N/A,"Jul 4, 2024",,No,23,Amazon
26.,Neutrogena Norwegian Formula CICA Intense Repair Body Lotion for Dry Skin (Pack of 2 x 750ml) Repairing Body Moisturizer with Centella Asiatica,B0D1GK2ZKB,,https://www.amazon.es/dp/B0D1GK2ZKB?psc=1,https://m.media-amazon.com/images/I/61Nxo8mqIBL._AC_SY355_.jpg,Neutrogena,10.27,"2,192","2,008","2,000","39,897.56","36,109.04",143,19,AMZ,4.33,20,4.7,956,7,62,Amazon,Beauty,Small Parcel,AMZ,24.10 x 5.90 x 17.30 cm,1.66,N/A,"Apr 30, 2024",,No,26,Amazon
