Product Details,ASIN,Segment,URL,Marketplace,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"La Roche-Posay Lipikar Gel Lavant, Hautberuhigendes, sanftes Duschgel f�r trockene, empfindliche Haut, Mit Niacinamid, Zur t�glichen Reinigung",B00V4PHBO8,Wash,https://www.amazon.de/dp/B00V4PHBO8?psc=1,DE,https://m.media-amazon.com/images/I/41l47rxxzOL._SX342_.jpg,La Roche-Posay,11.5,"1,237",498,200,"18,860","6,327.02",142,"1,030",AMZ,6.19,15,4.8,"3,169",1,107,Amazon,Kosmetik,Extra Large Envelope,AMZ,20.10 x 5.40 x 5.70 cm,0.45,N/A,"Apr 24, 2015",,No,135,Amazon
"La Roche-Posay Lipikar Gel Lavant, Hautberuhigendes, sanftes Duschgel f�r trockene, empfindliche Haut, Mit Niacinamid, Zur t�glichen Reinigung",B0DJPBRNDF,Wash,https://www.amazon.de/dp/B0DJPBRNDF?psc=1,DE,https://m.media-amazon.com/images/I/61oDbV01DdL._SX342_.jpg,La Roche-Posay,21,"1,237",739,200,"18,860","12,532.97",142,"1,030",AMZ,6.35,9,4.8,"3,169",9,133,Amazon,Kosmetik,Small Parcel,AMZ,22.40 x 9.00 x 9.10 cm,1.09,N/A,"Oct 11, 2024",,No,21,Amazon
"La Roche-Posay Lipikar Gel Lavant, Hautberuhigendes, sanftes Duschgel f�r trockene, empfindliche Haut, Mit Niacinamid, Zur t�glichen Reinigung",B0F1G26TNK,Wash,https://www.amazon.de/dp/B0F1G26TNK?psc=1,DE,https://m.media-amazon.com/images/I/71rG5xWZ6NL._SX342_.jpg,La Roche-Posay,10.5,171,171,100,"1,956.05","1,956.05",142,"8,210",AMZ,5.42,7,4.7,184,9,19,Amazon,Kosmetik,Extra Large Envelope,MFN,16.40 x 5.50 x 13.00 cm,0.42,N/A,"Sep 1, 2025",,No,10,Amazon
"La Roche Posay R�ckfettendes Duschgel f�r extrem trockene, zu Neurodermitis neigende Haut, Auch f�r Babys und Kinder, Mit Niacinamid und Aqua Posae Filiformis, Lipikar Syndet AP+, 200 ml",B01LX6BYXW,Wash,https://www.amazon.de/dp/B01LX6BYXW?psc=1,DE,https://m.media-amazon.com/images/I/61v+3v2-RSL._SY355_.jpg,La Roche-Posay,16.18,92,14,N/A,"1,453.68",238.13,186,"17,136",N/A,5.94,6,4.6,506,1,4,APONEO - Deutsche Versand-Apotheke,Kosmetik,Extra Large Envelope,MFN,20.00 x 5.80 x 6.00 cm,0.49,N/A,"Sep 3, 2016",,No,118,APONEO - Deutsche Versand-Apotheke
"La Roche Posay R�ckfettendes Duschgel f�r extrem trockene, zu Neurodermitis neigende Haut, Auch f�r Babys und Kinder, Mit Niacinamid und Aqua Posae Filiformis, Lipikar Syndet AP+, 200 ml",B0FF598SSG,Wash,https://www.amazon.de/dp/B0FF598SSG?psc=1,DE,"https://m.media-amazon.com/images/I/413M23XOnAL._SX342_PIbundle-2,TopRight,0,0_SX342SY184SH20_.jpg",La Roche-Posay,23.8,148,0,N/A,"1,783.23",0,186,"7,169",AMZ,N/A,1,4.7,204,9,10,Amazon,Kosmetik,Extra Large Envelope,AMZ,15.60 x 4.80 x 7.80 cm,0.46,N/A,"Jul 6, 2015",,No,132,Amazon
"La Roche Posay Lipikar Syndet AP+ R�ckfettendes Duschgel f�r extrem trockene, zu Neurodermitis neigende Haut, Auch f�r Babys und Kinder, Mit Niacinamid und Aqua Posae Filiformis, Nachf�llpack 400 ml",B08M5DXF9Z,Wash,https://www.amazon.de/dp/B08M5DXF9Z?psc=1,DE,https://m.media-amazon.com/images/I/61QEXc5qTOL._SY355_.jpg,La Roche-Posay,13.22,92,79,N/A,"1,453.68","1,243.56",198,"17,136",PT,6.45,2,4.6,506,9,156,aminhafarmacia,Kosmetik,Small Parcel,FBA,16.30 x 6.30 x 13.60 cm,0.45,N/A,"Oct 29, 2020",,No,69,aminhafarmacia
"La Roche Posay Lipikar Gel Lavant, Hautberuhigendes, sanftes Duschgel f�r trockene, empfindliche Haut, Mit Niacinamid, Zur t�glichen Reinigung, 750 ml",B00V4PB09K,Wash,https://www.amazon.de/dp/B00V4PB09K?psc=1,DE,https://m.media-amazon.com/images/I/71rt-rM4JhL._SY355_.jpg,La Roche-Posay,16.9,147,147,50,"2,494.66","2,494.67",150,"4,593",AMZ,5.99,2,4.7,"1,417",1,14,Amazon,Kosmetik,Small Parcel,AMZ,21.70 x 7.70 x 7.70 cm,0.83,N/A,"Apr 24, 2015",,No,135,Amazon
ROCHE-POSAY Lipikar Gel Lavant 400 ml,B00WZ62ZNM,Wash,https://www.amazon.de/dp/B00WZ62ZNM?psc=1,DE,https://m.media-amazon.com/images/I/619ZfVFKF1L._SY355_.jpg,La Roche-Posay,12.95,3,3,N/A,50.79,50.79,37,N/A,DE,5.99,5,4.5,48,1,0,FAAR OnlineApotheke,,Extra Large Envelope,MFN,18.50 x 6.00 x 6.00 cm,0.46,N/A,"May 1, 2015",,No,134,FAAR OnlineApotheke
"La Roche Posay R�ckfettendes Duschgel f�r extrem trockene, zu Neurodermitis neigende Haut, Auch f�r Babys und Kinder, Mit Niacinamid und Aqua Posae Filiformis, Lipikar Syndet AP+, 200 ml",B00J3Y9YZG,Wash,https://www.amazon.de/dp/B00J3Y9YZG?psc=1,DE,https://m.media-amazon.com/images/I/61hUOxl3uaL._SX342_.jpg,La Roche-Posay,13.39,148,148,N/A,"1,783.23","1,783.24",186,"7,169",AMZ,5.48,6,4.7,204,9,10,Amazon,Kosmetik,Extra Large Envelope,AMZ,15.60 x 4.50 x 7.70 cm,0.23,N/A,"Jul 6, 2015",,No,132,Amazon
"La Roche-Posay Lipikar Gel Lavant, Hautberuhigendes, sanftes Duschgel f�r trockene, empfindliche Haut, Mit Niacinamid, Zur t�glichen Reinigung",B00V4PHBO8,Wash,https://www.amazon.de/dp/B00V4PHBO8?psc=1,DE,https://m.media-amazon.com/images/I/41l47rxxzOL._SX342_.jpg,La Roche-Posay,11.5,"1,237",498,200,"18,860","6,327.02",142,"1,030",AMZ,6.19,15,4.8,"3,169",1,107,Amazon,Kosmetik,Extra Large Envelope,AMZ,20.10 x 5.40 x 5.70 cm,0.45,N/A,"Apr 24, 2015",,No,135,Amazon
