Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
Eczema & Itch Cream - Rapid Eczema & Dermatitis Relief - Soothes Skin Irritation & Redness - With Oat Extract 18g,B0G6SN8KRN,Cream,https://www.amazon.es/dp/B0G6SN8KRN?psc=1,https://m.media-amazon.com/images/I/61hhoWgPrGL._AC_SY355_.jpg,BioRelie,9.99,134,134,50,"1,548.53","1,547.20",113,"8,210",CN,2.71,1,4.6,25,7,2,MASHANGYOU,Beauty,Standard Envelope,FBA,14.70 x 2.40 x 5.00 cm,0.04,N/A,"Jan 25, 2026",,No,3,MASHANGYOU
"Lactovit - Crème Lactourea Moisturizing Mousse 24h for Body and Face, Very Dry and Extra Dry Skin, Immediate Absorption – 400 ml",B0B253987G,Check / urea,https://www.amazon.es/dp/B0B253987G?psc=1,https://m.media-amazon.com/images/I/719R773-IFL._AC_SY355_.jpg,Lactovit,4.36,610,610,300,"2,891.73","2,885.48",128,"1,355",AMZ,4.3,1,4.6,"1,107",7,64,Amazon,Beauty,Small Parcel,AMZ,9.20 x 8.80 x 9.00 cm,0.45,N/A,"May 24, 2022",,No,47,Amazon
"CeraVe SA Anti-Rough Smoothing Cream For Dry, Rough and Imperfected Skin, For Face and Body, Exfoliates and Hydrates, With Ceramides, Salicylic Acid and Hyaluronic Acid, 340 ml",B07W8H8MBX,Check / urea,https://www.amazon.es/dp/B07W8H8MBX?psc=1,https://m.media-amazon.com/images/I/61vwcsxZG4L._AC_SY355_.jpg,CeraVe,15.29,"1,958","1,619","1,000","28,473.17","24,743.84",176,189,AMZ,6.03,22,4.5,"24,262",2,39,Amazon,Beauty,Small Parcel,AMZ,9.45 x 7.20 x 9.20 cm,0.39,N/A,"Aug 9, 2019",,No,80,Amazon
"CeraVe Moisturizing Lotion, Dry to Very Dry Skin, Hydrates and Restores the Protective Barrier, Enriched with Essential Ceramides and Hyaluronic Acid, Lightweight Formula, Suitable for Face and Body",B07CG2TD9F,Cream,https://www.amazon.es/dp/B07CG2TD9F?psc=1,https://m.media-amazon.com/images/I/61YQYvukieL._AC_SY355_.jpg,CeraVe,9.3,"1,712",140,200,"25,622","1,354.15",198,69,AMZ,3.74,11,4.6,"64,661",8,558,Amazon,Beauty,Large Envelope,AMZ,15.80 x 3.80 x 7.00 cm,0.28,N/A,"Nov 5, 2025",,No,5,Amazon
"Weleda - Almond Soothing Facial Cream, Moisturizes, Protects, Regenerates and Soothes Skin, Relieves Irritation, with Sweet Almond Oil and Plum Bone, Natural, Unscented - 30ml",B003LDJK5O,Cream,https://www.amazon.es/dp/B003LDJK5O?psc=1,https://m.media-amazon.com/images/I/51iP3t-4gcL._AC_SY355_.jpg,Weleda,14.4,326,249,100,"4,756.82","3,674.44",175,"3,004",AMZ,N/A,8,4.2,"3,796",10,26,Amazon,Beauty,Large Envelope,AMZ,12.70 x 2.69 x 3.91 cm,0.04,N/A,"Dec 7, 2006",,No,232,Amazon
CeraVe Body Moisturizer & Travel Moisturizer Set for Dry & Body Skin with Hyaluronic Acid 340g + Travel Facial Moisturizer for Normal & Dry Skin 20ml,B096Y1992S,Cream,https://www.amazon.es/dp/B096Y1992S?psc=1,https://m.media-amazon.com/images/I/51TTj+Vi41L._SX342_.jpg,CeraVe,16.14,175,175,N/A,"2,760.47","2,759.60",149,"5,689",AMZ,6.44,1,4.6,"2,381",7,18,Amazon,Beauty,Small Parcel,AMZ,11.00 x 7.40 x 9.40 cm,0.42,N/A,"Aug 12, 2021",,No,56,Amazon
"Instituto Español Atopic Skin Body Lotion, 750 Milliliters (Packaging May Differ)",B08W8H13RH,Check,https://www.amazon.es/dp/B08W8H13RH?psc=1,https://m.media-amazon.com/images/I/61zq9OeCbcL._AC_SY355_.jpg,Instituto Español,7.78,"1,493","1,493",900,"11,679.03","11,676.19",81,342,AMZ,4.59,5,4.6,"1,669",1,26,Amazon,Beauty,Small Parcel,AMZ,27.79 x 8.61 x 10.01 cm,0.85,N/A,"Feb 9, 2021",,No,62,Amazon
"La Roche Posay LIPIKAR Baume Light AP+M, 400 m",B0FSRVPY96,Cream,https://www.amazon.es/dp/B0FSRVPY96?psc=1,https://m.media-amazon.com/images/I/61buVLxiskL._SX342_.jpg,La Roche-Posay,30,176,176,100,"5,173.43","5,172.78",46,"3,439",AMZ,8.49,2,4,19,6,7,Amazon,Beauty,Extra Large Envelope,AMZ,20.30 x 5.70 x 5.70 cm,0.44,N/A,"Oct 17, 2025",,No,6,Amazon
"CeraVe SA Anti-Rough Smoothing Cream For Dry, Rough and Imperfected Skin, For Face and Body, Exfoliates and Hydrates, With Ceramides, Salicylic Acid and Hyaluronic Acid, 177 ml",B07WL7WV52,Check,https://www.amazon.es/dp/B07WL7WV52?psc=1,https://m.media-amazon.com/images/I/71asmW4QToL._AC_SY355_.jpg,CeraVe,10.8,15,349,200,165.21,"3,826.27",176,"1,274",AMZ,4.84,7,4.5,"24,262",2,N/A,Amazon,Beauty,Extra Large Envelope,AMZ,16.40 x 4.60 x 5.10 cm,0.2,N/A,"Aug 9, 2019",,No,80,Amazon
"Bepanthol Derma SensiCalm to Relieve Itching and Redness of Skin Irritations in Just 30 Minutes, Cortisone Free, 20g",B00WEOGK5Y,Check,https://www.amazon.es/dp/B00WEOGK5Y?psc=1,https://m.media-amazon.com/images/I/61K7avo9EjL._AC_SY355_.jpg,BEPANTHOL,6.81,"3,222","1,464",900,"33,943.21","10,005.76",116,87,AMZ,4.34,12,4.4,"4,442",7,79,Amazon,Beauty,Large Envelope,AMZ,12.00 x 3.40 x 3.60 cm,0.03,N/A,"Sep 28, 2015",,No,127,Amazon
