"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
9.,"E45 Dermatitis Cream 50 ml to Treat Symptoms of Dermatitis or Eczema – Relieve Itching and Reduce Inflammation and Redness - Anti-Inflammatory Eczema & Dermatitis Cream - Steroid Free","B07X1QJ4XJ","https://www.amazon.co.uk/dp/B07X1QJ4XJ?psc=1","https://m.media-amazon.com/images/I/51ijS7NLpCL._AC_SY355_.jpg","E45",11.66,780,780,700,"11,040.13","11,040.13",183,"5,603","GB",4.55,13,4.5,"1,307",6,10,"Your carer 007","Beauty","Large Envelope","MFN","13.50 x 3.40 x 3.60 cm",0.1,"N/A","Aug 10, 2019",,"No",83,"Your carer 007"
10.,"Antifungal Cream for Scalp & Body Skin: Suitable for Athletes Foot, Ringworm, Jock Itch, Tinea Versicolor & Seborrheic Dermatitis, Gentle and Effective Plant-Based Formula 20g","B0GDG2XHCY","https://www.amazon.co.uk/dp/B0GDG2XHCY?psc=1","https://m.media-amazon.com/images/I/71n6k2WRouL._AC_SY355_.jpg","Kopa Haiku",8.32,"9,514","9,514","7,000","109,590.6","109,590.6",175,299,"CN",2.02,2,4.8,497,7,51,"Golden-Link","Health & Personal Care","Standard Envelope","FBA","13.80 x 2.40 x 4.10 cm",0.03,"N/A","Dec 31, 2025",,"No",7,"Golden-Link"
16.,"E45 Itch Relief Cream 500g – Treatment for Eczema, Dry Skin, Dermatitis and Itchy Skin – Instant 24-Hour Hydration with Urea for Moisture Retention - Perfume free and dermatologically tested","B001EJOHUU","https://www.amazon.co.uk/dp/B001EJOHUU?psc=1","https://m.media-amazon.com/images/I/51Y6C5624FL._AC_SY355_.jpg","E45",14.58,"6,918","6,918","5,000","115,679.98","115,679.98",190,603,"AMZ",5.72,24,4.6,"3,339",7,39,"Amazon","Health & Personal Care","Small Parcel","AMZ","21.10 x 7.80 x 8.20 cm",0.61,"N/A","Aug 6, 2008",,"No",215,"Amazon"
17.,"Seborrheic Dermatitis Face Cream: Steroid-Free Formula for Folliculitis- & Psoriasis-Prone Skin – Helps Reduce Redness, Itching & Flaking 1.7oz","B0GVTNWZKP","https://www.amazon.co.uk/dp/B0GVTNWZKP?psc=1","https://m.media-amazon.com/images/I/71XMPBWv8rL._AC_SY355_.jpg","Recuren Plus",9.99,299,299,200,"2,984.09","2,984.1",143,"9,241","CN",4.01,1,4.9,98,7,4,"Dalian Zhouxiang Trading Co., Ltd.","Beauty","Large Envelope","FBA","12.80 x 3.40 x 4.10 cm",0.05,"N/A","Apr 2, 2026",,"No",3,"Dalian Zhouxiang Trading Co., Ltd."
18.,"Seborrheic Dermatitis & Psoriasis Face Cream: Soothing Natural Formula Treatment for Face, Scalp & Chest with 12 Botanical Extracts, Ceramides & Shea Butter – Steroid-Free","B0G1YP8QLG","https://www.amazon.co.uk/dp/B0G1YP8QLG?psc=1","https://m.media-amazon.com/images/I/71qZOXLOolL._AC_SY355_.jpg","Kopa Haiku",16.66,581,581,500,"10,403.48","10,403.5",171,"7,338","CN",5.76,2,4.8,204,7,25,"Golden-Link","Beauty","Large Envelope","FBA","12.30 x 3.20 x 4.00 cm",0.07,"N/A","Nov 12, 2025",,"No",8,"Golden-Link"
23.,"Antibacterial Cream, Eczema Cream, Itch Relief Cream Fast Relief for Dermatitis Itchy Rashes, Psoriasis Ointment Relieves Itchy Skin","B0GRTY5TC1","https://www.amazon.co.uk/dp/B0GRTY5TC1?psc=1","https://m.media-amazon.com/images/I/61R5QjekiNL._AC_SY355_.jpg","MUPMEN",9.99,"2,190","2,190","1,000","21,881.22","21,881.21",132,"2,071","CN",3.05,1,4,23,7,11,"huiru","Health & Personal Care","Standard Envelope","FBA","12.90 x 1.90 x 3.10 cm",0.03,"N/A","Mar 9, 2026",,"No",4,"huiru"
24.,"Doublebase Dry Skin Emollient. Clinically Proven Moisturiser for Eczema, Psoriasis and Dermatitis Treatment. Body Cream for Dry Skin Relief, 100g Tube","B084F57JWZ","https://www.amazon.co.uk/dp/B084F57JWZ?psc=1","https://m.media-amazon.com/images/I/61aiWWIBnCL._AC_SY355_.jpg","Doublebase",4.37,"9,003","1,741","2,000","66,036.42","9,096.84",150,240,"AMZ",2.88,9,4.6,"8,894",9,45,"Amazon","Beauty","Large Envelope","AMZ","17.30 x 3.20 x 5.40 cm",0.11,"N/A","Feb 1, 2020",,"No",77,"Amazon"
29.,"Zinc and Calendula Cream 100% Natural - for perioral dermatitis, rosacea, acne, nappy rash cream, spots, blemishes, breakouts, rashes (30ml)","B073NPTX28","https://www.amazon.co.uk/dp/B073NPTX28?psc=1","https://m.media-amazon.com/images/I/71tqJ3domdL._AC_SY355_.jpg","Lyonsleaf",10.82,807,747,600,"11,602.5","9,709.04",140,"4,733","GB",5.64,1,4.3,"1,082",9,8,"Lyonsleaf","Beauty","Extra Large Envelope","FBA","5.21 x 4.19 x 4.39 cm",0.08,"N/A","Jul 2, 2017",,"No",108,"Lyonsleaf"
30.,"Seborrheic Dermatitis Cream 150ml | Skin Care | Moisturising Formula for Dry, Flaky & Itchy Skin | Hydrates, Softens & Comforts Skin","B0FCNNZZG4","https://www.amazon.co.uk/dp/B0FCNNZZG4?psc=1","https://m.media-amazon.com/images/I/61DNAI968RL._AC_SY355_.jpg","Natures Relief Co",13.32,275,275,200,"4,399.37","4,399.36",132,"15,601","GB",6.2,1,3.7,130,7,10,"PD & MP Trading Limited","Beauty","Small Parcel","FBA","12.20 x 7.90 x 10.80 cm",0.16,"N/A","Nov 4, 2025",,"No",8,"PD & MP Trading Limited"
34.,"Pinewoods Fast Acting Hydrocortisone Cream 1% w/w Bite and Sting Cream, Mosquito and Bee Sting Treatment, Itchy Skin and Redness Solution, 3 x 10g Tubes for Eczema and Irritation","B0DLWWBP7D","https://www.amazon.co.uk/dp/B0DLWWBP7D?psc=1","https://m.media-amazon.com/images/I/61-xpHOCDxL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg","Generic",6.62,"4,981","4,981","4,000","40,552.51","40,552.54",178,291,"GB",1.94,2,4.6,"1,943",8,39,"Asrev Healthcare","Health & Personal Care","Standard Envelope","FBA","10.10 x 2.40 x 9.70 cm",0.06,"N/A","Nov 4, 2024",,"No",20,"Asrev Healthcare"
