"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
4.,"Bioderma Atoderm Intensive Baume Sensitive Skin 500ml","B0161ZC5GY","https://www.amazon.co.uk/dp/B0161ZC5GY?psc=1","https://m.media-amazon.com/images/I/51QgGKN2WaL._AC_SY355_.jpg","Bioderma",16.25,939,946,600,"18,412.67","18,730.26",53,"3,453","GB",3.84,26,4.7,"9,588",7,114,"Dalintober Trading Limited","Beauty","Small Parcel","FBA","21.00 x 6.60 x 7.00 cm",0.55,"N/A","Oct 2, 2015",,"No",129,"Dalintober Trading Limited"
9.,"La Roche-Posay Lipikar Syndet AP+, Soothing Cream Wash, Niacinamide, Shea Butter, For Very Dry Sensitive Eczema Prone Skin, Face Body Cleanser, Fragrance Free, 400ml","B01LTGM28G","https://www.amazon.co.uk/dp/B01LTGM28G?psc=1","https://m.media-amazon.com/images/I/71lduOrTHeL._AC_SX342_.jpg",,20.15,"1,849","1,849","1,000","34,640.42","34,640.42",165,"3,387","AMZ",6,1,4.7,"4,781",10,87,"Amazon","Beauty","Extra Large Envelope","AMZ","20.00 x 5.90 x 6.00 cm",0.47,"N/A","Sep 19, 2016",,"No",118,"Amazon"
10.,"Uriage Xemose C8+ Lipid-Replenishing Anti-Itch Balm 500ml - Nourishes, Repairs, Soothes - Very Dry Skin Prone to Atopic Eczema - 8 Biomimetic Ceramides & 10% Shea Butter - Face & Body - Fragrance-Free","B07JDLL4LP","https://www.amazon.co.uk/dp/B07JDLL4LP?psc=1","https://m.media-amazon.com/images/I/61A8QSx664L._AC_SY355_.jpg","Uriage",16.21,335,335,200,"6,513.95","6,513.94",200,"10,228","GB",5.96,16,4.3,"1,687",8,46,"Uriage UK","Beauty","Small Parcel","FBA","20.50 x 6.60 x 6.70 cm",0.53,"N/A","Sep 29, 2018",,"No",94,"Uriage UK"
20.,"Eucerin AtoControl Calming Face Cream 50ml, Calming Moisturiser Suitable for Atopic Dermatitis, Fragrance-Free Gentle Face Cream with Ceramides, Soothes Itching and Reduces Redness","B0DWNGKF6Z","https://www.amazon.co.uk/dp/B0DWNGKF6Z?psc=1","https://m.media-amazon.com/images/I/61Ys2lC0cCL._AC_SX342_.jpg","Eucerin",12.17,196,196,100,"3,076.14","3,076.14",180,"14,107","AMZ",5.7,7,4.5,46,7,1,"Amazon","Beauty","Large Envelope","AMZ","13.00 x 3.20 x 4.30 cm",0.07,"N/A","Feb 10, 2025",,"No",17,"Amazon"
21.,"Instituto Espanol Atopic Skin Deep Care Cream 400 ml.","B00XAIPT0U","https://www.amazon.co.uk/dp/B00XAIPT0U?psc=1","https://m.media-amazon.com/images/I/41RqrMdRgEL._AC_SY355_.jpg","Instituto Español",6.87,11,11,"N/A",84.11,84.1,53,"122,835","BG",4.48,6,4.6,"1,053",1,8,"Nikilko2017","Beauty","Small Parcel","FBA","10.20 x 8.70 x 9.80 cm",0.53,"N/A","Sep 28, 2015",,"No",130,"Nikilko2017"
22.,"Cetraben Moisturising Cream, For Dry, Itchy, Sensitive & Eczema-Prone Skin, Soothe, Moisturise, Hydrate, & Protect, Dermatological Moisturiser, Daily Use on the Body, Fragrance Free, 1 x 475ml","B071VGB2LW","https://www.amazon.co.uk/dp/B071VGB2LW?psc=1","https://m.media-amazon.com/images/I/61zQxAoMkIL._AC_SY355_.jpg","Cetraben",8.87,"16,257","12,954","9,000","181,412.65","160,816.75",192,142,"AMZ",4.98,15,4.6,"9,355",9,44,"Amazon","Beauty","Small Parcel","AMZ","21.20 x 7.60 x 7.90 cm",0.61,"N/A","May 10, 2017",,"No",110,"Amazon"
27.,"AproDerm® Colloidal Oat Cream 500ml Pump – Paraffin Free, Vegan, 2-in-1 Moisturiser and Soap Substitute for Dry Skin, Eczema, Dermatitis and Psoriasis","B07QK1K57J","https://www.amazon.co.uk/dp/B07QK1K57J?psc=1","https://m.media-amazon.com/images/I/51UzFQghmtL._AC_SY355_.jpg","AproDerm",8.32,"4,346","4,346","3,000","43,419.18","43,419.18",150,763,"GB",3.84,8,4.6,"4,391",6,15,"Fontus Health Ltd","Beauty","Small Parcel","FBA","20.80 x 7.29 x 8.31 cm",0.58,"N/A","May 24, 2016",,"No",122,"Fontus Health Ltd"
28.,"Eucerin AtoControl Acute Care Cream 100ml, Gentle Moisturiser to Target Acute Effects of Atopic Dermatitis, Dry Skin Moisturiser for Softer Skin, Soothes Dry, Itchy and Irritated Skin","B0DQLNCB27","https://www.amazon.co.uk/dp/B0DQLNCB27?psc=1","https://m.media-amazon.com/images/I/61u0l1SPogL._AC_SX342_.jpg","Eucerin",15.44,267,267,200,"4,976.37","4,976.36",183,"15,268","AMZ",6.29,11,4.3,53,8,2,,"Beauty","Large Envelope","AMZ","14.10 x 3.90 x 5.90 cm",0.11,"N/A","Dec 16, 2024",,"No",19,
29.,"Atopiclair Cream, 100 ml Atopiclair Cream 100ml","B004CB6TZ8","https://www.amazon.co.uk/dp/B004CB6TZ8?psc=1","https://m.media-amazon.com/images/I/71hcwZ+b1gL._AC_SY355_.jpg","ALLIANCE PHARMACEUTICALS",15.87,15,15,"N/A",266.96,266.95,47,"130,339","GB",5.62,5,4.2,63,3,0,"Dosza's Store","Beauty","Large Envelope","FBA","19.90 x 3.30 x 5.30 cm",0.14,"N/A","Aug 14, 2012",,"No",167,"Dosza's Store"
30.,"ISDIN Nutratopic®PRO-AMP Emollient body cream (200 ml) | Moisturization and protection for atopic skin","B00A7WFZ88","https://www.amazon.co.uk/dp/B00A7WFZ88?psc=1","https://m.media-amazon.com/images/I/6139CE7fOpL._AC_SY445_PIbundle-12,TopRight,0,0_SH20_.jpg",,18.45,28,28,"N/A",557.05,557.06,102,"60,865","PT",5.93,5,4.7,857,6,2,"Amazon","Beauty","Extra Large Envelope","MFN","18.90 x 5.40 x 7.20 cm",0.22,"N/A","Sep 28, 2015",,"No",130,"Amazon"
