Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
5,"Bi-Oil Skin Care Oil, Special Care Product for Scars and Stretch Marks 125 ml",B00KWCQHZ8,https://www.amazon.de/dp/B00KWCQHZ8?psc=1,https://m.media-amazon.com/images/I/61eZ758cYQL._SY355_.jpg,Bio-Oil,12.31,"2,349","1,609","1,000","36,778.52","24,059.52",77,527,AMZ,5.66,1,4.5,"12,867",8,36,Amazon,Beauty,Extra Large Envelope,AMZ,15.00 x 4.30 x 4.70 cm,0.12,N/A,"Jul 1, 2012",,No,168,Amazon
6,Kneipp Skin Oil Almond Blossom Gentle Skin 100 ml,B000ORUNP6,https://www.amazon.de/dp/B000ORUNP6?psc=1,https://m.media-amazon.com/images/I/71vHVemEkQL._SY355_.jpg,Kneipp,4.19,"1,438","1,438",700,"7,173.98","7,174.01",49,"1,836",AMZ,4.47,8,4.7,"2,812",6,29,Amazon,Beauty,Extra Large Envelope,AMZ,13.50 x 5.20 x 5.20 cm,0.2,N/A,"Mar 26, 2007",,No,232,Amazon
12,"Aveeno Skin Relief Body Oil Spray - With Oat Oil and Jojoba Oil, Provides Long-Lasting Moisture, Strengthens the Skin Protection Barrier and Improves Elasticity for Very Dry, Sensitive Skin",B0DGH2CDK4,https://www.amazon.de/dp/B0DGH2CDK4?psc=1,https://m.media-amazon.com/images/I/71uHTx7cPYL._SY355_.jpg,Aveeno,9.16,876,876,300,"12,508.52","12,508.53",189,"3,529",AMZ,6.12,19,4.2,353,7,15,Amazon,Beauty,Large Envelope,AMZ,18.90 x 4.00 x 4.20 cm,0.23,N/A,"Sep 9, 2024",,No,22,Amazon
13,"BIODERMA Atoderm Shower Oil - Soothing and Irritation-Relieving Cleansing - Instant Wellbeing and 24 Hours Moisturising - Sensitive, Very Dry to Irritated Skin - Pump Bottle 1 L",B00ZY65OSI,https://www.amazon.de/dp/B00ZY65OSI?psc=1,https://m.media-amazon.com/images/I/615ZenpkpGL._SY355_.jpg,Bioderma,16.87,"1,246","1,246",700,"25,296.73","25,296.73",177,"1,484",LT,6.54,41,4.7,"31,117",8,264,Cosmetica ✅,Beauty,Small Parcel,FBA,22.50 x 8.00 x 10.50 cm,1.17,N/A,"Aug 27, 2015",,No,131,Cosmetica ✅
14,Kneipp Organic Care Oil Special - Natural Cosmetics - Skin Oil for Scars & Stretch Marks - For Dry & Stressed Skin - 100 ml,B0FLQCRYWT,https://www.amazon.de/dp/B0FLQCRYWT?psc=1,https://m.media-amazon.com/images/I/71AErD7+m4L._SY355_.jpg,Kneipp,6.84,"1,010",278,100,"7,175.85","2,306.51",123,"2,615",AMZ,3.73,7,4.6,198,7,19,Amazon,Beauty,Extra Large Envelope,AMZ,16.50 x 5.00 x 5.60 cm,0.2,N/A,"Aug 8, 2025",,No,11,Amazon
15,"Rilastil Xerolact Face and Body Oil for Babies, Children and Adults, Moisturising, Relipidizing for Dry, Irritated and Atopic Skin 1000ml",B0DVM1G1B3,https://www.amazon.de/dp/B0DVM1G1B3?psc=1,https://m.media-amazon.com/images/I/61qoRmZRZTL._SY445_.jpg,Rilastil,14.83,97,97,50,"1,732.55","1,732.54",137,"24,092",AMZ,6.21,7,4.6,503,7,22,Amazon,Beauty,Small Parcel,AMZ,24.80 x 8.70 x 9.50 cm,1.17,N/A,"Feb 5, 2025",,No,17,Amazon
20,"free oil skin care oil bath, with high-quality vegetable oils, moisturizing, replenishing, relaxes and soothes extremely dry and sensitive skin, pharmacist quality, vegan (5 x 40 ml)",B000V3KJHA,https://www.amazon.de/dp/B000V3KJHA?psc=1,https://m.media-amazon.com/images/I/51mzrSHz0cL._AC_SY355_.jpg,frei öl,6.04,131,131,100,854.74,854.73,182,"11,465",AMZ,3.66,10,4.6,231,6,1,Amazon,Beauty,Extra Large Envelope,AMZ,15.20 x 4.70 x 4.70 cm,0.21,N/A,"Aug 29, 2007",,No,227,Amazon
21,"Organic Almond Oil, Pure, Cold Pressed, Natural. Cosmetic Massage Oil, Hair and Beard Oil, Body Oil, Anti-Wrinkle Face Oil, Stretch Marks, Nails, Almond Oil Baby, Scalp Oil - 250 ml",B073YC4MD3,https://www.amazon.de/dp/B073YC4MD3?psc=1,https://m.media-amazon.com/images/I/71izdryUoWL._SY355_.jpg,B.O.T cosmetic & wellness,8.19,955,387,100,"14,461.42","4,251.04",181,"2,459",AMZ,5.14,5,4.5,"2,078",7,22,Amazon,Beauty,Extra Large Envelope,AMZ,15.20 x 5.60 x 5.80 cm,0.28,N/A,"Aug 14, 2017",,No,107,Amazon
22,Kneipp Sensitive Care Oil - Skin Oil for Dry & Sensitive Skin - Body Oil with High-Quality Almond Oil - 100 ml,B0FLQCBT59,https://www.amazon.de/dp/B0FLQCBT59?psc=1,https://m.media-amazon.com/images/I/71-erZh71xL._SY355_.jpg,Kneipp,5.42,"1,010",284,100,"7,175.85","1,834.44",110,"2,615",AMZ,3.6,8,4.6,198,6,19,Amazon,Beauty,Extra Large Envelope,AMZ,16.30 x 6.00 x 6.00 cm,0.1,N/A,"Aug 8, 2025",,No,11,Amazon
23,"Kanzy 100% Organic Jojoba Oil for Hair, Skin, Face, Cold Pressed Hexane-free Oil, Natural Massage Oil for Hair, Intensive Body Care Oil for Cosmetics and Dry Skin - 120 ml 120 ml",B07BYPW7LZ,https://www.amazon.de/dp/B07BYPW7LZ?psc=1,https://m.media-amazon.com/images/I/71KUbTeCjJL._SX355_.jpg,KANZY,11.34,"16,350","2,805","1,000","164,775.94","36,400.17",178,34,GB,5.57,1,4.5,"50,763",9,410,KANZY,Beauty,Extra Large Envelope,FBA,13.80 x 4.90 x 5.00 cm,0.23,N/A,"Mar 8, 2021",,No,64,KANZY
