"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"SVR - Topialysis Cleansing Oil - 24H Anti-Scratch Relipidant Cleansing Oil - For dry to atopic skin - Omega 3-6-9, Niacinamide, Prebiotics - 1000ml","B09D8SW19S","https://www.amazon.fr/dp/B09D8SW19S?psc=1","https://m.media-amazon.com/images/I/616VBTp3TaL._AC_SY355_.jpg","SVR",17.52,982,943,500,"19,344.14","18,767.41",147,"2,076","FR",9.94,3,4.6,"1,664",6,48,"Cosmeco","Beauty","Small Parcel","FBA","23.30 x 8.30 x 8.80 cm",1.17,"N/A","May 7, 2021",,"No",62,"Cosmeco"
2.,"BIOLANE - Dermo-protective cleansing oil - Baby bath - Dry and sensitive skin - Body and hair - Soothing treatment - Soap free - 96% natural origin - 500ml - Made in France","B0FKTHNWDH","https://www.amazon.fr/dp/B0FKTHNWDH?psc=1","https://m.media-amazon.com/images/I/61Wqo-w5KNL._AC_SY355_.jpg","Biolane",8.25,348,348,200,"3,445.95","3,445.93",172,"3,385","AMZ",5.16,1,4.5,110,7,6,"Amazon","Beauty","Extra Large Envelope","AMZ","22.40 x 5.10 x 7.70 cm",0.59,"N/A","Aug 1, 2025",,"No",11,"Amazon"
4.,"Corine de Farme, Nourishing Cleansing Oil for Baby, Calendula Extract, Hypoallergenic, Gentle Cleansing for Dry to Very Dry Skin, Suitable for Hair, 97% Natural Ingredients","B0DYV9FK1Y","https://www.amazon.fr/dp/B0DYV9FK1Y?psc=1","https://m.media-amazon.com/images/I/616yxt1ryJL._AC_SY355_.jpg","Corine de Farme",3.19,845,879,600,"3,238.01","3,368.09",172,229,"AMZ",4.62,2,4.5,288,5,11,"Amazon","Baby Products","Small Parcel","AMZ","21.10 x 6.10 x 18.40 cm",0.56,"N/A","Feb 28, 2025",,"No",17,"Amazon"
5.,"Topicrem - Ultra Moisturizing Shower Gel - Gently cleanses, protects and moisturizes the skin - Soap Free, Smooth Texture, Delicate Odour, Sensitive and Dry Skin, Made in France - 1000ml","B08JGKTCVQ","https://www.amazon.fr/dp/B08JGKTCVQ?psc=1","https://m.media-amazon.com/images/I/51p-ME3-zZL._AC_SY355_.jpg","Topicrem",5.74,531,525,300,"3,756.14","3,715.97",186,287,"AMZ",6.51,4,4.5,734,8,15,"Amazon","Beauty","Small Parcel","AMZ","23.70 x 8.40 x 8.40 cm",1.1,"N/A","Oct 13, 2020",,"No",69,"Amazon"
6.,"Vea Olio Vea Base Oil 20ml","B008LVMPM6","https://www.amazon.fr/dp/B008LVMPM6?psc=1","https://m.media-amazon.com/images/I/61cVVU3ijIL._AC_SY355_.jpg","Vea Olio",22.94,44,44,"N/A","1,011.79","1,011.77",26,"24,458","N/A",7.9,1,4.6,280,1,0,,"Beauty","Large Envelope","MFN","10.90 x 2.90 x 3.90 cm",0.03,"N/A","Jun 7, 2010",,"No",193,
7.,"SANEX - Derma Therapie - Anti-itch and anti-irritation shower oil - Shower gel - Skin prone to atopic eczema - hypoallergenic - amino acid complex - Pump 720ml","B0GR6KBSGZ","https://www.amazon.fr/dp/B0GR6KBSGZ?psc=1","https://m.media-amazon.com/images/I/61aO0lMHqvL._AC_SY355_.jpg","Sanex",5.27,202,202,100,"1,400.66","1,400.67",159,"2,555","AMZ",6.66,1,5,1,9,0,"Amazon","Beauty","Standard Parcel","AMZ","24.60 x 12.30 x 13.30 cm",0.83,"N/A","Mar 4, 2026",,"No",4,"Amazon"
8.,"Cadum Soothing, Softness, Hypoallergenic, Cleansing, Nourishing Baby Oil Wash Body and Hair (Pack of 1)","B09K7WBNKP","https://www.amazon.fr/dp/B09K7WBNKP?psc=1","https://m.media-amazon.com/images/I/61L12VTzdwL._AC_SY355_.jpg","Cadum",4.16,"1,336","1,270",600,"8,521.62","8,192.58",103,216,"AMZ",4.76,3,4.7,965,6,13,"Amazon","Baby Products","Extra Large Envelope","AMZ","23.50 x 5.60 x 9.00 cm",0.84,"N/A","Oct 25, 2021",,"No",57,"Amazon"
9.,"Mustela Stelatopia Cleansing Gel for Extremely Dry Skin or Atopic Dermatitis, Body and Hair, Babies, Children, The Whole Family - Soothes Itching, Fragrance Free (500ml)","B07YQ5LW2Q","https://www.amazon.fr/dp/B07YQ5LW2Q?psc=1","https://m.media-amazon.com/images/I/71pBDl77TcL._AC_SY355_.jpg","Mustela",13.07,67,42,"N/A",943.79,657.47,169,"3,176","AMZ",7.07,3,4.5,547,11,9,"Amazon","Baby Products","Extra Large Envelope","AMZ","22.90 x 5.70 x 8.00 cm",0.56,"N/A","Oct 4, 2019",,"No",81,"Amazon"
10.,"Topicrem - Ultra-Moisturizing, Shower Oil - Cleans, Nourishes, Protects - Face and Body Shower Gel for Sensitive, Dry Skin, Babies, Children and Adults - Made in France - 500ml (Pack of 2)","B0G5B8D7SQ","https://www.amazon.fr/dp/B0G5B8D7SQ?psc=1","https://m.media-amazon.com/images/I/71-IDpPGNUL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Topicrem",19.8,348,0,"N/A","3,421.96",0,188,"1,261","AMZ","N/A",1,4.6,204,6,11,"Amazon","Beauty","Small Parcel","AMZ","20.30 x 6.10 x 6.30 cm",1.14,"N/A","Jul 7, 2023",,"No",36,"Amazon"
11.,"SANEX - Derma Therapie - Anti-itch and anti-irritation shower oil - Shower gel - Skin prone to atopic eczema - hypoallergenic - amino acid complex - 425 ML","B0DZDBXPXW","https://www.amazon.fr/dp/B0DZDBXPXW?psc=1","https://m.media-amazon.com/images/I/71l+57wTwlL._AC_SY355_.jpg","Sanex",3.83,"1,751","1,737","1,000","8,008.93","7,947.87",155,499,"AMZ",4.74,2,4.4,390,8,29,"Amazon","Beauty","Extra Large Envelope","AMZ","18.50 x 4.40 x 8.80 cm",0.5,"N/A","Mar 5, 2025",,"No",16,"Amazon"
12.,"Mustela - Stelatopia Organic Sunflower Cleansing Oil - Gentle cleansing for very dry or atopic skin - 98% natural ingredients - Baby and Family Cleansing Oil Pump Bottle","B07YPQ8B63","https://www.amazon.fr/dp/B07YPQ8B63?psc=1","https://m.media-amazon.com/images/I/71TtUuugacL._AC_SY355_.jpg","Mustela",9.29,153,151,100,"1,744.88","1,726.04",169,"1,541","AMZ",7.03,5,4.7,814,10,60,"Amazon","Baby Products","Extra Large Envelope","AMZ","22.90 x 5.50 x 7.70 cm",0.57,"N/A","Oct 4, 2019",,"No",81,"Amazon"
13.,"Mustela - Baby Cleansing Oil - Gentle and Nourishing Care for Dry Skin, Body, Face and Hair - 98% natural ingredients - Cleans, Soothes and Protects Sensitive Skin","B07TCJ785D","https://www.amazon.fr/dp/B07TCJ785D?psc=1","https://m.media-amazon.com/images/I/71fll9r2sxL._AC_SY355_.jpg","Mustela",8.33,351,340,200,"3,505.28","3,397.19",163,713,"AMZ",5.11,3,4.6,"1,791",10,31,"Amazon","Baby Products","Extra Large Envelope","AMZ","22.70 x 5.60 x 8.30 cm",0.56,"N/A","Apr 13, 2016",,"No",123,"Amazon"
