"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
6.,"Rilastil Xerolact Dry Skin Protective Cleansing Oil, Special Price, 1000 ml","B0CBKDC7JY","https://www.amazon.it/dp/B0CBKDC7JY?psc=1","https://m.media-amazon.com/images/I/61TP-hpUQPL._AC_SY355_.jpg","Rilastil",10.65,"8,440","8,663","5,000","109,634.69","112,537.21",75,32,"AMZ",7.14,24,4.6,382,3,99,"Amazon","Beauty","Small Parcel","AMZ","24.60 x 8.30 x 8.40 cm",1.16,"N/A","Jul 20, 2022",,"No",48,"Amazon"
7.,"Mustela Stelatopia Bath Oil for Skin with Extreme Dryness or Atopic Dermatitis, Body and Hair, Babies, Children, Whole Family, Daily Cleansing, Replenishes Skin Lipids (500 ml)","B07YPQ8B63","https://www.amazon.it/dp/B07YPQ8B63?psc=1","https://m.media-amazon.com/images/I/61A32zg3oXL._AC_SY355_.jpg","Mustela",13.11,422,422,200,"6,571.87","6,571.88",176,602,"AMZ",6.74,34,4.6,816,12,62,,"Baby Products","Extra Large Envelope","AMZ","22.90 x 5.50 x 7.70 cm",0.57,"N/A","Oct 11, 2019",,"No",81,
13.,"La Roche-Posay Lipikar AP+ Cleansing Oil, for Dry Skin with Atopic Eczema Tendency, Anti-Inflammatory and Anti-Itching, Enriched with Aqua Posae Filiformis and Niacinamide, 1L","B0DJPB34JN","https://www.amazon.it/dp/B0DJPB34JN?psc=1","https://m.media-amazon.com/images/I/51cgRDTF18L._AC_SX342_.jpg","La Roche-Posay",23.9,"1,975","1,975","1,000","47,210.14","47,210.15",175,497,"AMZ",8.77,1,4.6,632,1,26,"Amazon","Beauty","Small Parcel","AMZ","22.40 x 8.60 x 8.60 cm",1.15,"N/A","Nov 5, 2025",,"No",8,"Amazon"
14.,"Eucerin Atopi Control Soothing Cleansing Oil 400ml, Body Cleansing Oil for Daily Use, Shower Oil with 60% Natural Oils for Dry, Irritated and Atopic Dermatitis Skin","B07CJDK8D8","https://www.amazon.it/dp/B07CJDK8D8?psc=1","https://m.media-amazon.com/images/I/61Y4L6OHm2L._AC_SY355_.jpg","Eucerin",12.62,"1,080",987,600,"19,102.54","15,199.52",164,"1,395","AMZ",4,24,4.6,687,8,10,"Amazon","Beauty","Large Envelope","AMZ","21.90 x 3.50 x 8.30 cm",0.44,"N/A","Mar 30, 2018",,"No",100,"Amazon"
15.,"BIODERMA Atoderm Shower Oil - Soothing and Anti-Irritation Cleanser - Instant Comfort and Hydration for 24 Hours - Sensitive Skin from Very Dry to Irritated - Pump Bottle 1 Litre","B00ZY65OSI","https://www.amazon.it/dp/B00ZY65OSI?psc=1","https://m.media-amazon.com/images/I/615ZenpkpGL._AC_SY355_.jpg","Bioderma",13.52,"1,684","1,684",900,"32,077.24","32,077.27",178,537,"IT",8.73,45,4.6,"31,108",8,250,"Farmacia Gaudiana","Beauty","Small Parcel","MFN","22.50 x 8.00 x 10.50 cm",1.17,"N/A","Aug 27, 2015",,"No",131,"Farmacia Gaudiana"
16.,"VITAMINDERMINA Restorative Cleansing Oil 500ml - Body Cleansing - For Dry, Very Dry, Sensitive, Atopic Prone Skin - Soothing and Antipruritic - For Babies, Children and Adults","B0BWVNBNYM","https://www.amazon.it/dp/B0BWVNBNYM?psc=1","https://m.media-amazon.com/images/I/61Kd0rKEFRL._AC_SY355_.jpg","VITAMINDERMINA",8.11,498,498,300,"5,480.49","5,480.49",175,408,"AMZ",5.81,17,4.7,59,1,12,"Amazon","Baby Products","Small Parcel","AMZ","21.80 x 6.20 x 6.40 cm",0.6,"N/A","Feb 25, 2023",,"No",41,"Amazon"
17.,"Rilastil Xerolact Olio Detergente Viso e Corpo per Neonati, Bambini e Adulti, Idratante, Relipidante, per Pelli Secche, Irritate e con Tendenza Atopica","B0DVM1G1B3","https://www.amazon.it/dp/B0DVM1G1B3?psc=1","https://m.media-amazon.com/images/I/61qoRmZRZTL._AC_SY445_.jpg","Rilastil",15.49,"2,560","2,341","2,000","45,358.49","41,294.91",151,130,"AMZ",9.1,22,4.6,"3,262",3,38,"Amazon","Beauty","Small Parcel","AMZ","24.80 x 8.70 x 9.50 cm",1.17,"N/A","Jan 31, 2025",,"No",18,"Amazon"
18.,"BioNike Triderm A.D. Soothing Shower Oil, Micellar Body Cleanser with Panthenol, Sorbitol and Vitamin E, Reduces Dryness, Itching and Redness for Atopic Tendency Skin, 500 ml","B0DGGYPV7H","https://www.amazon.it/dp/B0DGGYPV7H?psc=1","https://m.media-amazon.com/images/I/51Tq3DEsxoL._AC_SX342_.jpg","Bionike",20.75,457,457,200,"11,523.62","11,523.61",174,"2,761","AMZ",8.93,7,4.6,70,3,2,,"Beauty","Small Parcel","AMZ","16.50 x 6.70 x 7.00 cm",0.62,"N/A","Sep 9, 2024",,"No",22,
23.,"URIAGE XÉMOSE C8+ Body Wash for Dry Skin, Atopic Tendency I Soothes for Long-Lasting Comfort, Nourishing Gel Oil Texture with Light Foam I Face and Body I Unscented and Soap Free","B06XXWTV3H","https://www.amazon.it/dp/B06XXWTV3H?psc=1","https://m.media-amazon.com/images/I/71H2h7cq2pL._AC_SY355_.jpg","Uriage",12.27,"1,342",312,200,"21,143.68","5,621.92",178,804,"FR",7.76,37,4.6,"5,947",8,72,"Parasanteonline","Beauty","Small Parcel","FBA","20.50 x 6.30 x 6.40 cm",0.62,"N/A","May 11, 2017",,"No",110,"Parasanteonline"
24.,"La Roche-Posay Lipikar AP+ Cleansing Shower Oil, for Sensitive Skin, Anti-Redness, Ultra-Hydration, Formula with Aqua Posae Filiformis, Shea Butter, Niacinamide, 400 ml","B07Q6FG1T6","https://www.amazon.it/dp/B07Q6FG1T6?psc=1","https://m.media-amazon.com/images/I/71ly0UcyTUL._AC_SX342_.jpg","La Roche-Posay",13.21,244,244,100,"3,473.43","3,473.42",168,"1,388","AMZ",6.21,1,4.6,"2,755",2,40,"Amazon","Beauty","Extra Large Envelope","AMZ","20.10 x 5.50 x 5.50 cm",0.48,"N/A","Jan 9, 2019",,"No",90,"Amazon"
