"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",35.34,19.217843915572352,33.98
"2025-04-09 02:00:00",40.83,,36.33
"2025-04-10 02:00:00",27.84,,36.74
"2025-04-11 02:00:00",27.84,,40.85
"2025-04-12 02:00:00",40.83,,42.59
"2025-04-13 02:00:00",56.63,,42.22
"2025-04-14 02:00:00",56.63,,42.83
"2025-04-15 02:00:00",47.52,,43.69
"2025-04-16 02:00:00",38.28,,41.99
"2025-04-17 02:00:00",32.05,,41.19
"2025-04-18 02:00:00",33.88,,36.87
"2025-04-19 02:00:00",28.91,,35.7
"2025-04-20 02:00:00",51.08,,36.19
"2025-04-21 02:00:00",26.39,,37.23
"2025-04-22 02:00:00",39.31,,38.17
"2025-04-23 02:00:00",41.72,,40.39
"2025-04-24 02:00:00",39.31,,38.73
"2025-04-25 02:00:00",40.48,,40.61
"2025-04-26 02:00:00",44.43,,41
"2025-04-27 02:00:00",39.5,,40.36
"2025-04-28 02:00:00",39.5,,39.51
"2025-04-29 02:00:00",42.09,,40.16
"2025-04-30 02:00:00",37.22,,40.73
"2025-05-01 02:00:00",33.36,,39.25
"2025-05-02 02:00:00",45.03,,37.39
"2025-05-03 02:00:00",48.42,,35.78
"2025-05-04 02:00:00",29.1,,36.32
"2025-05-05 02:00:00",26.54,,39.39
"2025-05-06 02:00:00",30.8,,40.4
"2025-05-07 02:00:00",40.98,,42.23
"2025-05-08 02:00:00",54.85,,42.18
"2025-05-09 02:00:00",52.14,,42.24
"2025-05-10 02:00:00",61.22,,41.09
"2025-05-11 02:00:00",28.7,,38.49
"2025-05-12 02:00:00",26.96,,35.37
"2025-05-13 02:00:00",22.79,,32.3
"2025-05-14 02:00:00",22.79,,28.27
"2025-05-15 02:00:00",32.98,,29.47
"2025-05-16 02:00:00",30.69,,30.42
"2025-05-17 02:00:00",32.98,,32.2
"2025-05-18 02:00:00",37.07,,34.84
"2025-05-19 02:00:00",33.61,,34.93
"2025-05-20 02:00:00",35.25,,33.93
"2025-05-21 02:00:00",41.32,,32.6
"2025-05-22 02:00:00",33.61,,34.19
"2025-05-23 02:00:00",23.67,,34.55
"2025-05-24 02:00:00",23.67,,33.64
"2025-05-25 02:00:00",48.22,,31.01
"2025-05-26 02:00:00",36.11,,30.01
"2025-05-27 02:00:00",28.86,,30.23
"2025-05-28 02:00:00",22.94,,29.92
"2025-05-29 02:00:00",26.57,,29.16
"2025-05-30 02:00:00",25.24,,29.8
"2025-05-31 02:00:00",21.47,,30.08
"2025-06-01 02:00:00",42.9,,30.6
"2025-06-02 02:00:00",40.62,,30.59
"2025-06-03 02:00:00",30.82,,30.78
"2025-06-04 02:00:00",26.55,,30.95
"2025-06-05 02:00:00",26.55,,28.31
"2025-06-06 02:00:00",26.55,,26.68
"2025-06-07 02:00:00",22.63,,25.2
"2025-06-08 02:00:00",24.44,,23.97
"2025-06-09 02:00:00",29.25,,23.02
"2025-06-10 02:00:00",20.42,,22.4
"2025-06-11 02:00:00",17.95,,24.64
"2025-06-12 02:00:00",19.87,,25.87
"2025-06-13 02:00:00",22.25,,26.11
"2025-06-14 02:00:00",38.28,,26.88
"2025-06-15 02:00:00",33.09,,27.2
"2025-06-16 02:00:00",30.9,,27.13
"2025-06-17 02:00:00",25.79,,27.11
"2025-06-18 02:00:00",20.22,,24.41
"2025-06-19 02:00:00",19.38,,22.21
"2025-06-20 02:00:00",22.13,,21.96
"2025-06-21 02:00:00",19.38,,22.44
"2025-06-22 02:00:00",17.69,,23.04
"2025-06-23 02:00:00",29.15,,22.8
"2025-06-24 02:00:00",29.15,,21.98
"2025-06-25 02:00:00",24.41,,21.64
"2025-06-26 02:00:00",17.69,,24.33
"2025-06-27 02:00:00",16.4,,23.67
"2025-06-28 02:00:00",17.02,,22.52
"2025-06-29 02:00:00",36.48,,22.04
"2025-06-30 02:00:00",24.54,,22.15
"2025-07-01 02:00:00",21.08,,22.3
"2025-07-02 02:00:00",21.08,,22.59
"2025-07-03 02:00:00",18.48,,21.8
"2025-07-04 02:00:00",17.41,,23.41
"2025-07-05 02:00:00",19.07,,24.82
"2025-07-06 02:00:00",30.93,,26.22
"2025-07-07 02:00:00",35.81,,26.93
"2025-07-08 02:00:00",30.93,,28.05
"2025-07-09 02:00:00",30.93,,28.18
"2025-07-10 02:00:00",23.46,,26.29
"2025-07-11 02:00:00",25.2,,24.69
"2025-07-12 02:00:00",20.01,,23.79
"2025-07-13 02:00:00",17.67,,22.51
"2025-07-14 02:00:00",24.62,,21.62
"2025-07-15 02:00:00",24.62,,19.76
"2025-07-16 02:00:00",22.02,,18.71
"2025-07-17 02:00:00",17.18,,19
"2025-07-18 02:00:00",12.17,,18.3
"2025-07-19 02:00:00",12.66,,17.59
"2025-07-20 02:00:00",19.71,,17.26
"2025-07-21 02:00:00",19.71,,17.96
"2025-07-22 02:00:00",19.71,,18.06
"2025-07-23 02:00:00",0,,15.28
"2025-07-24 02:00:00",22.02,,18.13
"2025-07-25 02:00:00",12.91,,17.03
"2025-07-26 02:00:00",12.91,,16.24
"2025-07-27 02:00:00",17.64,,16.29
"2025-07-28 02:00:00",21.12,,15.1
"2025-07-29 02:00:00",14.15,,15.21
"2025-07-30 02:00:00",13.27,,14.89
"2025-07-31 02:00:00",13.7,,14.12
"2025-08-01 02:00:00",13.7,,13.66
"2025-08-02 02:00:00",10.64,,14.5
"2025-08-03 02:00:00",12.25,,14.4
"2025-08-04 02:00:00",17.91,,13.83
"2025-08-05 02:00:00",20.05,,13.46
"2025-08-06 02:00:00",12.56,,14.6
"2025-08-07 02:00:00",9.67,,14.68
"2025-08-08 02:00:00",11.17,,14.14
"2025-08-09 02:00:00",18.57,,13.3
"2025-08-10 02:00:00",12.86,,13.82
"2025-08-11 02:00:00",14.12,,15.17
"2025-08-12 02:00:00",14.12,,15.35
