"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",26.77,14.598907478104604,29.46
"2025-04-09 02:00:00",22.68,,26.97
"2025-04-10 02:00:00",38.24,,27.59
"2025-04-11 02:00:00",38.24,,23.76
"2025-04-12 02:00:00",17.47,,25.59
"2025-04-13 02:00:00",11.46,,26.27
"2025-04-14 02:00:00",11.46,,22.37
"2025-04-15 02:00:00",39.59,,19.5
"2025-04-16 02:00:00",27.46,,18.72
"2025-04-17 02:00:00",10.94,,18.99
"2025-04-18 02:00:00",18.1,,18.6
"2025-04-19 02:00:00",12,,15.3
"2025-04-20 02:00:00",13.37,,15.24
"2025-04-21 02:00:00",8.74,,15.02
"2025-04-22 02:00:00",16.51,,14.16
"2025-04-23 02:00:00",27.02,,14.57
"2025-04-24 02:00:00",9.4,,17.5
"2025-04-25 02:00:00",12.08,,20.3
"2025-04-26 02:00:00",14.87,,19.68
"2025-04-27 02:00:00",33.85,,17.4
"2025-04-28 02:00:00",28.35,,17.95
"2025-04-29 02:00:00",12.18,,18.31
"2025-04-30 02:00:00",11.09,,19.28
"2025-05-01 02:00:00",13.24,,16.39
"2025-05-02 02:00:00",14.57,,14.08
"2025-05-03 02:00:00",21.71,,13.77
"2025-05-04 02:00:00",13.6,,13.2
"2025-05-05 02:00:00",12.18,,12.81
"2025-05-06 02:00:00",10.03,,13.3
"2025-05-07 02:00:00",7.04,,12.57
"2025-05-08 02:00:00",10.57,,12.49
"2025-05-09 02:00:00",17.95,,13.28
"2025-05-10 02:00:00",16.63,,13.42
"2025-05-11 02:00:00",13.05,,13.92
"2025-05-12 02:00:00",17.7,,14.09
"2025-05-13 02:00:00",11.01,,12.95
"2025-05-14 02:00:00",10.51,,16.29
"2025-05-15 02:00:00",11.76,,17.88
"2025-05-16 02:00:00",9.97,,19.01
"2025-05-17 02:00:00",40,,20.39
"2025-05-18 02:00:00",24.21,,20.4
"2025-05-19 02:00:00",25.6,,20.26
"2025-05-20 02:00:00",20.69,,20.07
"2025-05-21 02:00:00",10.56,,15.57
"2025-05-22 02:00:00",10.77,,13.75
"2025-05-23 02:00:00",8.64,,11.49
"2025-05-24 02:00:00",8.53,,9.2
"2025-05-25 02:00:00",11.45,,8.27
"2025-05-26 02:00:00",9.77,,7.52
"2025-05-27 02:00:00",4.66,,7.39
"2025-05-28 02:00:00",4.1,,7.29
"2025-05-29 02:00:00",5.47,,6.52
"2025-05-30 02:00:00",7.75,,6.2
"2025-05-31 02:00:00",7.8,,7.11
"2025-06-01 02:00:00",6.09,,8.65
"2025-06-02 02:00:00",7.5,,9.99
"2025-06-03 02:00:00",11.07,,11.01
"2025-06-04 02:00:00",14.84,,11.43
"2025-06-05 02:00:00",14.9,,11.94
"2025-06-06 02:00:00",14.9,,12.25
"2025-06-07 02:00:00",10.71,,11.67
"2025-06-08 02:00:00",9.68,,10.63
"2025-06-09 02:00:00",9.63,,10.01
"2025-06-10 02:00:00",7.05,,9.47
"2025-06-11 02:00:00",7.55,,11.43
"2025-06-12 02:00:00",10.57,,11.81
"2025-06-13 02:00:00",11.09,,12.04
"2025-06-14 02:00:00",24.44,,12.34
"2025-06-15 02:00:00",12.32,,12.32
"2025-06-16 02:00:00",11.24,,11.99
"2025-06-17 02:00:00",9.2,,12.02
"2025-06-18 02:00:00",7.37,,12
"2025-06-19 02:00:00",8.26,,12.99
"2025-06-20 02:00:00",11.33,,12.9
"2025-06-21 02:00:00",24.28,,13.79
"2025-06-22 02:00:00",19.27,,15
"2025-06-23 02:00:00",10.57,,15.19
"2025-06-24 02:00:00",15.42,,14.63
"2025-06-25 02:00:00",15.86,,12.14
"2025-06-26 02:00:00",9.57,,11.04
"2025-06-27 02:00:00",7.42,,11.22
"2025-06-28 02:00:00",6.89,,10.46
"2025-06-29 02:00:00",11.56,,9.14
"2025-06-30 02:00:00",11.81,,9.56
"2025-07-01 02:00:00",10.11,,9.42
"2025-07-02 02:00:00",6.63,,9.14
"2025-07-03 02:00:00",12.52,,9.46
"2025-07-04 02:00:00",6.41,,8.69
"2025-07-05 02:00:00",4.96,,10.17
"2025-07-06 02:00:00",13.79,,14.1
"2025-07-07 02:00:00",0,,12.9
"2025-07-08 02:00:00",21.92,,17.05
"2025-07-09 02:00:00",25.31,,18.19
"2025-07-10 02:00:00",17.9,,16.34
"2025-07-11 02:00:00",13.53,,15.26
"2025-07-12 02:00:00",9.55,,14.11
"2025-07-13 02:00:00",8.28,,12.38
"2025-07-14 02:00:00",10.36,,11.3
"2025-07-15 02:00:00",13.82,,13.04
"2025-07-16 02:00:00",13.2,,14.74
"2025-07-17 02:00:00",0,,13.21
"2025-07-18 02:00:00",22.24,,16.25
"2025-07-19 02:00:00",22.1,,15.61
"2025-07-20 02:00:00",10.75,,15.79
"2025-07-21 02:00:00",9.43,,17.6
"2025-07-22 02:00:00",9.43,,17.53
"2025-07-23 02:00:00",25.81,,17.86
"2025-07-24 02:00:00",23.47,,21.49
"2025-07-25 02:00:00",21.73,,22.55
"2025-07-26 02:00:00",24.39,,23.97
"2025-07-27 02:00:00",36.19,,24.92
"2025-07-28 02:00:00",16.85,,23.31
"2025-07-29 02:00:00",19.34,,22.22
"2025-07-30 02:00:00",32.49,,20.43
"2025-07-31 02:00:00",12.18,,19.14
"2025-08-01 02:00:00",14.12,,21.56
"2025-08-02 02:00:00",11.82,,21.41
"2025-08-03 02:00:00",27.18,,18.67
"2025-08-04 02:00:00",33.76,,18.77
"2025-08-05 02:00:00",18.34,,18.58
"2025-08-06 02:00:00",13.29,,18.43
"2025-08-07 02:00:00",12.91,,15.89
"2025-08-08 02:00:00",12.78,,12.43
"2025-08-09 02:00:00",10.74,,11.06
"2025-08-10 02:00:00",9.38,,10.72
"2025-08-11 02:00:00",9.58,,10.53
"2025-08-12 02:00:00",8.71,,10.25
"2025-08-13 02:00:00",10.97,,14.14
"2025-08-14 02:00:00",11.57,,14.56
