"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",43.8,11.771546923545799,37.18
"2025-04-09 02:00:00",27.58,,29.02
"2025-04-10 02:00:00",28.75,,27.9
"2025-04-11 02:00:00",28.75,,26.44
"2025-04-12 02:00:00",19.07,,24.03
"2025-04-13 02:00:00",18.58,,28.14
"2025-04-14 02:00:00",18.58,,26.99
"2025-04-15 02:00:00",26.89,,26.62
"2025-04-16 02:00:00",56.34,,32.43
"2025-04-17 02:00:00",20.72,,35.34
"2025-04-18 02:00:00",26.19,,36.56
"2025-04-19 02:00:00",59.7,,35.28
"2025-04-20 02:00:00",38.93,,29.58
"2025-04-21 02:00:00",27.15,,28.49
"2025-04-22 02:00:00",17.93,,26.47
"2025-04-23 02:00:00",16.44,,20.14
"2025-04-24 02:00:00",13.08,,17.16
"2025-04-25 02:00:00",12.06,,15.71
"2025-04-26 02:00:00",15.42,,17.04
"2025-04-27 02:00:00",18.04,,18.07
"2025-04-28 02:00:00",16.99,,19.34
"2025-04-29 02:00:00",27.25,,19.42
"2025-04-30 02:00:00",23.65,,18.71
"2025-05-01 02:00:00",21.97,,18.21
"2025-05-02 02:00:00",12.62,,18.65
"2025-05-03 02:00:00",10.48,,18.47
"2025-05-04 02:00:00",14.52,,20.29
"2025-05-05 02:00:00",20.05,,21.73
"2025-05-06 02:00:00",25.97,,23.92
"2025-05-07 02:00:00",36.42,,26
"2025-05-08 02:00:00",32.04,,28.05
"2025-05-09 02:00:00",27.96,,28.09
"2025-05-10 02:00:00",25.05,,27.2
"2025-05-11 02:00:00",28.85,,24.4
"2025-05-12 02:00:00",20.34,,21.37
"2025-05-13 02:00:00",19.74,,19.52
"2025-05-14 02:00:00",16.81,,18.71
"2025-05-15 02:00:00",10.84,,19.14
"2025-05-16 02:00:00",15.02,,18.22
"2025-05-17 02:00:00",19.4,,16.92
"2025-05-18 02:00:00",31.84,,15.9
"2025-05-19 02:00:00",13.86,,15.79
"2025-05-20 02:00:00",10.65,,16.23
"2025-05-21 02:00:00",9.71,,16.43
"2025-05-22 02:00:00",10.07,,13.72
"2025-05-23 02:00:00",18.08,,14.74
"2025-05-24 02:00:00",20.8,,17.73
"2025-05-25 02:00:00",12.84,,20.29
"2025-05-26 02:00:00",21.05,,22.53
"2025-05-27 02:00:00",31.57,,23.29
"2025-05-28 02:00:00",27.59,,23.14
"2025-05-29 02:00:00",25.78,,25.85
"2025-05-30 02:00:00",23.37,,25.27
"2025-05-31 02:00:00",19.8,,22.87
"2025-06-01 02:00:00",31.76,,24.37
"2025-06-02 02:00:00",17.04,,22.44
"2025-06-03 02:00:00",14.78,,20.85
"2025-06-04 02:00:00",38.09,,20.43
"2025-06-05 02:00:00",12.21,,19.66
"2025-06-06 02:00:00",12.29,,20.71
"2025-06-07 02:00:00",16.83,,20.85
"2025-06-08 02:00:00",26.37,,17.94
"2025-06-09 02:00:00",24.41,,17.96
"2025-06-10 02:00:00",15.75,,18.29
"2025-06-11 02:00:00",17.74,,17.29
"2025-06-12 02:00:00",12.36,,15.26
"2025-06-13 02:00:00",14.58,,14.76
"2025-06-14 02:00:00",9.8,,14.84
"2025-06-15 02:00:00",12.2,,13.87
"2025-06-16 02:00:00",20.89,,13.06
"2025-06-17 02:00:00",16.3,,11.98
"2025-06-18 02:00:00",10.98,,11.57
"2025-06-19 02:00:00",6.68,,11.43
"2025-06-20 02:00:00",7,,10.41
"2025-06-21 02:00:00",6.95,,9.36
"2025-06-22 02:00:00",11.19,,8.97
"2025-06-23 02:00:00",13.74,,9.19
"2025-06-24 02:00:00",9.01,,9.12
"2025-06-25 02:00:00",8.2,,8.86
"2025-06-26 02:00:00",8.24,,8.71
"2025-06-27 02:00:00",6.52,,7.65
"2025-06-28 02:00:00",5.1,,7.01
"2025-06-29 02:00:00",10.13,,6.48
"2025-06-30 02:00:00",6.38,,5.76
"2025-07-01 02:00:00",4.53,,5.41
"2025-07-02 02:00:00",4.48,,5.29
"2025-07-03 02:00:00",3.2,,5.24
"2025-07-04 02:00:00",4.02,,5.58
"2025-07-05 02:00:00",4.26,,5.73
"2025-07-06 02:00:00",9.79,,5.88
"2025-07-07 02:00:00",8.75,,6.15
"2025-07-08 02:00:00",5.61,,6.25
"2025-07-09 02:00:00",5.5,,6.14
"2025-07-10 02:00:00",5.14,,5.43
"2025-07-11 02:00:00",4.68,,5.15
"2025-07-12 02:00:00",3.53,,5.5
"2025-07-13 02:00:00",4.8,,6.3
"2025-07-14 02:00:00",6.82,,7.12
"2025-07-15 02:00:00",8.02,,8.05
"2025-07-16 02:00:00",11.12,,9.14
"2025-07-17 02:00:00",10.87,,9.46
"2025-07-18 02:00:00",11.18,,9.37
"2025-07-19 02:00:00",11.18,,9.1
"2025-07-20 02:00:00",7.03,,8.2
"2025-07-21 02:00:00",6.16,,7.39
"2025-07-22 02:00:00",6.17,,7.87
"2025-07-23 02:00:00",4.81,,8.43
"2025-07-24 02:00:00",5.21,,9.06
"2025-07-25 02:00:00",14.55,,9.16
"2025-07-26 02:00:00",15.07,,9.01
"2025-07-27 02:00:00",11.44,,8.98
"2025-07-28 02:00:00",6.88,,9.11
"2025-07-29 02:00:00",5.08,,8.95
"2025-07-30 02:00:00",4.64,,8.14
"2025-07-31 02:00:00",6.11,,7.88
"2025-08-01 02:00:00",13.4,,8.06
"2025-08-02 02:00:00",9.45,,8.54
"2025-08-03 02:00:00",9.59,,8.68
"2025-08-04 02:00:00",8.12,,8.41
"2025-08-05 02:00:00",8.45,,7.38
"2025-08-06 02:00:00",5.67,,7.57
"2025-08-07 02:00:00",4.2,,7.45
"2025-08-08 02:00:00",6.2,,7.51
"2025-08-09 02:00:00",10.76,,8.93
"2025-08-10 02:00:00",8.75,,9.58
"2025-08-11 02:00:00",8.52,,10.14
"2025-08-12 02:00:00",18.44,,10.14
"2025-08-13 02:00:00",10.18,,10.29
"2025-08-14 02:00:00",8.12,,10.59
"2025-08-15 02:00:00",6.2,,10.63
"2025-08-16 02:00:00",11.79,,8.58
"2025-08-17 02:00:00",10.87,,7.79
