"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",12.49,8.673568556079003,12.08
"2025-04-09 02:00:00",13.85,,11.9
"2025-04-10 02:00:00",10.68,,11.59
"2025-04-11 02:00:00",10.09,,12.18
"2025-04-12 02:00:00",8.49,,11.07
"2025-04-13 02:00:00",14.83,,9.76
"2025-04-14 02:00:00",14.83,,8.9
"2025-04-15 02:00:00",4.71,,8.22
"2025-04-16 02:00:00",4.71,,8.71
"2025-04-17 02:00:00",4.63,,7.5
"2025-04-18 02:00:00",5.36,,6.4
"2025-04-19 02:00:00",11.93,,6.64
"2025-04-20 02:00:00",6.33,,7.21
"2025-04-21 02:00:00",7.12,,7.75
"2025-04-22 02:00:00",6.37,,8.11
"2025-04-23 02:00:00",8.74,,10.29
"2025-04-24 02:00:00",8.37,,11.79
"2025-04-25 02:00:00",7.93,,14.55
"2025-04-26 02:00:00",27.14,,15.97
"2025-04-27 02:00:00",16.84,,16.86
"2025-04-28 02:00:00",26.47,,17.56
"2025-04-29 02:00:00",16.3,,17.87
"2025-04-30 02:00:00",14.99,,15.29
"2025-05-01 02:00:00",13.23,,14.58
"2025-05-02 02:00:00",10.13,,11.69
"2025-05-03 02:00:00",9.05,,10.52
"2025-05-04 02:00:00",11.9,,9.9
"2025-05-05 02:00:00",6.23,,10.35
"2025-05-06 02:00:00",8.12,,10.42
"2025-05-07 02:00:00",10.63,,10.86
"2025-05-08 02:00:00",16.39,,10.18
"2025-05-09 02:00:00",10.63,,10.52
"2025-05-10 02:00:00",12.09,,10.4
"2025-05-11 02:00:00",7.15,,9.72
"2025-05-12 02:00:00",8.64,,7.86
"2025-05-13 02:00:00",7.26,,7.03
"2025-05-14 02:00:00",5.9,,5.99
"2025-05-15 02:00:00",3.35,,5.93
"2025-05-16 02:00:00",4.79,,5.32
"2025-05-17 02:00:00",4.85,,5.13
"2025-05-18 02:00:00",6.72,,5.29
"2025-05-19 02:00:00",4.34,,6.31
"2025-05-20 02:00:00",5.94,,6.97
"2025-05-21 02:00:00",7.01,,7.88
"2025-05-22 02:00:00",10.52,,7.74
"2025-05-23 02:00:00",9.39,,8.89
"2025-05-24 02:00:00",11.23,,9.36
"2025-05-25 02:00:00",5.73,,9.98
"2025-05-26 02:00:00",12.43,,9.79
"2025-05-27 02:00:00",9.24,,9.86
"2025-05-28 02:00:00",11.29,,10.29
"2025-05-29 02:00:00",9.2,,10.97
"2025-05-30 02:00:00",9.93,,10.41
"2025-05-31 02:00:00",14.19,,10.46
"2025-06-01 02:00:00",10.54,,11.76
"2025-06-02 02:00:00",8.47,,13.76
"2025-06-03 02:00:00",9.62,,15.62
"2025-06-04 02:00:00",20.35,,15.43
"2025-06-05 02:00:00",23.19,,14.98
"2025-06-06 02:00:00",22.95,,14.93
"2025-06-07 02:00:00",12.87,,15.59
"2025-06-08 02:00:00",7.41,,14.91
"2025-06-09 02:00:00",8.14,,13.63
"2025-06-10 02:00:00",14.2,,12.11
"2025-06-11 02:00:00",15.62,,13.05
"2025-06-12 02:00:00",14.23,,13.91
"2025-06-13 02:00:00",12.28,,14.46
"2025-06-14 02:00:00",19.47,,14.21
"2025-06-15 02:00:00",13.44,,14.16
"2025-06-16 02:00:00",11.96,,12.99
"2025-06-17 02:00:00",12.49,,12.33
"2025-06-18 02:00:00",15.24,,10.86
"2025-06-19 02:00:00",6.03,,11.06
"2025-06-20 02:00:00",7.66,,10.71
"2025-06-21 02:00:00",9.19,,9.84
"2025-06-22 02:00:00",14.86,,8.36
"2025-06-23 02:00:00",9.5,,8.44
"2025-06-24 02:00:00",6.43,,8.39
"2025-06-25 02:00:00",4.87,,7.99
"2025-06-26 02:00:00",6.55,,7.27
"2025-06-27 02:00:00",7.3,,9.05
"2025-06-28 02:00:00",6.43,,9.93
"2025-06-29 02:00:00",9.84,,10.67
"2025-06-30 02:00:00",21.92,,10.73
"2025-07-01 02:00:00",12.63,,10.96
"2025-07-02 02:00:00",10.04,,11.29
"2025-07-03 02:00:00",6.92,,13.25
"2025-07-04 02:00:00",8.95,,12.8
"2025-07-05 02:00:00",8.71,,12.79
"2025-07-06 02:00:00",23.55,,12.52
"2025-07-07 02:00:00",18.8,,12.68
"2025-07-08 02:00:00",12.59,,13.2
"2025-07-09 02:00:00",8.12,,13.3
"2025-07-10 02:00:00",8.02,,10.74
"2025-07-11 02:00:00",0,,8.53
"2025-07-12 02:00:00",13.92,,10.64
"2025-07-13 02:00:00",5.7,,9.8
"2025-07-14 02:00:00",11.38,,11.15
"2025-07-15 02:00:00",13.42,,11
"2025-07-16 02:00:00",10.45,,10.49
"2025-07-17 02:00:00",11.8,,10.58
"2025-07-18 02:00:00",10.36,,10.6
"2025-07-19 02:00:00",10.29,,10.34
"2025-07-20 02:00:00",6.34,,9.46
"2025-07-21 02:00:00",11.55,,8.49
"2025-07-22 02:00:00",11.56,,7.92
"2025-07-23 02:00:00",4.32,,7.83
"2025-07-24 02:00:00",5.04,,8.57
"2025-07-25 02:00:00",6.37,,9.01
"2025-07-26 02:00:00",9.63,,9.72
"2025-07-27 02:00:00",11.49,,10.31
"2025-07-28 02:00:00",14.64,,10.7
"2025-07-29 02:00:00",16.55,,10.95
"2025-07-30 02:00:00",8.46,,10.43
"2025-07-31 02:00:00",7.77,,9.37
"2025-08-01 02:00:00",8.1,,8.48
"2025-08-02 02:00:00",5.99,,7.45
"2025-08-03 02:00:00",4.08,,7.27
"2025-08-04 02:00:00",8.42,,7.23
"2025-08-05 02:00:00",9.33,,7.39
"2025-08-06 02:00:00",7.19,,7.69
"2025-08-07 02:00:00",7.5,,8.51
"2025-08-08 02:00:00",9.21,,9.33
"2025-08-09 02:00:00",8.1,,9.28
"2025-08-10 02:00:00",9.81,,9.56
"2025-08-11 02:00:00",14.2,,10.11
"2025-08-12 02:00:00",8.96,,9.95
"2025-08-13 02:00:00",9.17,,9.57
"2025-08-14 02:00:00",11.29,,9.2
"2025-08-15 02:00:00",8.1,,8.94
"2025-08-16 02:00:00",5.48,,8.63
"2025-08-17 02:00:00",7.17,,8.09
"2025-08-18 02:00:00",12.44,,7.17
"2025-08-19 02:00:00",6.79,,6.57
"2025-08-20 02:00:00",5.37,,6.49
"2025-08-21 02:00:00",4.81,,6.63
"2025-08-22 02:00:00",3.95,,6.75
"2025-08-23 02:00:00",4.92,,6.35
"2025-08-24 02:00:00",8.12,,6.1
"2025-08-25 02:00:00",13.29,,6.08
"2025-08-26 02:00:00",4.02,,6.09
"2025-08-27 02:00:00",3.59,,5.89
"2025-08-28 02:00:00",4.7,,5.47
"2025-08-29 02:00:00",4.01,,4.29
"2025-08-30 02:00:00",3.51,,4.69
"2025-08-31 02:00:00",5.14,,5.14
"2025-09-01 02:00:00",5.04,,5.51
"2025-09-02 02:00:00",6.84,,6.59
"2025-09-03 02:00:00",6.71,,8.45
"2025-09-04 02:00:00",7.31,,8.45
"2025-09-05 02:00:00",11.59,,8.64
"2025-09-06 02:00:00",16.52,,9.19
"2025-09-07 02:00:00",5.11,,10.32
"2025-09-08 02:00:00",6.38,,10.23
"2025-09-09 02:00:00",10.71,,9.76
"2025-09-10 02:00:00",14.59,,8.66
"2025-09-11 02:00:00",6.68,,10.27
"2025-09-12 02:00:00",8.35,,10.87
"2025-09-13 02:00:00",8.78,,10.43
"2025-09-14 02:00:00",16.38,,9.57
"2025-09-15 02:00:00",10.62,,9.49
"2025-09-16 02:00:00",7.58,,9.05
"2025-09-17 02:00:00",8.62,,8.72
"2025-09-18 02:00:00",6.13,,7.44
"2025-09-19 02:00:00",5.25,,6.79
"2025-09-20 02:00:00",6.43,,6.56
"2025-09-21 02:00:00",7.48,,7
"2025-09-22 02:00:00",6.06,,7.85
"2025-09-23 02:00:00",5.96,,9.05
"2025-09-24 02:00:00",11.69,,10.57
"2025-09-25 02:00:00",12.05,,10.43
"2025-09-26 02:00:00",13.71,,10.57
"2025-09-27 02:00:00",17.05,,10.6
"2025-09-28 02:00:00",6.47,,9.98
"2025-09-29 02:00:00",7.07,,9.41
"2025-09-30 02:00:00",6.14,,8.98
"2025-10-01 02:00:00",7.38,,9.99
"2025-10-02 02:00:00",8.06,,12.57
"2025-10-03 02:00:00",10.72,,13.51
"2025-10-04 02:00:00",24.07,,13.82
"2025-10-05 02:00:00",24.55,,14.03
"2025-10-06 02:00:00",13.63,,13.87
"2025-10-07 02:00:00",8.32,,13.28
"2025-10-08 02:00:00",8.83,,10.86
"2025-10-09 02:00:00",6.96,,8.25
"2025-10-10 02:00:00",6.57,,7.4
"2025-10-11 02:00:00",7.14,,7.06
"2025-10-12 02:00:00",6.31,,6.3
"2025-10-13 02:00:00",7.64,,5.97
"2025-10-14 02:00:00",6,,6.25
"2025-10-15 02:00:00",3.47,,6.39
