"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",42.12,22.441884974446133,33.98
"2025-04-09 02:00:00",28.03,,27.05
"2025-04-10 02:00:00",20.67,,29.15
"2025-04-11 02:00:00",20.67,,33.36
"2025-04-12 02:00:00",21.78,,33.08
"2025-04-13 02:00:00",50.11,,32.72
"2025-04-14 02:00:00",50.11,,32.33
"2025-04-15 02:00:00",40.22,,31.83
"2025-04-16 02:00:00",25.49,,31.43
"2025-04-17 02:00:00",17.94,,26.76
"2025-04-18 02:00:00",17.13,,24.82
"2025-04-19 02:00:00",19.01,,21.94
"2025-04-20 02:00:00",17.39,,22.29
"2025-04-21 02:00:00",36.59,,26.1
"2025-04-22 02:00:00",20.02,,28.81
"2025-04-23 02:00:00",27.97,,31.57
"2025-04-24 02:00:00",44.59,,35.65
"2025-04-25 02:00:00",36.11,,35.03
"2025-04-26 02:00:00",38.32,,37.59
"2025-04-27 02:00:00",45.93,,36.91
"2025-04-28 02:00:00",32.3,,32.96
"2025-04-29 02:00:00",37.89,,31.34
"2025-04-30 02:00:00",23.24,,29.43
"2025-05-01 02:00:00",16.93,,26
"2025-05-02 02:00:00",24.8,,24.12
"2025-05-03 02:00:00",24.92,,22.47
"2025-05-04 02:00:00",21.92,,22.87
"2025-05-05 02:00:00",19.15,,27.84
"2025-05-06 02:00:00",26.36,,31.96
"2025-05-07 02:00:00",26.04,,34.14
"2025-05-08 02:00:00",51.69,,35.33
"2025-05-09 02:00:00",53.65,,42.96
"2025-05-10 02:00:00",40.2,,44.29
"2025-05-11 02:00:00",30.23,,47.1
"2025-05-12 02:00:00",72.55,,44.76
"2025-05-13 02:00:00",35.65,,40.47
"2025-05-14 02:00:00",45.72,,38.71
"2025-05-15 02:00:00",35.34,,42.8
"2025-05-16 02:00:00",23.62,,35.54
"2025-05-17 02:00:00",27.89,,33.58
"2025-05-18 02:00:00",58.81,,30.09
"2025-05-19 02:00:00",21.76,,28.56
"2025-05-20 02:00:00",21.91,,27.72
"2025-05-21 02:00:00",21.31,,29.43
"2025-05-22 02:00:00",24.61,,22.91
"2025-05-23 02:00:00",17.77,,23.05
"2025-05-24 02:00:00",39.83,,24.88
"2025-05-25 02:00:00",13.18,,24.59
"2025-05-26 02:00:00",22.77,,24.34
"2025-05-27 02:00:00",34.68,,24.66
"2025-05-28 02:00:00",19.27,,20.71
