"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",4.05,2.764909415309558,3.48
"2025-04-09 02:00:00",3.45,,3.66
"2025-04-10 02:00:00",2.35,,3.57
"2025-04-11 02:00:00",2.35,,3.79
"2025-04-12 02:00:00",6.53,,3.62
"2025-04-13 02:00:00",3.9,,3.61
"2025-04-14 02:00:00",3.9,,3.94
"2025-04-15 02:00:00",2.83,,4.85
"2025-04-16 02:00:00",3.44,,4.72
"2025-04-17 02:00:00",4.66,,4.54
"2025-04-18 02:00:00",8.71,,4.16
"2025-04-19 02:00:00",5.58,,3.91
"2025-04-20 02:00:00",2.64,,3.74
"2025-04-21 02:00:00",1.23,,3.38
"2025-04-22 02:00:00",1.09,,2.37
"2025-04-23 02:00:00",2.29,,1.71
"2025-04-24 02:00:00",2.14,,1.73
"2025-04-25 02:00:00",1.64,,1.7
"2025-04-26 02:00:00",0.97,,1.77
"2025-04-27 02:00:00",2.72,,1.71
"2025-04-28 02:00:00",1.06,,1.58
"2025-04-29 02:00:00",1.55,,1.59
"2025-04-30 02:00:00",1.89,,1.86
"2025-05-01 02:00:00",1.25,,1.89
"2025-05-02 02:00:00",1.66,,2.2
"2025-05-03 02:00:00",2.87,,2.29
"2025-05-04 02:00:00",2.98,,2.37
"2025-05-05 02:00:00",3.21,,3.07
"2025-05-06 02:00:00",2.18,,3.54
"2025-05-07 02:00:00",2.41,,4
"2025-05-08 02:00:00",6.2,,4.38
"2025-05-09 02:00:00",4.93,,5.28
"2025-05-10 02:00:00",6.08,,5.94
"2025-05-11 02:00:00",5.65,,6.51
"2025-05-12 02:00:00",9.54,,6.33
"2025-05-13 02:00:00",6.78,,6.1
"2025-05-14 02:00:00",6.41,,5.71
"2025-05-15 02:00:00",4.9,,5.47
"2025-05-16 02:00:00",3.33,,4.55
"2025-05-17 02:00:00",3.39,,4.33
"2025-05-18 02:00:00",3.92,,4.12
"2025-05-19 02:00:00",3.13,,4.11
"2025-05-20 02:00:00",5.22,,4.5
"2025-05-21 02:00:00",4.96,,5.29
"2025-05-22 02:00:00",4.83,,5.72
"2025-05-23 02:00:00",6.07,,7.18
"2025-05-24 02:00:00",8.87,,7.59
"2025-05-25 02:00:00",6.97,,7.71
"2025-05-26 02:00:00",13.34,,7.82
"2025-05-27 02:00:00",8.09,,7.53
"2025-05-28 02:00:00",5.77,,6.86
"2025-05-29 02:00:00",5.6,,6.54
"2025-05-30 02:00:00",4.1,,5.46
"2025-05-31 02:00:00",4.13,,4.87
"2025-06-01 02:00:00",4.72,,5.1
"2025-06-02 02:00:00",5.79,,5.77
"2025-06-03 02:00:00",3.96,,6.63
"2025-06-04 02:00:00",7.39,,7.14
"2025-06-05 02:00:00",10.32,,7.48
"2025-06-06 02:00:00",10.12,,7.45
"2025-06-07 02:00:00",7.7,,8.43
"2025-06-08 02:00:00",7.05,,7.92
"2025-06-09 02:00:00",5.63,,7.51
"2025-06-10 02:00:00",10.8,,6.88
"2025-06-11 02:00:00",3.79,,6.43
"2025-06-12 02:00:00",7.45,,6.11
"2025-06-13 02:00:00",5.73,,5.97
"2025-06-14 02:00:00",4.55,,5.01
"2025-06-15 02:00:00",4.83,,4.97
"2025-06-16 02:00:00",4.65,,5.36
"2025-06-17 02:00:00",4.08,,5.74
"2025-06-18 02:00:00",3.48,,6
"2025-06-19 02:00:00",10.23,,6
"2025-06-20 02:00:00",8.34,,5.85
"2025-06-21 02:00:00",6.39,,5.78
"2025-06-22 02:00:00",4.83,,5.9
"2025-06-23 02:00:00",3.62,,5.38
"2025-06-24 02:00:00",3.55,,5.62
"2025-06-25 02:00:00",4.31,,6.28
"2025-06-26 02:00:00",6.59,,6.95
"2025-06-27 02:00:00",10.06,,6.91
"2025-06-28 02:00:00",11.03,,7.02
"2025-06-29 02:00:00",9.49,,7.12
"2025-06-30 02:00:00",3.32,,6.88
"2025-07-01 02:00:00",4.32,,6.25
"2025-07-02 02:00:00",5.06,,5.57
"2025-07-03 02:00:00",4.87,,5.29
"2025-07-04 02:00:00",5.68,,5.74
"2025-07-05 02:00:00",6.27,,6.36
"2025-07-06 02:00:00",7.48,,6.89
"2025-07-07 02:00:00",6.52,,6.69
"2025-07-08 02:00:00",8.62,,6.5
