"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",6.92,12.013196975492507,10.88
"2025-04-09 02:00:00",9.41,,12.71
"2025-04-10 02:00:00",19.34,,14.76
"2025-04-11 02:00:00",19.73,,13.97
"2025-04-12 02:00:00",14.75,,14.73
"2025-04-13 02:00:00",13.81,,14.38
"2025-04-14 02:00:00",13.81,,12.39
"2025-04-15 02:00:00",12.27,,10.69
"2025-04-16 02:00:00",6.97,,9.86
"2025-04-17 02:00:00",5.4,,9.41
"2025-04-18 02:00:00",7.85,,8.63
"2025-04-19 02:00:00",8.88,,8.18
"2025-04-20 02:00:00",10.67,,11.35
"2025-04-21 02:00:00",8.39,,12.61
"2025-04-22 02:00:00",9.1,,13.19
"2025-04-23 02:00:00",29.15,,13.57
"2025-04-24 02:00:00",14.24,,13.32
"2025-04-25 02:00:00",11.88,,14.24
"2025-04-26 02:00:00",11.58,,19.25
"2025-04-27 02:00:00",8.89,,16.35
"2025-04-28 02:00:00",14.84,,15.65
"2025-04-29 02:00:00",44.14,,15.37
"2025-04-30 02:00:00",8.88,,15
"2025-05-01 02:00:00",9.34,,15.13
"2025-05-02 02:00:00",9.94,,14.15
"2025-05-03 02:00:00",8.97,,9.44
"2025-05-04 02:00:00",9.77,,10.26
"2025-05-05 02:00:00",7.99,,11.76
"2025-05-06 02:00:00",11.17,,13.36
"2025-05-07 02:00:00",14.63,,14.28
"2025-05-08 02:00:00",19.87,,15.34
"2025-05-09 02:00:00",21.13,,15.68
"2025-05-10 02:00:00",15.43,,17.89
"2025-05-11 02:00:00",17.18,,17.22
"2025-05-12 02:00:00",10.36,,15.55
"2025-05-13 02:00:00",26.6,,13.96
"2025-05-14 02:00:00",10,,12.86
"2025-05-15 02:00:00",8.14,,12.7
"2025-05-16 02:00:00",10,,12.99
"2025-05-17 02:00:00",7.72,,10.48
"2025-05-18 02:00:00",16.11,,9.85
"2025-05-19 02:00:00",12.35,,9.46
"2025-05-20 02:00:00",9.07,,9.3
"2025-05-21 02:00:00",5.58,,9.29
"2025-05-22 02:00:00",5.42,,8.44
"2025-05-23 02:00:00",8.86,,8.26
"2025-05-24 02:00:00",7.61,,8.78
"2025-05-25 02:00:00",10.2,,9.55
"2025-05-26 02:00:00",11.05,,10.52
"2025-05-27 02:00:00",12.75,,11.96
"2025-05-28 02:00:00",10.98,,16.71
"2025-05-29 02:00:00",12.22,,17.82
"2025-05-30 02:00:00",18.91,,18.48
"2025-05-31 02:00:00",40.89,,18.54
"2025-06-01 02:00:00",17.96,,18.52
"2025-06-02 02:00:00",15.66,,18.51
"2025-06-03 02:00:00",13.14,,17.53
"2025-06-04 02:00:00",10.88,,12.71
"2025-06-05 02:00:00",12.12,,11.36
"2025-06-06 02:00:00",12.09,,10.19
"2025-06-07 02:00:00",7.14,,10.37
"2025-06-08 02:00:00",8.46,,10.66
"2025-06-09 02:00:00",7.5,,11.68
"2025-06-10 02:00:00",14.43,,12.4
"2025-06-11 02:00:00",12.9,,13.57
"2025-06-12 02:00:00",19.27,,14.48
"2025-06-13 02:00:00",17.08,,15.3
"2025-06-14 02:00:00",15.36,,14.78
"2025-06-15 02:00:00",14.82,,14.19
"2025-06-16 02:00:00",13.24,,12.16
"2025-06-17 02:00:00",10.81,,10.49
"2025-06-18 02:00:00",8.73,,9.14
"2025-06-19 02:00:00",5.11,,8.1
"2025-06-20 02:00:00",5.37,,8.65
"2025-06-21 02:00:00",5.91,,8.8
"2025-06-22 02:00:00",7.54,,8.95
"2025-06-23 02:00:00",17.1,,9.97
"2025-06-24 02:00:00",11.85,,11.65
"2025-06-25 02:00:00",9.74,,13.57
"2025-06-26 02:00:00",12.25,,14.05
"2025-06-27 02:00:00",17.18,,14.06
"2025-06-28 02:00:00",19.34,,15.24
"2025-06-29 02:00:00",10.86,,15.04
"2025-06-30 02:00:00",0,,15.92
"2025-07-01 02:00:00",17.96,,18.8
"2025-07-02 02:00:00",16.86,,18.41
"2025-07-03 02:00:00",29.22,,24.66
"2025-07-04 02:00:00",19.41,,23.83
"2025-07-05 02:00:00",17.69,,23.14
"2025-07-06 02:00:00",42.29,,22.49
"2025-07-07 02:00:00",23.37,,20.48
"2025-07-08 02:00:00",13.12,,19.37
"2025-07-09 02:00:00",12.31,,18.43
"2025-07-10 02:00:00",15.18,,13.98
"2025-07-11 02:00:00",11.6,,12.41
"2025-07-12 02:00:00",11.12,,13.35
"2025-07-13 02:00:00",11.14,,13.58
"2025-07-14 02:00:00",12.4,,12.42
"2025-07-15 02:00:00",19.68,,11.67
"2025-07-16 02:00:00",13.93,,11
"2025-07-17 02:00:00",7.06,,11.07
"2025-07-18 02:00:00",6.36,,11.46
"2025-07-19 02:00:00",6.43,,10.81
"2025-07-20 02:00:00",11.62,,10.52
"2025-07-21 02:00:00",15.13,,10.67
"2025-07-22 02:00:00",15.13,,10.8
"2025-07-23 02:00:00",11.89,,10.71
"2025-07-24 02:00:00",8.11,,10.09
"2025-07-25 02:00:00",7.27,,8.83
"2025-07-26 02:00:00",5.85,,7.59
"2025-07-27 02:00:00",7.22,,7.94
"2025-07-28 02:00:00",6.37,,9.63
"2025-07-29 02:00:00",6.4,,10.36
"2025-07-30 02:00:00",14.35,,11
"2025-07-31 02:00:00",19.94,,11.15
"2025-08-01 02:00:00",12.4,,12.18
"2025-08-02 02:00:00",10.32,,13.05
"2025-08-03 02:00:00",8.28,,12.94
"2025-08-04 02:00:00",13.54,,12.16
"2025-08-05 02:00:00",12.49,,12.26
"2025-08-06 02:00:00",13.64,,14
"2025-08-07 02:00:00",14.44,,14.33
"2025-08-08 02:00:00",13.13,,13.68
"2025-08-09 02:00:00",22.49,,12.95
"2025-08-10 02:00:00",10.55,,12.25
"2025-08-11 02:00:00",8.99,,13.23
"2025-08-12 02:00:00",7.38,,14.6
"2025-08-13 02:00:00",8.77,,12.86
"2025-08-14 02:00:00",21.31,,12.59
"2025-08-15 02:00:00",22.71,,12.38
"2025-08-16 02:00:00",10.29,,12.5
"2025-08-17 02:00:00",8.65,,12.94
"2025-08-18 02:00:00",7.55,,12.27
"2025-08-19 02:00:00",8.25,,12.62
"2025-08-20 02:00:00",11.79,,12.57
