"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-08 02:00:00",62.6,16.39241092929079,57.53
"2025-04-09 02:00:00",0,,25.19
"2025-04-10 02:00:00",44.84,,42.33
"2025-04-11 02:00:00",44.84,,40.25
"2025-04-12 02:00:00",24.04,,33.17
"2025-04-13 02:00:00",30.3,,33.21
"2025-04-14 02:00:00",30.3,,30.1
"2025-04-15 02:00:00",33.83,,25.95
"2025-04-16 02:00:00",24.34,,24.43
"2025-04-17 02:00:00",23.02,,22.78
"2025-04-18 02:00:00",15.81,,20.9
"2025-04-19 02:00:00",13.39,,18.78
"2025-04-20 02:00:00",18.77,,18.18
"2025-04-21 02:00:00",17.11,,17.07
"2025-04-22 02:00:00",19,,16.17
"2025-04-23 02:00:00",20.14,,15.43
"2025-04-24 02:00:00",15.27,,14.06
"2025-04-25 02:00:00",9.48,,12.76
"2025-04-26 02:00:00",8.22,,11.82
"2025-04-27 02:00:00",9.19,,11.05
"2025-04-28 02:00:00",8.03,,12.46
"2025-04-29 02:00:00",12.38,,12.81
"2025-04-30 02:00:00",14.79,,13.14
"2025-05-01 02:00:00",25.16,,13.2
"2025-05-02 02:00:00",11.9,,13.75
"2025-05-03 02:00:00",10.55,,15.04
"2025-05-04 02:00:00",9.62,,15.27
"2025-05-05 02:00:00",11.85,,14.19
"2025-05-06 02:00:00",21.44,,15.99
"2025-05-07 02:00:00",16.38,,17.29
"2025-05-08 02:00:00",17.57,,18.95
"2025-05-09 02:00:00",24.5,,20.82
"2025-05-10 02:00:00",19.65,,21.33
"2025-05-11 02:00:00",21.28,,21.62
"2025-05-12 02:00:00",24.93,,21.12
"2025-05-13 02:00:00",25.02,,19
"2025-05-14 02:00:00",18.37,,17.71
"2025-05-15 02:00:00",14.09,,16.63
"2025-05-16 02:00:00",9.63,,15.75
"2025-05-17 02:00:00",10.67,,14.77
"2025-05-18 02:00:00",13.69,,18.37
"2025-05-19 02:00:00",18.78,,19.65
"2025-05-20 02:00:00",18.19,,20.77
"2025-05-21 02:00:00",43.55,,22.29
"2025-05-22 02:00:00",23.01,,22.26
"2025-05-23 02:00:00",17.52,,22.64
"2025-05-24 02:00:00",21.26,,24.05
"2025-05-25 02:00:00",13.51,,20.6
"2025-05-26 02:00:00",21.43,,20.5
"2025-05-27 02:00:00",28.08,,21.43
"2025-05-28 02:00:00",19.39,,23.43
"2025-05-29 02:00:00",22.34,,25.56
"2025-05-30 02:00:00",23.97,,27.73
"2025-05-31 02:00:00",35.27,,30.23
"2025-06-01 02:00:00",28.42,,32.35
"2025-06-02 02:00:00",36.65,,33.51
"2025-06-03 02:00:00",45.56,,34.45
"2025-06-04 02:00:00",34.22,,32
"2025-06-05 02:00:00",30.5,,32.52
"2025-06-06 02:00:00",30.5,,30.51
"2025-06-07 02:00:00",18.15,,26.12
"2025-06-08 02:00:00",32.03,,25.81
"2025-06-09 02:00:00",22.6,,25.35
"2025-06-10 02:00:00",14.87,,24.15
"2025-06-11 02:00:00",0,,19.43
"2025-06-12 02:00:00",36.67,,28.44
"2025-06-13 02:00:00",29.83,,25.71
"2025-06-14 02:00:00",0,,17.23
"2025-06-15 02:00:00",21.78,,22.35
"2025-06-16 02:00:00",17.17,,17.65
"2025-06-17 02:00:00",15.19,,14.64
"2025-06-18 02:00:00",14.04,,14.57
"2025-06-19 02:00:00",8.36,,13.87
"2025-06-20 02:00:00",10.76,,13.56
"2025-06-21 02:00:00",14.69,,14.39
"2025-06-22 02:00:00",16.9,,16.28
"2025-06-23 02:00:00",14.98,,17.84
"2025-06-24 02:00:00",21.01,,18.22
"2025-06-25 02:00:00",27.29,,17.57
"2025-06-26 02:00:00",19.28,,16.57
"2025-06-27 02:00:00",13.4,,16.01
"2025-06-28 02:00:00",10.14,,17.29
"2025-06-29 02:00:00",9.92,,17.25
"2025-06-30 02:00:00",11.06,,16.93
"2025-07-01 02:00:00",29.96,,16.74
"2025-07-02 02:00:00",26.99,,17.29
"2025-07-03 02:00:00",17.07,,18.43
"2025-07-04 02:00:00",12.02,,20.18
"2025-07-05 02:00:00",13.99,,23.74
"2025-07-06 02:00:00",17.93,,26.07
"2025-07-07 02:00:00",23.27,,27.73
"2025-07-08 02:00:00",54.88,,29.34
"2025-07-09 02:00:00",43.35,,30.28
"2025-07-10 02:00:00",28.68,,30.71
"2025-07-11 02:00:00",23.25,,29.18
"2025-07-12 02:00:00",20.63,,23.01
"2025-07-13 02:00:00",20.93,,18.92
"2025-07-14 02:00:00",12.53,,16.85
"2025-07-15 02:00:00",11.73,,18.61
"2025-07-16 02:00:00",14.66,,20.57
"2025-07-17 02:00:00",14.23,,21.91
"2025-07-18 02:00:00",35.56,,23.67
"2025-07-19 02:00:00",34.36,,25.54
"2025-07-20 02:00:00",30.31,,24.96
"2025-07-21 02:00:00",24.81,,24.63
"2025-07-22 02:00:00",24.88,,21.86
"2025-07-23 02:00:00",10.54,,18.57
"2025-07-24 02:00:00",11.96,,16.42
"2025-07-25 02:00:00",16.16,,14.94
"2025-07-26 02:00:00",11.35,,14.41
"2025-07-27 02:00:00",15.23,,15.95
"2025-07-28 02:00:00",14.45,,20.85
"2025-07-29 02:00:00",21.18,,23.34
"2025-07-30 02:00:00",21.31,,24.29
"2025-07-31 02:00:00",46.27,,24.42
"2025-08-01 02:00:00",33.62,,25.74
"2025-08-02 02:00:00",17.94,,26.36
"2025-08-03 02:00:00",16.18,,25.54
"2025-08-04 02:00:00",23.71,,21.2
"2025-08-05 02:00:00",25.51,,21.78
"2025-08-06 02:00:00",15.56,,26.57
"2025-08-07 02:00:00",15.85,,30.63
"2025-08-08 02:00:00",37.7,,31.13
"2025-08-09 02:00:00",51.49,,32.07
"2025-08-10 02:00:00",44.58,,34.08
"2025-08-11 02:00:00",27.24,,34.22
"2025-08-12 02:00:00",32.07,,31.08
"2025-08-13 02:00:00",29.64,,26.86
"2025-08-14 02:00:00",16.83,,22.69
"2025-08-15 02:00:00",15.7,,21.8
"2025-08-16 02:00:00",21.95,,21.36
"2025-08-17 02:00:00",15.4,,21.33
"2025-08-18 02:00:00",21.04,,24.56
"2025-08-19 02:00:00",28.96,,26.9
"2025-08-20 02:00:00",29.43,,27.14
"2025-08-21 02:00:00",39.44,,28.72
"2025-08-22 02:00:00",32.1,,30.17
"2025-08-23 02:00:00",23.62,,30.78
"2025-08-24 02:00:00",26.46,,30.98
"2025-08-25 02:00:00",31.15,,29.14
"2025-08-26 02:00:00",33.24,,27.77
"2025-08-27 02:00:00",30.83,,26.43
"2025-08-28 02:00:00",26.61,,24.83
"2025-08-29 02:00:00",22.51,,24.24
"2025-08-30 02:00:00",14.19,,22.58
"2025-08-31 02:00:00",15.31,,22.49
"2025-09-01 02:00:00",26.99,,20.86
"2025-09-02 02:00:00",21.64,,19.48
"2025-09-03 02:00:00",30.21,,19
"2025-09-04 02:00:00",15.17,,18.98
"2025-09-05 02:00:00",12.85,,16.5
"2025-09-06 02:00:00",10.82,,15.53
"2025-09-07 02:00:00",15.19,,14.53
"2025-09-08 02:00:00",9.65,,14.38
"2025-09-09 02:00:00",14.82,,13.97
"2025-09-10 02:00:00",23.22,,13.57
"2025-09-11 02:00:00",14.11,,12.65
"2025-09-12 02:00:00",10,,13.17
"2025-09-13 02:00:00",8,,13.2
"2025-09-14 02:00:00",8.75,,11.99
"2025-09-15 02:00:00",13.28,,13.01
"2025-09-16 02:00:00",15.03,,14.56
"2025-09-17 02:00:00",14.78,,16
