"Time","Sales","Trend Line","7-Day Moving Average"
"2026-02-16 01:00:00",195.18,305.5388289592761,222.72
"2026-02-17 01:00:00",219.83,,260.37
"2026-02-18 01:00:00",264.34,,291.62
"2026-02-19 01:00:00",294.13,,303.21
"2026-02-20 01:00:00",409.48,,322.64
"2026-02-21 01:00:00",394.03,,354.17
"2026-02-22 01:00:00",345.48,,365.76
"2026-02-23 01:00:00",331.18,,373.28
"2026-02-24 01:00:00",440.56,,369.61
"2026-02-25 01:00:00",0,,284.86
"2026-02-26 01:00:00",361.06,,314.75
"2026-02-27 01:00:00",274.41,,283.46
"2026-02-28 01:00:00",241.31,,249.62
"2026-03-01 01:00:00",193.64,,260.52
"2026-03-02 01:00:00",198.82,,260.98
"2026-03-03 01:00:00",236.77,,273.81
"2026-03-04 01:00:00",317.62,,282.86
"2026-03-05 01:00:00",364.26,,320.23
"2026-03-06 01:00:00",364.26,,356.68
"2026-03-07 01:00:00",304.62,,380.99
"2026-03-08 01:00:00",455.25,,375.76
"2026-03-09 01:00:00",453.95,,352.74
"2026-03-10 01:00:00",406.99,,326.09
"2026-03-11 01:00:00",280.96,,322.71
"2026-03-12 01:00:00",203.17,,264.07
"2026-03-13 01:00:00",177.68,,214.32
"2026-03-14 01:00:00",0,,153.7
"2026-03-15 01:00:00",122.56,,156.7
"2026-03-16 01:00:00",131.19,,163.54
"2026-03-17 01:00:00",160.34,,189.11
"2026-03-18 01:00:00",179.38,,211.14
"2026-03-19 01:00:00",242.45,,240.89
"2026-03-20 01:00:00",327.53,,258.5
"2026-03-21 01:00:00",314.56,,280.53
"2026-03-22 01:00:00",330.79,,309.73
"2026-03-23 01:00:00",254.46,,335.08
"2026-03-24 01:00:00",0,,251.94
"2026-03-25 01:00:00",367.55,,364.52
"2026-03-26 01:00:00",496.2,,415.86
"2026-03-27 01:00:00",0,,210.32
"2026-03-28 01:00:00",0,,238.96
"2026-03-29 01:00:00",304.24,,292.19
"2026-03-30 02:00:00",304.24,,244.65
"2026-03-31 02:00:00",200.52,,209.71
"2026-04-01 02:00:00",131.68,,202.43
"2026-04-02 02:00:00",163.39,,194.64
"2026-04-03 02:00:00",163.39,,188.47
"2026-04-04 02:00:00",149.54,,201.48
"2026-04-05 02:00:00",249.71,,218.34
"2026-04-06 02:00:00",261.05,,233.92
"2026-04-07 02:00:00",291.62,194.95425882352941,260.97
