"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-27 02:00:00",3.38,0,4.1
"2025-04-28 02:00:00",5.91,,4.58
"2025-04-29 02:00:00",5.07,,3.86
"2025-04-30 02:00:00",4.22,,3.38
"2025-05-01 02:00:00",1.69,,3.01
"2025-05-02 02:00:00",1.69,,2.28
"2025-05-03 02:00:00",1.69,,1.67
"2025-05-04 02:00:00",0.8,,1.16
"2025-05-05 02:00:00",0.8,,1.01
"2025-05-06 02:00:00",0.8,,0.86
"2025-05-07 02:00:00",0.64,,1.14
"2025-05-08 02:00:00",0.64,,1.48
"2025-05-09 02:00:00",0.64,,1.75
"2025-05-10 02:00:00",3.68,,2.06
"2025-05-11 02:00:00",3.14,,2.38
"2025-05-12 02:00:00",2.7,,2.61
"2025-05-13 02:00:00",2.97,,2.75
"2025-05-14 02:00:00",2.9,,2.86
"2025-05-15 02:00:00",2.23,,2.88
"2025-05-16 02:00:00",1.65,,2.91
"2025-05-17 02:00:00",4.41,,2.81
"2025-05-18 02:00:00",3.29,,2.64
"2025-05-19 02:00:00",2.95,,2.83
"2025-05-20 02:00:00",2.27,,3.17
"2025-05-21 02:00:00",1.7,,3.14
"2025-05-22 02:00:00",3.52,,3.06
"2025-05-23 02:00:00",4.08,,3.41
"2025-05-24 02:00:00",4.2,,3.76
"2025-05-25 02:00:00",2.68,,3.83
"2025-05-26 02:00:00",5.4,,3.65
"2025-05-27 02:00:00",4.73,,3.35
"2025-05-28 02:00:00",2.23,,3
"2025-05-29 02:00:00",2.25,,2.87
"2025-05-30 02:00:00",1.98,,2.25
"2025-05-31 02:00:00",1.73,,1.83
"2025-06-01 02:00:00",1.8,,1.86
"2025-06-02 02:00:00",1.06,,1.89
"2025-06-03 02:00:00",1.74,,1.95
"2025-06-04 02:00:00",2.43,,2
"2025-06-05 02:00:00",2.46,,2.04
"2025-06-06 02:00:00",2.46,,2.12
"2025-06-07 02:00:00",2.06,,2.09
"2025-06-08 02:00:00",2.1,,1.97
"2025-06-09 02:00:00",1.6,,1.86
"2025-06-10 02:00:00",1.51,,1.74
"2025-06-11 02:00:00",1.62,,1.57
"2025-06-12 02:00:00",1.69,,1.51
"2025-06-13 02:00:00",1.62,,1.52
"2025-06-14 02:00:00",0.87,,1.56
"2025-06-15 02:00:00",1.64,,1.69
"2025-06-16 02:00:00",1.72,,1.96
"2025-06-17 02:00:00",1.77,,2.43
"2025-06-18 02:00:00",2.5,,3
"2025-06-19 02:00:00",3.58,,3.86
"2025-06-20 02:00:00",4.92,,4.24
"2025-06-21 02:00:00",4.87,,4.48
"2025-06-22 02:00:00",7.67,,4.65
"2025-06-23 02:00:00",4.35,,4.51
"2025-06-24 02:00:00",3.45,,4.14
"2025-06-25 02:00:00",3.71,,3.86
"2025-06-26 02:00:00",2.57,,3.41
"2025-06-27 02:00:00",2.35,,3.13
"2025-06-28 02:00:00",2.89,,2.83
"2025-06-29 02:00:00",4.53,,2.84
"2025-06-30 02:00:00",2.38,,2.72
"2025-07-01 02:00:00",1.41,,2.63
"2025-07-02 02:00:00",3.72,,2.43
"2025-07-03 02:00:00",1.75,,2.3
"2025-07-04 02:00:00",1.71,,2.52
"2025-07-05 02:00:00",1.5,,2.79
"2025-07-06 02:00:00",3.66,,2.84
"2025-07-07 02:00:00",3.87,,3.82
"2025-07-08 02:00:00",3.35,,4.74
"2025-07-09 02:00:00",4.07,,6
"2025-07-10 02:00:00",8.55,,6.38
"2025-07-11 02:00:00",8.19,,6.11
"2025-07-12 02:00:00",10.31,,5.91
"2025-07-13 02:00:00",6.35,,5.78
"2025-07-14 02:00:00",1.92,,4.98
"2025-07-15 02:00:00",2,,4.15
"2025-07-16 02:00:00",3.13,,3.14
"2025-07-17 02:00:00",2.95,,3.07
"2025-07-18 02:00:00",2.37,,3.06
"2025-07-19 02:00:00",3.28,,3.04
"2025-07-20 02:00:00",5.87,,2.93
"2025-07-21 02:00:00",1.85,,2.76
"2025-07-22 02:00:00",1.86,,2.64
"2025-07-23 02:00:00",2.3,,2.43
"2025-07-24 02:00:00",1.81,,2.13
"2025-07-25 02:00:00",1.51,,2.26
"2025-07-26 02:00:00",1.8,,2.35
"2025-07-27 02:00:00",3.8,,2.31
"2025-07-28 02:00:00",2.74,,2.26
"2025-07-29 02:00:00",2.49,,2.31
"2025-07-30 02:00:00",2.04,,2.43
"2025-07-31 02:00:00",1.41,,2.36
"2025-08-01 02:00:00",1.91,,2.43
"2025-08-02 02:00:00",2.62,,2.8
"2025-08-03 02:00:00",3.34,,2.86
"2025-08-04 02:00:00",3.22,,2.93
"2025-08-05 02:00:00",5.07,,2.9
"2025-08-06 02:00:00",2.47,,2.75
"2025-08-07 02:00:00",1.86,,2.53
"2025-08-08 02:00:00",1.7,,2.43
"2025-08-09 02:00:00",1.62,,2.19
"2025-08-10 02:00:00",1.75,,2.32
"2025-08-11 02:00:00",2.55,,2.58
"2025-08-12 02:00:00",3.35,,2.96
"2025-08-13 02:00:00",3.39,,3.14
"2025-08-14 02:00:00",3.71,,3.35
"2025-08-15 02:00:00",4.36,,3.62
"2025-08-16 02:00:00",2.9,,3.44
"2025-08-17 02:00:00",3.16,,3.19
"2025-08-18 02:00:00",4.47,,2.89
"2025-08-19 02:00:00",2.09,,2.48
"2025-08-20 02:00:00",1.65,,2.72
"2025-08-21 02:00:00",1.61,,3.36
