Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
8.,Cicabiafine – Nourishing Shower Balm (1 L bottle) – Moisturizing cleansing care for very dry skin – Gently cleanses without aggression from 3 years old,B098SRZ72Z,Wash,https://www.amazon.fr/dp/B098SRZ72Z?psc=1,https://m.media-amazon.com/images/I/61Zt7i7DBLL._AC_SY355_.jpg,Cicabiafine,10.99,"1,413","1,413",700,"14,594.44","14,580.65",151,650,AMZ,8.51,1,4.5,859,7,47,Amazon,Beauty,Small Parcel,AMZ,24.40 x 8.40 x 8.50 cm,1.13,N/A,"Jul 7, 2021",,No,57,Amazon
9.,"Puressentiel - Cleansing - Liquid Soap with 3 Organic Essential Oils - Face, Hands and Body - Dry, Sensitive and Reactive Skin - Cleans & Protects - Antibacterial - 500ml",B09J93W1WM,Wash,https://www.amazon.fr/dp/B09J93W1WM?psc=1,https://m.media-amazon.com/images/I/6137okqpz0L._AC_SY355_.jpg,Puressentiel,11.17,232,174,50,"3,112.52","2,561.98",170,"4,337",AMZ,7.47,2,4.5,323,6,3,Amazon,Beauty,Small Parcel,AMZ,21.80 x 6.40 x 6.70 cm,0.57,N/A,"Oct 11, 2021",,No,54,Amazon
15.,"DEXERYL - Soothing Shower Oil - Cleanses & Relipides the skin from birth - Preserves the skin barrier - Very dry or atopic skin - Soap, Fragrance Free - 500 ml",B0CTC4RF1N,Wash,https://www.amazon.fr/dp/B0CTC4RF1N?psc=1,https://m.media-amazon.com/images/I/61t2I6YBQeL._AC_SY355_.jpg,DEXERYL,12.69,709,437,200,"10,103.77","5,535.61",159,"1,034",FR,6.62,1,4.3,42,9,11,MyHomeBoutique,Beauty,Extra Large Envelope,FBA,20.80 x 6.00 x 6.20 cm,0.59,N/A,"Jan 26, 2024",,No,27,MyHomeBoutique
16.,Mixa Expert Sensitive Skin Superfat Shower Cream with Shea Butter 1 Unit,B08QPX7GSL,Cream,https://www.amazon.fr/dp/B08QPX7GSL?psc=1,https://m.media-amazon.com/images/I/61yTYQclnyL._AC_SY355_.jpg,Mixa,2.9,939,939,500,"2,722.91","2,722.74",72,909,AMZ,4.26,7,4.6,883,6,20,Amazon,Beauty,Extra Large Envelope,AMZ,20.20 x 4.10 x 8.00 cm,0.45,N/A,"Jan 31, 2021",,No,63,Amazon
17.,"BIODERMA Atoderm Intensive Foaming Gel - Cleans, Purifies, Helps Soothe Itching - Supergreasy Cleansing Base - Dermatologist Prescribed - For the Whole Family - Pump Bottle 500ml",B00VIU15QO,Wash,https://www.amazon.fr/dp/B00VIU15QO?psc=1,https://m.media-amazon.com/images/I/51UTwUhIZxL._AC_SY355_.jpg,Bioderma,15.7,66,66,N/A,"1,037.82","1,037.06",178,"12,495",N/A,7.08,8,4.4,716,8,4,,Beauty,Extra Large Envelope,FBA,20.10 x 5.10 x 8.30 cm,0.57,N/A,"Apr 1, 2015",,No,132,
21.,Love & Green - Organic Surgras Cleansing Gel 500ml - For the Whole Family - Moisturizing Sensitive Skin - Formula based on pure ingredients,B07RK5C7HJ,Wash,https://www.amazon.fr/dp/B07RK5C7HJ?psc=1,https://m.media-amazon.com/images/I/61QQik6w+VL._AC_SY355_.jpg,Love & Green,6.41,732,149,100,"5,922.84","1,081.15",139,266,AMZ,4.82,1,4.6,513,7,N/A,Amazon,Baby Products,Extra Large Envelope,AMZ,21.20 x 4.50 x 8.34 cm,0.58,N/A,"May 27, 2019",,No,83,Amazon
28.,"Corine de Farme - Superfatty Monoi Shower Cream - pH Neutral for Skin, Natural Origin - Dermatological Control - 100% Made in France - 750 ml",B0DDT2QKSH,Cream,https://www.amazon.fr/dp/B0DDT2QKSH?psc=1,https://m.media-amazon.com/images/I/61XSmnm7mDL._AC_SY355_.jpg,Corine de Farme,4.84,"1,676",285,200,"6,141.2","1,407.46",141,875,AMZ,5.3,1,4.6,"1,447",2,49,Amazon,Health & Household,Small Parcel,AMZ,20.80 x 6.10 x 9.80 cm,0.83,N/A,"Aug 21, 2024",,No,20,Amazon
29.,LABORATOIRES VENDÔME - NUTRI V+ - Dermatological Bread Apricot Oil - Body & Face - Gently cleanses & nourishes - pH Neutral & Soap Free - High Tolerance - Dry to Very Dry Skin - 100g,B0DMSVT7G6,Wash,https://www.amazon.fr/dp/B0DMSVT7G6?psc=1,https://m.media-amazon.com/images/I/71CbczK-HmL._AC_SY355_.jpg,Laboratoires Vendôme,3.71,487,487,200,"1,806.75","1,806.61",182,"1,452",AMZ,4.26,1,4.5,173,7,10,Amazon,Beauty,Large Envelope,AMZ,10.60 x 4.00 x 6.70 cm,0.11,N/A,"Nov 12, 2024",,No,17,Amazon
30.,"Uriage Extra-Rich Cleansing Superfat Gel - Sensitive Skin - Preserves the Hydrolipidic Film of the Skin - Fresh Foaming Gel - Cleans without drying out - Face & Body - Soap Free, Physiological pH - 1L",B00IZA1132,Wash,https://www.amazon.fr/dp/B00IZA1132?psc=1,https://m.media-amazon.com/images/I/61ArqWDXCnL._AC_SY355_.jpg,Uriage,12.49,160,118,50,"1,834.19","1,482.22",200,"5,720",FR,7.92,6,4.5,"1,759",8,17,Cosmeco,Beauty,Small Parcel,FBA,27.20 x 8.70 x 11.80 cm,1.13,N/A,"Mar 22, 2014",,No,145,Cosmeco
31.,Le Petit Marseillais – Shea Butter Superfat Care Soap (2 100g loaves) – Hand and body soap with 98% ingredients of natural origin – Recyclable paper packaging,B0B45JPRJ9,Check,https://www.amazon.fr/dp/B0B45JPRJ9?psc=1,https://m.media-amazon.com/images/I/71kdbX2EgmL._AC_SY355_.jpg,Le Petit Marseillais,1.72,523,523,N/A,"1,069.88","1,069.49",158,"2,405",AMZ,3.11,6,4.6,350,7,10,Amazon,Beauty,Standard Envelope,AMZ,12.30 x 2.20 x 8.20 cm,0.18,N/A,"Oct 17, 2019",,No,78,Amazon
35.,Le Petit Marseillais – Sweet Almond Oil Surgras Care Soap (2 100g roll) – Solid hand & body soap with 98% ingredients of natural origin – Recyclable paper packaging,B0B99SBC1W,Wash,https://www.amazon.fr/dp/B0B99SBC1W?psc=1,https://m.media-amazon.com/images/I/71oJPO-7vpL._AC_SY355_.jpg,Le Petit Marseillais,1.86,853,853,400,"1,586.98","1,586.82",164,898,AMZ,3.11,9,4.7,525,8,19,Amazon,Beauty,Standard Envelope,AMZ,12.20 x 2.40 x 8.30 cm,0.2,N/A,"Oct 17, 2019",,No,78,Amazon
36.,"Topicrem - DA PROTECT Supergreasy Cleansing Gel - Cleans, Soothes, Protects - Shower Gel for Sensitive, Dry, Atopic Skin, Babies, Children and Adults - Made in France - 500ml",B00PTZXTQ8,Wash,https://www.amazon.fr/dp/B00PTZXTQ8?psc=1,https://m.media-amazon.com/images/I/51W-+KX0TXL._AC_SY355_.jpg,Topicrem,10.89,243,212,N/A,"2,375.38","2,045.24",174,"3,248",N/A,8.41,11,4.5,"1,275",3,11,,Beauty,Small Parcel,MFN,25.20 x 8.10 x 9.80 cm,0.58,N/A,"Nov 19, 2014",,No,137,
38.,Nuxe Dream Honey Cleansing Gel for Face and Body 750 ml,B09FW48XQV,Check,https://www.amazon.fr/dp/B09FW48XQV?psc=1,https://m.media-amazon.com/images/I/61Pl-e0qTiL._AC_SY355_.jpg,Nuxe,28.94,207,185,N/A,"5,310.81","4,567.03",55,"4,050",N/A,10.13,2,4.6,854,5,9,,Beauty,Small Parcel,FBA,21.10 x 7.20 x 7.80 cm,0.87,N/A,"Jun 9, 2021",,No,58,
45.,Bath and Shower Gel for Sensitive Skin 2x400ml Active Superfat Rogé Cavaillès,B075M8Q2G6,Check,https://www.amazon.fr/dp/B075M8Q2G6?psc=1,"https://m.media-amazon.com/images/I/6174f0wojkL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Rogé Cavaillès,18.12,133,133,50,"2,535.05","2,534.75",77,"8,022",N/A,8.49,12,4.3,86,1,2,WE DISTRIB,Beauty,Extra Large Envelope,FBA,20.70 x 5.90 x 15.40 cm,0.95,N/A,"Sep 14, 2017",,No,103,WE DISTRIB
56.,ROGÉ CAVAILLÈS | Bath Shower Gel – The Original | Nourishes & Protects the Skin | Gentle Cleansing | Sensitive Skin | Soap Free | 100% Recycled Plastic | Pack: Bath Shower Gel 1L + Eco-Refill 1L,B0CKBRV9VZ,Wash,https://www.amazon.fr/dp/B0CKBRV9VZ?psc=1,"https://m.media-amazon.com/images/I/41n6r1sAF+L._AC_SX355_PIbundle-2,TopRight,0,0_SH20_.jpg",PARAVOSTRA,35.06,32,32,N/A,"1,124.04","1,123.91",194,"14,220",FR,13.06,1,4.3,32,4,0,WEB-MARKET,Beauty,Small Parcel,FBA,24.00 x 11.30 x 15.50 cm,2.17,N/A,"Oct 3, 2023",,No,30,WEB-MARKET
9.,"Le Petit Marseillais – Sublimating Body Oil (Spray 150 Ml) – Body Care Hydration 24H – Body Oil with Shea Butter, Sweet Almond and Argan Oil",B0FDKKQD17,Check,https://www.amazon.fr/dp/B0FDKKQD17?psc=1,https://m.media-amazon.com/images/I/61B9xtobk5L._AC_SY355_.jpg,Le Petit Marseillais,5.5,749,749,400,"5,238.1","5,235.15",140,596,AMZ,4.4,1,4.5,85,7,21,Amazon,Beauty,Large Envelope,AMZ,17.10 x 3.10 x 5.30 cm,0.17,N/A,"Jun 18, 2025",,No,10,Amazon
10.,"Topicrem - CICA+, Stretch Marks and Scars Concentrated Oil - Attenuated, Helps Prevent, Soothes, Moisturizes 24h - Face and Body Care for Sensitive Skin - Non Greasy, Non Sticky Finish - 100ml",B0B5B2HG2W,Check,https://www.amazon.fr/dp/B0B5B2HG2W?psc=1,https://m.media-amazon.com/images/I/51K1t2jvhKL._AC_SY355_.jpg,Topicrem,9.98,810,810,400,"8,302.65","8,294.42",192,827,AMZ,5.11,3,4.5,537,7,22,Amazon,Beauty,Extra Large Envelope,AMZ,13.30 x 4.20 x 4.40 cm,0.12,N/A,"Jun 27, 2022",,No,46,Amazon
13.,Vaseline Intensive Care Coconut Restore Body Oil for Healthy and Hydrated Skin Regenerating Body Oil Gel with 100% Pure Coconut Oil (1 x 200ml),B0FYQBNRRC,Check,https://www.amazon.fr/dp/B0FYQBNRRC?psc=1,https://m.media-amazon.com/images/I/610qgwOxIqL._AC_SY355_.jpg,Vaseline,11.99,120,120,50,"1,435.48","1,434.14",143,"6,286",AT,6.75,1,4.2,53,7,44,prsWORLD,Beauty,Large Envelope,FBA,16.10 x 3.00 x 6.20 cm,0.2,N/A,"Jan 6, 2026",,No,3,prsWORLD
14.,"CeraVe - Moisturising Foaming Cleansing Oil - Moisturizes and Soothes Without Altering the Skin Barrier - Ceramides, Triglycerides, Squalane - Normal to Very Dry, Atopic Prone Skin - 473 ml",B0967LDZ7R,Wash,https://www.amazon.fr/dp/B0967LDZ7R?psc=1,https://m.media-amazon.com/images/I/517+j47c8uL._AC_SX342_.jpg,CeraVe,11.9,"2,220","2,220","1,000","26,239.16","26,216.79",189,240,AMZ,6.1,3,4.6,"6,153",8,92,Amazon,Beauty,Extra Large Envelope,AMZ,18.80 x 4.80 x 8.40 cm,0.54,N/A,"Jul 22, 2021",,No,57,Amazon
15.,"Mixa - Anti-Stretch Mark Oil - 30% Omega 6 & 9 - Reduces Color, Texture and Thickness of Post-Pregnancy Stretch Marks or Weight and Size Variations - 100ml",B0DQLCYKRC,Check,https://www.amazon.fr/dp/B0DQLCYKRC?psc=1,https://m.media-amazon.com/images/I/51AtLzFiEfL._AC_SY355_.jpg,Mixa,9.99,"1,408",674,300,"12,745.54","6,459.89",155,465,AMZ,5.75,1,4.5,"1,258",6,48,Amazon,Beauty,Large Envelope,AMZ,15.60 x 3.10 x 5.00 cm,0.1,N/A,"Dec 16, 2024",,No,16,Amazon
