Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
1.,"Cetaphil Moisturising Body Cream, Perfume-Free, Size 470 ml + Face and Body Cleansing Emulsion, Perfume-Free, Travel Size 30 ml",B0C23N3BDM,Check,https://www.amazon.it/dp/B0C23N3BDM?psc=1,"https://m.media-amazon.com/images/I/71cZPFZF7hL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Cetaphil,16.99,"1,095",499,200,"14,439.27","8,449.4",127,"1,072",AMZ,6.51,1,4.6,246,5,N/A,Amazon,Beauty,Extra Large Envelope,AMZ,18.80 x 5.40 x 12.50 cm,0.56,N/A,"Apr 11, 2023",Sponsored Brand,No,36,Amazon
2.,"Cetaphil Face and Body Cleansing Emulsion, Perfume-Free, Size 470 ml + Moisturizing Face and Body Cream, Without Perfume, Travel Size 14 g",B0C23P6XFJ,Check,https://www.amazon.it/dp/B0C23P6XFJ?psc=1,"https://m.media-amazon.com/images/I/71ZUFNQje5L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Cetaphil,15.78,570,520,200,"9,831.7","8,152.44",138,"2,432",AMZ,6.09,1,4.6,405,7,15,Amazon,Beauty,Extra Large Envelope,AMZ,18.80 x 5.40 x 11.50 cm,0.52,N/A,"Apr 11, 2023",Sponsored Brand,No,36,Amazon
3.,"Cetaphil Moisturizing Face and Body Cream, Without Perfume, Size 450 g + Cleansing Emulsion Face and Body, Without Perfume, Travel Size 30 ml",B0C23HGXSZ,Check,https://www.amazon.it/dp/B0C23HGXSZ?psc=1,"https://m.media-amazon.com/images/I/71EHajyyW4L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Cetaphil,17.49,"5,677","2,441","1,000","82,575.9","42,525.4",141,47,AMZ,7.36,1,4.6,"1,108",5,N/A,Amazon,Beauty,Small Parcel,AMZ,11.90 x 9.30 x 9.50 cm,0.53,N/A,"Apr 10, 2023",Sponsored Brand,No,36,Amazon
7.,"Cetaphil, Face and Body Moisturising Cream for Frequent Use, Intense Hydration for 24 Hours, Ideal for Dry, Very Dry, Sensitive and Damaged Skin, Soothing Effect, Fragrance Free, Size 100 g",B09YHPXRFX,Cream,https://www.amazon.it/dp/B09YHPXRFX?psc=1,https://m.media-amazon.com/images/I/613vJsct4KL._AC_SY355_.jpg,Cetaphil,4.42,"5,677","1,842","1,000","82,575.9","9,961.39",189,51,AMZ,4.18,9,4.5,925,6,N/A,Amazon,Beauty,Large Envelope,AMZ,17.60 x 3.70 x 5.00 cm,0.13,N/A,"Apr 21, 2022",,No,48,Amazon
8.,"Mixa Strengthening Moisturising Cream for Sensitive and Very Dry Skin, Deep Hydrated Skin, with 10% Ceramides, Glycerine and Squalan, Fragrance Free, Ceramide Protect, 400 ml",B0D45LZBML,Cream,https://www.amazon.it/dp/B0D45LZBML?psc=1,https://m.media-amazon.com/images/I/71p6HTvuY+L._AC_SY355_.jpg,Mixa,7.99,"1,495","1,495",700,"10,550.89","10,541.93",174,"2,770",AMZ,5.43,12,4.6,848,6,56,Amazon,Beauty,Small Parcel,AMZ,9.30 x 8.90 x 9.00 cm,0.43,N/A,"May 15, 2024",,No,23,Amazon
9.,"Garnier Prodigious Moisturising Rich Cream for Dry or Sensitive Skin, 50 ml",B06XTPGDC3,Check,https://www.amazon.it/dp/B06XTPGDC3?psc=1,https://m.media-amazon.com/images/I/812PalcCI2L._AC_SY355_.jpg,Garnier,4.02,264,264,100,"1,575.22","1,573.28",75,"2,344",AMZ,3.98,3,4.4,509,8,6,Amazon,Beauty,Small Parcel,AMZ,7.50 x 6.70 x 7.00 cm,0.08,N/A,"Sep 1, 2016",,No,115,Amazon
15.,"NIVEA Repair & Care Body Cream, 400 ml, All-Purpose Fragrance Free Cream for Sensitive and Irritated Skin, Quick Absorption Body, Face and Hand Cream Enriched with Panthenol and Glycerin",B0D1VH1G5W,Cream,https://www.amazon.it/dp/B0D1VH1G5W?psc=1,https://m.media-amazon.com/images/I/71WDTQnj8ZL._AC_SY355_.jpg,NIVEA,9.99,838,838,300,"5,381.48","5,381.09",186,"1,464",AMZ,5.43,11,4.5,316,8,12,Amazon,Beauty,Small Parcel,AMZ,15.20 x 9.10 x 9.40 cm,0.46,N/A,"Apr 16, 2024",,No,24,Amazon
16.,"Mixa Regenerating Body Cream, For Dry and Rough Skin, Moisturized and Soothing Skin for 48H, Repaired and Protected Skin Barrier, with 10% Urea and Niacinamide, Urea Cica Repair +, 400 ml",B0D45KJ86P,Check,https://www.amazon.it/dp/B0D45KJ86P?psc=1,https://m.media-amazon.com/images/I/61mh6VKI8oL._AC_SY355_.jpg,Mixa,4.59,"7,820","6,528","4,000","47,607.86","41,573.58",187,11,AMZ,5.43,10,4.5,"1,297",9,19,Amazon,Beauty,Small Parcel,AMZ,10.40 x 9.20 x 9.60 cm,0.47,N/A,"May 15, 2024",,No,23,Amazon
17.,"Dermolab - Soothing Moisturizing Face Cream for Dry and Sensitive Skin, with Hyaluronic Acid, Moisturizing Effect, Protects Against Pollution, Dermatologically Tested, SPF 15, 50 ml",B01HITTZBK,Other,https://www.amazon.it/dp/B01HITTZBK?psc=1,https://m.media-amazon.com/images/I/51co2WyVUWL._AC_SY355_.jpg,DERMOLAB,6.97,342,205,100,"2,704.14","1,741.97",181,"2,026",AMZ,4.59,6,4,250,8,N/A,Amazon,Beauty,Small Parcel,AMZ,8.13 x 7.87 x 8.13 cm,0.3,N/A,"Jun 24, 2016",,No,118,Amazon
18.,"BioNike - Defence Hydra Ricca, Crema Idratante Viso con Acido Ialuronico e Olio di Jojoba, Idratazione Immediata e fino a 48H, Effetto Lenitivo ed Emolliente per Pelle Sensibile e Secca, 50ml",B0DT1DTQBK,Cream,https://www.amazon.it/dp/B0DT1DTQBK?psc=1,https://m.media-amazon.com/images/I/61o2ymxkbJL._AC_SX342_.jpg,BioNike,11.04,720,720,300,"8,336.19","8,332.5",191,"1,200",AMZ,6.95,19,4.6,85,7,7,Amazon,Beauty,Large Envelope,AMZ,13.60 x 3.20 x 5.00 cm,0.07,N/A,"Jan 28, 2025",,No,15,Amazon
