"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-01 01:00:00",10.87,26.941524566871426,15.36
"2024-09-02 01:00:00",15.84,,19.26
"2024-09-03 01:00:00",19.88,,21.07
"2024-09-04 01:00:00",28.29,,20.02
"2024-09-05 01:00:00",28.24,,19.99
"2024-09-06 01:00:00",24.52,,18.83
"2024-09-07 01:00:00",12.51,,16.76
"2024-09-08 01:00:00",10.64,,13.38
"2024-09-09 01:00:00",7.7,,10.11
"2024-09-10 01:00:00",5.4,,7.98
"2024-09-11 01:00:00",4.68,,8.14
"2024-09-12 01:00:00",5.32,,11.91
"2024-09-13 01:00:00",9.61,,19.55
"2024-09-14 01:00:00",13.65,,28.56
"2024-09-15 01:00:00",37.04,,39.29
"2024-09-16 01:00:00",61.14,,50.81
"2024-09-17 01:00:00",68.5,,61.69
"2024-09-18 01:00:00",79.8,,69.86
"2024-09-19 01:00:00",85.93,,70.73
"2024-09-20 01:00:00",85.79,,69.59
"2024-09-21 01:00:00",70.81,,71.83
"2024-09-22 01:00:00",43.15,,67.71
"2024-09-23 01:00:00",53.14,,63.06
"2024-09-24 01:00:00",84.22,,56.46
"2024-09-25 01:00:00",50.92,,50.68
"2024-09-26 01:00:00",53.37,,49.66
"2024-09-27 01:00:00",39.61,,53.12
"2024-09-28 01:00:00",30.36,,56.45
"2024-09-29 01:00:00",36,,57.8
"2024-09-30 01:00:00",77.39,,55.08
"2024-10-01 01:00:00",107.48,,54.34
"2024-10-02 01:00:00",60.38,,54.56
"2024-10-03 01:00:00",34.36,,55.43
"2024-10-04 01:00:00",34.44,,65.45
"2024-10-05 01:00:00",31.9,,57.35
"2024-10-06 01:00:00",42.03,,53.66
"2024-10-07 01:00:00",147.57,,54.48
"2024-10-08 01:00:00",50.74,,55.37
"2024-10-09 01:00:00",34.59,,55.71
"2024-10-10 01:00:00",40.11,,53.29
"2024-10-11 01:00:00",40.62,,38.06
"2024-10-12 01:00:00",34.34,,37.59
"2024-10-13 01:00:00",25.05,,40.76
"2024-10-14 01:00:00",40.99,,42.61
"2024-10-15 01:00:00",47.43,,45.03
"2024-10-16 01:00:00",56.76,,47.43
"2024-10-17 01:00:00",53.05,,49.76
"2024-10-18 01:00:00",57.58,,50.06
"2024-10-19 01:00:00",51.14,,54.15
"2024-10-20 01:00:00",41.37,,53.37
"2024-10-21 01:00:00",43.11,,51.57
"2024-10-22 01:00:00",76.06,,49.9
"2024-10-23 01:00:00",51.3,,46.57
"2024-10-24 01:00:00",40.44,,45.65
"2024-10-25 01:00:00",45.86,,43.82
"2024-10-26 01:00:00",27.87,,40.01
"2024-10-27 01:00:00",34.93,,39.13
"2024-10-28 00:00:00",30.26,,40.68
"2024-10-29 00:00:00",49.39,,37.94
"2024-10-30 00:00:00",45.17,,36.86
"2024-10-31 00:00:00",51.25,,35.37
"2024-11-01 00:00:00",26.69,,36.16
"2024-11-02 00:00:00",20.3,,36.13
"2024-11-03 00:00:00",24.5,,37.29
"2024-11-04 00:00:00",35.8,,38.57
"2024-11-05 00:00:00",49.18,,42.21
"2024-11-06 00:00:00",53.29,,44.57
"2024-11-07 00:00:00",60.25,,45.98
"2024-11-08 00:00:00",52.16,,46.8
"2024-11-09 00:00:00",36.81,,48.02
"2024-11-10 00:00:00",34.36,,49.93
"2024-11-11 00:00:00",41.56,,47.84
"2024-11-12 00:00:00",57.73,,54.78
"2024-11-13 00:00:00",66.63,,57.14
"2024-11-14 00:00:00",45.61,,57.35
"2024-11-15 00:00:00",100.75,,59.19
"2024-11-16 00:00:00",53.36,,57.81
"2024-11-17 00:00:00",35.81,,53.84
"2024-11-18 00:00:00",54.44,,53.68
"2024-11-19 00:00:00",48.1,,42.27
"2024-11-20 00:00:00",38.81,,37.86
"2024-11-21 00:00:00",44.52,,36.17
"2024-11-22 00:00:00",20.88,,31.66
"2024-11-23 00:00:00",22.43,,29.07
"2024-11-24 00:00:00",23.99,,27.86
"2024-11-25 00:00:00",22.89,,26.73
"2024-11-26 00:00:00",29.98,,32.93
"2024-11-27 00:00:00",30.31,,32.57
