"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",16.85,27.547913628320217,18.88
"2023-04-16 01:00:00",15.69,,18.97
"2023-04-17 01:00:00",25.61,,20.46
"2023-04-18 01:00:00",23.45,,18.7
"2023-04-19 01:00:00",19.82,,17.71
"2023-04-20 01:00:00",16.19,,16.85
"2023-04-21 01:00:00",13.29,,14.55
"2023-04-22 01:00:00",9.95,,12.97
"2023-04-23 01:00:00",9.61,,12.25
"2023-04-24 01:00:00",9.56,,13.62
"2023-04-25 01:00:00",12.37,,13.29
"2023-04-26 01:00:00",14.75,,13
"2023-04-27 01:00:00",25.81,,13.12
"2023-04-28 01:00:00",10.97,,13.6
"2023-04-29 01:00:00",7.93,,14.62
"2023-04-30 01:00:00",10.43,,15.6
"2023-05-01 01:00:00",12.97,,15.06
"2023-05-02 01:00:00",19.46,,16.42
"2023-05-03 01:00:00",21.65,,19
"2023-05-04 01:00:00",22.04,,19.89
"2023-05-05 01:00:00",20.46,,20.92
"2023-05-06 01:00:00",25.99,,20.15
"2023-05-07 01:00:00",16.67,,18.43
"2023-05-08 01:00:00",20.15,,17.31
"2023-05-09 01:00:00",14.12,,16.05
"2023-05-10 01:00:00",9.61,,13.43
"2023-05-11 01:00:00",14.18,,12.13
"2023-05-12 01:00:00",11.65,,11.34
"2023-05-13 01:00:00",7.63,,11.78
"2023-05-14 01:00:00",7.57,,12.77
"2023-05-15 01:00:00",14.62,,12.69
"2023-05-16 01:00:00",17.18,,13.28
"2023-05-17 01:00:00",16.54,,14.43
"2023-05-18 01:00:00",13.66,,15.05
"2023-05-19 01:00:00",15.74,,16.15
"2023-05-20 01:00:00",15.7,,16.99
"2023-05-21 01:00:00",11.93,,18.04
"2023-05-22 01:00:00",22.28,,18.62
"2023-05-23 01:00:00",23.05,,20.49
"2023-05-24 01:00:00",23.91,,21.71
"2023-05-25 01:00:00",17.74,,22.81
"2023-05-26 01:00:00",28.79,,22.43
"2023-05-27 01:00:00",24.3,,21.94
"2023-05-28 01:00:00",19.61,,20.31
"2023-05-29 01:00:00",19.61,,19.39
"2023-05-30 01:00:00",19.61,,16.79
"2023-05-31 01:00:00",12.51,,14.43
"2023-06-01 01:00:00",11.32,,13.57
"2023-06-02 01:00:00",10.55,,13.49
"2023-06-03 01:00:00",7.78,,12.87
"2023-06-04 01:00:00",13.64,,12.46
"2023-06-05 01:00:00",19.04,,13
"2023-06-06 01:00:00",15.27,,12.58
"2023-06-07 01:00:00",9.61,,13.86
"2023-06-08 01:00:00",15.08,,13.61
"2023-06-09 01:00:00",7.62,,12.74
"2023-06-10 01:00:00",16.74,,13.99
"2023-06-11 01:00:00",11.89,,17.56
"2023-06-12 01:00:00",12.98,,18.39
"2023-06-13 01:00:00",24.02,,20.78
"2023-06-14 01:00:00",34.61,,20.43
"2023-06-15 01:00:00",20.84,,20.99
"2023-06-16 01:00:00",24.4,,23.39
"2023-06-17 01:00:00",14.27,,21.84
"2023-06-18 01:00:00",15.81,,18.31
"2023-06-19 01:00:00",29.79,,16.87
"2023-06-20 01:00:00",13.13,,15.88
"2023-06-21 01:00:00",9.9,,16.57
"2023-06-22 01:00:00",10.79,,16.44
"2023-06-23 01:00:00",17.48,,16.09
"2023-06-24 01:00:00",19.1,,18.42
"2023-06-25 01:00:00",14.89,,20.72
"2023-06-26 01:00:00",27.32,,24.41
"2023-06-27 01:00:00",29.48,,26.18
"2023-06-28 01:00:00",25.98,,26.57
"2023-06-29 01:00:00",36.61,,27.33
"2023-06-30 01:00:00",29.88,,28.35
"2023-07-01 01:00:00",21.84,,28.19
"2023-07-02 01:00:00",20.22,,28.43
"2023-07-03 01:00:00",34.46,,26.38
"2023-07-04 01:00:00",28.36,,25.31
"2023-07-05 01:00:00",27.66,,24.14
"2023-07-06 01:00:00",22.26,,24.96
"2023-07-07 01:00:00",22.4,,27.42
"2023-07-08 01:00:00",13.64,,25.96
"2023-07-09 01:00:00",25.91,,24.08
"2023-07-10 01:00:00",51.7,,22.95
"2023-07-11 01:00:00",18.16,,22.36
"2023-07-12 01:00:00",14.48,,23.43
"2023-07-13 01:00:00",14.37,,21.24
"2023-07-14 01:00:00",18.28,,15.43
"2023-07-15 01:00:00",21.1,,15.03
"2023-07-16 01:00:00",10.56,,14.68
"2023-07-17 01:00:00",11.08,,15.13
"2023-07-18 01:00:00",15.34,,17.91
"2023-07-19 01:00:00",12.02,,17
"2023-07-20 01:00:00",17.55,,17.59
"2023-07-21 01:00:00",37.72,,20.03
"2023-07-22 01:00:00",14.72,,23.05
"2023-07-23 01:00:00",14.71,,25.17
"2023-07-24 01:00:00",28.16,,26.69
"2023-07-25 01:00:00",36.49,,25.02
"2023-07-26 01:00:00",26.87,,26.15
"2023-07-27 01:00:00",28.16,,27.34
"2023-07-28 01:00:00",26.06,,30.5
"2023-07-29 01:00:00",22.57,,28.6
"2023-07-30 01:00:00",23.04,,27.95
"2023-07-31 01:00:00",50.29,,26.34
"2023-08-01 01:00:00",23.2,,27.41
"2023-08-02 01:00:00",22.36,,27.29
"2023-08-03 01:00:00",16.86,,26.4
"2023-08-04 01:00:00",33.54,,25.21
"2023-08-05 01:00:00",21.72,,27.04
"2023-08-06 01:00:00",16.84,,27.9
"2023-08-07 01:00:00",41.96,,29.66
"2023-08-08 01:00:00",36,,29
"2023-08-09 01:00:00",28.38,,29.71
"2023-08-10 01:00:00",29.19,,31.34
"2023-08-11 01:00:00",28.94,,32.28
"2023-08-12 01:00:00",26.68,,31.42
"2023-08-13 01:00:00",28.22,,30.46
"2023-08-14 01:00:00",48.57,,28.52
"2023-08-15 01:00:00",29.95,,26.96
"2023-08-16 01:00:00",21.64,,25.86
"2023-08-17 01:00:00",15.67,,25.34
"2023-08-18 01:00:00",17.98,,21.25
"2023-08-19 01:00:00",18.97,,20.06
"2023-08-20 01:00:00",24.61,,21.15
"2023-08-21 01:00:00",19.95,,23.23
"2023-08-22 01:00:00",21.63,,23.1
"2023-08-23 01:00:00",29.27,,22.14
"2023-08-24 01:00:00",30.2,,20.95
"2023-08-25 01:00:00",17.1,,22.47
