"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",46.24,49.964524350977634,42.27
"2023-04-16 01:00:00",24.49,,34.42
"2023-04-17 01:00:00",55.57,,43.05
"2023-04-18 01:00:00",30.84,,41.17
"2023-04-19 01:00:00",34.84,,37.57
"2023-04-20 01:00:00",53.79,,37.58
"2023-04-21 01:00:00",42.43,,34.08
"2023-04-22 01:00:00",21.03,,35.98
"2023-04-23 01:00:00",24.56,,38.48
"2023-04-24 01:00:00",31.09,,40.16
"2023-04-25 01:00:00",44.13,,42.29
"2023-04-26 01:00:00",52.32,,43.71
"2023-04-27 01:00:00",65.59,,43.61
"2023-04-28 01:00:00",57.31,,42.61
"2023-04-29 01:00:00",31,,39.99
"2023-04-30 01:00:00",23.82,,37.01
"2023-05-01 01:00:00",24.12,,34.65
"2023-05-02 01:00:00",25.78,,40.26
"2023-05-03 01:00:00",31.48,,39.43
"2023-05-04 01:00:00",49.04,,39.7
"2023-05-05 01:00:00",96.59,,42.94
"2023-05-06 01:00:00",25.17,,47.6
"2023-05-07 01:00:00",25.71,,52.85
"2023-05-08 01:00:00",46.83,,51.34
"2023-05-09 01:00:00",58.4,,43.88
"2023-05-10 01:00:00",68.24,,43.86
"2023-05-11 01:00:00",38.43,,44.26
"2023-05-12 01:00:00",44.4,,44.25
"2023-05-13 01:00:00",24.99,,42.16
"2023-05-14 01:00:00",28.53,,37.43
"2023-05-15 01:00:00",46.75,,36.33
"2023-05-16 01:00:00",43.75,,32.64
"2023-05-17 01:00:00",35.15,,31.57
"2023-05-18 01:00:00",30.77,,30.34
"2023-05-19 01:00:00",18.55,,28.43
"2023-05-20 01:00:00",17.5,,28.39
"2023-05-21 01:00:00",19.94,,28.31
"2023-05-22 01:00:00",33.37,,30.19
"2023-05-23 01:00:00",43.45,,34.4
"2023-05-24 01:00:00",34.59,,36.57
"2023-05-25 01:00:00",43.96,,37.84
"2023-05-26 01:00:00",47.97,,37.2
"2023-05-27 01:00:00",32.71,,33.93
"2023-05-28 01:00:00",28.86,,32.84
"2023-05-29 01:00:00",28.86,,33.2
"2023-05-30 01:00:00",20.55,,34.58
"2023-05-31 01:00:00",26.98,,33.43
"2023-06-01 01:00:00",46.47,,33.83
"2023-06-02 01:00:00",57.62,,35.54
"2023-06-03 01:00:00",24.65,,37.44
"2023-06-04 01:00:00",31.71,,39.53
"2023-06-05 01:00:00",40.77,,38.32
"2023-06-06 01:00:00",33.85,,33.59
"2023-06-07 01:00:00",41.67,,32.57
"2023-06-08 01:00:00",37.94,,31.02
"2023-06-09 01:00:00",24.55,,29.72
"2023-06-10 01:00:00",17.51,,30.18
"2023-06-11 01:00:00",20.87,,29.02
"2023-06-12 01:00:00",31.67,,29
"2023-06-13 01:00:00",37.02,,33.46
"2023-06-14 01:00:00",33.56,,35.57
"2023-06-15 01:00:00",37.82,,35.31
"2023-06-16 01:00:00",55.78,,33.93
"2023-06-17 01:00:00",32.29,,33.25
"2023-06-18 01:00:00",19.02,,32.33
"2023-06-19 01:00:00",22.04,,31.24
"2023-06-20 01:00:00",32.27,,28.96
"2023-06-21 01:00:00",27.11,,32.14
"2023-06-22 01:00:00",30.16,,34.55
"2023-06-23 01:00:00",39.83,,36.33
"2023-06-24 01:00:00",54.57,,33.55
"2023-06-25 01:00:00",35.89,,32.08
"2023-06-26 01:00:00",34.49,,30.74
"2023-06-27 01:00:00",12.81,,27.39
"2023-06-28 01:00:00",16.83,,22.57
"2023-06-29 01:00:00",20.78,,19.69
"2023-06-30 01:00:00",16.34,,18.38
"2023-07-01 01:00:00",20.86,,19.92
"2023-07-02 01:00:00",15.75,,24.82
"2023-07-03 01:00:00",25.31,,26.46
"2023-07-04 01:00:00",23.57,,26.45
"2023-07-05 01:00:00",51.12,,26.14
"2023-07-06 01:00:00",32.28,,30.1
"2023-07-07 01:00:00",16.26,,32.96
"2023-07-08 01:00:00",18.71,,35.88
"2023-07-09 01:00:00",43.46,,31.93
"2023-07-10 01:00:00",45.33,,29.9
"2023-07-11 01:00:00",43.97,,32.06
"2023-07-12 01:00:00",23.52,,33.29
"2023-07-13 01:00:00",18.08,,29.9
"2023-07-14 01:00:00",31.33,,27.37
"2023-07-15 01:00:00",27.31,,27.65
"2023-07-16 01:00:00",19.76,,29.26
"2023-07-17 01:00:00",27.62,,31.53
"2023-07-18 01:00:00",45.93,,34.1
"2023-07-19 01:00:00",34.77,,35.57
"2023-07-20 01:00:00",33.97,,36.5
"2023-07-21 01:00:00",49.33,,37.26
"2023-07-22 01:00:00",37.62,,33.31
"2023-07-23 01:00:00",26.28,,31.03
"2023-07-24 01:00:00",32.89,,33.74
"2023-07-25 01:00:00",18.28,,30.61
"2023-07-26 01:00:00",18.82,,30.57
"2023-07-27 01:00:00",52.97,,30.95
"2023-07-28 01:00:00",27.39,,33.62
"2023-07-29 01:00:00",37.38,,38.16
"2023-07-30 01:00:00",28.94,,38.14
"2023-07-31 01:00:00",51.56,,34.5
"2023-08-01 01:00:00",50.07,,35.53
"2023-08-02 01:00:00",18.64,,33
"2023-08-03 01:00:00",27.54,,32.21
"2023-08-04 01:00:00",34.55,,30.19
"2023-08-05 01:00:00",19.7,,27.3
"2023-08-06 01:00:00",23.44,,27.28
"2023-08-07 01:00:00",37.39,,28.31
"2023-08-08 01:00:00",29.83,,29.93
"2023-08-09 01:00:00",18.49,,33.57
"2023-08-10 01:00:00",34.78,,33.26
"2023-08-11 01:00:00",45.9,,32.85
"2023-08-12 01:00:00",45.18,,32.34
"2023-08-13 01:00:00",21.22,,37.92
"2023-08-14 01:00:00",34.52,,40.48
"2023-08-15 01:00:00",26.31,,40.95
"2023-08-16 01:00:00",57.51,,38
"2023-08-17 01:00:00",52.71,,38.1
"2023-08-18 01:00:00",49.22,,37.21
"2023-08-19 01:00:00",24.5,,39
"2023-08-20 01:00:00",21.93,,35
"2023-08-21 01:00:00",28.29,,33.28
"2023-08-22 01:00:00",38.82,,31.61
"2023-08-23 01:00:00",29.51,,36.86
"2023-08-24 01:00:00",40.66,,39.36
"2023-08-25 01:00:00",37.57,,41.67
"2023-08-26 01:00:00",61.23,,43.23
"2023-08-27 01:00:00",39.46,,46.27
"2023-08-28 01:00:00",44.44,,45.66
"2023-08-29 01:00:00",49.76,,44.73
"2023-08-30 01:00:00",50.77,,39
"2023-08-31 01:00:00",36.38,,36.74
"2023-09-01 01:00:00",31.06,,36.71
"2023-09-02 01:00:00",21.14,,37.97
"2023-09-03 01:00:00",23.65,,37.95
"2023-09-04 01:00:00",44.22,,40.3
"2023-09-05 01:00:00",58.59,,41.67
"2023-09-06 01:00:00",50.6,,43
"2023-09-07 01:00:00",52.81,,43.65
"2023-09-08 01:00:00",40.71,,43.5
"2023-09-09 01:00:00",30.42,,42.97
"2023-09-10 01:00:00",28.23,,45.02
"2023-09-11 01:00:00",43.15,,47.25
"2023-09-12 01:00:00",54.84,,50.41
"2023-09-13 01:00:00",64.98,,51.86
"2023-09-14 01:00:00",68.45,,52.94
"2023-09-15 01:00:00",62.78,,52.81
"2023-09-16 01:00:00",40.57,,54.31
"2023-09-17 01:00:00",35.81,,55.2
"2023-09-18 01:00:00",42.21,,56.75
"2023-09-19 01:00:00",65.35,,60.92
"2023-09-20 01:00:00",71.26,,63.71
"2023-09-21 01:00:00",79.27,,64.7
"2023-09-22 01:00:00",91.94,,66.56
"2023-09-23 01:00:00",60.16,,68.64
"2023-09-24 01:00:00",42.72,,70.48
"2023-09-25 01:00:00",55.2,,72.4
"2023-09-26 01:00:00",79.9,,74.27
"2023-09-27 01:00:00",84.16,,76.29
"2023-09-28 01:00:00",92.7,,76.37
"2023-09-29 01:00:00",105.06,,73.98
"2023-09-30 01:00:00",74.26,,68.9
