"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-04 01:00:00",27.74,75.39083559689736,42.9
"2023-05-05 01:00:00",62.36,,60.53
"2023-05-06 01:00:00",70.9,,67.66
"2023-05-07 01:00:00",56.08,,72.57
"2023-05-08 01:00:00",81.89,,87.27
"2023-05-09 01:00:00",103.76,,96.43
"2023-05-10 01:00:00",105.26,,103.29
"2023-05-11 01:00:00",130.63,,107.01
"2023-05-12 01:00:00",126.48,,109.42
"2023-05-13 01:00:00",118.9,,118.37
"2023-05-14 01:00:00",82.13,,114.4
"2023-05-15 01:00:00",98.81,,107.19
"2023-05-16 01:00:00",166.37,,97.15
"2023-05-17 01:00:00",77.5,,88
"2023-05-18 01:00:00",80.13,,88.59
"2023-05-19 01:00:00",56.18,,97.74
"2023-05-20 01:00:00",54.89,,89.67
"2023-05-21 01:00:00",86.25,,86.68
"2023-05-22 01:00:00",162.86,,84.24
"2023-05-23 01:00:00",109.91,,87.8
"2023-05-24 01:00:00",56.51,,89.71
"2023-05-25 01:00:00",63.1,,91.48
"2023-05-26 01:00:00",81.08,,82.3
"2023-05-27 01:00:00",68.28,,80.69
"2023-05-28 01:00:00",98.61,,79.08
"2023-05-29 01:00:00",98.61,,81.43
"2023-05-30 01:00:00",98.61,,82.49
"2023-05-31 01:00:00",45.29,,81.57
"2023-06-01 01:00:00",79.5,,75.64
"2023-06-02 01:00:00",88.53,,71.32
"2023-06-03 01:00:00",61.83,,68.76
"2023-06-04 01:00:00",57.11,,75.61
"2023-06-05 01:00:00",68.35,,76.96
"2023-06-06 01:00:00",80.74,,74.37
"2023-06-07 01:00:00",93.18,,71.14
"2023-06-08 01:00:00",88.97,,70.31
"2023-06-09 01:00:00",70.4,,66.55
"2023-06-10 01:00:00",39.25,,60.04
"2023-06-11 01:00:00",51.3,,57.79
"2023-06-12 01:00:00",42.02,,58.69
"2023-06-13 01:00:00",35.19,,56.81
"2023-06-14 01:00:00",77.38,,59
"2023-06-15 01:00:00",95.27,,57.69
"2023-06-16 01:00:00",57.26,,67.17
"2023-06-17 01:00:00",54.58,,70.21
"2023-06-18 01:00:00",42.13,,65.58
"2023-06-19 01:00:00",108.41,,60.56
"2023-06-20 01:00:00",56.46,,60.27
"2023-06-21 01:00:00",44.95,,57.57
"2023-06-22 01:00:00",60.16,,57
"2023-06-23 01:00:00",55.21,,51.62
"2023-06-24 01:00:00",35.68,,50.74
"2023-06-25 01:00:00",38.12,,53.16
"2023-06-26 01:00:00",70.73,,59.15
"2023-06-27 01:00:00",50.36,,64.05
"2023-06-28 01:00:00",61.86,,64.29
"2023-06-29 01:00:00",102.1,,64.23
"2023-06-30 01:00:00",89.52,,64.45
"2023-07-01 01:00:00",37.31,,70.81
"2023-07-02 01:00:00",37.7,,70.45
"2023-07-03 01:00:00",72.29,,67.62
"2023-07-04 01:00:00",94.89,,63.46
"2023-07-05 01:00:00",59.35,,65.14
"2023-07-06 01:00:00",82.3,,72.71
"2023-07-07 01:00:00",60.35,,76.51
"2023-07-08 01:00:00",49.13,,69.19
"2023-07-09 01:00:00",90.67,,65.4
"2023-07-10 01:00:00",98.87,,58.28
"2023-07-11 01:00:00",43.68,,55.95
"2023-07-12 01:00:00",32.78,,57
"2023-07-13 01:00:00",32.48,,49.36
"2023-07-14 01:00:00",44.04,,42
"2023-07-15 01:00:00",56.48,,44.39
"2023-07-16 01:00:00",37.18,,48.12
"2023-07-17 01:00:00",47.34,,51.72
"2023-07-18 01:00:00",60.46,,54.87
"2023-07-19 01:00:00",58.89,,61.86
"2023-07-20 01:00:00",57.65,,68.38
"2023-07-21 01:00:00",66.07,,67.58
"2023-07-22 01:00:00",105.4,,63.24
"2023-07-23 01:00:00",82.86,,59.1
"2023-07-24 01:00:00",41.73,,54.79
"2023-07-25 01:00:00",30.1,,48.66
"2023-07-26 01:00:00",29.92,,37.43
"2023-07-27 01:00:00",27.42,,29.24
"2023-07-28 01:00:00",23.16,,34.06
"2023-07-29 01:00:00",26.82,,32.87
"2023-07-30 01:00:00",25.5,,31.67
