"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-12 01:00:00",122.05,106.45658310042818,104.85
"2025-09-13 01:00:00",142.76,,102.15
"2025-09-14 01:00:00",53.25,,77.13
"2025-09-15 01:00:00",49.73,,84.82
"2025-09-16 01:00:00",61.76,,84.05
"2025-09-17 01:00:00",57.08,,84.38
"2025-09-18 01:00:00",107.08,,87.85
"2025-09-19 01:00:00",116.68,,90.42
"2025-09-20 01:00:00",145.1,,97.29
"2025-09-21 01:00:00",77.49,,114.34
"2025-09-22 01:00:00",67.72,,112.72
"2025-09-23 01:00:00",109.89,,105.49
"2025-09-24 01:00:00",176.4,,93.12
"2025-09-25 01:00:00",95.76,,94.94
"2025-09-26 01:00:00",66.04,,96.5
"2025-09-27 01:00:00",58.55,,99.2
"2025-09-28 01:00:00",90.24,,110
"2025-09-29 01:00:00",78.65,,113.35
"2025-09-30 01:00:00",128.78,,118.96
"2025-10-01 01:00:00",252,,123.38
"2025-10-02 01:00:00",119.19,,138.89
"2025-10-03 01:00:00",105.31,,149.2
"2025-10-04 01:00:00",89.47,,157.56
"2025-10-05 01:00:00",198.84,,146.77
"2025-10-06 01:00:00",150.82,,143.99
"2025-10-07 01:00:00",187.27,,140.02
"2025-10-08 01:00:00",176.47,,140.72
"2025-10-09 01:00:00",99.77,,119.46
"2025-10-10 01:00:00",77.53,,105.14
"2025-10-11 01:00:00",94.37,,87.07
"2025-10-12 01:00:00",49.98,,76.92
"2025-10-13 01:00:00",50.57,,83.21
"2025-10-14 01:00:00",60.79,,86.48
"2025-10-15 01:00:00",105.43,,82.98
"2025-10-16 01:00:00",143.83,,84.56
"2025-10-17 01:00:00",100.4,,84.83
"2025-10-18 01:00:00",69.87,,84.31
"2025-10-19 01:00:00",61.03,,78.83
"2025-10-20 01:00:00",52.45,,78.81
"2025-10-21 01:00:00",57.16,,86.78
"2025-10-22 01:00:00",67.08,,87.08
"2025-10-23 01:00:00",143.71,,85.41
"2025-10-24 01:00:00",156.15,,86.38
"2025-10-25 01:00:00",71.99,,87.06
"2025-10-26 01:00:00",49.32,,87.08
