"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-21 01:00:00",10.25,13.893499971826644,10.25
"2023-05-22 01:00:00",10.25,,10.28
"2023-05-23 01:00:00",10.25,,12.09
"2023-05-24 01:00:00",10.25,,11.71
"2023-05-25 01:00:00",10.46,,10.96
"2023-05-26 01:00:00",22.92,,10.22
"2023-05-27 01:00:00",7.61,,9.47
"2023-05-28 01:00:00",5.01,,9.18
"2023-05-29 01:00:00",5.01,,10.6
"2023-05-30 01:00:00",5.01,,8.31
"2023-05-31 01:00:00",8.27,,8.14
"2023-06-01 01:00:00",20.36,,8.37
"2023-06-02 01:00:00",6.92,,9.11
"2023-06-03 01:00:00",6.41,,9.99
"2023-06-04 01:00:00",6.64,,10.39
"2023-06-05 01:00:00",10.14,,8.29
"2023-06-06 01:00:00",11.19,,8.43
"2023-06-07 01:00:00",11.09,,9.71
"2023-06-08 01:00:00",5.62,,9.8
"2023-06-09 01:00:00",7.89,,9.27
"2023-06-10 01:00:00",15.42,,8.52
"2023-06-11 01:00:00",7.27,,8.26
"2023-06-12 01:00:00",6.39,,9.91
"2023-06-13 01:00:00",5.98,,10.64
"2023-06-14 01:00:00",9.26,,10.43
"2023-06-15 01:00:00",17.17,,10.92
"2023-06-16 01:00:00",12.99,,11.56
"2023-06-17 01:00:00",13.95,,12.52
"2023-06-18 01:00:00",10.68,,12.6
"2023-06-19 01:00:00",10.91,,11.06
"2023-06-20 01:00:00",12.67,,9.89
"2023-06-21 01:00:00",9.8,,8.71
"2023-06-22 01:00:00",6.39,,8.27
"2023-06-23 01:00:00",4.83,,8.04
"2023-06-24 01:00:00",5.72,,7.25
"2023-06-25 01:00:00",7.6,,6.66
"2023-06-26 01:00:00",9.3,,6.67
"2023-06-27 01:00:00",7.11,,6.49
"2023-06-28 01:00:00",5.64,,6.29
"2023-06-29 01:00:00",6.47,,6.02
"2023-06-30 01:00:00",3.56,,6.29
"2023-07-01 01:00:00",4.32,,7.19
"2023-07-02 01:00:00",5.75,,7.99
"2023-07-03 01:00:00",11.18,,8.58
"2023-07-04 01:00:00",13.42,,9.47
"2023-07-05 01:00:00",11.26,,10.71
"2023-07-06 01:00:00",10.54,,12.04
"2023-07-07 01:00:00",9.83,,12.39
"2023-07-08 01:00:00",13.02,,14.73
"2023-07-09 01:00:00",15.01,,15.56
"2023-07-10 01:00:00",13.62,,15.35
"2023-07-11 01:00:00",29.81,,15.43
"2023-07-12 01:00:00",17.07,,14.86
"2023-07-13 01:00:00",9.06,,13.77
"2023-07-14 01:00:00",10.43,,13.6
"2023-07-15 01:00:00",9.01,,10.56
"2023-07-16 01:00:00",7.36,,11.21
"2023-07-17 01:00:00",12.44,,12.12
"2023-07-18 01:00:00",8.55,,12.22
"2023-07-19 01:00:00",21.62,,12.29
"2023-07-20 01:00:00",15.46,,12.83
"2023-07-21 01:00:00",11.1,,13.26
"2023-07-22 01:00:00",9.47,,12.84
"2023-07-23 01:00:00",11.17,,10.51
"2023-07-24 01:00:00",15.48,,9.35
"2023-07-25 01:00:00",5.61,,9.58
"2023-07-26 01:00:00",5.27,,9.14
"2023-07-27 01:00:00",7.36,,8.61
"2023-07-28 01:00:00",12.68,,7.56
"2023-07-29 01:00:00",6.42,,8.02
"2023-07-30 01:00:00",7.46,,8.63
"2023-07-31 01:00:00",8.15,,9.34
"2023-08-01 01:00:00",8.77,,9.83
"2023-08-02 01:00:00",9.59,,12.43
"2023-08-03 01:00:00",12.34,,13.71
"2023-08-04 01:00:00",16.09,,16.36
"2023-08-05 01:00:00",24.59,,16.36
"2023-08-06 01:00:00",16.44,,16.03
"2023-08-07 01:00:00",26.72,,15.36
"2023-08-08 01:00:00",8.76,,14.11
"2023-08-09 01:00:00",7.27,,12.14
"2023-08-10 01:00:00",7.66,,12.62
"2023-08-11 01:00:00",7.35,,9.6
"2023-08-12 01:00:00",10.81,,9.16
"2023-08-13 01:00:00",19.78,,9.21
"2023-08-14 01:00:00",5.59,,8.88
"2023-08-15 01:00:00",5.68,,9.2
"2023-08-16 01:00:00",7.57,,8.72
"2023-08-17 01:00:00",5.37,,6.95
"2023-08-18 01:00:00",9.62,,7.23
"2023-08-19 01:00:00",7.4,,7.69
"2023-08-20 01:00:00",7.42,,8.77
"2023-08-21 01:00:00",7.54,,9.83
"2023-08-22 01:00:00",8.89,,9.31
"2023-08-23 01:00:00",15.13,,9
"2023-08-24 01:00:00",12.84,,9.31
"2023-08-25 01:00:00",5.95,,9.73
"2023-08-26 01:00:00",5.25,,10.88
"2023-08-27 01:00:00",9.54,,12.32
"2023-08-28 01:00:00",10.48,,13.78
"2023-08-29 01:00:00",16.94,,15.09
"2023-08-30 01:00:00",25.22,,17
"2023-08-31 01:00:00",23.1,,18.39
"2023-09-01 01:00:00",15.13,,20.74
"2023-09-02 01:00:00",18.58,,21.03
"2023-09-03 01:00:00",19.3,,19.75
"2023-09-04 01:00:00",26.94,,18.88
"2023-09-05 01:00:00",18.94,,18.24
"2023-09-06 01:00:00",16.26,,17
"2023-09-07 01:00:00",17.02,,15.89
"2023-09-08 01:00:00",10.64,,13.5
"2023-09-09 01:00:00",9.88,,12.09
"2023-09-10 01:00:00",11.55,,11.11
"2023-09-11 01:00:00",10.23,,11.24
"2023-09-12 01:00:00",9.02,,13.95
"2023-09-13 01:00:00",9.42,,15
"2023-09-14 01:00:00",17.91,,14.99
"2023-09-15 01:00:00",29.62,,17.05
"2023-09-16 01:00:00",17.25,,19.98
"2023-09-17 01:00:00",11.47,,22.41
"2023-09-18 01:00:00",24.69,,23.43
"2023-09-19 01:00:00",29.52,,21.62
"2023-09-20 01:00:00",26.42,,20.86
"2023-09-21 01:00:00",25.01,,20.93
"2023-09-22 01:00:00",17,,19.57
"2023-09-23 01:00:00",11.89,,18.01
"2023-09-24 01:00:00",12,,16.88
"2023-09-25 01:00:00",15.12,,18.78
"2023-09-26 01:00:00",18.6,,18.98
"2023-09-27 01:00:00",18.51,,19.29
"2023-09-28 01:00:00",38.36,,19.39
"2023-09-29 01:00:00",18.39,,19.53
"2023-09-30 01:00:00",14.03,,19.18
"2023-10-01 01:00:00",12.71,,20.69
"2023-10-02 01:00:00",16.12,,19.84
"2023-10-03 01:00:00",16.14,,21.15
"2023-10-04 01:00:00",29.06,,23
"2023-10-05 01:00:00",32.42,,24.67
"2023-10-06 01:00:00",27.59,,25.65
"2023-10-07 01:00:00",26.97,,27.08
"2023-10-08 01:00:00",24.4,,26.52
"2023-10-09 01:00:00",22.96,,24.66
"2023-10-10 01:00:00",26.13,,22.58
"2023-10-11 01:00:00",25.14,,20.29
"2023-10-12 01:00:00",19.45,,18.57
"2023-10-13 01:00:00",12.98,,19.97
"2023-10-14 01:00:00",10.94,,18.9
"2023-10-15 01:00:00",12.4,,18.39
"2023-10-16 01:00:00",32.72,,20
"2023-10-17 01:00:00",18.69,,21.01
"2023-10-18 01:00:00",21.54,,21.57
"2023-10-19 01:00:00",30.73,,21.78
"2023-10-20 01:00:00",20.02,,20.9
"2023-10-21 01:00:00",14.9,,20.86
"2023-10-22 01:00:00",13.83,,23.4
"2023-10-23 01:00:00",26.61,,21.92
"2023-10-24 01:00:00",18.37,,21.7
"2023-10-25 01:00:00",39.31,,22
"2023-10-26 01:00:00",20.39,,22.37
"2023-10-27 01:00:00",18.48,,21.98
"2023-10-28 01:00:00",17,,21.86
"2023-10-29 01:00:00",16.44,,18.31
"2023-10-30 00:00:00",23.88,,17.87
"2023-10-31 00:00:00",17.49,,18.05
"2023-11-01 00:00:00",14.47,,17
"2023-11-02 00:00:00",17.31,,16.15
"2023-11-03 00:00:00",19.74,,15.85
"2023-11-04 00:00:00",9.68,,16.05
"2023-11-05 00:00:00",10.46,,17.35
"2023-11-06 00:00:00",21.77,,18.31
"2023-11-07 00:00:00",18.95,,18.31
"2023-11-08 00:00:00",23.57,,19.57
"2023-11-09 00:00:00",24,,21.17
"2023-11-10 00:00:00",19.72,,22.79
"2023-11-11 00:00:00",18.53,,23.66
"2023-11-12 00:00:00",21.68,,23.29
"2023-11-13 00:00:00",33.07,,21.77
"2023-11-14 00:00:00",25.02,,20.63
"2023-11-15 00:00:00",21.02,,20.14
"2023-11-16 00:00:00",13.38,,19.71
"2023-11-17 00:00:00",11.73,,18.5
"2023-11-18 00:00:00",15.1,,17.14
"2023-11-19 00:00:00",18.66,,15.79
"2023-11-20 00:00:00",24.57,,15.35
"2023-11-21 00:00:00",15.51,,15.98
"2023-11-22 00:00:00",11.61,,17.86
"2023-11-23 00:00:00",10.26,,17.3
"2023-11-24 00:00:00",16.14,,15.78
"2023-11-25 00:00:00",28.24,,15.6
"2023-11-26 00:00:00",14.76,,15.89
"2023-11-27 00:00:00",13.97,,15.98
"2023-11-28 00:00:00",14.19,,14.73
"2023-11-29 00:00:00",13.69,,11.57
"2023-11-30 00:00:00",10.86,,10.74
"2023-12-01 00:00:00",7.4,,9.85
"2023-12-02 00:00:00",6.11,,8.85
"2023-12-03 00:00:00",8.94,,7.82
"2023-12-04 00:00:00",7.77,,6.93
"2023-12-05 00:00:00",7.17,,6.39
"2023-12-06 00:00:00",6.49,,6.57
"2023-12-07 00:00:00",4.62,,6.61
"2023-12-08 00:00:00",3.6,,7.3
"2023-12-09 00:00:00",7.42,,10.21
"2023-12-10 00:00:00",9.19,,11.56
"2023-12-11 00:00:00",12.63,,13.54
"2023-12-12 00:00:00",27.53,,14.59
"2023-12-13 00:00:00",15.9,,15.29
"2023-12-14 00:00:00",18.53,,16.17
"2023-12-15 00:00:00",10.94,,16.63
"2023-12-16 00:00:00",12.29,,14.24
"2023-12-17 00:00:00",15.37,,13.58
"2023-12-18 00:00:00",15.82,,12.31
"2023-12-19 00:00:00",10.83,,12.14
"2023-12-20 00:00:00",11.25,,11.28
"2023-12-21 00:00:00",9.67,,10.02
"2023-12-22 00:00:00",9.72,,8.57
"2023-12-23 00:00:00",6.33,,8.98
"2023-12-24 00:00:00",6.54,,9.62
"2023-12-25 00:00:00",5.65,,9.71
"2023-12-26 00:00:00",13.67,,9.42
"2023-12-27 00:00:00",15.78,,9.86
"2023-12-28 00:00:00",10.31,,10.93
"2023-12-29 00:00:00",7.69,,11.17
"2023-12-30 00:00:00",9.37,,12.15
"2023-12-31 00:00:00",14.06,,10.86
"2024-01-01 00:00:00",7.3,,10.75
"2024-01-02 00:00:00",20.57,,11.17
"2024-01-03 00:00:00",6.7,,11.14
"2024-01-04 00:00:00",9.56,,11.22
"2024-01-05 00:00:00",10.63,,11.91
"2024-01-06 00:00:00",9.19,,11.9
"2024-01-07 00:00:00",14.6,,12.87
"2024-01-08 00:00:00",12.13,,13.25
"2024-01-09 00:00:00",20.49,,12.79
"2024-01-10 00:00:00",13.5,,12.71
"2024-01-11 00:00:00",12.21,,11.7
"2024-01-12 00:00:00",7.43,,11.84
"2024-01-13 00:00:00",8.63,,10.71
"2024-01-14 00:00:00",7.53,,10.45
"2024-01-15 00:00:00",13.1,,10.42
"2024-01-16 00:00:00",12.55,,12.37
"2024-01-17 00:00:00",11.73,,12.43
"2024-01-18 00:00:00",11.94,,12.49
"2024-01-19 00:00:00",21.11,,12
"2024-01-20 00:00:00",9.03,,11.91
"2024-01-21 00:00:00",7.97,,12.85
"2024-01-22 00:00:00",9.67,,13.53
"2024-01-23 00:00:00",11.91,,13.56
"2024-01-24 00:00:00",18.34,,14
"2024-01-25 00:00:00",16.7,,14.42
"2024-01-26 00:00:00",21.32,,15.12
"2024-01-27 00:00:00",12.09,,16.12
"2024-01-28 00:00:00",10.92,,15.23
"2024-01-29 00:00:00",14.59,,13.83
