"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-23 01:00:00",28.12,19.074403837609815,30.24
"2023-04-24 01:00:00",22.93,,27.03
"2023-04-25 01:00:00",33.12,,28.41
"2023-04-26 01:00:00",43.15,,26.57
"2023-04-27 01:00:00",16.03,,25.03
"2023-04-28 01:00:00",22.4,,24.08
"2023-04-29 01:00:00",20.25,,21.6
"2023-04-30 01:00:00",17.36,,19.31
"2023-05-01 01:00:00",16.24,,24.35
"2023-05-02 01:00:00",15.76,,25.43
"2023-05-03 01:00:00",27.1,,25.28
"2023-05-04 01:00:00",51.31,,25.48
"2023-05-05 01:00:00",29.97,,26.87
"2023-05-06 01:00:00",19.25,,30.2
"2023-05-07 01:00:00",18.74,,32.19
"2023-05-08 01:00:00",25.94,,31.56
"2023-05-09 01:00:00",39.12,,32.33
"2023-05-10 01:00:00",40.97,,33
"2023-05-11 01:00:00",46.91,,37.08
"2023-05-12 01:00:00",35.38,,37.5
"2023-05-13 01:00:00",23.94,,34.32
"2023-05-14 01:00:00",47.32,,32.37
"2023-05-15 01:00:00",28.86,,29.92
"2023-05-16 01:00:00",16.89,,27.2
"2023-05-17 01:00:00",27.31,,26.57
"2023-05-18 01:00:00",29.71,,21.97
"2023-05-19 01:00:00",16.34,,23.42
"2023-05-20 01:00:00",19.57,,26.04
"2023-05-21 01:00:00",15.08,,24.65
"2023-05-22 01:00:00",39.02,,25.23
"2023-05-23 01:00:00",35.22,,26.25
"2023-05-24 01:00:00",17.59,,25.72
"2023-05-25 01:00:00",33.81,,26.34
"2023-05-26 01:00:00",23.46,,23.54
"2023-05-27 01:00:00",15.83,,21.81
"2023-05-28 01:00:00",19.44,,25.13
"2023-05-29 01:00:00",19.44,,27.26
"2023-05-30 01:00:00",23.13,,31.49
"2023-05-31 01:00:00",40.79,,33.57
"2023-06-01 01:00:00",48.74,,39.19
"2023-06-02 01:00:00",53.09,,38.96
"2023-06-03 01:00:00",30.37,,40.12
"2023-06-04 01:00:00",58.76,,37.87
"2023-06-05 01:00:00",17.83,,33.86
"2023-06-06 01:00:00",31.29,,29.03
"2023-06-07 01:00:00",25,,27.29
"2023-06-08 01:00:00",20.65,,20.99
"2023-06-09 01:00:00",19.28,,21.42
"2023-06-10 01:00:00",18.2,,21.01
"2023-06-11 01:00:00",14.71,,22.98
"2023-06-12 01:00:00",20.8,,24.48
"2023-06-13 01:00:00",28.46,,24.84
"2023-06-14 01:00:00",38.79,,24.86
"2023-06-15 01:00:00",31.1,,23.46
"2023-06-16 01:00:00",21.79,,21.27
"2023-06-17 01:00:00",18.36,,17.91
"2023-06-18 01:00:00",4.92,,13.54
"2023-06-19 01:00:00",5.48,,11.09
"2023-06-20 01:00:00",4.95,,9.74
"2023-06-21 01:00:00",8.17,,8.82
"2023-06-22 01:00:00",13.95,,9.9
"2023-06-23 01:00:00",12.33,,10.71
"2023-06-24 01:00:00",11.97,,11.74
"2023-06-25 01:00:00",12.47,,12.66
"2023-06-26 01:00:00",11.1,,13.61
"2023-06-27 01:00:00",12.17,,15.05
"2023-06-28 01:00:00",14.64,,14.8
"2023-06-29 01:00:00",20.59,,14.38
"2023-06-30 01:00:00",22.42,,15.59
"2023-07-01 01:00:00",10.21,,15.76
"2023-07-02 01:00:00",9.55,,15.78
"2023-07-03 01:00:00",19.54,,15.82
"2023-07-04 01:00:00",13.4,,14.49
"2023-07-05 01:00:00",14.73,,14.57
"2023-07-06 01:00:00",20.91,,20.4
"2023-07-07 01:00:00",13.11,,22.31
"2023-07-08 01:00:00",10.75,,23.29
"2023-07-09 01:00:00",50.38,,24.43
"2023-07-10 01:00:00",32.87,,24.64
"2023-07-11 01:00:00",20.28,,26.85
"2023-07-12 01:00:00",22.72,,29.31
"2023-07-13 01:00:00",22.34,,23.41
"2023-07-14 01:00:00",28.61,,20.97
"2023-07-15 01:00:00",28,,20.06
"2023-07-16 01:00:00",9.06,,18.89
"2023-07-17 01:00:00",15.76,,17.48
"2023-07-18 01:00:00",13.94,,15.12
"2023-07-19 01:00:00",14.5,,12.3
"2023-07-20 01:00:00",12.5,,13.02
"2023-07-21 01:00:00",12.08,,12.74
"2023-07-22 01:00:00",8.24,,12.32
"2023-07-23 01:00:00",14.09,,12.11
"2023-07-24 01:00:00",13.81,,13.05
"2023-07-25 01:00:00",11,,13
"2023-07-26 01:00:00",13.04,,13.02
"2023-07-27 01:00:00",19.06,,13.19
"2023-07-28 01:00:00",11.74,,12.6
"2023-07-29 01:00:00",8.38,,12.33
"2023-07-30 01:00:00",15.29,,11.43
"2023-07-31 01:00:00",9.71,,10.14
"2023-08-01 01:00:00",9.08,,10.72
"2023-08-02 01:00:00",6.77,,11.52
"2023-08-03 01:00:00",10.01,,10.54
"2023-08-04 01:00:00",15.78,,10.54
"2023-08-05 01:00:00",13.99,,10.33
"2023-08-06 01:00:00",8.43,,10.64
"2023-08-07 01:00:00",9.73,,10.46
"2023-08-08 01:00:00",7.57,,10.04
"2023-08-09 01:00:00",8.94,,10.72
"2023-08-10 01:00:00",8.77,,11.45
"2023-08-11 01:00:00",12.82,,11.46
"2023-08-12 01:00:00",18.81,,11.31
"2023-08-13 01:00:00",13.49,,11.33
"2023-08-14 01:00:00",9.79,,12.08
"2023-08-15 01:00:00",6.55,,12.01
"2023-08-16 01:00:00",9.08,,11.33
"2023-08-17 01:00:00",14,,11.16
"2023-08-18 01:00:00",12.38,,11.76
"2023-08-19 01:00:00",14,,12.78
"2023-08-20 01:00:00",12.35,,13.59
"2023-08-21 01:00:00",13.95,,13.15
"2023-08-22 01:00:00",13.7,,13.06
"2023-08-23 01:00:00",14.77,,15.38
"2023-08-24 01:00:00",10.91,,17.01
"2023-08-25 01:00:00",11.77,,19.83
"2023-08-26 01:00:00",30.22,,20.17
"2023-08-27 01:00:00",23.77,,20.36
"2023-08-28 01:00:00",33.7,,21.35
"2023-08-29 01:00:00",16.07,,22.63
"2023-08-30 01:00:00",16.07,,22.29
"2023-08-31 01:00:00",17.85,,21.61
"2023-09-01 01:00:00",20.72,,20.31
"2023-09-02 01:00:00",27.88,,22.16
"2023-09-03 01:00:00",19,,24.65
"2023-09-04 01:00:00",24.58,,27.62
"2023-09-05 01:00:00",29.05,,30.42
"2023-09-06 01:00:00",33.47,,31.84
"2023-09-07 01:00:00",38.61,,33.6
"2023-09-08 01:00:00",40.38,,33.8
"2023-09-09 01:00:00",37.78,,33.43
"2023-09-10 01:00:00",31.3,,30.93
"2023-09-11 01:00:00",26.01,,29.07
"2023-09-12 01:00:00",26.45,,28.06
"2023-09-13 01:00:00",16,,26.96
"2023-09-14 01:00:00",25.57,,25.54
"2023-09-15 01:00:00",33.33,,25.91
"2023-09-16 01:00:00",30.07,,25.86
"2023-09-17 01:00:00",21.37,,27.86
"2023-09-18 01:00:00",28.59,,28.73
"2023-09-19 01:00:00",26.07,,28.05
"2023-09-20 01:00:00",30.04,,28.82
"2023-09-21 01:00:00",31.64,,29.19
"2023-09-22 01:00:00",28.59,,28.67
"2023-09-23 01:00:00",35.43,,29.27
"2023-09-24 01:00:00",23.95,,30.11
"2023-09-25 01:00:00",25,,30.73
"2023-09-26 01:00:00",30.26,,32.12
"2023-09-27 01:00:00",35.93,,31.16
"2023-09-28 01:00:00",35.93,,39.25
"2023-09-29 01:00:00",38.33,,50.89
"2023-09-30 01:00:00",28.74,,62.33
"2023-10-01 01:00:00",80.56,,74.23
"2023-10-02 01:00:00",106.45,,89.37
"2023-10-03 01:00:00",110.39,,103.25
"2023-10-04 01:00:00",119.22,,118.5
"2023-10-05 01:00:00",141.93,,120.34
"2023-10-06 01:00:00",135.48,,117.45
"2023-10-07 01:00:00",135.48,,114
"2023-10-08 01:00:00",93.42,,109.78
"2023-10-09 01:00:00",86.23,,101.82
"2023-10-10 01:00:00",86.23,,90.68
"2023-10-11 01:00:00",89.68,,78.6
"2023-10-12 01:00:00",86.23,,71.68
"2023-10-13 01:00:00",57.49,,69.65
"2023-10-14 01:00:00",50.95,,69.33
"2023-10-15 01:00:00",44.92,,67.6
"2023-10-16 01:00:00",72.06,,66.37
"2023-10-17 01:00:00",84,,68.45
"2023-10-18 01:00:00",77.57,,68.57
"2023-10-19 01:00:00",77.57,,71.29
"2023-10-20 01:00:00",72.06,,72.15
"2023-10-21 01:00:00",51.81,,73
"2023-10-22 01:00:00",63.98,,73.58
"2023-10-23 01:00:00",78.06,,77.65
"2023-10-24 01:00:00",89.94,,82.51
"2023-10-25 01:00:00",81.65,,86.78
"2023-10-26 01:00:00",106.08,,88.85
"2023-10-27 01:00:00",106.08,,92.67
"2023-10-28 01:00:00",81.65,,95.55
"2023-10-29 01:00:00",78.47,,93.11
"2023-10-30 00:00:00",104.81,,88.77
"2023-10-31 00:00:00",110.09,,90.18
"2023-11-01 00:00:00",64.57,,91.08
"2023-11-02 00:00:00",75.75,,89.11
"2023-11-03 00:00:00",115.92,,88.21
"2023-11-04 00:00:00",87.94,,84.94
"2023-11-05 00:00:00",64.69,,88.16
"2023-11-06 00:00:00",98.54,,89.11
"2023-11-07 00:00:00",87.14,,85.76
"2023-11-08 00:00:00",87.14,,84.97
"2023-11-09 00:00:00",82.38,,82.84
"2023-11-10 00:00:00",92.49,,76.98
"2023-11-11 00:00:00",82.38,,73.7
"2023-11-12 00:00:00",49.8,,70.17
"2023-11-13 00:00:00",57.54,,66.62
"2023-11-14 00:00:00",64.2,,60.07
"2023-11-15 00:00:00",62.39,,52.93
"2023-11-16 00:00:00",57.54,,57.14
"2023-11-17 00:00:00",46.66,,61.36
"2023-11-18 00:00:00",32.37,,67.2
"2023-11-19 00:00:00",79.27,,70.73
"2023-11-20 00:00:00",87.06,,72.49
"2023-11-21 00:00:00",105.13,,74.31
"2023-11-22 00:00:00",87.06,,76.64
"2023-11-23 00:00:00",69.89,,69.58
"2023-11-24 00:00:00",59.36,,61.82
"2023-11-25 00:00:00",48.74,,52.09
"2023-11-26 00:00:00",29.84,,48.1
"2023-11-27 00:00:00",32.73,,47.92
"2023-11-28 00:00:00",37.04,,45.24
"2023-11-29 00:00:00",59.07,,43.57
"2023-11-30 00:00:00",68.69,,49.09
"2023-12-01 00:00:00",40.6,,51.66
"2023-12-02 00:00:00",37.04,,52.79
"2023-12-03 00:00:00",68.44,,50.02
"2023-12-04 00:00:00",50.75,,44.05
"2023-12-05 00:00:00",44.94,,42.44
"2023-12-06 00:00:00",39.65,,41.33
"2023-12-07 00:00:00",26.95,,36.6
"2023-12-08 00:00:00",29.3,,34.73
"2023-12-09 00:00:00",29.3,,35.8
"2023-12-10 00:00:00",35.32,,38.96
"2023-12-11 00:00:00",37.62,,45.86
"2023-12-12 00:00:00",52.44,,50.5
"2023-12-13 00:00:00",61.8,,51.81
"2023-12-14 00:00:00",75.24,,54.8
"2023-12-15 00:00:00",61.8,,56.93
"2023-12-16 00:00:00",38.45,,56.04
"2023-12-17 00:00:00",56.27,,53.06
"2023-12-18 00:00:00",52.48,,46.54
"2023-12-19 00:00:00",46.24,,40.89
"2023-12-20 00:00:00",40.97,,38.67
"2023-12-21 00:00:00",29.56,,33.68
"2023-12-22 00:00:00",22.24,,28.96
"2023-12-23 00:00:00",22.9,,26.23
"2023-12-24 00:00:00",21.38,,22.77
"2023-12-25 00:00:00",19.45,,20.16
"2023-12-26 00:00:00",27.09,,18.45
"2023-12-27 00:00:00",16.8,,16.93
"2023-12-28 00:00:00",11.23,,16.32
"2023-12-29 00:00:00",10.29,,18.6
"2023-12-30 00:00:00",12.26,,16.7
"2023-12-31 00:00:00",17.09,,16.09
"2024-01-01 00:00:00",35.42,,17.84
"2024-01-02 00:00:00",13.84,,18.68
"2024-01-03 00:00:00",12.5,,19.42
"2024-01-04 00:00:00",23.5,,18.74
"2024-01-05 00:00:00",16.18,,16.68
"2024-01-06 00:00:00",17.42,,18.04
"2024-01-07 00:00:00",12.35,,19.93
"2024-01-08 00:00:00",21,,20.41
"2024-01-09 00:00:00",23.31,,21.56
"2024-01-10 00:00:00",25.77,,22.69
"2024-01-11 00:00:00",26.86,,22.36
"2024-01-12 00:00:00",24.2,,20.69
"2024-01-13 00:00:00",25.36,,18.75
"2024-01-14 00:00:00",10.02,,17.09
"2024-01-15 00:00:00",9.29,,15.85
"2024-01-16 00:00:00",9.77,,14.99
"2024-01-17 00:00:00",14.13,,13.64
"2024-01-18 00:00:00",18.19,,12.68
"2024-01-19 00:00:00",18.19,,11.73
"2024-01-20 00:00:00",15.91,,10.95
"2024-01-21 00:00:00",3.27,,9.67
"2024-01-22 00:00:00",2.64,,7.81
"2024-01-23 00:00:00",4.29,,5.74
"2024-01-24 00:00:00",5.19,,3.96
"2024-01-25 00:00:00",5.19,,4.24
"2024-01-26 00:00:00",3.66,,4.67
"2024-01-27 00:00:00",3.46,,4.88
"2024-01-28 00:00:00",5.24,,4.89
"2024-01-29 00:00:00",5.63,,4.69
"2024-01-30 00:00:00",5.79,,4.59
"2024-01-31 00:00:00",5.26,,4.44
"2024-02-01 00:00:00",3.76,,4.56
"2024-02-02 00:00:00",2.97,,4.56
"2024-02-03 00:00:00",2.4,,4.52
"2024-02-04 00:00:00",6.11,,4.76
"2024-02-05 00:00:00",5.62,,6.59
"2024-02-06 00:00:00",5.51,,8.41
"2024-02-07 00:00:00",6.94,,10.19
"2024-02-08 00:00:00",16.55,,10.71
"2024-02-09 00:00:00",15.72,,11.5
"2024-02-10 00:00:00",14.85,,12.38
"2024-02-11 00:00:00",9.81,,12.85
"2024-02-12 00:00:00",11.1,,14.08
"2024-02-13 00:00:00",11.66,,15.25
"2024-02-14 00:00:00",10.25,,15.8
"2024-02-15 00:00:00",25.2,,16.96
"2024-02-16 00:00:00",23.91,,17.53
"2024-02-17 00:00:00",18.65,,19.51
"2024-02-18 00:00:00",17.93,,21.05
"2024-02-19 00:00:00",15.13,,21.09
"2024-02-20 00:00:00",25.48,,20.24
"2024-02-21 00:00:00",21.05,,19.55
"2024-02-22 00:00:00",25.48,,17.23
"2024-02-23 00:00:00",17.93,,15.29
"2024-02-24 00:00:00",13.83,,12.04
"2024-02-25 00:00:00",1.68,,9.34
"2024-02-26 00:00:00",1.56,,6.03
"2024-02-27 00:00:00",2.72,,3.75
"2024-02-28 00:00:00",2.18,,2.07
"2024-02-29 00:00:00",2.29,,3.95
"2024-03-01 00:00:00",1.99,,6.03
"2024-03-02 00:00:00",2.08,,8.15
"2024-03-03 00:00:00",14.82,,11.36
"2024-03-04 00:00:00",16.1,,13.97
"2024-03-05 00:00:00",17.62,,17.2
"2024-03-06 00:00:00",24.61,,19.3
"2024-03-07 00:00:00",20.54,,20.34
"2024-03-08 00:00:00",24.61,,21.05
"2024-03-09 00:00:00",16.83,,21.92
"2024-03-10 00:00:00",22.07,,23.4
"2024-03-11 00:00:00",21.1,,25.12
"2024-03-12 00:00:00",23.71,,25.36
"2024-03-13 00:00:00",34.94,,25.34
"2024-03-14 00:00:00",32.57,,22.51
"2024-03-15 00:00:00",26.31,,19.76
"2024-03-16 00:00:00",16.69,,16.59
"2024-03-17 00:00:00",2.27,,11.89
"2024-03-18 00:00:00",1.81,,7.74
