"Time","Sales","Trend Line","7-Day Moving Average"
"2025-02-02 00:00:00",1.43,7.937466575982912,1.12
"2025-02-03 00:00:00",1.01,,0.87
"2025-02-04 00:00:00",0.67,,0.77
"2025-02-05 00:00:00",0.43,,0.73
"2025-02-06 00:00:00",0.54,,0.74
"2025-02-07 00:00:00",0.62,,0.96
"2025-02-08 00:00:00",0.43,,1.52
"2025-02-09 00:00:00",1.48,,1.81
"2025-02-10 00:00:00",2.57,,2.05
"2025-02-11 00:00:00",4.56,,2.24
"2025-02-12 00:00:00",2.47,,2.45
"2025-02-13 00:00:00",2.23,,3.1
"2025-02-14 00:00:00",1.92,,3.6
"2025-02-15 00:00:00",1.92,,4.39
"2025-02-16 00:00:00",6.01,,5.87
"2025-02-17 00:00:00",6.12,,7.65
"2025-02-18 00:00:00",10.09,,9.5
"2025-02-19 00:00:00",12.77,,11.39
"2025-02-20 00:00:00",14.7,,11.85
"2025-02-21 00:00:00",14.91,,12.35
"2025-02-22 00:00:00",15.13,,11.98
"2025-02-23 00:00:00",9.21,,11.08
"2025-02-24 00:00:00",9.61,,9.68
"2025-02-25 00:00:00",7.5,,8.14
"2025-02-26 00:00:00",6.47,,6.49
"2025-02-27 00:00:00",4.95,,5.43
"2025-02-28 00:00:00",4.12,,4.48
"2025-03-01 00:00:00",3.58,,3.78
"2025-03-02 00:00:00",1.76,,3.33
"2025-03-03 00:00:00",2.97,,3.27
"2025-03-04 00:00:00",2.59,,3.12
"2025-03-05 00:00:00",3.36,,3.06
"2025-03-06 00:00:00",4.53,,3.32
"2025-03-07 00:00:00",3.05,,3.24
"2025-03-08 00:00:00",3.17,,3.91
"2025-03-09 00:00:00",3.57,,4.1
"2025-03-10 00:00:00",2.4,,3.92
"2025-03-11 00:00:00",7.27,,4.13
"2025-03-12 00:00:00",4.71,,4.04
"2025-03-13 00:00:00",3.27,,3.91
"2025-03-14 00:00:00",4.51,,3.79
"2025-03-15 00:00:00",2.57,,3.17
"2025-03-16 00:00:00",2.63,,2.71
"2025-03-17 00:00:00",1.59,,2.87
"2025-03-18 00:00:00",2.91,,2.55
"2025-03-19 00:00:00",1.51,,2.57
"2025-03-20 00:00:00",4.36,,2.77
"2025-03-21 00:00:00",2.3,,3.46
"2025-03-22 00:00:00",2.7,,3.61
"2025-03-23 00:00:00",4.04,,3.77
"2025-03-24 00:00:00",6.4,,3.62
"2025-03-25 00:00:00",3.99,,3.63
"2025-03-26 00:00:00",2.59,,3.55
"2025-03-27 00:00:00",3.31,,3.39
"2025-03-28 00:00:00",2.41,,3.18
"2025-03-29 00:00:00",2.11,,3.17
"2025-03-30 00:00:00",2.95,,3.4
"2025-03-31 01:00:00",4.87,,3.2
"2025-04-01 01:00:00",3.94,,3.24
"2025-04-02 01:00:00",4.24,,3.31
"2025-04-03 01:00:00",1.86,,3.33
"2025-04-04 01:00:00",2.74,,2.81
"2025-04-05 01:00:00",2.55,,2.4
"2025-04-06 01:00:00",3.14,,2.28
"2025-04-07 01:00:00",1.2,,2.19
"2025-04-08 01:00:00",1.05,,1.99
"2025-04-09 01:00:00",3.39,,1.84
"2025-04-10 01:00:00",1.29,,1.77
"2025-04-11 01:00:00",1.29,,2.1
"2025-04-12 01:00:00",1.51,,2.97
"2025-04-13 01:00:00",2.68,,3.18
"2025-04-14 01:00:00",3.5,,3.68
"2025-04-15 01:00:00",7.14,,4.21
"2025-04-16 01:00:00",4.85,,4.65
"2025-04-17 01:00:00",4.76,,4.92
"2025-04-18 01:00:00",5,,5.14
"2025-04-19 01:00:00",4.64,,4.84
"2025-04-20 01:00:00",4.56,,5.54
"2025-04-21 01:00:00",5.06,,6.18
"2025-04-22 01:00:00",4.98,,7.29
"2025-04-23 01:00:00",9.8,,8.33
"2025-04-24 01:00:00",9.24,,9.53
"2025-04-25 01:00:00",12.77,,10.17
"2025-04-26 01:00:00",11.88,,10.64
"2025-04-27 01:00:00",12.98,,10.07
"2025-04-28 01:00:00",9.54,,9.42
"2025-04-29 01:00:00",8.3,,8.51
"2025-04-30 01:00:00",5.79,,8.08
"2025-05-01 01:00:00",4.69,,7.44
"2025-05-02 01:00:00",6.36,,7.05
"2025-05-03 01:00:00",8.92,,7.11
"2025-05-04 01:00:00",8.51,,8.51
"2025-05-05 01:00:00",6.75,,8.71
"2025-05-06 01:00:00",8.74,,8.51
"2025-05-07 01:00:00",15.6,,8.2
"2025-05-08 01:00:00",6.07,,7.61
"2025-05-09 01:00:00",4.99,,7.61
"2025-05-10 01:00:00",6.77,,7.14
"2025-05-11 01:00:00",4.34,,5.94
"2025-05-12 01:00:00",6.79,,6.4
"2025-05-13 01:00:00",5.41,,6.25
"2025-05-14 01:00:00",7.23,,5.76
"2025-05-15 01:00:00",9.27,,5.54
