"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-31 01:00:00",61.33,126.11892175743638,56.89
"2025-09-01 01:00:00",62.83,,51.86
"2025-09-02 01:00:00",64.26,,46.19
"2025-09-03 01:00:00",25.79,,40.71
"2025-09-04 01:00:00",23.14,,35.58
"2025-09-05 01:00:00",21.71,,30.56
"2025-09-06 01:00:00",25.94,,25.28
"2025-09-07 01:00:00",25.37,,26.45
"2025-09-08 01:00:00",27.72,,33.73
"2025-09-09 01:00:00",27.27,,41.12
"2025-09-10 01:00:00",33.98,,47.86
"2025-09-11 01:00:00",74.1,,54.35
"2025-09-12 01:00:00",73.47,,59.09
"2025-09-13 01:00:00",73.09,,64.06
"2025-09-14 01:00:00",70.82,,69.12
"2025-09-15 01:00:00",60.93,,79.06
"2025-09-16 01:00:00",62.01,,83.55
"2025-09-17 01:00:00",69.41,,89.57
"2025-09-18 01:00:00",143.72,,91.13
"2025-09-19 01:00:00",104.86,,91.15
"2025-09-20 01:00:00",115.25,,95.05
"2025-09-21 01:00:00",81.73,,102.79
"2025-09-22 01:00:00",61.05,,96.81
"2025-09-23 01:00:00",89.3,,93.5
"2025-09-24 01:00:00",123.6,,88.71
"2025-09-25 01:00:00",101.86,,104.03
"2025-09-26 01:00:00",81.73,,112.52
"2025-09-27 01:00:00",81.73,,113.52
"2025-09-28 01:00:00",188.97,,115.23
"2025-09-29 01:00:00",120.46,,120.68
"2025-09-30 01:00:00",96.29,,129.67
"2025-10-01 01:00:00",135.58,,140.14
"2025-10-02 01:00:00",139.98,,136.52
"2025-10-03 01:00:00",144.67,,138.9
"2025-10-04 01:00:00",155.05,,147.64
"2025-10-05 01:00:00",163.58,,157.23
"2025-10-06 01:00:00",137.14,,175.27
"2025-10-07 01:00:00",157.5,,196.59
"2025-10-08 01:00:00",202.66,,213.72
"2025-10-09 01:00:00",266.27,,221.19
"2025-10-10 01:00:00",293.95,,223.74
"2025-10-11 01:00:00",274.91,,216.95
"2025-10-12 01:00:00",215.91,,204.93
"2025-10-13 01:00:00",155.01,,193.88
"2025-10-14 01:00:00",109.92,,183.87
"2025-10-15 01:00:00",118.54,,170
"2025-10-16 01:00:00",188.92,,170.59
"2025-10-17 01:00:00",223.9,,174.43
"2025-10-18 01:00:00",177.81,,185.64
"2025-10-19 01:00:00",220.01,,187.52
"2025-10-20 01:00:00",181.89,,176.88
"2025-10-21 01:00:00",188.42,,169.2
"2025-10-22 01:00:00",131.69,,171.71
"2025-10-23 01:00:00",114.46,,164.87
"2025-10-24 01:00:00",170.1,,156.03
"2025-10-25 01:00:00",195.43,,149.31
"2025-10-26 01:00:00",172.1,,161.9
"2025-10-27 00:00:00",120.01,,182.01
"2025-10-28 00:00:00",141.41,,185.29
"2025-10-29 00:00:00",219.81,,177.57
"2025-10-30 00:00:00",255.18,,165.32
"2025-10-31 00:00:00",193.06,,160.37
"2025-11-01 00:00:00",141.41,,152.5
"2025-11-02 00:00:00",86.33,,137.22
"2025-11-03 00:00:00",85.38,,128.1
"2025-11-04 00:00:00",86.33,,131.73
"2025-11-05 00:00:00",112.88,,137.57
"2025-11-06 00:00:00",191.34,,158.69
"2025-11-07 00:00:00",218.45,,165.77
"2025-11-08 00:00:00",182.28,,170.1
"2025-11-09 00:00:00",234.17,,175.63
"2025-11-10 00:00:00",134.94,,170.34
"2025-11-11 00:00:00",116.63,,156.5
"2025-11-12 00:00:00",151.59,,144
"2025-11-13 00:00:00",154.31,,125.43
"2025-11-14 00:00:00",121.58,,120.27
"2025-11-15 00:00:00",94.78,,118.9
"2025-11-16 00:00:00",104.15,,115.28
"2025-11-17 00:00:00",98.83,,113.6
"2025-11-18 00:00:00",107.04,,129.99
"2025-11-19 00:00:00",126.27,,158.57
"2025-11-20 00:00:00",142.58,,189.95
"2025-11-21 00:00:00",236.28,,202.74
"2025-11-22 00:00:00",294.85,,206.14
"2025-11-23 00:00:00",323.81,,210.56
"2025-11-24 00:00:00",188.38,,218.35
"2025-11-25 00:00:00",130.8,,209.84
"2025-11-26 00:00:00",157.24,,188.29
"2025-11-27 00:00:00",197.06,,170.45
