"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",2.03,15.780819058496418,1.6
"2023-04-16 01:00:00",1.1,,1.14
"2023-04-17 01:00:00",0.86,,1.01
"2023-04-18 01:00:00",1.09,,0.95
"2023-04-19 01:00:00",0.7,,0.72
"2023-04-20 01:00:00",0.46,,0.71
"2023-04-21 01:00:00",0.41,,0.63
"2023-04-22 01:00:00",0.39,,0.53
"2023-04-23 01:00:00",1.07,,0.49
"2023-04-24 01:00:00",0.32,,0.49
"2023-04-25 01:00:00",0.35,,0.48
"2023-04-26 01:00:00",0.42,,0.57
"2023-04-27 01:00:00",0.48,,0.51
"2023-04-28 01:00:00",0.36,,0.61
"2023-04-29 01:00:00",1,,0.65
"2023-04-30 01:00:00",0.64,,0.7
"2023-05-01 01:00:00",1.04,,0.94
"2023-05-02 01:00:00",0.61,,1.04
"2023-05-03 01:00:00",0.77,,1
"2023-05-04 01:00:00",2.14,,1.1
"2023-05-05 01:00:00",1.1,,1.17
"2023-05-06 01:00:00",0.71,,1.25
"2023-05-07 01:00:00",1.36,,1.41
"2023-05-08 01:00:00",1.49,,1.3
"2023-05-09 01:00:00",1.2,,1.28
"2023-05-10 01:00:00",1.88,,1.29
"2023-05-11 01:00:00",1.39,,1.25
"2023-05-12 01:00:00",0.96,,1.18
"2023-05-13 01:00:00",0.73,,1.36
"2023-05-14 01:00:00",1.11,,1.32
"2023-05-15 01:00:00",0.98,,1.48
"2023-05-16 01:00:00",2.49,,1.7
"2023-05-17 01:00:00",1.57,,1.86
"2023-05-18 01:00:00",2.52,,1.98
"2023-05-19 01:00:00",2.47,,2.16
"2023-05-20 01:00:00",1.86,,2.09
"2023-05-21 01:00:00",1.98,,2.74
"2023-05-22 01:00:00",2.21,,2.84
"2023-05-23 01:00:00",2.04,,3.03
"2023-05-24 01:00:00",6.12,,3.43
"2023-05-25 01:00:00",3.19,,3.57
"2023-05-26 01:00:00",3.83,,3.67
"2023-05-27 01:00:00",4.63,,3.67
"2023-05-28 01:00:00",2.94,,3.03
"2023-05-29 01:00:00",2.94,,2.77
"2023-05-30 01:00:00",2.01,,2.38
"2023-05-31 01:00:00",1.67,,2
"2023-06-01 01:00:00",1.34,,1.86
"2023-06-02 01:00:00",1.11,,1.69
"2023-06-03 01:00:00",1.97,,1.65
"2023-06-04 01:00:00",1.96,,1.67
"2023-06-05 01:00:00",1.78,,1.62
"2023-06-06 01:00:00",1.72,,1.57
"2023-06-07 01:00:00",1.78,,1.43
"2023-06-08 01:00:00",1.03,,1.33
"2023-06-09 01:00:00",0.77,,1.39
"2023-06-10 01:00:00",0.96,,1.35
"2023-06-11 01:00:00",1.29,,1.21
"2023-06-12 01:00:00",2.2,,1.22
"2023-06-13 01:00:00",1.41,,1.22
"2023-06-14 01:00:00",0.81,,1.28
"2023-06-15 01:00:00",1.11,,1.31
"2023-06-16 01:00:00",0.76,,1.3
"2023-06-17 01:00:00",1.41,,1.49
"2023-06-18 01:00:00",1.49,,1.88
"2023-06-19 01:00:00",2.11,,2.26
"2023-06-20 01:00:00",2.73,,2.6
"2023-06-21 01:00:00",3.56,,2.71
"2023-06-22 01:00:00",3.74,,3.02
"2023-06-23 01:00:00",3.15,,3.15
"2023-06-24 01:00:00",2.22,,3.4
"2023-06-25 01:00:00",3.62,,3.98
"2023-06-26 01:00:00",3.02,,4.35
"2023-06-27 01:00:00",4.49,,4.89
"2023-06-28 01:00:00",7.65,,5.57
"2023-06-29 01:00:00",6.28,,6.19
"2023-06-30 01:00:00",6.97,,7.26
"2023-07-01 01:00:00",6.97,,8.06
"2023-07-02 01:00:00",7.94,,8.07
"2023-07-03 01:00:00",10.55,,8.03
"2023-07-04 01:00:00",10.05,,8.37
"2023-07-05 01:00:00",7.74,,9.86
"2023-07-06 01:00:00",5.97,,10.43
"2023-07-07 01:00:00",9.37,,10.45
"2023-07-08 01:00:00",17.38,,10.19
"2023-07-09 01:00:00",11.94,,10.4
"2023-07-10 01:00:00",10.69,,10.85
"2023-07-11 01:00:00",8.23,,11.69
"2023-07-12 01:00:00",9.23,,13.43
"2023-07-13 01:00:00",9.14,,14.5
"2023-07-14 01:00:00",15.23,,14.21
"2023-07-15 01:00:00",29.53,,14.32
"2023-07-16 01:00:00",19.46,,14.33
"2023-07-17 01:00:00",8.67,,15.36
"2023-07-18 01:00:00",8.97,,15.09
"2023-07-19 01:00:00",9.29,,11.86
"2023-07-20 01:00:00",16.39,,10.51
"2023-07-21 01:00:00",13.34,,13.11
"2023-07-22 01:00:00",6.88,,15.16
"2023-07-23 01:00:00",10.02,,15.9
"2023-07-24 01:00:00",26.9,,15.81
"2023-07-25 01:00:00",23.28,,15.8
"2023-07-26 01:00:00",14.49,,17
"2023-07-27 01:00:00",15.76,,17.69
"2023-07-28 01:00:00",13.26,,17.95
"2023-07-29 01:00:00",15.29,,18.21
"2023-07-30 01:00:00",14.85,,17.87
"2023-07-31 01:00:00",28.73,,16.98
"2023-08-01 01:00:00",25.11,,16.87
"2023-08-02 01:00:00",12.08,,16.29
"2023-08-03 01:00:00",9.56,,16.24
"2023-08-04 01:00:00",12.5,,14.03
"2023-08-05 01:00:00",11.18,,12.63
"2023-08-06 01:00:00",14.52,,12.63
"2023-08-07 01:00:00",13.28,,14.15
"2023-08-08 01:00:00",15.29,,15.64
"2023-08-09 01:00:00",12.08,,19.57
"2023-08-10 01:00:00",20.22,,21.71
"2023-08-11 01:00:00",22.93,,23.26
"2023-08-12 01:00:00",38.67,,23.62
"2023-08-13 01:00:00",29.48,,25.78
"2023-08-14 01:00:00",24.14,,25.22
"2023-08-15 01:00:00",17.83,,23.56
"2023-08-16 01:00:00",27.19,,19.71
"2023-08-17 01:00:00",16.27,,17.63
"2023-08-18 01:00:00",11.37,,15.99
"2023-08-19 01:00:00",11.71,,15.76
"2023-08-20 01:00:00",14.92,,15.56
"2023-08-21 01:00:00",12.63,,18.1
"2023-08-22 01:00:00",16.22,,20.14
"2023-08-23 01:00:00",25.83,,21.14
"2023-08-24 01:00:00",34.04,,21.6
"2023-08-25 01:00:00",25.64,,22.43
"2023-08-26 01:00:00",18.72,,26.42
"2023-08-27 01:00:00",18.15,,26.23
"2023-08-28 01:00:00",18.42,,25.23
"2023-08-29 01:00:00",44.17,,26.05
"2023-08-30 01:00:00",24.47,,25.57
"2023-08-31 01:00:00",27.01,,25.35
"2023-09-01 01:00:00",31.43,,25.73
"2023-09-02 01:00:00",15.36,,22.94
"2023-09-03 01:00:00",16.6,,24.18
"2023-09-04 01:00:00",21.1,,26.39
"2023-09-05 01:00:00",24.59,,26.95
"2023-09-06 01:00:00",33.14,,29.14
"2023-09-07 01:00:00",42.49,,30.8
"2023-09-08 01:00:00",35.36,,32.99
"2023-09-09 01:00:00",30.72,,34.96
"2023-09-10 01:00:00",28.17,,37.08
"2023-09-11 01:00:00",36.48,,40.31
"2023-09-12 01:00:00",38.33,,38.61
"2023-09-13 01:00:00",48.03,,38.14
"2023-09-14 01:00:00",65.11,,39.46
"2023-09-15 01:00:00",23.44,,41.25
"2023-09-16 01:00:00",27.44,,38.45
"2023-09-17 01:00:00",37.41,,35.46
"2023-09-18 01:00:00",48.99,,32.8
"2023-09-19 01:00:00",18.76,,33.34
"2023-09-20 01:00:00",27.05,,32.29
"2023-09-21 01:00:00",46.51,,32.74
"2023-09-22 01:00:00",27.21,,28.76
"2023-09-23 01:00:00",20.07,,29.96
"2023-09-24 01:00:00",40.56,,29.53
"2023-09-25 01:00:00",21.15,,26.64
"2023-09-26 01:00:00",27.14,,25.46
"2023-09-27 01:00:00",24.07,,24.72
"2023-09-28 01:00:00",26.3,,22.36
"2023-09-29 01:00:00",18.92,,21.58
"2023-09-30 01:00:00",14.87,,20.97
"2023-10-01 01:00:00",24.1,,20.68
"2023-10-02 01:00:00",15.66,,20.4
"2023-10-03 01:00:00",22.85,,22.38
"2023-10-04 01:00:00",22.09,,26.14
"2023-10-05 01:00:00",24.32,,26.08
"2023-10-06 01:00:00",32.77,,27.96
"2023-10-07 01:00:00",41.21,,27.83
"2023-10-08 01:00:00",23.63,,27.9
"2023-10-09 01:00:00",28.83,,28.89
"2023-10-10 01:00:00",21.95,,27.44
"2023-10-11 01:00:00",22.58,,23.43
"2023-10-12 01:00:00",31.24,,23.13
"2023-10-13 01:00:00",22.65,,22.95
"2023-10-14 01:00:00",13.12,,23.39
"2023-10-15 01:00:00",21.53,,23.97
"2023-10-16 01:00:00",27.6,,23.54
"2023-10-17 01:00:00",25.03,,23.25
"2023-10-18 01:00:00",26.6,,23.14
"2023-10-19 01:00:00",28.25,,21.99
"2023-10-20 01:00:00",20.63,,22.8
"2023-10-21 01:00:00",12.35,,23.69
"2023-10-22 01:00:00",13.49,,23.16
"2023-10-23 01:00:00",33.22,,22.79
"2023-10-24 01:00:00",31.3,,23.21
"2023-10-25 01:00:00",22.89,,24.14
"2023-10-26 01:00:00",25.64,,25.47
"2023-10-27 01:00:00",23.56,,25.26
"2023-10-28 01:00:00",18.89,,23.94
"2023-10-29 01:00:00",22.77,,22.57
"2023-10-30 00:00:00",31.75,,21.23
"2023-10-31 00:00:00",22.08,,19.96
"2023-11-01 00:00:00",13.32,,18.85
"2023-11-02 00:00:00",16.21,,17.26
"2023-11-03 00:00:00",14.67,,17.35
