"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-07 00:00:00",20.04,29.80024274495135,15.43
"2025-03-08 00:00:00",10.15,,11.21
"2025-03-09 00:00:00",8.27,,11.4
"2025-03-10 00:00:00",9.4,,11.6
"2025-03-11 00:00:00",10.32,,9.59
"2025-03-12 00:00:00",13.35,,8.86
"2025-03-13 00:00:00",9.66,,9.27
"2025-03-14 00:00:00",5.95,,9.68
"2025-03-15 00:00:00",5.05,,9.74
"2025-03-16 00:00:00",11.18,,9.76
"2025-03-17 00:00:00",12.26,,12.26
"2025-03-18 00:00:00",10.75,,15.9
"2025-03-19 00:00:00",13.44,,19.86
"2025-03-20 00:00:00",27.22,,24.73
"2025-03-21 00:00:00",31.41,,30.64
"2025-03-22 00:00:00",32.73,,35.08
"2025-03-23 00:00:00",45.31,,38.87
"2025-03-24 00:00:00",53.59,,38.96
"2025-03-25 00:00:00",41.88,,37.33
"2025-03-26 00:00:00",39.93,,35.71
"2025-03-27 00:00:00",27.89,,31.75
"2025-03-28 00:00:00",19.97,,26.99
"2025-03-29 00:00:00",21.43,,22.73
"2025-03-30 00:00:00",17.59,,19.62
"2025-03-31 01:00:00",20.26,,20.32
"2025-04-01 01:00:00",12.05,,20.29
"2025-04-02 01:00:00",18.13,,20.14
"2025-04-03 01:00:00",32.8,,19.87
"2025-04-04 01:00:00",19.75,,20.73
"2025-04-05 01:00:00",20.42,,21.46
"2025-04-06 01:00:00",15.69,,21.11
"2025-04-07 01:00:00",26.28,,20.93
"2025-04-08 01:00:00",17.12,,19.79
"2025-04-09 01:00:00",0,,22
"2025-04-10 01:00:00",20.94,,24.46
"2025-04-11 01:00:00",20.94,,23.02
"2025-04-12 01:00:00",53.03,,29.39
"2025-04-13 01:00:00",11.94,,25.08
"2025-04-14 01:00:00",16.22,,24.95
"2025-04-15 01:00:00",29.6,,25.63
"2025-04-16 01:00:00",22.92,,20.86
"2025-04-17 01:00:00",20.02,,21.54
"2025-04-18 01:00:00",25.65,,25.1
"2025-04-19 01:00:00",19.66,,25.39
"2025-04-20 01:00:00",16.71,,26.59
"2025-04-21 01:00:00",41.17,,27.69
"2025-04-22 01:00:00",31.6,,28.42
"2025-04-23 01:00:00",31.32,,29
"2025-04-24 01:00:00",27.71,,31.67
"2025-04-25 01:00:00",30.79,,32.05
"2025-04-26 01:00:00",23.7,,34.04
"2025-04-27 01:00:00",35.39,,34.79
"2025-04-28 01:00:00",43.82,,34.59
