"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",6.49,2.246894409584034,7.33
"2023-04-16 01:00:00",6.83,,7.07
"2023-04-17 01:00:00",13.46,,7.64
"2023-04-18 01:00:00",5.05,,6.6
"2023-04-19 01:00:00",4.03,,6.29
"2023-04-20 01:00:00",4.13,,6.49
"2023-04-21 01:00:00",6.18,,5
"2023-04-22 01:00:00",4.32,,4.86
"2023-04-23 01:00:00",8.27,,5.06
"2023-04-24 01:00:00",3.05,,5.3
"2023-04-25 01:00:00",4.02,,5
"2023-04-26 01:00:00",5.47,,4.94
"2023-04-27 01:00:00",5.77,,4.29
"2023-04-28 01:00:00",4.12,,4.63
"2023-04-29 01:00:00",3.87,,5.26
"2023-04-30 01:00:00",3.73,,5.31
"2023-05-01 01:00:00",5.42,,5.61
"2023-05-02 01:00:00",8.46,,5.84
"2023-05-03 01:00:00",5.78,,6.61
"2023-05-04 01:00:00",7.91,,7.8
"2023-05-05 01:00:00",5.71,,7.99
"2023-05-06 01:00:00",9.26,,7.88
"2023-05-07 01:00:00",12.03,,7.73
"2023-05-08 01:00:00",6.8,,7.29
"2023-05-09 01:00:00",7.68,,7.04
"2023-05-10 01:00:00",4.71,,6.37
"2023-05-11 01:00:00",4.83,,5.01
"2023-05-12 01:00:00",3.94,,4.58
"2023-05-13 01:00:00",4.59,,3.96
"2023-05-14 01:00:00",2.55,,3.98
"2023-05-15 01:00:00",3.74,,3.82
"2023-05-16 01:00:00",3.38,,3.86
"2023-05-17 01:00:00",4.81,,4.2
"2023-05-18 01:00:00",3.74,,4.47
"2023-05-19 01:00:00",4.24,,4.62
"2023-05-20 01:00:00",6.96,,5.23
"2023-05-21 01:00:00",4.43,,5.12
"2023-05-22 01:00:00",4.75,,5.18
"2023-05-23 01:00:00",7.65,,4.98
"2023-05-24 01:00:00",4.08,,4.57
"2023-05-25 01:00:00",4.18,,4.55
"2023-05-26 01:00:00",2.8,,4.48
"2023-05-27 01:00:00",4.1,,3.99
"2023-05-28 01:00:00",4.26,,4.82
"2023-05-29 01:00:00",4.26,,5.02
"2023-05-30 01:00:00",4.26,,5.38
"2023-05-31 01:00:00",9.91,,5.26
"2023-06-01 01:00:00",5.52,,5.43
"2023-06-02 01:00:00",5.32,,5.61
"2023-06-03 01:00:00",3.31,,5.68
"2023-06-04 01:00:00",5.45,,4.59
"2023-06-05 01:00:00",5.52,,4.27
"2023-06-06 01:00:00",4.76,,4.16
"2023-06-07 01:00:00",2.23,,4
"2023-06-08 01:00:00",3.31,,4.14
"2023-06-09 01:00:00",4.55,,4.43
"2023-06-10 01:00:00",2.18,,4.89
"2023-06-11 01:00:00",6.42,,5.41
"2023-06-12 01:00:00",7.55,,5.6
"2023-06-13 01:00:00",7.98,,5.43
"2023-06-14 01:00:00",5.9,,5.55
"2023-06-15 01:00:00",4.63,,4.93
"2023-06-16 01:00:00",3.33,,4.23
"2023-06-17 01:00:00",3.05,,3.31
"2023-06-18 01:00:00",2.09,,2.63
"2023-06-19 01:00:00",2.62,,2.35
"2023-06-20 01:00:00",1.57,,2.09
"2023-06-21 01:00:00",1.1,,2.02
"2023-06-22 01:00:00",2.69,,2.04
"2023-06-23 01:00:00",1.53,,1.99
"2023-06-24 01:00:00",2.55,,2.06
"2023-06-25 01:00:00",2.24,,2.27
"2023-06-26 01:00:00",2.23,,2.77
"2023-06-27 01:00:00",2.09,,3.43
"2023-06-28 01:00:00",2.56,,3.96
"2023-06-29 01:00:00",6.18,,4.54
"2023-06-30 01:00:00",6.19,,5.19
"2023-07-01 01:00:00",6.22,,5.33
"2023-07-02 01:00:00",6.32,,5.29
"2023-07-03 01:00:00",6.77,,4.73
"2023-07-04 01:00:00",3.07,,4.18
"2023-07-05 01:00:00",2.31,,3.58
"2023-07-06 01:00:00",2.25,,3.78
"2023-07-07 01:00:00",2.29,,4.15
"2023-07-08 01:00:00",2.03,,4.69
"2023-07-09 01:00:00",7.73,,5.15
"2023-07-10 01:00:00",9.35,,5.5
"2023-07-11 01:00:00",6.9,,5.76
"2023-07-12 01:00:00",5.48,,5.96
"2023-07-13 01:00:00",4.75,,5.02
"2023-07-14 01:00:00",4.11,,3.8
"2023-07-15 01:00:00",3.4,,2.98
"2023-07-16 01:00:00",1.17,,2.46
"2023-07-17 01:00:00",0.76,,2.09
"2023-07-18 01:00:00",1.17,,1.68
"2023-07-19 01:00:00",1.85,,1.31
"2023-07-20 01:00:00",2.2,,1.41
"2023-07-21 01:00:00",1.22,,1.5
"2023-07-22 01:00:00",0.81,,1.59
"2023-07-23 01:00:00",1.83,,1.6
"2023-07-24 01:00:00",1.45,,1.74
"2023-07-25 01:00:00",1.77,,2.16
"2023-07-26 01:00:00",1.92,,2.59
"2023-07-27 01:00:00",3.2,,2.96
"2023-07-28 01:00:00",4.12,,3.28
"2023-07-29 01:00:00",3.87,,3.95
"2023-07-30 01:00:00",4.39,,5.26
"2023-07-31 01:00:00",3.66,,5.67
"2023-08-01 01:00:00",6.48,,5.65
"2023-08-02 01:00:00",11.09,,5.72
"2023-08-03 01:00:00",6.06,,5.57
"2023-08-04 01:00:00",3.99,,5.55
"2023-08-05 01:00:00",4.36,,5.26
"2023-08-06 01:00:00",3.37,,4.49
"2023-08-07 01:00:00",3.49,,4.39
"2023-08-08 01:00:00",4.47,,4.63
"2023-08-09 01:00:00",5.66,,5.31
"2023-08-10 01:00:00",5.41,,5.26
"2023-08-11 01:00:00",5.66,,5.2
"2023-08-12 01:00:00",9.14,,5.02
"2023-08-13 01:00:00",3,,4.59
"2023-08-14 01:00:00",3.05,,4.12
"2023-08-15 01:00:00",3.2,,3.53
"2023-08-16 01:00:00",2.69,,2.41
"2023-08-17 01:00:00",2.13,,2.44
"2023-08-18 01:00:00",1.51,,2.38
"2023-08-19 01:00:00",1.29,,2.13
"2023-08-20 01:00:00",3.21,,1.92
"2023-08-21 01:00:00",2.65,,1.82
"2023-08-22 01:00:00",1.45,,1.74
"2023-08-23 01:00:00",1.23,,1.7
"2023-08-24 01:00:00",1.39,,1.66
"2023-08-25 01:00:00",0.99,,1.59
"2023-08-26 01:00:00",0.99,,1.65
"2023-08-27 01:00:00",2.89,,1.94
"2023-08-28 01:00:00",2.2,,2.06
"2023-08-29 01:00:00",1.83,,2.13
"2023-08-30 01:00:00",3.29,,2.57
"2023-08-31 01:00:00",2.25,,2.9
"2023-09-01 01:00:00",1.48,,4.11
"2023-09-02 01:00:00",4.02,,4.42
"2023-09-03 01:00:00",5.21,,4.87
"2023-09-04 01:00:00",10.68,,8.06
"2023-09-05 01:00:00",0,,4.8
"2023-09-06 01:00:00",0,,4.23
"2023-09-07 01:00:00",13.69,,13.26
"2023-09-08 01:00:00",0,,1.96
"2023-09-09 01:00:00",0,,1.96
"2023-09-10 01:00:00",0,,1.96
"2023-09-11 01:00:00",0,,0
"2023-09-12 01:00:00",0,,0
"2023-09-13 01:00:00",0,,0
"2023-09-14 01:00:00",0,,0
"2023-09-15 01:00:00",0,,0
"2023-09-16 01:00:00",0,,0
"2023-09-17 01:00:00",0,,0
"2023-09-18 01:00:00",0,,0
"2023-09-19 01:00:00",0,,3.36
"2023-09-20 01:00:00",0,,5.5
"2023-09-21 01:00:00",0,,6.26
"2023-09-22 01:00:00",23.51,,17.7
"2023-09-23 01:00:00",14.96,,12.73
"2023-09-24 01:00:00",5.35,,9.94
"2023-09-25 01:00:00",9.56,,9.68
"2023-09-26 01:00:00",5.78,,6.94
"2023-09-27 01:00:00",5.06,,5.57
"2023-09-28 01:00:00",3.55,,5.67
"2023-09-29 01:00:00",4.3,,5.77
"2023-09-30 01:00:00",5.4,,5.76
"2023-10-01 01:00:00",6.07,,5.54
"2023-10-02 01:00:00",10.2,,5.54
"2023-10-03 01:00:00",5.74,,5.53
"2023-10-04 01:00:00",3.5,,5.59
"2023-10-05 01:00:00",3.58,,5.55
"2023-10-06 01:00:00",4.24,,4.91
"2023-10-07 01:00:00",5.78,,4.87
"2023-10-08 01:00:00",5.84,,5.18
"2023-10-09 01:00:00",5.71,,5.45
"2023-10-10 01:00:00",5.47,,5.45
"2023-10-11 01:00:00",5.61,,5
"2023-10-12 01:00:00",5.53,,4.55
"2023-10-13 01:00:00",4.22,,4.21
"2023-10-14 01:00:00",2.61,,3.72
"2023-10-15 01:00:00",2.73,,3.37
"2023-10-16 01:00:00",3.29,,3.47
"2023-10-17 01:00:00",2.08,,3.43
"2023-10-18 01:00:00",3.11,,3.35
"2023-10-19 01:00:00",6.22,,3.22
"2023-10-20 01:00:00",3.99,,3.13
"2023-10-21 01:00:00",2.03,,3.45
"2023-10-22 01:00:00",1.85,,3.53
"2023-10-23 01:00:00",2.62,,3.26
"2023-10-24 01:00:00",4.35,,3.25
"2023-10-25 01:00:00",3.64,,3.45
"2023-10-26 01:00:00",4.35,,3.53
"2023-10-27 01:00:00",3.88,,3.66
"2023-10-28 01:00:00",3.47,,3.41
"2023-10-29 01:00:00",2.37,,3.31
"2023-10-30 00:00:00",3.58,,2.98
"2023-10-31 00:00:00",2.58,,2.83
"2023-11-01 00:00:00",2.94,,3.1
"2023-11-02 00:00:00",2.01,,3.27
"2023-11-03 00:00:00",2.87,,3.16
"2023-11-04 00:00:00",5.32,,3.1
"2023-11-05 00:00:00",3.59,,2.95
"2023-11-06 00:00:00",2.78,,2.92
"2023-11-07 00:00:00",2.17,,2.7
"2023-11-08 00:00:00",1.88,,2.12
"2023-11-09 00:00:00",1.82,,2.4
"2023-11-10 00:00:00",1.32,,2.92
"2023-11-11 00:00:00",1.27,,3.41
"2023-11-12 00:00:00",5.57,,3.89
"2023-11-13 00:00:00",6.38,,4.59
"2023-11-14 00:00:00",5.66,,5.12
"2023-11-15 00:00:00",5.18,,5.36
"2023-11-16 00:00:00",6.72,,5.01
"2023-11-17 00:00:00",5.08,,5.18
"2023-11-18 00:00:00",2.91,,5.1
"2023-11-19 00:00:00",3.16,,4.79
"2023-11-20 00:00:00",7.58,,4.42
"2023-11-21 00:00:00",5.05,,4.14
"2023-11-22 00:00:00",3,,4.08
"2023-11-23 00:00:00",4.16,,4.01
"2023-11-24 00:00:00",3.12,,3.57
"2023-11-25 00:00:00",2.48,,3.27
"2023-11-26 00:00:00",2.7,,3.23
"2023-11-27 00:00:00",4.48,,3.18
"2023-11-28 00:00:00",2.97,,4.09
"2023-11-29 00:00:00",2.73,,4.19
"2023-11-30 00:00:00",3.79,,4.46
"2023-12-01 00:00:00",9.46,,4.88
"2023-12-02 00:00:00",3.23,,5.5
"2023-12-03 00:00:00",4.54,,5.55
"2023-12-04 00:00:00",7.44,,5.4
"2023-12-05 00:00:00",7.29,,4.74
"2023-12-06 00:00:00",3.12,,4.78
"2023-12-07 00:00:00",2.73,,4.54
"2023-12-08 00:00:00",4.83,,4.02
"2023-12-09 00:00:00",3.49,,3.54
"2023-12-10 00:00:00",2.88,,3.61
"2023-12-11 00:00:00",3.81,,3.81
"2023-12-12 00:00:00",3.95,,3.87
"2023-12-13 00:00:00",3.56,,3.66
"2023-12-14 00:00:00",4.18,,3.5
"2023-12-15 00:00:00",5.19,,3.19
"2023-12-16 00:00:00",2.08,,3.06
"2023-12-17 00:00:00",1.73,,2.99
"2023-12-18 00:00:00",1.66,,3
"2023-12-19 00:00:00",2.99,,2.79
