"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",12.98,19.361513814675774,15.77
"2023-04-16 01:00:00",13.13,,17.6
"2023-04-17 01:00:00",19.56,,18.75
"2023-04-18 01:00:00",25.8,,18.01
"2023-04-19 01:00:00",25.45,,17.57
"2023-04-20 01:00:00",14.78,,17.59
"2023-04-21 01:00:00",14.35,,16.15
"2023-04-22 01:00:00",9.93,,14.68
"2023-04-23 01:00:00",13.29,,14.46
"2023-04-24 01:00:00",9.44,,14.65
"2023-04-25 01:00:00",15.49,,15.21
"2023-04-26 01:00:00",23.93,,16.29
"2023-04-27 01:00:00",16.14,,16.32
"2023-04-28 01:00:00",18.27,,17
"2023-04-29 01:00:00",17.45,,17.33
"2023-04-30 01:00:00",13.55,,16.99
"2023-05-01 01:00:00",14.15,,20.88
"2023-05-02 01:00:00",17.84,,21.37
"2023-05-03 01:00:00",21.56,,21.57
"2023-05-04 01:00:00",43.33,,21.56
"2023-05-05 01:00:00",21.74,,22.18
"2023-05-06 01:00:00",18.83,,22.8
"2023-05-07 01:00:00",13.49,,22.79
"2023-05-08 01:00:00",18.47,,20.08
"2023-05-09 01:00:00",22.18,,21.89
"2023-05-10 01:00:00",21.52,,21
"2023-05-11 01:00:00",24.32,,20.92
"2023-05-12 01:00:00",34.44,,20.29
"2023-05-13 01:00:00",12.58,,22.73
"2023-05-14 01:00:00",12.96,,23.53
"2023-05-15 01:00:00",14.01,,21.73
"2023-05-16 01:00:00",39.3,,18.41
"2023-05-17 01:00:00",27.07,,18.43
"2023-05-18 01:00:00",11.75,,18.76
"2023-05-19 01:00:00",11.17,,18.78
"2023-05-20 01:00:00",12.74,,16.9
"2023-05-21 01:00:00",15.27,,18.72
"2023-05-22 01:00:00",14.19,,21.47
"2023-05-23 01:00:00",26.09,,23.01
"2023-05-24 01:00:00",39.83,,24.29
"2023-05-25 01:00:00",30.97,,26.41
"2023-05-26 01:00:00",21.98,,28.69
"2023-05-27 01:00:00",21.67,,29.27
"2023-05-28 01:00:00",30.14,,26.43
"2023-05-29 01:00:00",30.14,,24.04
"2023-05-30 01:00:00",30.14,,22.53
"2023-05-31 01:00:00",20,,21.14
"2023-06-01 01:00:00",14.21,,18.99
"2023-06-02 01:00:00",11.43,,16.51
"2023-06-03 01:00:00",11.93,,15.58
"2023-06-04 01:00:00",15.07,,18.57
"2023-06-05 01:00:00",12.82,,18.69
"2023-06-06 01:00:00",23.58,,19.7
"2023-06-07 01:00:00",40.97,,20.43
"2023-06-08 01:00:00",15.02,,20.46
"2023-06-09 01:00:00",18.5,,22.07
"2023-06-10 01:00:00",17.04,,21.63
"2023-06-11 01:00:00",15.32,,18.39
"2023-06-12 01:00:00",24.07,,18.41
"2023-06-13 01:00:00",20.47,,17.27
"2023-06-14 01:00:00",18.29,,16.14
"2023-06-15 01:00:00",15.15,,15.48
"2023-06-16 01:00:00",10.54,,14.37
"2023-06-17 01:00:00",9.15,,13.87
"2023-06-18 01:00:00",10.67,,13.38
"2023-06-19 01:00:00",16.33,,13.83
"2023-06-20 01:00:00",16.95,,16.35
"2023-06-21 01:00:00",14.9,,18.43
"2023-06-22 01:00:00",18.27,,18.8
"2023-06-23 01:00:00",28.19,,19.3
"2023-06-24 01:00:00",23.69,,19.5
"2023-06-25 01:00:00",13.28,,21.69
"2023-06-26 01:00:00",19.82,,21.44
"2023-06-27 01:00:00",18.36,,18.91
"2023-06-28 01:00:00",30.23,,17
"2023-06-29 01:00:00",16.5,,16.4
