"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",20.73,44.16736010530582,26.61
"2023-04-16 01:00:00",18.3,,26.66
"2023-04-17 01:00:00",46.19,,31.3
"2023-04-18 01:00:00",38.87,,29.49
"2023-04-19 01:00:00",25.92,,31
"2023-04-20 01:00:00",22.87,,31.59
"2023-04-21 01:00:00",33.56,,28.91
"2023-04-22 01:00:00",31.31,,30.94
"2023-04-23 01:00:00",22.41,,31.58
"2023-04-24 01:00:00",27.43,,30.98
"2023-04-25 01:00:00",53.1,,31.48
"2023-04-26 01:00:00",30.41,,30
"2023-04-27 01:00:00",18.66,,30.75
"2023-04-28 01:00:00",37.03,,30.52
"2023-04-29 01:00:00",20.97,,28.32
"2023-04-30 01:00:00",27.67,,26.68
"2023-05-01 01:00:00",25.79,,30.44
"2023-05-02 01:00:00",37.68,,30.96
"2023-05-03 01:00:00",18.97,,32.86
"2023-05-04 01:00:00",45,,31.82
"2023-05-05 01:00:00",40.62,,32.55
"2023-05-06 01:00:00",34.27,,34.81
"2023-05-07 01:00:00",20.41,,37.04
"2023-05-08 01:00:00",30.89,,37.14
"2023-05-09 01:00:00",53.52,,34.81
"2023-05-10 01:00:00",34.54,,32.72
"2023-05-11 01:00:00",45.74,,32.24
"2023-05-12 01:00:00",24.28,,34.35
"2023-05-13 01:00:00",19.63,,29.67
"2023-05-14 01:00:00",17.09,,27.7
"2023-05-15 01:00:00",45.65,,26.8
"2023-05-16 01:00:00",20.76,,27.24
"2023-05-17 01:00:00",20.76,,27.43
"2023-05-18 01:00:00",39.45,,29.81
"2023-05-19 01:00:00",27.36,,29.76
"2023-05-20 01:00:00",20.94,,32.38
"2023-05-21 01:00:00",33.78,,35.24
"2023-05-22 01:00:00",45.26,,33.96
"2023-05-23 01:00:00",39.09,,32.89
"2023-05-24 01:00:00",40.8,,32.57
"2023-05-25 01:00:00",30.47,,32.77
"2023-05-26 01:00:00",19.9,,31.32
"2023-05-27 01:00:00",18.7,,32.65
"2023-05-28 01:00:00",35.14,,32.7
"2023-05-29 01:00:00",35.14,,31.04
"2023-05-30 01:00:00",48.42,,30.93
"2023-05-31 01:00:00",41.14,,32.14
"2023-06-01 01:00:00",18.84,,31.32
"2023-06-02 01:00:00",19.1,,31.54
"2023-06-03 01:00:00",27.22,,31.71
"2023-06-04 01:00:00",29.4,,31.07
"2023-06-05 01:00:00",36.63,,32.8
"2023-06-06 01:00:00",49.67,,34.23
"2023-06-07 01:00:00",36.63,,33.14
"2023-06-08 01:00:00",30.92,,33.91
"2023-06-09 01:00:00",29.13,,36.03
"2023-06-10 01:00:00",19.63,,31.77
"2023-06-11 01:00:00",34.76,,31.29
"2023-06-12 01:00:00",51.49,,30.08
"2023-06-13 01:00:00",19.86,,30.67
"2023-06-14 01:00:00",33.27,,31.85
"2023-06-15 01:00:00",22.44,,30.1
"2023-06-16 01:00:00",33.27,,25.95
"2023-06-17 01:00:00",27.89,,25.9
"2023-06-18 01:00:00",22.46,,27.27
"2023-06-19 01:00:00",22.46,,31.16
"2023-06-20 01:00:00",19.48,,31.49
"2023-06-21 01:00:00",42.88,,30.14
"2023-06-22 01:00:00",49.7,,29.45
"2023-06-23 01:00:00",35.56,,30.05
"2023-06-24 01:00:00",18.47,,30.64
"2023-06-25 01:00:00",17.63,,27.92
"2023-06-26 01:00:00",26.63,,28.12
"2023-06-27 01:00:00",23.62,,27.2
"2023-06-28 01:00:00",23.84,,28
"2023-06-29 01:00:00",51.09,,31.19
"2023-06-30 01:00:00",29.11,,32.13
"2023-07-01 01:00:00",24.07,,35.69
"2023-07-02 01:00:00",39.95,,35.57
"2023-07-03 01:00:00",33.2,,32.73
"2023-07-04 01:00:00",48.59,,31.25
"2023-07-05 01:00:00",23,,30.86
