"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",4.66,5.150429936348193,5.89
"2023-04-16 01:00:00",5.11,,7.18
"2023-04-17 01:00:00",8.1,,7.53
"2023-04-18 01:00:00",9.35,,7.18
"2023-04-19 01:00:00",12.8,,8
"2023-04-20 01:00:00",4.57,,8.9
"2023-04-21 01:00:00",5.64,,8.72
"2023-04-22 01:00:00",10.44,,8.23
"2023-04-23 01:00:00",11.42,,7.28
"2023-04-24 01:00:00",6.82,,7.19
"2023-04-25 01:00:00",5.9,,7.44
"2023-04-26 01:00:00",6.19,,6.57
"2023-04-27 01:00:00",3.9,,5.57
"2023-04-28 01:00:00",7.43,,5.98
"2023-04-29 01:00:00",4.33,,6.7
"2023-04-30 01:00:00",4.44,,6.69
"2023-05-01 01:00:00",9.64,,7.56
"2023-05-02 01:00:00",10.95,,7.48
"2023-05-03 01:00:00",6.15,,8.14
"2023-05-04 01:00:00",10.01,,8.56
"2023-05-05 01:00:00",6.82,,8.47
"2023-05-06 01:00:00",8.99,,10.43
"2023-05-07 01:00:00",7.37,,10.85
"2023-05-08 01:00:00",9.02,,10.36
"2023-05-09 01:00:00",24.64,,10.47
"2023-05-10 01:00:00",9.13,,10.29
"2023-05-11 01:00:00",6.53,,10.32
"2023-05-12 01:00:00",7.59,,9.78
"2023-05-13 01:00:00",7.72,,7
"2023-05-14 01:00:00",7.63,,7.03
"2023-05-15 01:00:00",5.24,,7.26
"2023-05-16 01:00:00",5.14,,7.83
"2023-05-17 01:00:00",9.35,,8.86
"2023-05-18 01:00:00",8.12,,9
"2023-05-19 01:00:00",11.62,,9.4
"2023-05-20 01:00:00",14.9,,9.59
"2023-05-21 01:00:00",8.61,,9.11
"2023-05-22 01:00:00",8.04,,9.27
"2023-05-23 01:00:00",6.52,,8.84
"2023-05-24 01:00:00",5.96,,9.57
"2023-05-25 01:00:00",9.26,,10.24
"2023-05-26 01:00:00",8.57,,10.99
"2023-05-27 01:00:00",20.03,,11.96
"2023-05-28 01:00:00",13.3,,12.08
"2023-05-29 01:00:00",13.3,,11.67
"2023-05-30 01:00:00",13.3,,11.3
"2023-05-31 01:00:00",6.82,,9.14
