"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-06 00:00:00",106.13,136.43392480579772,101.95
"2025-03-07 00:00:00",76.65,,90.1
"2025-03-08 00:00:00",89.32,,98.55
"2025-03-09 00:00:00",123.15,,107.11
"2025-03-10 00:00:00",82.14,,117.51
"2025-03-11 00:00:00",123.15,,130
"2025-03-12 00:00:00",149.21,,139.57
"2025-03-13 00:00:00",178.97,,137.83
"2025-03-14 00:00:00",164.09,,148.4
"2025-03-15 00:00:00",156.3,,156.21
"2025-03-16 00:00:00",110.95,,150.74
"2025-03-17 00:00:00",156.11,,147.48
"2025-03-18 00:00:00",177.82,,139.88
"2025-03-19 00:00:00",110.95,,130.43
"2025-03-20 00:00:00",156.11,,142.48
"2025-03-21 00:00:00",110.95,,152.21
"2025-03-22 00:00:00",90.11,,155.82
"2025-03-23 00:00:00",195.31,,156.92
"2025-03-24 00:00:00",224.25,,150.41
"2025-03-25 00:00:00",203.03,,148.34
"2025-03-26 00:00:00",118.7,,147.57
"2025-03-27 00:00:00",110.54,,128.54
"2025-03-28 00:00:00",96.45,,105.43
"2025-03-29 00:00:00",84.72,,89.27
"2025-03-30 00:00:00",62.07,,97.47
"2025-03-31 01:00:00",62.52,,102.22
"2025-04-01 01:00:00",89.88,,100.29
"2025-04-02 01:00:00",176.08,,99
"2025-04-03 01:00:00",143.8,,97.93
"2025-04-04 01:00:00",82.96,,96.85
"2025-04-05 01:00:00",75.69,,92.46
"2025-04-06 01:00:00",54.58,,81.62
"2025-04-07 01:00:00",54.96,,77.27
"2025-04-08 01:00:00",59.14,,81.62
"2025-04-09 01:00:00",100.23,,91.14
"2025-04-10 01:00:00",113.36,,95.23
"2025-04-11 01:00:00",113.36,,98.27
"2025-04-12 01:00:00",142.37,,107.31
"2025-04-13 01:00:00",83.2,,105.44
"2025-04-14 01:00:00",76.23,,101.71
"2025-04-15 01:00:00",122.4,,99.29
"2025-04-16 01:00:00",87.19,,89
"2025-04-17 01:00:00",87.19,,90.74
"2025-04-18 01:00:00",96.44,,95.16
"2025-04-19 01:00:00",70.33,,91.3
"2025-04-20 01:00:00",95.38,,89.3
"2025-04-21 01:00:00",107.2,,89.76
"2025-04-22 01:00:00",95.38,,86.9
"2025-04-23 01:00:00",73.19,,84.43
"2025-04-24 01:00:00",90.4,,94.08
"2025-04-25 01:00:00",76.43,,101.31
"2025-04-26 01:00:00",53.01,,103.32
"2025-04-27 01:00:00",162.94,,104.45
"2025-04-28 01:00:00",157.8,,101.24
"2025-04-29 01:00:00",109.48,,102.29
"2025-04-30 01:00:00",81.1,,104.29
"2025-05-01 01:00:00",67.89,,95.28
"2025-05-02 01:00:00",83.81,,102.45
"2025-05-03 01:00:00",66.98,,114.64
"2025-05-04 01:00:00",99.89,,121.92
"2025-05-05 01:00:00",207.99,,134.43
"2025-05-06 01:00:00",194.82,,146.48
"2025-05-07 01:00:00",132.07,,155
"2025-05-08 01:00:00",155.43,,158.43
"2025-05-09 01:00:00",168.18,,149.65
"2025-05-10 01:00:00",126.63,,142.01
"2025-05-11 01:00:00",123.91,,149.93
"2025-05-12 01:00:00",146.5,,157.27
"2025-05-13 01:00:00",141.35,,152.75
"2025-05-14 01:00:00",187.52,,150
"2025-05-15 01:00:00",206.82,,149.14
"2025-05-16 01:00:00",136.54,,157.28
"2025-05-17 01:00:00",107.36,,169.53
"2025-05-18 01:00:00",117.91,,161.25
"2025-05-19 01:00:00",203.49,,148.55
"2025-05-20 01:00:00",227.04,,145.89
"2025-05-21 01:00:00",129.59,,146
"2025-05-22 01:00:00",117.91,,148.63
"2025-05-23 01:00:00",117.91,,152.67
"2025-05-24 01:00:00",108.16,,141.95
"2025-05-25 01:00:00",136.33,,136.84
"2025-05-26 01:00:00",231.75,,136.71
"2025-05-27 01:00:00",151.97,,136.3
"2025-05-28 01:00:00",93.83,,137
"2025-05-29 01:00:00",117.05,,131.53
"2025-05-30 01:00:00",115.02,,115.83
