"Time","Sales","Trend Line","7-Day Moving Average"
"2024-01-21 00:00:00",2.42,21.48466497756664,2.34
"2024-01-22 00:00:00",1.87,,2.08
"2024-01-23 00:00:00",3.32,,2.24
"2024-01-24 00:00:00",1.5,,1.92
"2024-01-25 00:00:00",1.68,,2.06
"2024-01-26 00:00:00",1.54,,2.41
"2024-01-27 00:00:00",1.14,,2.65
"2024-01-28 00:00:00",3.38,,3.09
"2024-01-29 00:00:00",4.28,,3.26
"2024-01-30 00:00:00",5.01,,3.71
"2024-01-31 00:00:00",4.58,,4.78
"2024-02-01 00:00:00",2.88,,5.5
"2024-02-02 00:00:00",4.72,,5.71
"2024-02-03 00:00:00",8.63,,7.05
"2024-02-04 00:00:00",8.39,,7.26
"2024-02-05 00:00:00",5.73,,7.49
"2024-02-06 00:00:00",14.39,,7.44
"2024-02-07 00:00:00",6.11,,7.11
"2024-02-08 00:00:00",4.46,,6.49
"2024-02-09 00:00:00",4.34,,6.31
"2024-02-10 00:00:00",6.33,,5.3
"2024-02-11 00:00:00",4.06,,6.24
"2024-02-12 00:00:00",4.5,,6.33
"2024-02-13 00:00:00",7.27,,6.66
"2024-02-14 00:00:00",12.72,,6.68
"2024-02-15 00:00:00",5.08,,7.56
"2024-02-16 00:00:00",6.66,,7.68
"2024-02-17 00:00:00",6.47,,7.83
"2024-02-18 00:00:00",10.2,,7.07
"2024-02-19 00:00:00",5.33,,8.41
"2024-02-20 00:00:00",8.32,,8.82
"2024-02-21 00:00:00",7.45,,9.02
"2024-02-22 00:00:00",14.47,,10.8
"2024-02-23 00:00:00",9.5,,11.06
"2024-02-24 00:00:00",7.85,,10.73
"2024-02-25 00:00:00",22.69,,10.55
"2024-02-26 00:00:00",7.17,,9.59
"2024-02-27 00:00:00",5.99,,9.83
"2024-02-28 00:00:00",6.19,,9.7
"2024-02-29 00:00:00",7.71,,7.49
"2024-03-01 00:00:00",11.19,,7.37
"2024-03-02 00:00:00",6.97,,7.27
"2024-03-03 00:00:00",7.2,,8.12
"2024-03-04 00:00:00",6.36,,8.1
"2024-03-05 00:00:00",5.28,,8.26
"2024-03-06 00:00:00",12.16,,9.34
"2024-03-07 00:00:00",7.52,,10.26
"2024-03-08 00:00:00",12.31,,10.44
"2024-03-09 00:00:00",14.53,,10.66
"2024-03-10 00:00:00",13.65,,9.6
"2024-03-11 00:00:00",7.63,,9.45
"2024-03-12 00:00:00",6.83,,8.55
"2024-03-13 00:00:00",4.73,,7.96
"2024-03-14 00:00:00",6.47,,7.2
"2024-03-15 00:00:00",6.04,,7.43
"2024-03-16 00:00:00",10.36,,7.66
"2024-03-17 00:00:00",8.31,,8.87
"2024-03-18 00:00:00",9.28,,9.44
"2024-03-19 00:00:00",8.42,,11.31
"2024-03-20 00:00:00",13.22,,13.93
"2024-03-21 00:00:00",10.48,,15.59
"2024-03-22 00:00:00",19.1,,15.68
"2024-03-23 00:00:00",28.7,,15.86
"2024-03-24 00:00:00",19.9,,16.36
"2024-03-25 00:00:00",9.91,,17.81
"2024-03-26 00:00:00",9.71,,18.19
"2024-03-27 00:00:00",16.72,,17.61
"2024-03-28 00:00:00",20.62,,16.93
"2024-03-29 00:00:00",21.8,,19.11
"2024-03-30 00:00:00",24.6,,21.47
"2024-03-31 00:00:00",15.15,,21.52
"2024-04-01 01:00:00",25.19,,24.12
"2024-04-02 01:00:00",26.21,,26.32
"2024-04-03 01:00:00",17.08,,26.63
"2024-04-04 01:00:00",38.8,,26.95
"2024-04-05 01:00:00",37.23,,27.04
"2024-04-06 01:00:00",26.76,,26.26
"2024-04-07 01:00:00",17.37,,26.77
"2024-04-08 01:00:00",25.84,,25.25
"2024-04-09 01:00:00",20.77,,24.79
"2024-04-10 01:00:00",20.65,,28.33
"2024-04-11 01:00:00",28.12,,30.58
"2024-04-12 01:00:00",34,,33.37
"2024-04-13 01:00:00",51.53,,32.76
"2024-04-14 01:00:00",33.12,,34.47
"2024-04-15 01:00:00",45.4,,32.89
"2024-04-16 01:00:00",16.51,,30.62
"2024-04-17 01:00:00",32.63,,26.49
"2024-04-18 01:00:00",17.02,,26.3
"2024-04-19 01:00:00",18.14,,25.86
"2024-04-20 01:00:00",22.6,,26.52
"2024-04-21 01:00:00",31.81,,24.11
"2024-04-22 01:00:00",42.32,,24.54
"2024-04-23 01:00:00",21.14,,25.81
"2024-04-24 01:00:00",15.71,,25.76
"2024-04-25 01:00:00",20.07,,23.67
"2024-04-26 01:00:00",27.05,,19.83
"2024-04-27 01:00:00",22.21,,19.58
"2024-04-28 01:00:00",17.16,,20.29
"2024-04-29 01:00:00",15.48,,20.38
"2024-04-30 01:00:00",19.36,,23.99
"2024-05-01 01:00:00",20.69,,23.6
"2024-05-02 01:00:00",20.69,,25.31
"2024-05-03 01:00:00",52.32,,25.29
"2024-05-04 01:00:00",19.48,,25.08
"2024-05-05 01:00:00",29.14,,26.19
"2024-05-06 01:00:00",15.32,,29.46
"2024-05-07 01:00:00",17.9,,24.87
"2024-05-08 01:00:00",28.49,,24.44
"2024-05-09 01:00:00",43.57,,24.66
"2024-05-10 01:00:00",20.16,,27.19
"2024-05-11 01:00:00",16.51,,28.91
"2024-05-12 01:00:00",30.69,,28.3
"2024-05-13 01:00:00",33.04,,24.99
"2024-05-14 01:00:00",29.9,,26.38
"2024-05-15 01:00:00",24.23,,25.19
"2024-05-16 01:00:00",20.38,,21.66
"2024-05-17 01:00:00",0,,16.83
"2024-05-18 01:00:00",13.85,,16.81
"2024-05-19 01:00:00",9.82,,14.77
"2024-05-20 01:00:00",19.6,,16.62
"2024-05-21 01:00:00",15.94,,17.11
"2024-05-22 01:00:00",14,,17.85
"2024-05-23 01:00:00",23.53,,22.26
"2024-05-24 01:00:00",23.05,,25.24
"2024-05-25 01:00:00",19,,28.8
"2024-05-26 01:00:00",40.7,,31.35
"2024-05-27 01:00:00",40.44,,33.77
"2024-05-28 01:00:00",40.86,,36.37
"2024-05-29 01:00:00",31.89,,33.62
"2024-05-30 01:00:00",0,,21.27
"2024-05-31 01:00:00",0,,18.38
"2024-06-01 01:00:00",17.67,,21.01
"2024-06-02 01:00:00",18.04,,21
"2024-06-03 01:00:00",20.21,,22.91
"2024-06-04 01:00:00",23.92,,27.36
"2024-06-05 01:00:00",31.06,,31.25
"2024-06-06 01:00:00",29.24,,32.38
"2024-06-07 01:00:00",51.36,,33.74
"2024-06-08 01:00:00",44.9,,37.2
"2024-06-09 01:00:00",25.96,,35.33
"2024-06-10 01:00:00",29.73,,35.29
"2024-06-11 01:00:00",48.15,,34.83
"2024-06-12 01:00:00",18,,26.68
"2024-06-13 01:00:00",28.95,,28.99
"2024-06-14 01:00:00",0,,16.48
