"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-17 01:00:00",27.09,23.64674021386352,27.89
"2025-04-18 01:00:00",19.99,,26.32
"2025-04-19 01:00:00",26.79,,28.41
"2025-04-20 01:00:00",40.06,,27.97
"2025-04-21 01:00:00",30.32,,29.03
"2025-04-22 01:00:00",27.85,,30.9
"2025-04-23 01:00:00",23.72,,29.43
"2025-04-24 01:00:00",34.47,,27.58
"2025-04-25 01:00:00",33.12,,28.98
"2025-04-26 01:00:00",16.47,,28.13
"2025-04-27 01:00:00",27.11,,26.77
"2025-04-28 01:00:00",40.12,,24.18
"2025-04-29 01:00:00",21.93,,23.36
"2025-04-30 01:00:00",14.14,,23.86
"2025-05-01 01:00:00",16.35,,23.49
"2025-05-02 01:00:00",27.39,,25.32
"2025-05-03 01:00:00",19.96,,28.83
"2025-05-04 01:00:00",24.56,,30.91
"2025-05-05 01:00:00",52.88,,31.68
"2025-05-06 01:00:00",46.56,,30.37
"2025-05-07 01:00:00",28.65,,31
"2025-05-08 01:00:00",21.78,,32.81
"2025-05-09 01:00:00",18.17,,30.69
"2025-05-10 01:00:00",24.39,,27.76
"2025-05-11 01:00:00",37.24,,25.98
"2025-05-12 01:00:00",38.05,,27.7
"2025-05-13 01:00:00",26.03,,29.73
"2025-05-14 01:00:00",16.2,,29.86
"2025-05-15 01:00:00",33.8,,28.3
"2025-05-16 01:00:00",32.4,,29.78
"2025-05-17 01:00:00",25.28,,34.33
"2025-05-18 01:00:00",26.36,,35.79
"2025-05-19 01:00:00",48.37,,38.44
"2025-05-20 01:00:00",57.93,,38.04
"2025-05-21 01:00:00",0,,29.57
"2025-05-22 01:00:00",30.36,,36.8
"2025-05-23 01:00:00",20.03,,36.18
"2025-05-24 01:00:00",23.95,,31.54
"2025-05-25 01:00:00",46.61,,30.67
"2025-05-26 01:00:00",54.34,,30.2
"2025-05-27 01:00:00",21.53,,31.04
"2025-05-28 01:00:00",17.9,,30.57
