"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",1.16,0.6191024259548984,1.94
"2023-04-16 01:00:00",1.72,,2.25
"2023-04-17 01:00:00",4.86,,2.69
"2023-04-18 01:00:00",2.33,,2.2
"2023-04-19 01:00:00",2.23,,2.29
"2023-04-20 01:00:00",1.68,,2.26
"2023-04-21 01:00:00",1.41,,1.66
"2023-04-22 01:00:00",1.78,,1.43
"2023-04-23 01:00:00",1.53,,1.28
"2023-04-24 01:00:00",0.65,,1.16
"2023-04-25 01:00:00",0.7,,1.04
"2023-04-26 01:00:00",1.23,,0.86
"2023-04-27 01:00:00",0.81,,0.72
"2023-04-28 01:00:00",0.58,,0.7
"2023-04-29 01:00:00",0.5,,0.66
"2023-04-30 01:00:00",0.57,,0.58
"2023-05-01 01:00:00",0.51,,0.6
"2023-05-02 01:00:00",0.42,,0.61
"2023-05-03 01:00:00",0.65,,0.72
"2023-05-04 01:00:00",0.94,,0.76
"2023-05-05 01:00:00",0.66,,0.83
"2023-05-06 01:00:00",1.26,,1.08
"2023-05-07 01:00:00",0.85,,1.16
"2023-05-08 01:00:00",1.03,,1.15
"2023-05-09 01:00:00",2.19,,1.19
"2023-05-10 01:00:00",1.2,,1.43
"2023-05-11 01:00:00",0.83,,1.54
"2023-05-12 01:00:00",1,,1.66
"2023-05-13 01:00:00",2.89,,1.51
"2023-05-14 01:00:00",1.65,,1.51
"2023-05-15 01:00:00",1.88,,1.51
"2023-05-16 01:00:00",1.15,,1.46
"2023-05-17 01:00:00",1.14,,1.14
"2023-05-18 01:00:00",0.83,,1.04
"2023-05-19 01:00:00",0.71,,0.91
"2023-05-20 01:00:00",0.65,,0.95
"2023-05-21 01:00:00",0.91,,1.12
"2023-05-22 01:00:00",1.01,,1.34
"2023-05-23 01:00:00",1.38,,1.58
"2023-05-24 01:00:00",2.32,,1.71
"2023-05-25 01:00:00",2.37,,1.72
"2023-05-26 01:00:00",2.42,,1.72
"2023-05-27 01:00:00",1.58,,1.67
"2023-05-28 01:00:00",0.99,,1.48
"2023-05-29 01:00:00",0.99,,1.3
"2023-05-30 01:00:00",0.99,,1.15
"2023-05-31 01:00:00",0.99,,1
"2023-06-01 01:00:00",1.16,,0.95
"2023-06-02 01:00:00",1.33,,0.88
"2023-06-03 01:00:00",0.55,,0.83
"2023-06-04 01:00:00",0.66,,0.78
"2023-06-05 01:00:00",0.5,,0.8
"2023-06-06 01:00:00",0.64,,0.83
"2023-06-07 01:00:00",0.62,,0.86
"2023-06-08 01:00:00",1.29,,0.85
"2023-06-09 01:00:00",1.55,,0.85
"2023-06-10 01:00:00",0.75,,0.91
"2023-06-11 01:00:00",0.61,,0.95
"2023-06-12 01:00:00",0.51,,0.86
"2023-06-13 01:00:00",1.02,,0.86
"2023-06-14 01:00:00",0.95,,0.86
"2023-06-15 01:00:00",0.6,,0.84
"2023-06-16 01:00:00",1.56,,0.97
"2023-06-17 01:00:00",0.74,,0.92
"2023-06-18 01:00:00",0.5,,0.88
"2023-06-19 01:00:00",1.44,,0.91
"2023-06-20 01:00:00",0.64,,0.8
"2023-06-21 01:00:00",0.7,,0.86
"2023-06-22 01:00:00",0.77,,0.91
"2023-06-23 01:00:00",0.78,,0.92
"2023-06-24 01:00:00",1.16,,1.09
"2023-06-25 01:00:00",0.9,,1.3
"2023-06-26 01:00:00",1.48,,1.34
"2023-06-27 01:00:00",1.86,,1.33
"2023-06-28 01:00:00",2.17,,1.29
"2023-06-29 01:00:00",1,,1.29
"2023-06-30 01:00:00",0.73,,1.38
"2023-07-01 01:00:00",0.87,,1.28
"2023-07-02 01:00:00",0.92,,1.09
"2023-07-03 01:00:00",2.11,,1.04
"2023-07-04 01:00:00",1.19,,1.1
"2023-07-05 01:00:00",0.79,,1.14
"2023-07-06 01:00:00",0.68,,1.17
"2023-07-07 01:00:00",1.17,,1.02
"2023-07-08 01:00:00",1.14,,0.93
"2023-07-09 01:00:00",1.14,,0.91
"2023-07-10 01:00:00",1.02,,0.91
"2023-07-11 01:00:00",0.57,,0.97
"2023-07-12 01:00:00",0.67,,1
"2023-07-13 01:00:00",0.63,,1.02
"2023-07-14 01:00:00",1.65,,1.1
"2023-07-15 01:00:00",1.31,,1.29
"2023-07-16 01:00:00",1.28,,1.43
"2023-07-17 01:00:00",1.59,,1.6
"2023-07-18 01:00:00",1.88,,1.51
"2023-07-19 01:00:00",1.66,,1.43
"2023-07-20 01:00:00",1.81,,1.36
"2023-07-21 01:00:00",1.01,,1.27
"2023-07-22 01:00:00",0.76,,1.18
"2023-07-23 01:00:00",0.78,,1.23
"2023-07-24 01:00:00",0.97,,1.24
