"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",4.49,7.117074493769405,4.57
"2023-04-16 01:00:00",3.16,,4.19
"2023-04-17 01:00:00",3.6,,4.77
"2023-04-18 01:00:00",7.3,,5.42
"2023-04-19 01:00:00",4.49,,5.86
"2023-04-20 01:00:00",6.78,,5.97
"2023-04-21 01:00:00",8.09,,5.88
"2023-04-22 01:00:00",7.59,,5.48
"2023-04-23 01:00:00",3.92,,5.65
"2023-04-24 01:00:00",3,,5.05
"2023-04-25 01:00:00",4.49,,4.94
"2023-04-26 01:00:00",5.69,,4.43
"2023-04-27 01:00:00",2.57,,4.51
"2023-04-28 01:00:00",7.29,,4.82
"2023-04-29 01:00:00",4.03,,4.73
"2023-04-30 01:00:00",4.48,,4.43
"2023-05-01 01:00:00",5.22,,4.81
"2023-05-02 01:00:00",3.86,,4.65
"2023-05-03 01:00:00",3.59,,4.43
"2023-05-04 01:00:00",5.19,,4.19
"2023-05-05 01:00:00",6.18,,3.71
"2023-05-06 01:00:00",2.47,,3.53
"2023-05-07 01:00:00",2.84,,3.51
"2023-05-08 01:00:00",1.81,,3.45
"2023-05-09 01:00:00",2.62,,3.06
"2023-05-10 01:00:00",3.44,,3.14
"2023-05-11 01:00:00",4.77,,3.28
"2023-05-12 01:00:00",3.44,,3.62
"2023-05-13 01:00:00",3.07,,3.88
"2023-05-14 01:00:00",3.79,,3.66
"2023-05-15 01:00:00",4.23,,3.67
"2023-05-16 01:00:00",4.44,,3.54
"2023-05-17 01:00:00",1.87,,3.43
"2023-05-18 01:00:00",4.83,,3.38
"2023-05-19 01:00:00",2.52,,3.39
"2023-05-20 01:00:00",2.31,,3.18
"2023-05-21 01:00:00",3.46,,3.35
"2023-05-22 01:00:00",4.27,,2.96
"2023-05-23 01:00:00",2.99,,2.96
"2023-05-24 01:00:00",3.04,,2.86
"2023-05-25 01:00:00",2.1,,2.54
"2023-05-26 01:00:00",2.52,,2.11
"2023-05-27 01:00:00",1.63,,1.86
"2023-05-28 01:00:00",1.25,,1.77
"2023-05-29 01:00:00",1.25,,2.23
"2023-05-30 01:00:00",1.25,,2.06
"2023-05-31 01:00:00",2.41,,2
"2023-06-01 01:00:00",5.33,,2.2
"2023-06-02 01:00:00",1.31,,2.54
"2023-06-03 01:00:00",1.19,,3.36
"2023-06-04 01:00:00",2.66,,3.56
"2023-06-05 01:00:00",3.64,,3.17
"2023-06-06 01:00:00",7.01,,3.28
"2023-06-07 01:00:00",3.81,,3.43
"2023-06-08 01:00:00",2.6,,3.39
"2023-06-09 01:00:00",2.08,,3.18
"2023-06-10 01:00:00",2.2,,2.57
"2023-06-11 01:00:00",2.39,,2.29
"2023-06-12 01:00:00",2.15,,2.26
"2023-06-13 01:00:00",2.76,,2.12
"2023-06-14 01:00:00",1.86,,2
"2023-06-15 01:00:00",2.35,,2.01
"2023-06-16 01:00:00",1.1,,1.92
"2023-06-17 01:00:00",1.39,,1.8
"2023-06-18 01:00:00",2.45,,1.97
"2023-06-19 01:00:00",1.56,,2.06
"2023-06-20 01:00:00",1.87,,2.48
"2023-06-21 01:00:00",3.08,,2.86
"2023-06-22 01:00:00",3,,2.8
"2023-06-23 01:00:00",4.03,,3.15
"2023-06-24 01:00:00",4.01,,3.18
"2023-06-25 01:00:00",2.07,,2.98
"2023-06-26 01:00:00",3.98,,2.77
"2023-06-27 01:00:00",2.07,,2.38
"2023-06-28 01:00:00",1.71,,2.14
"2023-06-29 01:00:00",1.49,,2.16
"2023-06-30 01:00:00",1.3,,1.82
"2023-07-01 01:00:00",2.38,,1.8
"2023-07-02 01:00:00",2.16,,2.32
"2023-07-03 01:00:00",1.64,,2.46
"2023-07-04 01:00:00",1.95,,2.76
"2023-07-05 01:00:00",5.3,,2.72
"2023-07-06 01:00:00",2.5,,3.14
"2023-07-07 01:00:00",3.41,,4.64
"2023-07-08 01:00:00",2.05,,5.49
"2023-07-09 01:00:00",5.11,,5.24
"2023-07-10 01:00:00",12.18,,5.43
"2023-07-11 01:00:00",7.91,,5.52
"2023-07-12 01:00:00",3.52,,5.86
"2023-07-13 01:00:00",3.8,,5.78
"2023-07-14 01:00:00",4.08,,4.65
"2023-07-15 01:00:00",4.4,,4.21
"2023-07-16 01:00:00",4.56,,4.43
"2023-07-17 01:00:00",4.26,,4.39
"2023-07-18 01:00:00",4.85,,5.35
"2023-07-19 01:00:00",5.08,,6
"2023-07-20 01:00:00",3.51,,6.14
"2023-07-21 01:00:00",10.77,,6.19
"2023-07-22 01:00:00",8.97,,6.62
"2023-07-23 01:00:00",5.52,,7.3
"2023-07-24 01:00:00",4.66,,8.41
"2023-07-25 01:00:00",7.82,,8.35
"2023-07-26 01:00:00",9.88,,8.72
"2023-07-27 01:00:00",11.28,,9.42
"2023-07-28 01:00:00",10.31,,9.84
"2023-07-29 01:00:00",11.54,,9.44
"2023-07-30 01:00:00",10.44,,8.66
"2023-07-31 01:00:00",7.63,,7.93
"2023-08-01 01:00:00",4.97,,7.91
"2023-08-02 01:00:00",4.47,,8
"2023-08-03 01:00:00",6.17,,7.3
"2023-08-04 01:00:00",10.18,,7.63
"2023-08-05 01:00:00",12.13,,7.77
"2023-08-06 01:00:00",5.52,,8.02
"2023-08-07 01:00:00",9.99,,8.36
"2023-08-08 01:00:00",5.92,,7.9
"2023-08-09 01:00:00",6.21,,6.72
"2023-08-10 01:00:00",8.55,,6.58
"2023-08-11 01:00:00",6.99,,6.19
"2023-08-12 01:00:00",3.83,,6.47
"2023-08-13 01:00:00",4.54,,6.73
"2023-08-14 01:00:00",7.31,,6.44
"2023-08-15 01:00:00",7.88,,6.11
"2023-08-16 01:00:00",8.01,,7.57
"2023-08-17 01:00:00",6.53,,8.61
"2023-08-18 01:00:00",4.69,,8.89
"2023-08-19 01:00:00",14.04,,8.54
"2023-08-20 01:00:00",11.83,,8.03
"2023-08-21 01:00:00",9.26,,8.07
"2023-08-22 01:00:00",5.42,,8.57
"2023-08-23 01:00:00",4.42,,7.71
"2023-08-24 01:00:00",6.8,,7.83
"2023-08-25 01:00:00",8.19,,8
"2023-08-26 01:00:00",8.08,,8.36
"2023-08-27 01:00:00",12.67,,9.17
"2023-08-28 01:00:00",10.44,,10.59
"2023-08-29 01:00:00",7.91,,12.53
"2023-08-30 01:00:00",10.08,,13.71
"2023-08-31 01:00:00",16.75,,13.51
"2023-09-01 01:00:00",21.76,,14.88
"2023-09-02 01:00:00",16.39,,15.99
"2023-09-03 01:00:00",11.21,,20.45
"2023-09-04 01:00:00",20.09,,19.7
"2023-09-05 01:00:00",15.63,,18.56
"2023-09-06 01:00:00",41.33,,18
"2023-09-07 01:00:00",11.51,,19.84
"2023-09-08 01:00:00",13.79,,20.36
"2023-09-09 01:00:00",12.44,,20.13
"2023-09-10 01:00:00",24.12,,16.03
"2023-09-11 01:00:00",23.72,,15.68
"2023-09-12 01:00:00",14.01,,15.67
"2023-09-13 01:00:00",12.59,,15.86
"2023-09-14 01:00:00",9.07,,13.83
"2023-09-15 01:00:00",13.75,,12.34
"2023-09-16 01:00:00",13.75,,11.67
"2023-09-17 01:00:00",9.92,,11.63
"2023-09-18 01:00:00",13.31,,12.82
"2023-09-19 01:00:00",9.28,,14.1
"2023-09-20 01:00:00",12.31,,16
"2023-09-21 01:00:00",17.4,,16.52
"2023-09-22 01:00:00",22.72,,16.91
"2023-09-23 01:00:00",27.06,,16.72
"2023-09-24 01:00:00",13.57,,16.95
"2023-09-25 01:00:00",16.04,,16.58
"2023-09-26 01:00:00",7.97,,14.4
"2023-09-27 01:00:00",13.88,,11.43
"2023-09-28 01:00:00",14.79,,10.6
