"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",22.65,31.958480967442505,23.2
"2023-04-16 01:00:00",29.97,,26.76
"2023-04-17 01:00:00",18.3,,25.61
"2023-04-18 01:00:00",23.51,,29.67
"2023-04-19 01:00:00",32.95,,31.43
"2023-04-20 01:00:00",33.6,,30.32
"2023-04-21 01:00:00",46.72,,30.67
"2023-04-22 01:00:00",34.96,,30.6
"2023-04-23 01:00:00",22.23,,29.2
"2023-04-24 01:00:00",20.73,,27.58
"2023-04-25 01:00:00",23,,23.24
"2023-04-26 01:00:00",23.17,,19.71
"2023-04-27 01:00:00",22.25,,18.23
"2023-04-28 01:00:00",16.36,,16.18
"2023-04-29 01:00:00",10.26,,14.08
"2023-04-30 01:00:00",11.84,,11.62
"2023-05-01 01:00:00",6.4,,9.37
"2023-05-02 01:00:00",8.27,,7.61
"2023-05-03 01:00:00",5.93,,6.86
"2023-05-04 01:00:00",6.5,,5.94
"2023-05-05 01:00:00",4.08,,5.93
"2023-05-06 01:00:00",4.97,,5.83
"2023-05-07 01:00:00",5.43,,5.69
"2023-05-08 01:00:00",6.31,,5.25
"2023-05-09 01:00:00",7.57,,5.07
"2023-05-10 01:00:00",5,,5
"2023-05-11 01:00:00",3.38,,5.19
"2023-05-12 01:00:00",2.83,,4.97
"2023-05-13 01:00:00",4.49,,4.36
"2023-05-14 01:00:00",6.74,,4.03
"2023-05-15 01:00:00",4.75,,4.44
"2023-05-16 01:00:00",3.35,,4.71
"2023-05-17 01:00:00",2.68,,4.86
"2023-05-18 01:00:00",6.27,,4.81
"2023-05-19 01:00:00",4.69,,4.68
"2023-05-20 01:00:00",5.52,,4.58
"2023-05-21 01:00:00",6.43,,5.16
"2023-05-22 01:00:00",3.81,,4.84
"2023-05-23 01:00:00",2.64,,4.82
"2023-05-24 01:00:00",6.79,,4.71
"2023-05-25 01:00:00",3.98,,4.97
"2023-05-26 01:00:00",4.59,,5.6
"2023-05-27 01:00:00",4.75,,6.4
"2023-05-28 01:00:00",8.22,,8.74
"2023-05-29 01:00:00",8.22,,11.17
"2023-05-30 01:00:00",8.22,,13.34
"2023-05-31 01:00:00",23.19,,15.86
"2023-06-01 01:00:00",21.01,,16.87
"2023-06-02 01:00:00",19.78,,20.38
"2023-06-03 01:00:00",22.36,,25.65
