"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",20.55,5.95863828041323,19.01
"2023-04-16 01:00:00",10.69,,17.51
"2023-04-17 01:00:00",14.79,,19.58
"2023-04-18 01:00:00",25.36,,19.82
"2023-04-19 01:00:00",29.8,,18.57
"2023-04-20 01:00:00",21.06,,17.77
"2023-04-21 01:00:00",16.52,,16.16
"2023-04-22 01:00:00",11.78,,13
"2023-04-23 01:00:00",5.09,,9.36
"2023-04-24 01:00:00",3.51,,7.12
"2023-04-25 01:00:00",3.26,,6.3
"2023-04-26 01:00:00",4.3,,5.28
"2023-04-27 01:00:00",5.39,,5.34
"2023-04-28 01:00:00",10.78,,5.17
"2023-04-29 01:00:00",4.62,,5.02
"2023-04-30 01:00:00",5.53,,4.81
"2023-05-01 01:00:00",2.28,,4.98
"2023-05-02 01:00:00",2.22,,4.29
"2023-05-03 01:00:00",2.83,,4
"2023-05-04 01:00:00",6.6,,4.29
"2023-05-05 01:00:00",5.95,,4.85
"2023-05-06 01:00:00",2.6,,5.24
"2023-05-07 01:00:00",7.52,,5.88
"2023-05-08 01:00:00",6.26,,6.84
"2023-05-09 01:00:00",4.93,,7.59
"2023-05-10 01:00:00",7.27,,8.57
"2023-05-11 01:00:00",13.37,,8.45
"2023-05-12 01:00:00",11.21,,9.35
"2023-05-13 01:00:00",9.44,,10.15
"2023-05-14 01:00:00",6.69,,10.25
"2023-05-15 01:00:00",12.55,,10.21
"2023-05-16 01:00:00",10.53,,9.76
"2023-05-17 01:00:00",7.95,,9.14
"2023-05-18 01:00:00",13.12,,9.18
"2023-05-19 01:00:00",8.06,,8.83
"2023-05-20 01:00:00",5.1,,8.53
"2023-05-21 01:00:00",6.95,,8.84
"2023-05-22 01:00:00",10.08,,9.15
"2023-05-23 01:00:00",8.46,,9.1
"2023-05-24 01:00:00",10.13,,9.14
"2023-05-25 01:00:00",15.24,,9.09
"2023-05-26 01:00:00",7.73,,8.59
"2023-05-27 01:00:00",5.41,,8.32
"2023-05-28 01:00:00",6.57,,8.06
"2023-05-29 01:00:00",6.57,,6.88
"2023-05-30 01:00:00",6.57,,7.05
"2023-05-31 01:00:00",8.33,,10.86
"2023-06-01 01:00:00",7.01,,10.38
"2023-06-02 01:00:00",8.89,,9.78
"2023-06-03 01:00:00",32.07,,9.92
"2023-06-04 01:00:00",3.23,,9.15
"2023-06-05 01:00:00",2.34,,8.84
"2023-06-06 01:00:00",7.54,,7.96
"2023-06-07 01:00:00",2.99,,3.86
"2023-06-08 01:00:00",4.81,,3.66
"2023-06-09 01:00:00",2.72,,3.88
"2023-06-10 01:00:00",3.37,,3.57
"2023-06-11 01:00:00",1.86,,3.49
"2023-06-12 01:00:00",3.88,,3.28
"2023-06-13 01:00:00",5.37,,3.26
"2023-06-14 01:00:00",2.43,,3.14
"2023-06-15 01:00:00",3.34,,4.12
"2023-06-16 01:00:00",2.54,,4.57
"2023-06-17 01:00:00",2.58,,4.31
"2023-06-18 01:00:00",8.69,,4.64
"2023-06-19 01:00:00",7.01,,5.1
"2023-06-20 01:00:00",3.58,,5.97
"2023-06-21 01:00:00",4.76,,6.57
"2023-06-22 01:00:00",6.57,,5.7
"2023-06-23 01:00:00",8.61,,5.54
"2023-06-24 01:00:00",6.78,,6.08
"2023-06-25 01:00:00",2.59,,5.94
"2023-06-26 01:00:00",5.86,,5.45
"2023-06-27 01:00:00",7.41,,4.74
"2023-06-28 01:00:00",3.75,,4.43
"2023-06-29 01:00:00",3.15,,4.57
"2023-06-30 01:00:00",3.62,,4.44
"2023-07-01 01:00:00",4.63,,4.2
"2023-07-02 01:00:00",3.55,,5.07
"2023-07-03 01:00:00",4.96,,5.61
"2023-07-04 01:00:00",5.76,,5.91
"2023-07-05 01:00:00",9.85,,6
"2023-07-06 01:00:00",6.87,,6.63
"2023-07-07 01:00:00",5.74,,7.67
"2023-07-08 01:00:00",5.27,,7.87
"2023-07-09 01:00:00",7.96,,7.02
"2023-07-10 01:00:00",12.22,,6.67
"2023-07-11 01:00:00",7.21,,6.51
"2023-07-12 01:00:00",3.84,,6.43
"2023-07-13 01:00:00",4.48,,5.61
"2023-07-14 01:00:00",4.58,,4.18
"2023-07-15 01:00:00",4.71,,3.48
"2023-07-16 01:00:00",2.24,,3.52
"2023-07-17 01:00:00",2.18,,3.83
"2023-07-18 01:00:00",2.34,,3.55
"2023-07-19 01:00:00",4.14,,3.15
"2023-07-20 01:00:00",6.63,,3.16
"2023-07-21 01:00:00",2.59,,3.26
"2023-07-22 01:00:00",1.9,,3.31
"2023-07-23 01:00:00",2.34,,3.48
"2023-07-24 01:00:00",2.89,,2.94
"2023-07-25 01:00:00",2.67,,2.88
"2023-07-26 01:00:00",5.33,,2.86
"2023-07-27 01:00:00",2.86,,2.93
"2023-07-28 01:00:00",2.17,,3.2
"2023-07-29 01:00:00",1.74,,3.4
"2023-07-30 01:00:00",2.84,,2.94
"2023-07-31 01:00:00",4.76,,2.84
"2023-08-01 01:00:00",4.08,,3.39
"2023-08-02 01:00:00",2.15,,3.71
"2023-08-03 01:00:00",2.11,,3.83
"2023-08-04 01:00:00",6.05,,3.9
"2023-08-05 01:00:00",4.01,,3.89
"2023-08-06 01:00:00",3.62,,4.06
"2023-08-07 01:00:00",5.25,,4.04
"2023-08-08 01:00:00",4.02,,3.5
"2023-08-09 01:00:00",3.36,,3.43
"2023-08-10 01:00:00",1.96,,3.31
"2023-08-11 01:00:00",2.28,,2.93
"2023-08-12 01:00:00",3.5,,2.57
"2023-08-13 01:00:00",2.77,,2.48
"2023-08-14 01:00:00",2.62,,2.55
"2023-08-15 01:00:00",1.48,,2.53
"2023-08-16 01:00:00",2.72,,2.57
"2023-08-17 01:00:00",2.51,,2.63
"2023-08-18 01:00:00",2.11,,2.7
"2023-08-19 01:00:00",3.8,,3.23
"2023-08-20 01:00:00",3.14,,3.41
"2023-08-21 01:00:00",3.16,,3.36
"2023-08-22 01:00:00",5.18,,3.42
"2023-08-23 01:00:00",3.96,,3.14
"2023-08-24 01:00:00",2.14,,3.39
"2023-08-25 01:00:00",2.59,,3.55
"2023-08-26 01:00:00",1.83,,3.55
"2023-08-27 01:00:00",4.88,,3.96
"2023-08-28 01:00:00",4.29,,5.17
"2023-08-29 01:00:00",5.18,,6.52
"2023-08-30 01:00:00",6.83,,7.72
"2023-08-31 01:00:00",10.6,,7.76
"2023-09-01 01:00:00",12.03,,8.54
"2023-09-02 01:00:00",10.21,,9.06
"2023-09-03 01:00:00",5.15,,9.32
"2023-09-04 01:00:00",9.78,,9.59
"2023-09-05 01:00:00",8.83,,9.34
"2023-09-06 01:00:00",8.64,,9.14
"2023-09-07 01:00:00",12.48,,9.08
"2023-09-08 01:00:00",10.3,,8.74
"2023-09-09 01:00:00",8.83,,8.95
"2023-09-10 01:00:00",4.72,,9.05
"2023-09-11 01:00:00",7.41,,8.52
"2023-09-12 01:00:00",10.3,,8.26
"2023-09-13 01:00:00",9.3,,8.57
"2023-09-14 01:00:00",8.75,,9.1
"2023-09-15 01:00:00",8.5,,9.19
"2023-09-16 01:00:00",11.02,,9.76
"2023-09-17 01:00:00",8.44,,10.18
"2023-09-18 01:00:00",8.05,,11.27
"2023-09-19 01:00:00",14.29,,13.15
"2023-09-20 01:00:00",12.21,,13.43
"2023-09-21 01:00:00",16.4,,13.69
"2023-09-22 01:00:00",21.63,,13.85
"2023-09-23 01:00:00",12.97,,13.73
"2023-09-24 01:00:00",10.26,,14.13
"2023-09-25 01:00:00",9.2,,15.26
"2023-09-26 01:00:00",13.42,,15.49
"2023-09-27 01:00:00",15.06,,15.71
"2023-09-28 01:00:00",24.3,,18.42
"2023-09-29 01:00:00",23.21,,21.87
"2023-09-30 01:00:00",14.55,,27.69
"2023-10-01 01:00:00",29.18,,34.72
"2023-10-02 01:00:00",33.34,,40.01
"2023-10-03 01:00:00",54.21,,46.08
"2023-10-04 01:00:00",64.28,,53.71
"2023-10-05 01:00:00",61.33,,64.11
"2023-10-06 01:00:00",65.64,,68.16
