"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",0.39,10.66092442827624,1.02
"2023-04-16 01:00:00",1.5,,1.64
"2023-04-17 01:00:00",2.2,,2.07
"2023-04-18 01:00:00",1.89,,2.31
"2023-04-19 01:00:00",2.51,,2.72
"2023-04-20 01:00:00",3.83,,3.28
"2023-04-21 01:00:00",3.87,,3.96
"2023-04-22 01:00:00",3.21,,5.25
"2023-04-23 01:00:00",5.43,,6.66
"2023-04-24 01:00:00",7.01,,8.02
"2023-04-25 01:00:00",10.9,,8.89
"2023-04-26 01:00:00",12.38,,10
"2023-04-27 01:00:00",13.33,,10.17
"2023-04-28 01:00:00",9.98,,10.73
"2023-04-29 01:00:00",10.97,,11.08
"2023-04-30 01:00:00",6.65,,12.1
"2023-05-01 01:00:00",10.88,,12.05
"2023-05-02 01:00:00",13.39,,11.69
"2023-05-03 01:00:00",19.48,,11.29
"2023-05-04 01:00:00",13,,12.21
"2023-05-05 01:00:00",7.48,,12.62
"2023-05-06 01:00:00",8.13,,13.06
"2023-05-07 01:00:00",13.11,,11.54
"2023-05-08 01:00:00",13.76,,10.69
"2023-05-09 01:00:00",16.47,,12.16
"2023-05-10 01:00:00",8.85,,12.57
"2023-05-11 01:00:00",7.01,,12.33
"2023-05-12 01:00:00",17.77,,11.68
"2023-05-13 01:00:00",11.03,,11.41
"2023-05-14 01:00:00",11.45,,12.16
"2023-05-15 01:00:00",9.16,,12.43
"2023-05-16 01:00:00",14.58,,12.34
"2023-05-17 01:00:00",14.09,,11.71
"2023-05-18 01:00:00",8.9,,11.35
"2023-05-19 01:00:00",17.2,,12.99
"2023-05-20 01:00:00",6.62,,13.38
"2023-05-21 01:00:00",8.89,,12.83
"2023-05-22 01:00:00",20.68,,15.55
"2023-05-23 01:00:00",17.3,,14.7
"2023-05-24 01:00:00",10.25,,15
"2023-05-25 01:00:00",27.88,,15.36
"2023-05-26 01:00:00",11.26,,14.04
"2023-05-27 01:00:00",8.75,,13.2
"2023-05-28 01:00:00",11.43,,12.54
"2023-05-29 01:00:00",11.43,,9.54
"2023-05-30 01:00:00",11.43,,9.83
"2023-05-31 01:00:00",5.58,,10.43
"2023-06-01 01:00:00",6.88,,10.37
"2023-06-02 01:00:00",13.34,,9.93
"2023-06-03 01:00:00",12.92,,9.82
"2023-06-04 01:00:00",11.04,,11.04
"2023-06-05 01:00:00",8.35,,10.86
"2023-06-06 01:00:00",10.61,,10.54
"2023-06-07 01:00:00",14.13,,10
"2023-06-08 01:00:00",5.65,,10.19
"2023-06-09 01:00:00",11.1,,10.67
"2023-06-10 01:00:00",9.13,,10.4
"2023-06-11 01:00:00",12.39,,9.49
"2023-06-12 01:00:00",11.67,,9.76
"2023-06-13 01:00:00",8.7,,8.86
"2023-06-14 01:00:00",7.78,,8.57
"2023-06-15 01:00:00",7.54,,7.48
"2023-06-16 01:00:00",4.81,,7.69
"2023-06-17 01:00:00",7.1,,7.58
"2023-06-18 01:00:00",4.75,,7.88
"2023-06-19 01:00:00",13.13,,7.88
"2023-06-20 01:00:00",7.95,,7.92
"2023-06-21 01:00:00",9.85,,8.28
"2023-06-22 01:00:00",7.55,,8.49
"2023-06-23 01:00:00",5.14,,7.38
"2023-06-24 01:00:00",9.62,,7.01
"2023-06-25 01:00:00",6.16,,6.07
"2023-06-26 01:00:00",5.39,,5.45
"2023-06-27 01:00:00",5.34,,5.03
"2023-06-28 01:00:00",3.26,,4
"2023-06-29 01:00:00",3.21,,3.47
"2023-06-30 01:00:00",2.23,,3.22
"2023-07-01 01:00:00",2.41,,2.77
"2023-07-02 01:00:00",2.46,,2.67
"2023-07-03 01:00:00",3.6,,2.54
"2023-07-04 01:00:00",2.23,,2.57
"2023-07-05 01:00:00",2.56,,2.43
"2023-07-06 01:00:00",2.26,,2.43
"2023-07-07 01:00:00",2.49,,2.15
"2023-07-08 01:00:00",1.4,,2.04
"2023-07-09 01:00:00",2.46,,2.2
"2023-07-10 01:00:00",1.68,,2.28
"2023-07-11 01:00:00",1.4,,2.23
"2023-07-12 01:00:00",3.71,,2.43
"2023-07-13 01:00:00",2.8,,2.53
"2023-07-14 01:00:00",2.18,,2.9
"2023-07-15 01:00:00",2.77,,3.2
"2023-07-16 01:00:00",3.16,,3.64
"2023-07-17 01:00:00",4.31,,4.45
"2023-07-18 01:00:00",3.48,,5.24
"2023-07-19 01:00:00",6.8,,5.71
"2023-07-20 01:00:00",8.48,,6.12
"2023-07-21 01:00:00",7.65,,7.62
"2023-07-22 01:00:00",6.12,,8.51
"2023-07-23 01:00:00",6.01,,9.22
"2023-07-24 01:00:00",14.8,,10.27
"2023-07-25 01:00:00",9.71,,10.52
"2023-07-26 01:00:00",11.74,,10.72
"2023-07-27 01:00:00",15.83,,10.84
"2023-07-28 01:00:00",9.42,,10.24
"2023-07-29 01:00:00",7.5,,11.91
"2023-07-30 01:00:00",6.86,,11.43
"2023-07-31 01:00:00",10.63,,10.22
"2023-08-01 01:00:00",21.41,,11.18
"2023-08-02 01:00:00",8.34,,11.57
"2023-08-03 01:00:00",7.38,,11.76
"2023-08-04 01:00:00",16.11,,11.81
"2023-08-05 01:00:00",10.28,,10.89
"2023-08-06 01:00:00",8.14,,12.27
"2023-08-07 01:00:00",11.03,,14.3
"2023-08-08 01:00:00",14.96,,13.79
"2023-08-09 01:00:00",17.99,,14.14
"2023-08-10 01:00:00",21.6,,14.98
"2023-08-11 01:00:00",12.54,,14.66
"2023-08-12 01:00:00",12.73,,14
"2023-08-13 01:00:00",14.02,,15.64
"2023-08-14 01:00:00",8.79,,14.34
"2023-08-15 01:00:00",10.32,,13.9
"2023-08-16 01:00:00",29.49,,14.14
"2023-08-17 01:00:00",12.49,,14.08
"2023-08-18 01:00:00",9.47,,15.04
"2023-08-19 01:00:00",14.42,,18.22
"2023-08-20 01:00:00",13.61,,16.48
"2023-08-21 01:00:00",15.46,,16.14
"2023-08-22 01:00:00",32.61,,16.71
"2023-08-23 01:00:00",17.33,,16.29
"2023-08-24 01:00:00",10.09,,17.84
"2023-08-25 01:00:00",13.48,,17.49
"2023-08-26 01:00:00",11.42,,14.45
"2023-08-27 01:00:00",24.49,,13.26
"2023-08-28 01:00:00",13.03,,13.75
"2023-08-29 01:00:00",11.34,,14.7
"2023-08-30 01:00:00",8.94,,15.28
"2023-08-31 01:00:00",13.58,,13.44
"2023-09-01 01:00:00",20.09,,15.14
"2023-09-02 01:00:00",15.52,,15.98
"2023-09-03 01:00:00",11.61,,16.91
"2023-09-04 01:00:00",24.87,,16.41
"2023-09-05 01:00:00",17.27,,14.78
"2023-09-06 01:00:00",15.4,,13.71
"2023-09-07 01:00:00",10.13,,13.6
"2023-09-08 01:00:00",8.63,,12.09
"2023-09-09 01:00:00",8.09,,12.65
"2023-09-10 01:00:00",10.83,,12.2
"2023-09-11 01:00:00",14.29,,13.35
"2023-09-12 01:00:00",21.2,,15.5
"2023-09-13 01:00:00",12.2,,18.71
"2023-09-14 01:00:00",18.21,,21.42
"2023-09-15 01:00:00",23.71,,22.76
"2023-09-16 01:00:00",30.56,,21.75
"2023-09-17 01:00:00",29.77,,22.73
"2023-09-18 01:00:00",23.67,,22.5
"2023-09-19 01:00:00",14.14,,23.13
"2023-09-20 01:00:00",19.06,,24.29
"2023-09-21 01:00:00",16.57,,22.28
"2023-09-22 01:00:00",28.16,,21.53
"2023-09-23 01:00:00",38.63,,22.36
"2023-09-24 01:00:00",15.71,,23.11
"2023-09-25 01:00:00",18.41,,24.24
"2023-09-26 01:00:00",19.97,,27.1
"2023-09-27 01:00:00",24.34,,25.86
"2023-09-28 01:00:00",24.48,,26.36
"2023-09-29 01:00:00",48.17,,26.66
"2023-09-30 01:00:00",29.92,,27.6
"2023-10-01 01:00:00",19.25,,31.04
"2023-10-02 01:00:00",20.48,,34.47
"2023-10-03 01:00:00",26.56,,34.39
"2023-10-04 01:00:00",48.45,,36.43
"2023-10-05 01:00:00",48.45,,40.87
"2023-10-06 01:00:00",47.61,,41.93
"2023-10-07 01:00:00",44.2,,42.37
