"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",4.96,0,4.68
"2023-04-16 01:00:00",4.02,,4.88
"2023-04-17 01:00:00",5.48,,5.34
"2023-04-18 01:00:00",3.42,,5.16
"2023-04-19 01:00:00",8.27,,4.86
"2023-04-20 01:00:00",5.73,,4.72
"2023-04-21 01:00:00",4.23,,4.29
"2023-04-22 01:00:00",2.86,,4.41
"2023-04-23 01:00:00",3.03,,3.94
"2023-04-24 01:00:00",2.49,,4
"2023-04-25 01:00:00",4.23,,4.27
"2023-04-26 01:00:00",5.01,,4.57
"2023-04-27 01:00:00",6.17,,5.09
"2023-04-28 01:00:00",6.1,,5.12
"2023-04-29 01:00:00",4.97,,4.95
"2023-04-30 01:00:00",6.65,,4.73
"2023-05-01 01:00:00",2.68,,4.45
"2023-05-02 01:00:00",3.08,,4.34
"2023-05-03 01:00:00",3.44,,4.72
"2023-05-04 01:00:00",4.26,,4.22
"2023-05-05 01:00:00",5.32,,4.43
"2023-05-06 01:00:00",7.58,,4.32
"2023-05-07 01:00:00",3.15,,4.27
"2023-05-08 01:00:00",4.17,,4.53
"2023-05-09 01:00:00",2.35,,4.69
"2023-05-10 01:00:00",3.06,,4.14
"2023-05-11 01:00:00",6.09,,4.1
"2023-05-12 01:00:00",6.43,,4.14
"2023-05-13 01:00:00",3.76,,4.15
"2023-05-14 01:00:00",2.82,,4.21
"2023-05-15 01:00:00",4.48,,3.98
"2023-05-16 01:00:00",2.4,,3.91
"2023-05-17 01:00:00",3.52,,4.29
"2023-05-18 01:00:00",4.42,,4.29
"2023-05-19 01:00:00",5.98,,4.17
"2023-05-20 01:00:00",6.38,,4.45
"2023-05-21 01:00:00",2.85,,4.45
"2023-05-22 01:00:00",3.67,,4.9
"2023-05-23 01:00:00",4.33,,4.7
"2023-05-24 01:00:00",3.55,,4.14
"2023-05-25 01:00:00",7.52,,4.13
"2023-05-26 01:00:00",4.59,,3.99
"2023-05-27 01:00:00",2.49,,3.76
"2023-05-28 01:00:00",2.73,,3.76
"2023-05-29 01:00:00",2.73,,2.97
"2023-05-30 01:00:00",2.73,,2.59
"2023-05-31 01:00:00",3.53,,2.43
"2023-06-01 01:00:00",1.98,,2.28
"2023-06-02 01:00:00",1.92,,2.12
"2023-06-03 01:00:00",1.37,,2.08
"2023-06-04 01:00:00",1.68,,1.81
"2023-06-05 01:00:00",1.66,,2.14
"2023-06-06 01:00:00",2.39,,2.59
"2023-06-07 01:00:00",1.64,,3
"2023-06-08 01:00:00",4.34,,3.11
"2023-06-09 01:00:00",5.08,,3.18
"2023-06-10 01:00:00",4.21,,3.1
"2023-06-11 01:00:00",2.42,,3.68
"2023-06-12 01:00:00",2.16,,3.6
"2023-06-13 01:00:00",1.87,,3.25
"2023-06-14 01:00:00",5.68,,3.14
"2023-06-15 01:00:00",3.79,,3.07
"2023-06-16 01:00:00",2.59,,3
"2023-06-17 01:00:00",3.48,,3.01
"2023-06-18 01:00:00",1.9,,2.43
"2023-06-19 01:00:00",1.7,,2.23
"2023-06-20 01:00:00",1.92,,2.84
"2023-06-21 01:00:00",1.64,,2.57
"2023-06-22 01:00:00",2.4,,2.53
"2023-06-23 01:00:00",6.87,,2.57
"2023-06-24 01:00:00",1.57,,2.51
"2023-06-25 01:00:00",1.58,,2.63
"2023-06-26 01:00:00",2.02,,2.79
"2023-06-27 01:00:00",1.5,,2.47
"2023-06-28 01:00:00",2.47,,2.57
"2023-06-29 01:00:00",3.53,,2.7
"2023-06-30 01:00:00",4.61,,2.8
"2023-07-01 01:00:00",2.29,,2.85
"2023-07-02 01:00:00",2.47,,2.67
"2023-07-03 01:00:00",2.74,,2.31
"2023-07-04 01:00:00",1.85,,1.88
"2023-07-05 01:00:00",1.2,,1.86
"2023-07-06 01:00:00",1.04,,1.95
"2023-07-07 01:00:00",1.58,,1.82
"2023-07-08 01:00:00",2.11,,1.76
"2023-07-09 01:00:00",3.11,,1.85
"2023-07-10 01:00:00",1.84,,1.89
"2023-07-11 01:00:00",1.41,,2.18
"2023-07-12 01:00:00",1.84,,2.43
"2023-07-13 01:00:00",1.34,,2.38
"2023-07-14 01:00:00",3.63,,2.36
"2023-07-15 01:00:00",3.85,,2.63
"2023-07-16 01:00:00",2.74,,2.66
"2023-07-17 01:00:00",1.74,,2.76
"2023-07-18 01:00:00",3.3,,2.52
"2023-07-19 01:00:00",1.99,,2.14
"2023-07-20 01:00:00",2.06,,2.03
"2023-07-21 01:00:00",1.94,,2.03
"2023-07-22 01:00:00",1.24,,1.86
"2023-07-23 01:00:00",1.93,,2.25
"2023-07-24 01:00:00",1.76,,2.38
"2023-07-25 01:00:00",2.11,,2.82
"2023-07-26 01:00:00",4.68,,3.14
"2023-07-27 01:00:00",2.99,,3.43
"2023-07-28 01:00:00",5.05,,3.67
"2023-07-29 01:00:00",3.48,,3.8
"2023-07-30 01:00:00",3.93,,3.37
"2023-07-31 01:00:00",3.45,,3.17
"2023-08-01 01:00:00",2.99,,2.87
"2023-08-02 01:00:00",1.67,,2.57
"2023-08-03 01:00:00",1.61,,2.28
"2023-08-04 01:00:00",2.94,,1.97
"2023-08-05 01:00:00",1.42,,1.79
"2023-08-06 01:00:00",1.87,,1.98
"2023-08-07 01:00:00",1.29,,2.05
"2023-08-08 01:00:00",1.76,,2
"2023-08-09 01:00:00",2.97,,2.29
"2023-08-10 01:00:00",2.09,,2.23
"2023-08-11 01:00:00",2.62,,2.26
"2023-08-12 01:00:00",3.4,,2.15
"2023-08-13 01:00:00",1.5,,2.09
"2023-08-14 01:00:00",1.48,,2.16
"2023-08-15 01:00:00",1.01,,2.08
"2023-08-16 01:00:00",2.54,,1.86
"2023-08-17 01:00:00",2.54,,1.91
"2023-08-18 01:00:00",2.09,,1.88
"2023-08-19 01:00:00",1.84,,2.16
"2023-08-20 01:00:00",1.88,,2.13
"2023-08-21 01:00:00",1.23,,2
"2023-08-22 01:00:00",3.01,,2.21
"2023-08-23 01:00:00",2.32,,2.14
"2023-08-24 01:00:00",1.61,,2.47
"2023-08-25 01:00:00",3.57,,2.85
"2023-08-26 01:00:00",1.38,,3.79
"2023-08-27 01:00:00",4.16,,4.27
"2023-08-28 01:00:00",3.89,,5.03
"2023-08-29 01:00:00",9.59,,5.27
"2023-08-30 01:00:00",5.69,,6.72
"2023-08-31 01:00:00",6.93,,8.01
"2023-09-01 01:00:00",5.27,,8.64
"2023-09-02 01:00:00",11.48,,7.96
"2023-09-03 01:00:00",13.22,,8.12
"2023-09-04 01:00:00",8.31,,8.64
"2023-09-05 01:00:00",4.83,,8.94
"2023-09-06 01:00:00",6.81,,8.29
"2023-09-07 01:00:00",10.56,,6.98
"2023-09-08 01:00:00",7.39,,6.29
"2023-09-09 01:00:00",6.88,,5.87
"2023-09-10 01:00:00",4.08,,5.14
"2023-09-11 01:00:00",3.46,,3.92
"2023-09-12 01:00:00",1.88,,3.06
"2023-09-13 01:00:00",1.75,,2.43
"2023-09-14 01:00:00",1.97,,2.25
"2023-09-15 01:00:00",1.4,,2.29
"2023-09-16 01:00:00",2.46,,2.47
"2023-09-17 01:00:00",2.81,,2.42
"2023-09-18 01:00:00",3.76,,2.42
"2023-09-19 01:00:00",3.12,,2.4
"2023-09-20 01:00:00",1.45,,2.28
"2023-09-21 01:00:00",1.94,,2.13
"2023-09-22 01:00:00",1.29,,1.99
"2023-09-23 01:00:00",1.62,,1.91
"2023-09-24 01:00:00",1.7,,2.07
"2023-09-25 01:00:00",2.81,,2.25
"2023-09-26 01:00:00",2.53,,2.61
"2023-09-27 01:00:00",2.59,,3
"2023-09-28 01:00:00",3.21,,3.62
"2023-09-29 01:00:00",3.79,,4.37
"2023-09-30 01:00:00",4.38,,5.5
"2023-10-01 01:00:00",6.04,,6.69
"2023-10-02 01:00:00",8.03,,8.36
"2023-10-03 01:00:00",10.43,,9.78
"2023-10-04 01:00:00",10.96,,11.14
"2023-10-05 01:00:00",14.87,,13.18
"2023-10-06 01:00:00",13.72,,14.51
"2023-10-07 01:00:00",13.96,,14.56
"2023-10-08 01:00:00",20.26,,14.31
"2023-10-09 01:00:00",17.4,,13.45
"2023-10-10 01:00:00",10.74,,12.48
"2023-10-11 01:00:00",9.22,,11.86
"2023-10-12 01:00:00",8.84,,10.14
"2023-10-13 01:00:00",6.92,,8.6
"2023-10-14 01:00:00",9.62,,9.02
"2023-10-15 01:00:00",8.25,,10.18
"2023-10-16 01:00:00",6.64,,11.23
"2023-10-17 01:00:00",13.68,,11.87
"2023-10-18 01:00:00",17.33,,11.86
"2023-10-19 01:00:00",16.19,,13.02
"2023-10-20 01:00:00",11.35,,13.13
"2023-10-21 01:00:00",9.56,,12.66
"2023-10-22 01:00:00",16.4,,10.99
"2023-10-23 01:00:00",7.4,,9.61
"2023-10-24 01:00:00",10.36,,8.7
"2023-10-25 01:00:00",5.69,,8.14
"2023-10-26 01:00:00",6.53,,6.83
"2023-10-27 01:00:00",4.93,,6.63
"2023-10-28 01:00:00",5.69,,6.23
"2023-10-29 01:00:00",7.2,,6.26
"2023-10-30 00:00:00",6,,6.06
"2023-10-31 00:00:00",7.56,,5.79
"2023-11-01 00:00:00",5.94,,5.57
"2023-11-02 00:00:00",5.08,,5.12
"2023-11-03 00:00:00",3.05,,4.92
"2023-11-04 00:00:00",4.17,,4.95
"2023-11-05 00:00:00",4.06,,5.76
"2023-11-06 00:00:00",4.6,,6.27
"2023-11-07 00:00:00",7.74,,6.87
"2023-11-08 00:00:00",11.63,,7
"2023-11-09 00:00:00",8.65,,7.13
"2023-11-10 00:00:00",7.22,,7.73
"2023-11-11 00:00:00",5.09,,8.22
"2023-11-12 00:00:00",4.97,,8.04
"2023-11-13 00:00:00",8.78,,8.64
"2023-11-14 00:00:00",11.19,,8.59
"2023-11-15 00:00:00",10.38,,8.86
"2023-11-16 00:00:00",12.88,,9.55
"2023-11-17 00:00:00",6.85,,9.43
"2023-11-18 00:00:00",6.94,,8.61
"2023-11-19 00:00:00",9.83,,8.49
"2023-11-20 00:00:00",7.94,,8.18
"2023-11-21 00:00:00",5.45,,8.1
"2023-11-22 00:00:00",9.55,,7.72
"2023-11-23 00:00:00",10.7,,6.84
"2023-11-24 00:00:00",6.3,,7.03
"2023-11-25 00:00:00",4.24,,6.98
"2023-11-26 00:00:00",3.72,,6.51
"2023-11-27 00:00:00",9.25,,6.02
"2023-11-28 00:00:00",5.11,,5.59
"2023-11-29 00:00:00",6.22,,5.71
"2023-11-30 00:00:00",7.32,,5.98
"2023-12-01 00:00:00",3.3,,5.13
"2023-12-02 00:00:00",5.08,,5.26
"2023-12-03 00:00:00",5.57,,5.14
"2023-12-04 00:00:00",3.34,,4.47
"2023-12-05 00:00:00",6,,4.96
"2023-12-06 00:00:00",5.35,,4.86
"2023-12-07 00:00:00",2.67,,4.82
"2023-12-08 00:00:00",6.73,,4.81
"2023-12-09 00:00:00",4.33,,4.41
"2023-12-10 00:00:00",5.35,,4.31
"2023-12-11 00:00:00",3.22,,5.41
"2023-12-12 00:00:00",3.25,,5.83
"2023-12-13 00:00:00",4.65,,5.71
"2023-12-14 00:00:00",10.37,,5.39
"2023-12-15 00:00:00",9.65,,5.52
"2023-12-16 00:00:00",3.51,,5.39
"2023-12-17 00:00:00",3.07,,5.32
"2023-12-18 00:00:00",4.14,,4.28
"2023-12-19 00:00:00",2.35,,3.27
"2023-12-20 00:00:00",4.14,,3
"2023-12-21 00:00:00",3.12,,2.8
"2023-12-22 00:00:00",2.54,,2.54
"2023-12-23 00:00:00",1.64,,2.44
"2023-12-24 00:00:00",1.7,,2.03
"2023-12-25 00:00:00",2.28,,1.86
"2023-12-26 00:00:00",1.64,,1.79
"2023-12-27 00:00:00",1.31,,2.14
"2023-12-28 00:00:00",1.93,,2.41
"2023-12-29 00:00:00",2.01,,2.57
"2023-12-30 00:00:00",4.14,,2.6
"2023-12-31 00:00:00",3.54,,2.59
"2024-01-01 00:00:00",3.39,,2.58
"2024-01-02 00:00:00",1.85,,2.54
"2024-01-03 00:00:00",1.29,,2.28
"2024-01-04 00:00:00",1.85,,2.22
"2024-01-05 00:00:00",1.69,,2.64
"2024-01-06 00:00:00",2.38,,3.36
"2024-01-07 00:00:00",3.06,,4.09
"2024-01-08 00:00:00",6.33,,4.49
"2024-01-09 00:00:00",6.91,,5.25
"2024-01-10 00:00:00",6.38,,5.86
"2024-01-11 00:00:00",4.7,,6.01
"2024-01-12 00:00:00",7.02,,5.87
"2024-01-13 00:00:00",6.6,,6.08
"2024-01-14 00:00:00",4.15,,6.28
"2024-01-15 00:00:00",5.35,,7.37
"2024-01-16 00:00:00",8.36,,7.03
"2024-01-17 00:00:00",7.77,,7
"2024-01-18 00:00:00",12.35,,7.31
"2024-01-19 00:00:00",4.62,,7.46
"2024-01-20 00:00:00",6.39,,7.75
"2024-01-21 00:00:00",6.33,,7.32
"2024-01-22 00:00:00",6.39,,6.65
"2024-01-23 00:00:00",10.39,,6.91
"2024-01-24 00:00:00",4.76,,8
"2024-01-25 00:00:00",7.66,,8.1
"2024-01-26 00:00:00",6.44,,7.96
"2024-01-27 00:00:00",14.04,,7.21
"2024-01-28 00:00:00",7.05,,7.61
"2024-01-29 00:00:00",5.38,,7.36
"2024-01-30 00:00:00",5.17,,7.41
"2024-01-31 00:00:00",7.5,,5.86
"2024-02-01 00:00:00",5.91,,5.42
"2024-02-02 00:00:00",6.84,,5.74
"2024-02-03 00:00:00",3.15,,5.92
"2024-02-04 00:00:00",4.01,,5.58
"2024-02-05 00:00:00",7.61,,5.38
"2024-02-06 00:00:00",6.44,,5.31
"2024-02-07 00:00:00",5.09,,5.29
"2024-02-08 00:00:00",4.51,,5.43
"2024-02-09 00:00:00",6.39,,4.9
"2024-02-10 00:00:00",2.96,,4.9
"2024-02-11 00:00:00",4.99,,4.77
"2024-02-12 00:00:00",3.95,,5.01
"2024-02-13 00:00:00",6.43,,5.84
"2024-02-14 00:00:00",4.15,,6.71
"2024-02-15 00:00:00",6.21,,6.55
"2024-02-16 00:00:00",12.21,,6.86
"2024-02-17 00:00:00",9.06,,7.38
"2024-02-18 00:00:00",3.81,,8.15
"2024-02-19 00:00:00",6.17,,8.57
"2024-02-20 00:00:00",10.08,,7.71
"2024-02-21 00:00:00",9.5,,7
"2024-02-22 00:00:00",9.15,,7.21
"2024-02-23 00:00:00",6.19,,7.25
"2024-02-24 00:00:00",4.11,,6.57
"2024-02-25 00:00:00",5.29,,6.37
"2024-02-26 00:00:00",6.44,,5.73
"2024-02-27 00:00:00",5.31,,7.14
"2024-02-28 00:00:00",8.11,,7.57
"2024-02-29 00:00:00",4.65,,8.28
"2024-03-01 00:00:00",16.1,,8.04
"2024-03-02 00:00:00",7.09,,8.17
"2024-03-03 00:00:00",10.25,,7.67
"2024-03-04 00:00:00",4.76,,7.48
"2024-03-05 00:00:00",6.24,,6.24
"2024-03-06 00:00:00",4.59,,5.72
"2024-03-07 00:00:00",3.35,,4.9
"2024-03-08 00:00:00",7.42,,5.27
"2024-03-09 00:00:00",3.4,,5.63
"2024-03-10 00:00:00",4.56,,5.82
"2024-03-11 00:00:00",7.34,,6.65
"2024-03-12 00:00:00",8.74,,6.78
"2024-03-13 00:00:00",5.94,,8
"2024-03-14 00:00:00",9.17,,8.2
"2024-03-15 00:00:00",8.31,,8.12
"2024-03-16 00:00:00",11.95,,7.68
"2024-03-17 00:00:00",5.94,,7.25
"2024-03-18 00:00:00",6.76,,6.68
"2024-03-19 00:00:00",5.72,,6.28
"2024-03-20 00:00:00",2.91,,5.43
"2024-03-21 00:00:00",5.17,,5.11
"2024-03-22 00:00:00",5.51,,5.12
"2024-03-23 00:00:00",6,,4.91
"2024-03-24 00:00:00",3.69,,5.01
"2024-03-25 00:00:00",6.85,,4.74
"2024-03-26 00:00:00",4.24,,4.31
"2024-03-27 00:00:00",3.58,,4.29
"2024-03-28 00:00:00",3.3,,4.25
"2024-03-29 00:00:00",2.48,,3.69
"2024-03-30 00:00:00",5.86,,3.77
"2024-03-31 00:00:00",3.42,,4.14
"2024-04-01 01:00:00",2.94,,4.54
"2024-04-02 01:00:00",4.79,,5.34
"2024-04-03 01:00:00",6.2,,5.14
"2024-04-04 01:00:00",6.11,,5.17
"2024-04-05 01:00:00",8.08,,5.31
"2024-04-06 01:00:00",4.45,,5.55
"2024-04-07 01:00:00",3.63,,5.27
"2024-04-08 01:00:00",3.91,,5.27
"2024-04-09 01:00:00",6.46,,5.67
"2024-04-10 01:00:00",4.24,,6.28
"2024-04-11 01:00:00",6.13,,6.97
"2024-04-12 01:00:00",10.88,,8.07
"2024-04-13 01:00:00",8.74,,8.14
"2024-04-14 01:00:00",8.46,,8.63
"2024-04-15 01:00:00",11.61,,8.88
"2024-04-16 01:00:00",6.95,,8.07
"2024-04-17 01:00:00",7.66,,7.43
"2024-04-18 01:00:00",7.88,,6.78
"2024-04-19 01:00:00",5.16,,5.66
"2024-04-20 01:00:00",4.28,,5.87
"2024-04-21 01:00:00",3.93,,6.32
"2024-04-22 01:00:00",3.78,,5.7
"2024-04-23 01:00:00",8.38,,5.46
"2024-04-24 01:00:00",10.82,,5.29
"2024-04-25 01:00:00",3.55,,5.16
"2024-04-26 01:00:00",3.46,,5.43
"2024-04-27 01:00:00",3.09,,5.02
"2024-04-28 01:00:00",3.07,,4.39
"2024-04-29 01:00:00",5.63,,4.8
"2024-04-30 01:00:00",5.51,,4.93
"2024-05-01 01:00:00",6.41,,5.57
"2024-05-02 01:00:00",6.41,,6.5
"2024-05-03 01:00:00",4.42,,6.26
"2024-05-04 01:00:00",7.55,,6.07
"2024-05-05 01:00:00",9.58,,5.92
"2024-05-06 01:00:00",3.97,,6.76
"2024-05-07 01:00:00",4.17,,7.23
"2024-05-08 01:00:00",5.35,,6.86
"2024-05-09 01:00:00",12.26,,6.57
"2024-05-10 01:00:00",7.76,,6.72
"2024-05-11 01:00:00",4.92,,7.17
"2024-05-12 01:00:00",7.56,,6.87
"2024-05-13 01:00:00",5.03,,5.95
"2024-05-14 01:00:00",7.33,,5.31
"2024-05-15 01:00:00",3.22,,5
"2024-05-16 01:00:00",5.83,,4.68
"2024-05-17 01:00:00",3.26,,4.62
"2024-05-18 01:00:00",2.76,,4.07
"2024-05-19 01:00:00",5.34,,4.05
"2024-05-20 01:00:00",4.57,,3.68
"2024-05-21 01:00:00",3.54,,3.76
"2024-05-22 01:00:00",3.06,,5
"2024-05-23 01:00:00",3.26,,5.06
"2024-05-24 01:00:00",3.82,,5.11
"2024-05-25 01:00:00",11.39,,5.29
"2024-05-26 01:00:00",5.77,,5.5
"2024-05-27 01:00:00",4.92,,5.54
"2024-05-28 01:00:00",4.83,,5.31
"2024-05-29 01:00:00",4.54,,4
"2024-05-30 01:00:00",3.49,,3.72
"2024-05-31 01:00:00",2.26,,3.37
"2024-06-01 01:00:00",2.19,,2.89
"2024-06-02 01:00:00",3.82,,2.62
"2024-06-03 01:00:00",2.46,,2.47
"2024-06-04 01:00:00",1.45,,2.54
