"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",9.76,3.9309416513558095,8.47
"2023-04-16 01:00:00",5.37,,7.94
"2023-04-17 01:00:00",7.04,,8.73
"2023-04-18 01:00:00",7.86,,8.96
"2023-04-19 01:00:00",14.79,,9.14
"2023-04-20 01:00:00",9.25,,9.63
"2023-04-21 01:00:00",8.66,,9.56
"2023-04-22 01:00:00",11.04,,9.08
"2023-04-23 01:00:00",8.74,,7.74
"2023-04-24 01:00:00",6.55,,7.69
"2023-04-25 01:00:00",4.56,,7.1
"2023-04-26 01:00:00",5.35,,6
"2023-04-27 01:00:00",8.94,,5.64
"2023-04-28 01:00:00",4.51,,5.86
"2023-04-29 01:00:00",3.36,,6.57
"2023-04-30 01:00:00",6.21,,6.51
"2023-05-01 01:00:00",8.1,,6.18
"2023-05-02 01:00:00",9.49,,6.25
"2023-05-03 01:00:00",4.93,,6.28
"2023-05-04 01:00:00",6.63,,5.96
"2023-05-05 01:00:00",5.04,,5.46
"2023-05-06 01:00:00",3.59,,5.39
"2023-05-07 01:00:00",3.94,,6.13
"2023-05-08 01:00:00",4.61,,6.31
"2023-05-09 01:00:00",8.99,,6.51
"2023-05-10 01:00:00",10.1,,7.14
"2023-05-11 01:00:00",7.88,,7.38
"2023-05-12 01:00:00",6.49,,7.32
"2023-05-13 01:00:00",7.99,,7.1
"2023-05-14 01:00:00",5.58,,6.62
"2023-05-15 01:00:00",4.24,,6.2
"2023-05-16 01:00:00",7.44,,7.16
"2023-05-17 01:00:00",6.71,,7
"2023-05-18 01:00:00",4.98,,7.04
"2023-05-19 01:00:00",13.15,,7.04
"2023-05-20 01:00:00",6.89,,6.75
"2023-05-21 01:00:00",5.85,,7.78
"2023-05-22 01:00:00",4.29,,7.97
"2023-05-23 01:00:00",5.35,,7.22
"2023-05-24 01:00:00",13.96,,7
"2023-05-25 01:00:00",6.27,,6.85
"2023-05-26 01:00:00",7.92,,6.92
"2023-05-27 01:00:00",5.36,,6.84
"2023-05-28 01:00:00",4.79,,5.29
"2023-05-29 01:00:00",4.79,,4.79
"2023-05-30 01:00:00",4.79,,3.93
"2023-05-31 01:00:00",3.13,,3.57
"2023-06-01 01:00:00",2.76,,3.46
"2023-06-02 01:00:00",1.92,,3.23
"2023-06-03 01:00:00",2.83,,2.9
"2023-06-04 01:00:00",4.01,,2.79
"2023-06-05 01:00:00",3.18,,3.05
"2023-06-06 01:00:00",2.44,,3.35
"2023-06-07 01:00:00",2.38,,4
"2023-06-08 01:00:00",4.57,,3.89
"2023-06-09 01:00:00",4.07,,3.9
"2023-06-10 01:00:00",7.35,,3.82
"2023-06-11 01:00:00",3.22,,4.11
"2023-06-12 01:00:00",3.24,,3.97
"2023-06-13 01:00:00",1.9,,4.01
"2023-06-14 01:00:00",4.42,,3.57
"2023-06-15 01:00:00",3.59,,3.66
"2023-06-16 01:00:00",4.33,,3.57
"2023-06-17 01:00:00",4.31,,3.68
"2023-06-18 01:00:00",3.85,,3.79
"2023-06-19 01:00:00",2.56,,4.31
"2023-06-20 01:00:00",2.73,,4.42
"2023-06-21 01:00:00",5.16,,4.43
"2023-06-22 01:00:00",7.22,,4.44
