"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-15 01:00:00",8.51,31.30101968462541,8.1
"2023-04-16 01:00:00",8.19,,8.11
"2023-04-17 01:00:00",8.14,,8.88
"2023-04-18 01:00:00",6.35,,10.18
"2023-04-19 01:00:00",9.17,,11.43
"2023-04-20 01:00:00",13.67,,13
"2023-04-21 01:00:00",17.25,,14.26
"2023-04-22 01:00:00",17.25,,14.64
"2023-04-23 01:00:00",19.16,,16.37
"2023-04-24 01:00:00",17,,16.91
"2023-04-25 01:00:00",8.95,,16.2
"2023-04-26 01:00:00",21.31,,16.43
"2023-04-27 01:00:00",17.44,,16.06
"2023-04-28 01:00:00",12.29,,15.38
"2023-04-29 01:00:00",18.84,,17.3
"2023-04-30 01:00:00",16.62,,18.22
"2023-05-01 01:00:00",12.24,,19.62
"2023-05-02 01:00:00",22.35,,22.02
"2023-05-03 01:00:00",27.76,,22.86
"2023-05-04 01:00:00",27.27,,22.7
"2023-05-05 01:00:00",29.08,,22.61
"2023-05-06 01:00:00",24.67,,21.56
"2023-05-07 01:00:00",15.56,,21.45
"2023-05-08 01:00:00",11.6,,21.7
"2023-05-09 01:00:00",14.96,,21.51
"2023-05-10 01:00:00",27.03,,21.57
"2023-05-11 01:00:00",29.03,,22.63
"2023-05-12 01:00:00",27.75,,26.61
"2023-05-13 01:00:00",25.08,,33.65
"2023-05-14 01:00:00",22.99,,35.35
"2023-05-15 01:00:00",39.42,,36.24
"2023-05-16 01:00:00",64.27,,37.83
"2023-05-17 01:00:00",38.9,,37.57
"2023-05-18 01:00:00",35.26,,37.35
"2023-05-19 01:00:00",38.9,,37.93
"2023-05-20 01:00:00",23.26,,36.7
"2023-05-21 01:00:00",21.47,,37.63
"2023-05-22 01:00:00",43.48,,38.37
"2023-05-23 01:00:00",55.6,,36.06
"2023-05-24 01:00:00",45.41,,37.43
"2023-05-25 01:00:00",40.47,,38.57
"2023-05-26 01:00:00",22.72,,36.57
"2023-05-27 01:00:00",32.84,,32.84
"2023-05-28 01:00:00",29.47,,28.21
"2023-05-29 01:00:00",29.47,,23.96
"2023-05-30 01:00:00",29.47,,22.43
"2023-05-31 01:00:00",13.03,,19.86
"2023-06-01 01:00:00",10.72,,19.29
"2023-06-02 01:00:00",12.03,,20.84
"2023-06-03 01:00:00",14.8,,19.91
"2023-06-04 01:00:00",25.54,,22.61
"2023-06-05 01:00:00",40.31,,28.02
"2023-06-06 01:00:00",22.92,,28.74
"2023-06-07 01:00:00",31.97,,29.14
"2023-06-08 01:00:00",48.6,,28.44
"2023-06-09 01:00:00",17.05,,26.21
"2023-06-10 01:00:00",17.61,,26.27
"2023-06-11 01:00:00",20.6,,29.41
"2023-06-12 01:00:00",24.71,,31.5
"2023-06-13 01:00:00",23.38,,32.67
"2023-06-14 01:00:00",53.89,,34.43
"2023-06-15 01:00:00",63.23,,37.19
"2023-06-16 01:00:00",25.25,,44.67
"2023-06-17 01:00:00",29.94,,49.93
"2023-06-18 01:00:00",39.92,,49.09
"2023-06-19 01:00:00",77.09,,45.22
"2023-06-20 01:00:00",60.2,,45.72
"2023-06-21 01:00:00",48,,47.14
"2023-06-22 01:00:00",36.14,,45.08
"2023-06-23 01:00:00",28.74,,37.64
"2023-06-24 01:00:00",39.92,,35.65
"2023-06-25 01:00:00",25.45,,32.69
"2023-06-26 01:00:00",25.04,,36.58
"2023-06-27 01:00:00",46.29,,41.66
"2023-06-28 01:00:00",27.25,,44.43
"2023-06-29 01:00:00",63.38,,50.58
"2023-06-30 01:00:00",64.26,,52.17
"2023-07-01 01:00:00",59.33,,51.03
"2023-07-02 01:00:00",68.53,,52.88
"2023-07-03 01:00:00",36.14,,48.16
"2023-07-04 01:00:00",38.29,,43.81
"2023-07-05 01:00:00",40.21,,47.14
"2023-07-06 01:00:00",30.34,,47.9
"2023-07-07 01:00:00",33.85,,54.49
"2023-07-08 01:00:00",82.64,,56.74
"2023-07-09 01:00:00",73.84,,55.94
"2023-07-10 01:00:00",82.25,,55.93
"2023-07-11 01:00:00",54.07,,57.37
"2023-07-12 01:00:00",34.58,,53
"2023-07-13 01:00:00",30.3,,46.12
"2023-07-14 01:00:00",43.9,,38.13
"2023-07-15 01:00:00",52.05,,34.1
"2023-07-16 01:00:00",25.72,,32.04
"2023-07-17 01:00:00",26.3,,29.75
"2023-07-18 01:00:00",25.82,,24.96
"2023-07-19 01:00:00",20.2,,19.29
"2023-07-20 01:00:00",14.24,,18.93
"2023-07-21 01:00:00",10.36,,17.33
"2023-07-22 01:00:00",12.36,,15.56
"2023-07-23 01:00:00",23.25,,13.79
"2023-07-24 01:00:00",15.05,,13.2
"2023-07-25 01:00:00",13.47,,12.88
"2023-07-26 01:00:00",7.83,,12.14
"2023-07-27 01:00:00",10.06,,10.36
"2023-07-28 01:00:00",8.11,,9.37
"2023-07-29 01:00:00",7.23,,8.23
"2023-07-30 01:00:00",10.75,,7.83
"2023-07-31 01:00:00",8.15,,8.13
"2023-08-01 01:00:00",5.5,,8.84
"2023-08-02 01:00:00",4.98,,9
"2023-08-03 01:00:00",12.18,,9.54
"2023-08-04 01:00:00",13.08,,10.62
"2023-08-05 01:00:00",8.35,,12.03
