Product Details,ASIN,Type,Focus,Treatment Method,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Neositrin, Protect Spray Conditioner, Daily Lice Protection, Detangling Without Rinse, Fruity Scent, From 1 Year, 200 ml",B01BN0QUUE,Prevention spray,Prevention,,https://www.amazon.es/dp/B01BN0QUUE?psc=1,https://m.media-amazon.com/images/I/71BNi0KvwmL._AC_SY355_.jpg,Neositrín,12.73,"2,860","2,860","1,000","42,161.48","42,133.38",120,75,AMZ,5.76,15,4.5,"2,721",8,15,Amazon,Health & Household,Small Parcel,AMZ,17.70 x 6.10 x 6.80 cm,0.25,N/A,"Feb 10, 2016",,No,121,Amazon
"Neositrin Anti-lice Gel Spray Eliminates Lice and Nits in 1 Minute and in 1 Application, No Insecticides, From 1 Year, 60 ml",B00TTWTOJI,Treatment spray,Treatment,Chemical,https://www.amazon.es/dp/B00TTWTOJI?psc=1,https://m.media-amazon.com/images/I/71zEiHHMsUL._AC_SY355_.jpg,Neositrín,14.98,"1,643","1,643","1,000","24,050.49","24,036.99",124,442,AMZ,6.1,9,4.4,741,6,11,Amazon,Health & Household,Extra Large Envelope,AMZ,13.70 x 4.70 x 6.90 cm,0.09,#3,"Oct 31, 2014",,No,137,Amazon
"Neositrin, Protect Spray Conditioner, Daily Lice Protection, Detangling Without Rinse, Fruity Scent, From 1 Year, 100 ml",B01ADEMJFQ,Prevention spray,Prevention,,https://www.amazon.es/dp/B01ADEMJFQ?psc=1,https://m.media-amazon.com/images/I/615tnUC8n+L._AC_SY355_.jpg,Neositrín,12.79,"1,687","1,687","1,000","21,077.90","21,064.43",120,492,AMZ,5.77,13,4.5,"1,295",8,13,Amazon,Health & Household,Extra Large Envelope,AMZ,15.50 x 5.20 x 6.90 cm,0.14,N/A,"Jan 17, 2016",,No,122,Amazon
"OTC Antipiojos Total Formula, Removes 100% of Lice and Nits in 2 Minutes, Pediculicide Treatment Without Insecticide, 1 Single Application, Suitable for 1 Year, Spray 125 ml",B07BBMJFM1,Treatment spray,Treatment,Chemical,https://www.amazon.es/dp/B07BBMJFM1?psc=1,https://m.media-amazon.com/images/I/81AtrSiYgJL._AC_SY355_.jpg,OTC Antipiojos,15.69,"1,100","1,100",500,"15,449.31","15,438.80",173,"1,265",AMZ,5.35,12,4.3,568,11,6,Amazon,Health & Household,Extra Large Envelope,AMZ,17.50 x 4.10 x 6.70 cm,0.16,N/A,"Mar 8, 2018",,No,96,Amazon
ZZ | Complete Lice Treatment | Shampoo and Lotion | Includes Nit | With Permethrin | Safe from 3 Years | Lotion 100ml and Shampoo 125ml,B07C41N7T1,Treatment kit/set,Treatment,Chemical,https://www.amazon.es/dp/B07C41N7T1?psc=1,https://m.media-amazon.com/images/I/8157Q21bqcL._AC_SX355_.jpg,ZZ,12.29,"1,176","1,176",500,"14,451.59","14,439.70",135,874,AMZ,5.79,14,4.5,"3,804",5,39,Amazon,Beauty,Extra Large Envelope,AMZ,13.30 x 5.40 x 11.10 cm,0.3,N/A,"Apr 4, 2018",,No,95,Amazon
NitWits All in One Lice Spray - 20 Minute Fast Treatment Without Comb During Use - With After Treatment Comb - 120ml for Children,B0D33NP6VB,Treatment spray with comb,Treatment,Chemical,https://www.amazon.es/dp/B0D33NP6VB?psc=1,https://m.media-amazon.com/images/I/71fKEfHH+SL._AC_SY355_.jpg,Nitwits,15.99,744,744,300,"11,897.90","11,890.31",129,"1,138",AMZ,6.2,1,4.5,"6,610",8,92,Amazon,Health & Household,Extra Large Envelope,AMZ,18.00 x 4.70 x 6.70 cm,0.17,#1,"May 1, 2024",,No,22,Amazon
ZZ | Anti-lice | Hair Lotion for Lice and Nits Removal | With Permethrin | Integral Treatment | Children from 2 Years | 100 ml,B009VZJD8K,Treatment lotion,Treatment,Chemical,https://www.amazon.es/dp/B009VZJD8K?psc=1,https://m.media-amazon.com/images/I/91-9RaiRZfL._AC_SY355_.jpg,ZZ,5.95,"1,626","1,626","1,000","9,729.67","9,715.50",126,138,AMZ,3.81,37,4.6,"2,756",5,20,Amazon,Beauty,Extra Large Envelope,AMZ,12.70 x 5.20 x 5.40 cm,0.09,#2,"Sep 28, 2015",,No,126,Amazon
"OTC Protect Strawberry Detangler Spray, Protects, Detangles and Hydrates Hair, with Keratin, Tea Tree and Quassia Vinegar, Suitable for 1 Year Old, 250 ml",B07QDNBKV4,Prevention spray,Prevention,,https://www.amazon.es/dp/B07QDNBKV4?psc=1,https://m.media-amazon.com/images/I/61TFmN6bUfL._AC_SY355_.jpg,OTC Antipiojos,9.28,883,792,400,"8,699.87","7,749.02",154,822,AMZ,3.97,5,4.4,"1,157",9,299,Amazon,Beauty,Extra Large Envelope,AMZ,16.70 x 4.90 x 5.00 cm,0.29,N/A,"Apr 8, 2019",,No,83,Amazon
ISDIN Anti-Lice 100 ml,B0179QDKFY,Treatment lotion,Treatment,Physical,https://www.amazon.es/dp/B0179QDKFY?psc=1,https://m.media-amazon.com/images/I/51iqWkr7cyL._SX342_.jpg,,21.29,240,240,100,"5,139.33","5,136.91",22,"4,551",AMZ,6.9,19,4.2,172,8,4,Amazon,Beauty,Large Envelope,AMZ,17.90 x 3.90 x 5.80 cm,0.14,N/A,"Feb 13, 2015",,No,133,Amazon
Paranix Eliminates Lice and Nits 2in1 Shampoo Removes Lice and Washes Hair at the Same Time - Includes Lendrera - No Insecticides - 200 ml,B00KP7PUE4,Treatment shampoo,Treatment,Physical,https://www.amazon.es/dp/B00KP7PUE4?psc=1,https://m.media-amazon.com/images/I/71Sq0bmU97L._AC_SY355_.jpg,Paranix,11.9,248,248,100,"4,301.44","4,300.22",138,"2,532",AMZ,6.01,14,4.3,532,5,4,Amazon,Beauty,Extra Large Envelope,AMZ,13.30 x 4.50 x 4.70 cm,0.1,N/A,"Apr 15, 2013",,No,155,Amazon
