Product Details,ASIN,Type,Focus,Treatment Method,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Paranix Extra Strong Shampoo Treats & Prevents Lice and Nits in 5 Minutes, Multicoloured, 200 ml",B0892Q7DB6,Treatment shampoo,Treatment,Physical,https://www.amazon.it/dp/B0892Q7DB6?psc=1,https://m.media-amazon.com/images/I/615avvzFlDL._AC_SY355_.jpg,Paranix,15.66,606,"2,370","1,000","9,855.12","39,335.78",96,165,AMZ,6.52,15,4.5,"1,476",7,35,Amazon,Beauty,Small Parcel,AMZ,16.80 x 6.10 x 6.10 cm,0.24,#2,"May 22, 2020",,No,70,Amazon
"Helan, Eye Lice, Preventive Lotion, Strong Lice and Nits Treatment, No Gas Spray for Daily Prevention, Formula Rich in Active Ingredients, 100 ml",B01M7V73CK,Prevention spray,Prevention,,https://www.amazon.it/dp/B01M7V73CK?psc=1,https://m.media-amazon.com/images/I/615qZAweD4L._AC_SY355_.jpg,Helan,11.59,"1,518","1,518",600,"17,594.38","17,594.23",145,629,AMZ,6.32,10,4.4,817,2,24,Amazon,Beauty,Extra Large Envelope,AMZ,16.60 x 4.60 x 4.70 cm,0.13,N/A,"Jul 30, 2016",,No,116,Amazon
"Preaftir Lice and Nits Treatment Lice Preventive Spray Lotion Soothing Antipruritic for Adults and Children, 100 ml",B081VVQRM1,Prevention spray,Prevention,,https://www.amazon.it/dp/B081VVQRM1?psc=1,https://m.media-amazon.com/images/I/61N5XfXr81L._AC_SX342_.jpg,Aftir,11.87,"1,268","1,268",700,"14,491.51","14,480.31",115,841,AMZ,5.47,13,4.6,554,6,10,Amazon,Beauty,Extra Large Envelope,AMZ,18.40 x 5.20 x 5.40 cm,0.14,N/A,"Nov 20, 2019",,No,76,Amazon
"Paranix Prevent Lotion Spray Creates an Unfavorable Environment for Lice Settlement, 100 ml",B00BUH65R4,Prevention spray,Prevention,,https://www.amazon.it/dp/B00BUH65R4?psc=1,https://m.media-amazon.com/images/I/71hroyupobL._AC_SY355_.jpg,Paranix,9.81,"1,809","1,182",500,"24,218.89","12,250.82",91,676,AMZ,4.47,4,4.4,"1,612",7,14,Amazon,Beauty,Extra Large Envelope,AMZ,15.80 x 4.90 x 5.10 cm,0.11,N/A,"Mar 15, 2013",,No,156,Amazon
Lice Repellent Spray - 500 ml - Fabric and Furniture Spray - Protection with Eucalyptus and Chrysanthemum Extract - Anti-Lice - Prevents Infestation - Made in Germany,B0DQ1M471N,Environmental spray,Prevention,,https://www.amazon.it/dp/B0DQ1M471N?psc=1,https://m.media-amazon.com/images/I/81mDaGz43EL._AC_SY355_.jpg,Panteer,19.95,589,589,200,"11,746.19","11,746.04",166,275,DE,7.26,1,4.2,132,7,17,Panteer,Garden,Extra Large Envelope,FBA,22.50 x 5.50 x 9.00 cm,0.55,N/A,"Dec 10, 2024",,No,15,Panteer
Lendinout Act 1 x 150ml Lice Treatment Medical Lice Elimination Device with Shampoo and Comb,B01BIGUZ04,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B01BIGUZ04?psc=1,https://m.media-amazon.com/images/I/71KrYt6Va+L._AC_SY355_.jpg,Linea Act,12.3,832,832,300,"10,199.61","10,197.74",92,"1,485",AMZ,6.39,7,4.4,"1,545",4,13,Amazon,Beauty,Small Parcel,AMZ,15.70 x 6.40 x 6.80 cm,0.19,#3,"Feb 5, 2016",,No,121,Amazon
"Helan, Lice Eye Shampoo, Lice Shampoo, Specific Lice and Nits Treatment, for Sensitive Skin, with Andiroba and Neem Vegetable Oils and Lavender Flowers, 200 ml - Made in Italy",B01M9GFPLY,Treatment shampoo,Treatment,Physical,https://www.amazon.it/dp/B01M9GFPLY?psc=1,https://m.media-amazon.com/images/I/61KJyMivcGL._AC_SY355_.jpg,Helan,11.59,773,773,300,"9,085.72","9,083.06",175,"2,225",AMZ,5.33,12,4.4,489,2,9,Amazon,Health & Household,Extra Large Envelope,AMZ,16.90 x 4.20 x 7.10 cm,0.25,N/A,"Oct 27, 2016",,No,113,Amazon
Paranix Shampoo Treatment with Comb Eliminates Lice & Nits 100% Effective in One Application 200ml,B00D3HW2K8,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B00D3HW2K8?psc=1,https://m.media-amazon.com/images/I/718DyslHvhL._AC_SY355_.jpg,Paranix,18.48,453,453,200,"8,258.71","8,255.67",98,"4,824",AMZ,6.94,13,4.4,720,10,10,Amazon,Health & Household,Small Parcel,AMZ,16.90 x 6.10 x 6.20 cm,0.28,N/A,"Nov 20, 2013",,No,148,Amazon
"Pouxit Flash Lice and Nits Spray Quick Action, No Insecticides, Comb Included, 150 ml",B0DB8R78XK,Treatment spray with comb,Treatment,Physical,https://www.amazon.it/dp/B0DB8R78XK?psc=1,https://m.media-amazon.com/images/I/61UhGO4WZhL._AC_SY355_.jpg,Pouxit,7,"1,113","1,069",400,"8,687.76","7,850.39",85,"2,009",IT,5.25,4,4.4,432,1,28,Chimborazo,Health & Household,Small Parcel,FBA,16.80 x 6.40 x 6.40 cm,0.2,N/A,"Jul 26, 2024",,No,20,Chimborazo
ASSY 2000 Lice Comb - Professional Pedicular Treatment,B015YBUQKI,Lice comb,Treatment,Physical,https://www.amazon.it/dp/B015YBUQKI?psc=1,https://m.media-amazon.com/images/I/61AeqDjxkzL._AC_SY355_.jpg,Assy,21.9,349,349,100,"7,640.44","7,636.80",54,"2,950",N/A,6.57,1,4.7,273,5,1,A2000ITALIA,Beauty,Small Envelope,FBA,15.80 x 0.70 x 12.00 cm,0.05,N/A,"Jul 1, 2016",,No,116,A2000ITALIA
